,tag,name,badgeId,trophies,rank,memberCount
0,#JYJ00Y9C,Turk<c7>Hub</c>,8000029,1236370,1,4
1,#2C0R22CG8,ghoul,8000035,972346,2,30
2,#8VGVYJUR,SUMKE ARMY,8000059,958079,3,30
3,#CP0QUPGP,ӨP_ᴹᵒʳₜᵢₛ,8000022,711453,4,25
4,#299JR0C2V,COLT🔫,8000037,654049,5,29
5,#2JJGUQJ2Y,Победа,8000029,636037,6,30
6,#299PR8RQC,zetBOYS,8000037,619100,7,30
7,#2GL0UU08R,MEGA EMPIRE,8000048,608951,8,29
8,#29RC8QQ9Y,PlayStrang,8000055,536289,9,30
9,#2C82P2G29,YENİDEN OSMANLI,8000004,507763,10,30
10,#2C9LPGC2L,TS|Turkey,8000038,490049,11,22
11,#2C2QPGJR2,FC DEVILS,8000029,481013,12,28
12,#2G0R9RC2U,лучшие друзья,8000029,445608,13,30
13,#2J8JVCR8J,ГАНГСТЕРЫ,8000057,429498,14,30
14,#2R08JYC8G,8 Бебра,8000037,425207,15,26
15,#28RY02URJ,gqgq,8000029,413784,16,30
16,#2QYQGQVUQ,ALİPARK,8000003,408224,17,25
17,#9LYCC08L,ЛЕГИ,8000029,379593,18,25
18,#2GY80RYVU,Frickin Menaces,8000017,366903,19,29
19,#Q9QQRLPY,Рады Всем,8000023,349593,20,22
20,#2CQ8V0JJ2,"""♥️”",8000023,346742,21,25
21,#9GRPVV9P,"der nita,poco",8000032,337703,22,23
22,#JCGL2YG,202BEST,8000029,329601,23,30
23,#2CY9Q8202,doug,8000059,328992,24,30
24,#Q0YP99RC,Aleksanprincesa,8000039,327827,25,24
25,#2C0PJJLJU,Жмыхнутые,8000047,325113,26,30
26,#CP8C2LVC,EDM Torrelavega,8000029,321918,27,30
27,#2LUJ8Y0JJ,™Призрачный™,8000057,321484,28,29
28,#2CPL0GPGQ,futbol fk,8000052,318288,29,30
29,#QCYR8VGY,א . א. נונימוס,8000002,311213,30,27
30,#2RVPCQ8RY,🕋Musulmany🕋,8000021,307203,31,27
31,#2082PJ2GL,100 Mb,8000015,304107,32,30
32,#QJQC9CV2,Шейлушаи,8000004,300057,33,30
33,#2RVCPYLP2,ТКМ🇹🇲 клуб,8000057,298779,34,13
34,#QP0RGYGG,Забавные Ребята,8000037,296178,35,15
35,#QYJVJC9L,DZ KINGS,8000023,293370,36,30
36,#QGG2CGRY,Mr.Beast,8000037,288359,37,26
37,#2C00282PY,АЙ ФУКА КАПАТОК,8000049,284068,38,30
38,#VG9YUR8P,протата⚔️,8000055,282886,39,30
39,#20YUUJ92R,TÜRKMENISTAN,8000049,278812,40,24
40,#2GUV2JRGV,LightOfDarkness,8000027,277985,41,21
41,#298P8CC28,code:csuszy,8000006,277815,42,30
42,#L08QGLGU,SON OYUN,8000020,274730,43,21
43,#28RGUVQLG,TM_FULL,8000023,274649,44,26
44,#22LGQGLPC,я незнаю,8000055,274374,45,17
45,#2G8R8VVPL,мы друзья,8000002,273980,46,29
46,#2GPV00L2L,73 ZAZA 73,8000010,272182,47,27
47,#YVUUL9GL,МСТИТЕЛИ,8000007,251307,48,23
48,#UGYCYRGR,TM ASHGABAT,8000008,251135,49,15
49,#2L9U0PQJP,layn,8000004,249364,50,23
50,#VYYP8U2,QUEENS SQUAD,8000025,246318,51,23
51,#2LVJYQURY,Toni bg,8000050,245486,52,29
52,#28UPPLV22,🇹🇷TÜRKİYEM,8000059,243679,53,30
53,#2CG2L2YVY,Ｍ<c5>Ｏ</c>ＮＡＲＣＨ,8000055,241209,54,28
54,#2JGCLPLJ0,ÇINAR ve baran,8000021,237250,55,30
55,#28CUUCLJG,Monster Squad,8000034,231313,56,29
56,#QQ28L800,клан для друзей,8000029,230903,57,25
57,#VJJ22YUV,🇹🇷TÜRKÜN GÜCÜ,8000037,230832,58,22
58,#29Y98UUVJ,Cameraman,8000014,227275,59,24
59,#GR820L8,ЛЕБАПСКИЙ КЛУБ,8000029,225823,60,29
60,#PGYUQQJJ,GALATASARAY,8000031,225642,61,30
61,#22RY0QCR2,TKM BET,8000029,222383,62,29
62,#29YUVGP9Y,City,8000029,220768,63,27
63,#288R8YUV9,Veletler,8000026,218864,64,3
64,#Y00LCJJR,TURKMEN STARS,8000029,218491,65,29
