,tag,name,badgeId,trophies,rank,memberCount
0,#29RLQGR09,Diamond Gang,8000055,976566,1,29
1,#2CLCUQQPU,TurkeyChampion,8000006,851233,2,30
2,#29YGU29J0,Прошки,8000059,835770,3,30
3,#QQL2YGVP,Weed Maniacs,8000042,807098,4,30
4,#292Y0RC29,Jurasic World,8000057,787553,5,30
5,#2LJRQL288,BS|EĞİTİM KAMPI,8000029,755544,6,28
6,#2222CQ,neon gamers,8000019,734456,7,30
7,#VQLG9CGP,<c7>GOLD</c> UA,8000018,727813,8,30
8,#2989QYYC2,唐老大唐老大,8000022,656187,9,30
9,#CGLUQ2VU,os protetores,8000021,651228,10,3
10,#2CC2PY8RG,kumbara,8000023,586976,11,27
11,#VJP0YCRP,Brawl premium,8000013,545984,12,29
12,#2C8PPJ2YQ,ФАНАТЫ А4,8000023,518352,13,30
13,#RL0GL0P0,Asnieres,8000057,508574,14,30
14,#QVCUUYG0,铲雪花,8000018,494858,15,23
15,#LGG9R98V,Brawl Kings,8000030,494648,16,29
16,#2G022P2GR,🇵🇱PoLaNd🇵🇱,8000023,489204,17,30
17,#2RQYYJCGU,RSM Team,8000057,477420,18,28
18,#2C8P888QQ,Los pepes uwu,8000044,473077,19,29
19,#QJLV20PV,CEI MAI GROZAVI,8000029,444723,20,13
20,#2P2P0PQR,MATER STAR 5A,8000053,395621,21,30
21,#UJG90LVY,Ottoman eSports,8000023,390312,22,2
22,#2PQJ29RG2,D_r_e_a_m_,8000027,376149,23,23
23,#UJQQY98Y,kötü kedi,8000023,367139,24,30
24,#29J90LLRV,Bzm Geri döndü,8000036,351161,25,27
25,#209C8QULC,Дикие мамонты,8000029,350949,26,26
26,#29YVGC9PR,G.O.A.T YUNUS🗿,8000055,350595,27,29
27,#2G9CCJ9R8,Les Tigres,8000037,339520,28,27
28,#2288Q8GL8,Fang's Club,8000057,338443,29,30
29,#G292CRPU,Aber mit Sahne,8000029,330759,30,27
30,#290G9JP82,_Cyuцuднuku,8000004,321634,31,25
31,#2JLUYR0P8,BunnyCorp1,8000055,318196,32,10
32,#8R000CR,THUNDER SQUAD,8000019,317492,33,30
33,#2JLLPUJVY,bspopsiki,8000035,309136,34,26
34,#2GLVG9GLG,NÓR,8000025,301344,35,21
35,#C8JCPPUP,Team Solstice,8000004,278542,36,16
36,#2Q9JY8VLL,xgame,8000049,274137,37,25
37,#290Y9GG8Y,Anchovy/Hamsi,8000030,267089,38,29
38,#QYCP0PQG,POLSKIE KOKSY,8000023,264513,39,26
39,#29YY8UYLJ,Die Pros,8000039,263591,40,30
40,#2JQ0JG28R,JB,8000037,263371,41,16
41,#RY20L08J,SMK TEAM,8000029,262103,42,20
42,#2PVQ0PL9J,174,8000009,260866,43,20
43,#2C9CC8R82,MEGA KUMBARA,8000001,259897,44,30
44,#29R90G29L,Starpark CEO‘s,8000013,257130,45,14
45,#VR90UYPY,[zZz]BRAWLER,8000023,255664,46,14
46,#2QCJQRV9P,Barca prime,8000025,250908,47,14
47,#Q8RV8JYJ,batsssss 💙💛,8000058,244319,48,26
48,#28LG2VYYY,Berqs Club™,8000037,244029,49,23
49,#2GRV2P98G,я матвей,8000017,241640,50,29
50,#2LVJVQRY9,Персики🍑,8000059,239523,51,10
51,#2C9Y0GPJU,viva el 33 aja,8000012,232644,52,30
52,#89Y0GGP,Storm Troopers,8000039,232474,53,17
53,#2JGV8CUQJ,<c8>Mystic</c>™,8000039,228600,54,7
54,#20Q0UCQPP,TÜRKLER GELIYOR,8000027,226913,55,25
55,#VQ229VUV,sotamursut,8000019,226789,56,22
56,#2QCL0Y8QJ,Roncy,8000029,226120,57,30
57,#2QPLQRPL8,ПИПУКА ХА 2,8000037,225670,58,25
58,#28GQ8UYYU,KİNG POWER,8000027,225326,59,15
59,#200QV22JC,XHispaniaX,8000023,225298,60,28
60,#2G9J9JJRY,IS MORTİSH TEAM,8000029,222962,61,14
61,#UYUL9J2V,Arisona,8000007,222125,62,12
62,#JV29P9RV,те хто про,8000059,220583,63,29
63,#2C2LR02UY,:ANKARA,8000037,219757,64,23
64,#28R2Y0C9V,PROLAR VE NİNJA,8000034,214558,65,24
65,#28YGCR9LV,Самара,8000039,214535,66,11
66,#UULC08CY,AimBetterAndy,8000013,214067,67,22
67,#29YYVGGY2,AGALAR,8000000,213862,68,18
68,#2PJQCQVVQ,kerem_TR,8000037,213268,69,29
69,#2R8PYV8L9,Мастер и Опсос,8000047,210840,70,18
70,#2GGVQCPV,노코쓰,8000012,210537,71,28
71,#2Q22PY9Y9,testici,8000040,208968,72,30
72,#ULY88VCU,GAMONYA,8000018,203504,73,26
73,#C892YUJU,😈ПуШ рАнГоВ😈,8000029,201118,74,24
74,#2QLLPC0JV,noski-soski,8000037,199568,75,17
75,#20LCLQVJQ,ЗВЁЗДЫ,8000018,196126,76,30
76,#J8L29CCG,BRAWL-STARS,8000016,194488,77,26
77,#2CRVC0PV,hacker,8000023,193444,78,30
78,#29Q0JUPGP,MaRaŞeL,8000036,192482,79,29
79,#228J0VY88,EFSANEVİ ÇIK,8000029,192357,80,27
80,#2G0JCCGJ0,BM/BLACK MAFIA,8000050,190976,81,29
81,#20RCYPY9,Aura.Galaxy,8000029,189923,82,28
82,#2JQRPJY89,🔥teamfirepro🔥,8000037,189611,83,8
83,#20J0LRUR9,fırtına Ege,8000029,188596,84,28
84,#2GVY90G29,5OLLIES'RU,8000058,186988,85,8
85,#VPQ2VQUP,doberman yt,8000000,186784,86,27
86,#2JLUG88J0,ZETA УРА,8000055,185177,87,25
87,#2PRPJYCCC,yaprak,8000007,184912,88,14
88,#29CQ228YU,хелебушек,8000049,184398,89,30
89,#2L9QQRP9C,⚡Маквин⚡,8000011,184303,90,11
90,#2LP2VRJ9U,SkubiGangTOMBİK,8000012,183683,91,29
91,#222PR99VC,מלכים של ברואל,8000023,182269,92,30
92,#QLRJJVQ0,trio calavera,8000007,181116,93,30
93,#29YYR9LCR,profesyonel,8000019,181068,94,30
94,#29J902GC2,[selamünaleyküm,8000027,177477,95,19
95,#2YYRPR892,2vs🌍,8000029,175954,96,30
