,tag,name,badgeId,trophies,rank,memberCount
0,#G89GLRPY,<c6>AWAKİN</c>,8000010,1292142,1,29
1,#U9V9ULGV,❤️_FamilyLove_❤,8000029,764166,2,30
2,#2CQQC2VYQ,Chlebki,8000013,752271,3,30
3,#2CRPL0UP0,AlphaZero,8000058,721985,4,30
4,#2JQU0QQLC,Year Zero,8000047,712662,5,30
5,#28JQQRYU8,los ninos,8000008,629721,6,27
6,#29C0GCUPL,KFC БОЙЦЫ,8000023,610464,7,29
7,#2C8VUQGVQ,Team C4T♡☆,8000037,574549,8,30
8,#2Q8GLQPJ0,🎮LOS GAMERS🎮,8000029,549032,9,30
9,#8QUQ00QL,chamas LENDÁRIA,8000049,543722,10,29
10,#2R8UY2Q8P,로로tv 팬클럽,8000054,542659,11,30
11,#2JRUJR2QY,praise allah,8000005,514521,12,30
12,#2LYCJLPG,pipi,8000024,466608,13,30
13,#8Q0CGGUG,SMG Edgemont,8000003,449399,14,30
14,#2CYJLCP9Q,PUSH | ROMÂNIA,8000035,438686,15,30
15,#Y0VG8G2C,Pubg mobile,8000028,434545,16,27
16,#2CRQ9PLR9,🇺🇦Ukraine🇺🇦,8000023,432387,17,30
17,#UY828QP9,YALNIZIM😭😭😭,8000056,423040,18,25
18,#2009G99R0,💣Best Band💣,8000022,422448,19,29
19,#288UR82YC,xss.alfa.10,8000047,415414,20,30
20,#290RJY9C,FikkiFikki?,8000004,388397,21,19
21,#L8C08C8P,BELİİ VOLC,8000023,375595,22,29
22,#G8220VCY,kankalar289,8000027,359239,23,30
23,#Q00CUPP0,experimento 1,8000055,356377,24,30
24,#QJGGRYYJ,HS GEO,8000034,346508,25,30
25,#QVRQPJ,0342 smokers,8000016,344403,26,29
26,#PVU998QC,Cool brawlers,8000059,338807,27,25
27,#98CLVL28,戸田のは・た・け,8000013,337362,28,25
28,#292L28C2R,илюхис,8000007,327303,29,30
29,#P2P90CV2,ロベッシャータ,8000059,325682,30,25
30,#2CQ20QLY8,뮈든지 자유,8000018,316091,31,30
31,#2L8JRYL0V,LEON[BAN],8000017,308379,32,30
