,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4026891,1,30
1,#Y8LJV288,Weasels Kingdom,8000042,1492191,2,30
2,#JQQGC9QV,Царство☆Френков,8000029,1353593,3,1
3,#209YLJJUR,WARRIORS UNITED,8000004,1189156,4,30
4,#2JJRYGPRY,THE ROYALTY,8000023,1097267,5,30
5,#R82RQRV9,<c5>BLITZ</c>,8000055,1092340,6,30
6,#2G9JLY9YP,🥀𝔅𝔩𝔬𝔬𝔡|🥀,8000023,1079310,7,30
7,#28VVPUPRR,Weasels Legion,8000023,1062610,8,30
8,#2GVPVUJ9Q,Demonics,8000015,1043830,9,30
9,#2JUCJ2P00,الدكتاتوري,8000034,1041093,10,30
10,#2CLRQ2QCG,Minty_Ice,8000057,1028553,11,30
11,#22R0GYJJ0,DR Troopers,8000053,994728,12,30
12,#2Q0RJ2PP,SDRAG GANG [S7],8000052,977174,13,1
13,#CP9CJR8R,GARADENUZLİLER,8000015,973479,14,7
14,#Y9VQ8VJ,EliteLEGENDS,8000051,965990,15,30
15,#29RYGJP9R,Tropical Orbit,8000021,962543,16,30
16,#Y8UVJVCV,جانيت💜💙,8000029,934141,17,30
17,#2GV9LGQU2,Falcons,8000045,930970,18,30
18,#2R0P9CJY2,out hunters,8000025,889597,19,28
19,#LPYG9JL0,Masked Clan,8000055,878851,20,30
20,#298VC0QCU,FireMortis Army,8000037,860482,21,30
21,#2LPG00R8J,UAE_HXH,8000011,842194,22,30
22,#2CPLY0LLL,mecha team,8000015,841675,23,30
23,#2RCJVYC9C,Nexus,8000052,801603,24,30
24,#2QQL2R2PP,Desert Titans,8000009,800774,25,30
25,#UC2GYGP0,Mk club,8000055,798632,26,30
26,#2CPUPG8GV,1971🇦🇪,8000021,795499,27,30
27,#2QCGGPU9V,Blitz shunts,8000003,776254,28,29
28,#20C9PGUG,DXB Brawlers,8000037,745334,29,30
29,#2QV00CJVY,LEGENDARY ONES,8000007,744639,30,30
30,#PR8RYLLY,dinamik 389,8000049,733219,31,30
31,#292PJ8209,CLUB LEAGUE,8000042,727636,32,30
32,#2JV20PLQJ,masked club,8000007,722652,33,29
33,#29RPRURUR,UAE,8000035,722630,34,30
34,#2G0YQ9JQU,lYl nature 🌱☘️,8000032,715415,35,28
35,#2909U00G,killer hideout,8000046,701542,36,30
36,#CU998JC8,PoorKids ☹,8000029,686640,37,30
37,#2PPYJGU2G,ARDEI LU'ANDREI,8000007,683590,38,9
38,#Q98U89CP,The Underdogs,8000025,678708,39,29
39,#2QPQUCCL8,GHP.GSLĄSKA,8000027,676817,40,28
40,#2RGCCG98G,AbuDhabi,8000037,676463,41,29
41,#288GP9LRJ,UNITY,8000004,656918,42,30
42,#ULLGQQQL,Goldz Starz,8000018,647772,43,27
43,#298JPUYC2,PopCop,8000032,646205,44,30
44,#2RPC00Y22,AbuDhabi,8000037,637900,45,30
45,#PPQGG9R,LEBANON,8000006,626496,46,28
46,#Y0PJ02C9,vexus Emirates,8000036,612079,47,30
47,#2QVGVVV9L,بطاطس🙂🥔,8000029,594425,48,30
48,#Y9U92GYR,حزب دبي,8000059,594264,49,26
49,#PLR2V90Q,hydra master,8000037,591111,50,29
50,#28JYVG9L9,Toxic | Pros 💘,8000037,590463,51,29
51,#29RR0U8YY,Aquatic club,8000037,586080,52,27
52,#2CPVQULR2,Dynamites,8000034,577945,53,30
53,#VQ2U8QQ2,BLITZ Lounge,8000013,567085,54,26
54,#29R8VG8GC,стендоферыы,8000038,565733,55,30
55,#YUPCQGPC,Tryhard,8000059,563076,56,30
56,#2G98YUPJ8,night bandits,8000057,562279,57,28
57,#L0PLLU,Club Brawl Star,8000006,552390,58,30
58,#GURRYCC,RAK,8000029,547382,59,30
59,#YPLYVQY0,The XtendSquad,8000025,547005,60,30
60,#2G9JGJ8L8,الجلد ب خشومه🫡,8000053,546428,61,30
61,#29LQQ802G,kaka’s🗿🦧🤓,8000010,535906,62,29
62,#2CY88CC2Q,CR7 legends,8000029,530424,63,30
63,#QCPQ2JG,RB3,8000023,524106,64,30
64,#288GRGP9Y,UAE Legend1,8000049,521039,65,27
65,#202YLP2QQ,Mango wango,8000011,519015,66,30
66,#QG0LJ9VG,تيم ygoku7,8000007,518782,67,30
67,#R8L2PCQU,uchiha,8000053,516559,68,23
68,#2C8UG9Y0V,coconutGANG,8000013,510644,69,29
69,#2LR8YCLP8,metal slug,8000008,498975,70,22
70,#2JV2UPRLJ,أتحاد الأساطير,8000029,487193,71,30
71,#VGURVC2,عيال زايد,8000006,486595,72,30
72,#YC8PJJ00,ROBLOX,8000047,482010,73,30
73,#Y0G8092L,The Power,8000025,479048,74,30
74,#Q8RCLU0J,Drakarys,8000037,471569,75,21
75,#2CPL9R0C0,ZETA|BLOODBORNE,8000029,469635,76,30
76,#QJYRGGYY,العظماء⚜️,8000029,463738,77,30
77,#2C80GPP8,ROCKETS,8000022,459640,78,28
78,#2QP992R8P,Edelweiss🐙,8000023,456466,79,29
79,#QG8UJ9CY,75 GANG,8000049,452703,80,18
80,#P8JR0P9U,ALH,8000029,448203,81,25
81,#Q089UJQ0,shwifty,8000034,446552,82,30
82,#9LVLVR8Y,Argentina 🇦🇷,8000043,441317,83,20
83,#29PC8CLYR,Palestine Arab,8000021,427669,84,23
84,#2GPJC2UUY,POWER BRAWLERS,8000053,426649,85,29
85,#2LYLG928P,✨хогвартс✨,8000010,425935,86,25
86,#2GJ0J9GJU,LEBANON,8000006,425671,87,26
87,#29LU8L08P,Jewel Of Lane,8000023,420226,88,29
88,#2G98YVLY2,heroes,8000042,419544,89,30
89,#229UQPQU0,nasermaser2,8000059,417594,90,30
90,#9YVJLYY,AbuDhabi,8000027,416419,91,29
91,#Q989QQRL,Dubaisk,8000021,413585,92,30
92,#2G2GCQCU2,PRIME HUNTERS,8000036,410240,93,30
93,#29LCVGQRG,Zephyr Knights,8000003,409527,94,30
94,#2QJGVGYCP,🔥ملك النار🔥,8000037,406976,95,30
95,#8R2P0VUC,Nimbuss,8000007,404605,96,27
96,#2QCU2UUQ0,اخواتي,8000059,402173,97,19
97,#2G988VQV8,Fire Ferrets,8000037,396399,98,30
98,#2CGQGG08V,julek parówa,8000059,393796,99,30
99,#GGLQV8G2,الحبوس,8000023,391511,100,29
100,#2CR8VGQC2,Lightning Rain,8000007,390232,101,26
101,#Q098PJJ,ready attackers,8000029,388480,102,30
102,#2CY0908J8,رونالدو 3mk,8000004,385231,103,28
103,#JQYYU2PC,<c0>Eclipse</c>,8000006,384025,104,18
104,#2JVVGRUPP,UAE,8000037,383688,105,30
105,#QYUUQV89,Ticks Paradise,8000053,378498,106,26
106,#RR2VCCY9,Донатеры и Про,8000034,377200,107,2
107,#U29J92JJ,alhaj,8000029,377193,108,25
108,#29QUYJY02,55|CLUB,8000029,376973,109,30
109,#G0L9LYQC,gooz,8000003,372233,110,27
110,#289LY80YV,كفو,8000037,369180,111,17
111,#20VCPQ9J,Nova | UAE,8000010,365692,112,24
112,#2Y8PU2029,GODS|ONLY,8000058,362560,113,30
113,#2QCULR99,UAE,8000004,361713,114,27
114,#2C889C2QY,XO XO,8000031,360776,115,30
115,#20LU2LVVJ,Brawlteem,8000005,360449,116,30
116,#228PJJ0UR,ОПГ Рукаблуды,8000013,358677,117,15
117,#2GCJLJLLP,فريق المخرشخين,8000053,357912,118,30
118,#YVGQVVJC,TheWRECKERS,8000007,357171,119,30
119,#229GL8Y9,LOLI NATION,8000011,356555,120,29
120,#2JCCUP9UV,KNIGHT,8000057,353928,121,24
121,#28PRY0J9J,UaE 911,8000029,353666,122,30
122,#2JCGJ2LL8,daimond dogers,8000050,353647,123,26
123,#QRJ2J0Y9,PROGAMERS 107,8000057,352555,124,30
124,#2P8RRPJJG,FVB club,8000053,351758,125,23
125,#2G2J8UU82,Hunters,8000036,349902,126,24
126,#2QLRU9P9G,BFL,8000015,349790,127,30
127,#2Q9U2JV2C,ДАГЕСТАНЦЫ,8000013,343701,128,24
128,#Q29PVRPL,Darryl The Best,8000021,342730,129,30
129,#YRJGV89Y,Champions,8000055,341092,130,30
130,#2CP9PYYPY,OHM|CLUB♤,8000035,341067,131,16
131,#2RQQPUL98,power-D-S-X,8000053,339735,132,29
132,#29JLVJ222,استغفر الله,8000055,336297,133,29
133,#2C2V8L0GY,Lightning ⚡️,8000053,336084,134,24
134,#29P8YUQR9,Assorti Team,8000006,335513,135,15
135,#28PCC2Y99,Pika Club,8000059,335488,136,30
136,#29C28UJRC,ST4 World,8000004,335236,137,30
137,#2G99CU2JQ,JPC,8000029,334965,138,11
138,#9YVJ8LL,UAE,8000011,334631,139,30
139,#QR9JJ8Q8,Ruby7 bests,8000043,332112,140,30
140,#Q2UP9JV8,le bob,8000029,331360,141,27
141,#2GPGP8YRU,ice dragons🐲❄️,8000020,328613,142,27
142,#29GJR8GUQ,black fire,8000059,328509,143,30
143,#2JYV2QPP2,34 набор,8000023,328362,144,14
144,#RQRGRUVU,UaE,8000004,326781,145,30
