,tag,name,badgeId,trophies,rank,memberCount
0,#2Q0P09LY9,Сидим в Руме,8000059,873262,1,30
1,#2C292YLLV,Ua Ninjas,8000011,829843,2,30
2,#22UCUV20P,Tribe,8000009,760727,3,30
3,#28G999LR8,Scarlet Agony,8000004,727133,4,30
4,#LLVGYQUR,NATIQE,8000057,708873,5,30
5,#VVLQ29J2,INTER UA,8000025,700382,6,30
6,#Q0LGQGJV,Linyola,8000004,684831,7,30
7,#2YU8L88QR,SHADOWS.OF EVIL,8000037,682754,8,30
8,#222GP8VC9,2 Inches Max,8000028,680420,9,29
9,#YRQ2QGR,The Indonesia ™,8000055,573476,10,1
10,#L9CGYCY,Hawaii 808,8000029,563198,11,30
11,#PLRCYGYC,withe,8000002,536282,12,30
12,#2GP9Q98YY,клан х8хлы,8000016,528532,13,29
13,#U0RLRLVG,Профі2000,8000012,506182,14,26
14,#2GYYJ200J,Plz join,8000019,478893,15,29
15,#28VLQVPV,Team Saint,8000021,476233,16,30
16,#QC9G0URJ,Infamousツ,8000043,428736,17,13
17,#2GR02VYRJ,Informaticos,8000057,425281,18,27
18,#9JGLQV,808 BrawlStars,8000025,405322,19,29
19,#2Y8YYCPQ9,ПризрачнаяБанда,8000057,373172,20,30
20,#2JLUYP8Y9,🌵ПАБЛО🌵,8000013,320969,21,12
21,#2JPC98QQ8,Los Mundialista,8000029,313232,22,23
22,#QPVGQUGY,thecrusher2020,8000004,303813,23,25
23,#20VJLPCLG,TEAM LN,8000007,272250,24,30
24,#2GJ0QLL8U,TDM,8000053,269667,25,9
25,#22Y8QYGLC,The Wave Riders,8000021,268087,26,23
26,#28C0RP9RR,Team Saturno,8000047,267162,27,30
27,#GRJY8YR9,the best gods,8000012,264598,28,30
28,#298Y9P0CY,devil hunter's,8000053,261032,29,22
29,#2QVCP9G2C,um…,8000007,258479,30,17
30,#29RPUV0VP,Infamous Altz,8000012,256422,31,29
31,#22LYUR2CU,Nastic FS,8000018,256077,32,3
32,#2YY8G9JPP,Pogchamp esport,8000041,254872,33,30
33,#R8QP0QYP,Ø§ MËĽHØŔË§,8000013,248188,34,29
34,#220R2RP20,전설 1개,8000000,237122,35,29
35,#L8J9PJ8G,МАЛЕНЬКИЙ ПАБЛО,8000013,232902,36,30
36,#29QRU8UJL,DOSTLAR,8000007,230349,37,24
37,#2G0RJG0VU,RUS Community,8000010,224548,38,16
38,#QY0PRUG8,PROFI 2023,8000023,220717,39,30
39,#2JQQ098GP,UM|EY🐙,8000035,220659,40,30
40,#29J8CY9P,LOL Timoxa,8000017,219260,41,30
41,#29YY9CQGG,PHOENIX THUNDER,8000053,215564,42,12
42,#2JVYURP8P,ᴘᴜʀᴘʟᴇᵐʸˢᵗⁱᶜˢ,8000025,206952,43,30
43,#LL8G9RYG,Puukukui Gang,8000003,206525,44,29
44,#RLCJJL02,⭐WINNERS⭐,8000029,202499,45,12
45,#20VGUQ2Y2,SADECE DAVETLER,8000027,200292,46,30
46,#QPJPJ989,für die coolen,8000032,199714,47,16
47,#2CR9G0RPR,광주 2-1,8000016,196364,48,11
48,#V9QP92RC,123321+-,8000029,192393,49,21
