,tag,name,badgeId,trophies,rank,memberCount
0,#QRYU9LQ2,Diamante Elite,8000002,1615909,1,30
1,#2QUY89R00,❤️,8000019,1393439,2,28
2,#2RY0V9G98,Diamante Elite,8000006,1363721,3,30
3,#22C090PJ9,Diamante Elite,8000052,1344212,4,30
4,#2RQJ8LC90,Sur Warriors🎭,8000026,1309201,5,30
5,#JPVVYPP8,The Cats,8000007,1248719,6,30
6,#2QR922Y0J,Villa,8000055,1207983,7,30
7,#2C9YYV8P0,<c3>RANGERS</c>,8000027,1205556,8,30
8,#9Q2G88,AmenazaUruguaya,8000050,1188181,9,30
9,#2JL22LJC2,＊ᴛᴇᴀᴍ⸙͎ᴇʟɪᴛᴇ＊,8000003,1160193,10,30
10,#2VUP9Q0U,BOTardines UY,8000055,1154038,11,30
11,#2JJ0R9L9Q,Ultimate Flores,8000049,1134810,12,30
12,#29Q0VJJ99,＊ᴛᴇᴀᴍ⸙͎ᴇʟɪᴛᴇ＊,8000053,1116227,13,30
13,#2PRLGJ9RJ,LaMinaDeGemas,8000039,1109585,14,30
14,#2RQYJVYJJ,⚔️TILIN EMPIRE☠,8000029,1097557,15,30
15,#V8Y9Y8L9,Bløøđ Shađøw's,8000004,1064227,16,30
16,#PP9R0Y2C,uruguayans,8000021,1062117,17,30
17,#2GURRQ0J2,KingsOfNewAge,8000025,1058361,18,30
18,#2LJYG8RLP,Lechuga CITY,8000003,1056996,19,30
19,#2CP28RCCC,Tʜᴇ Rᴀᴄᴇʀs 🥀,8000019,1038354,20,30
20,#2JR8Y2V0C,Valhalla,8000004,1035476,21,30
21,#2C9PJUR8Q,|TeamURUY|,8000023,997417,22,30
22,#CGQ2VLGP,UruguayBlue,8000050,993747,23,30
23,#2JP9LR82,<c0>Yin</c>Yang,8000059,981830,24,30
24,#2JYPPGJC9,EpYoNs,8000029,979973,25,30
25,#2QU0Q9Y8P,Los Cebadores🧉,8000052,958325,26,30
26,#2CY2YGPY0,RICOCHET 🇺🇾,8000013,955125,27,30
27,#2QU89U29U,＊ᴛᴇᴀᴍ⸙͎ᴇʟɪᴛᴇ＊,8000021,951468,28,29
28,#2J8V9899C,ARRIBAESPAÑA II,8000049,947966,29,30
29,#VR9809PC,Ice|Elite❄,8000057,943658,30,30
30,#220U8VY,Uruguay Celeste,8000050,932832,31,30
31,#2G8PLJPQ9,Los Juans,8000035,924844,32,30
32,#2JVLYLQJ0,dynitos,8000047,916549,33,28
33,#2QC988L0P,UY'S,8000021,906197,34,30
34,#9J8VU9RL,ClanTeamUy,8000037,897788,35,30
35,#292L2JCQ8,Los panas,8000033,896729,36,30
36,#2C8GJYL9L,EVICE,8000023,892851,37,30
37,#2GYCVGVCL,CH'S URUGUAY,8000010,890789,38,30
38,#282Y2LR8R,Matuclub,8000059,890475,39,20
39,#28CRUP22Y,™|BAD RANDOMS|•,8000035,867516,40,30
40,#28Q0VG8PP,Los Panchis,8000035,851186,41,30
41,#28UJPRQPL,EpicFury,8000004,850335,42,30
42,#2Q82QUP0J,⚡CERBERO⚡,8000041,828715,43,29
43,#229C9RRC9,Los Whiska,8000000,812355,44,30
44,#2JV8LUY99,Killer's,8000004,807938,45,30
45,#2CG28LG2R,Garra charrua,8000034,806481,46,29
46,#2CLQLLG2J,Upper Moons,8000004,801339,47,30
47,#9GV9C8RQ,Brawl Amargo,8000037,795063,48,30
48,#20VJGGY09,~Gold.Fenix~©,8000057,789225,49,30
49,#29QGCJQJC,族⛩️神|Kamikazes,8000034,783864,50,30
50,#2JLP2C9VR,Showdown✨Kings,8000034,781686,51,22
51,#2LL2UY908,Gremio Minero,8000008,777414,52,30
52,#2GYL82J2,FAF,8000027,772206,53,27
53,#RC9RVVYL,Uru-brawlpro,8000035,770266,54,30
54,#2C2UVCJQL,FS Focus,8000025,752931,55,30
55,#22UCYPJ0R,Imperio Uruguay,8000021,751748,56,30
56,#RGYJ9YRU,LasPapas-Fritas,8000029,738289,57,30
57,#Q22GQ8QL,Team Game_Over,8000049,737307,58,26
58,#2CLRG9GLU,L.M.G.A.,8000033,737036,59,28
59,#2J90L8990,garra charrúa🛸,8000018,729012,60,30
60,#2JULCVGC2,NEW STREET CLAN,8000053,728582,61,28
61,#2CYV0JCYY,FullGalactiko,8000010,726322,62,30
62,#LRR0J8PV,HeroHunter,8000029,720384,63,30
63,#29R29JLR2,fin de semana,8000035,718679,64,30
64,#22PPGRLRR,Brawl latino,8000004,717886,65,24
65,#2JQLYYP0J,Olimpus_Latam,8000037,706802,66,30
66,#9GRGCJ2,Uruguay,8000021,704627,67,30
67,#2C2CR8VUG,KittenWarrior⚔️,8000025,693810,68,30
68,#2CLRU2VVL,Ghostyzz,8000011,689624,69,24
69,#2Q0U2PLRY,Los Cracks 😎,8000006,688584,70,29
70,#2JUPYP90Y,GuysOnFire,8000037,685416,71,30
71,#Q8JV0YC8,uruguay,8000003,683827,72,28
72,#28PGC2CPC,(*💕Friends💕*),8000023,682154,73,30
73,#299RUYRV2,Los Dioses,8000049,674514,74,29
74,#2988YQJL0,𝐂𝐮𝐥𝐭.,8000047,670876,75,30
75,#2QGGUVUPC,MUT,8000039,665418,76,28
76,#2CGGYVUUG,ViejoTruco,8000037,659182,77,30
77,#2JJ0CJ9L9,Squad,8000056,656554,78,27
78,#2CQLVVRGC,Los ñeris,8000032,652905,79,30
79,#LCCYG0UY,Patos Dorados,8000017,651034,80,30
80,#QCQC9QRC,los pibes,8000047,648679,81,30
81,#9YRLUGLP,Pa charlarシ︎,8000032,646976,82,30
82,#2YY2P9QCC,vrol,8000016,642081,83,30
83,#2CGY8PP2R,UruGod 🇺🇾,8000033,637858,84,30
84,#LVPUJUP2,BOTS751,8000043,635705,85,28
85,#2CYQULP0Y,Cers0UrU,8000055,630836,86,28
86,#2RU9LP889,LOS MICHOTES🐈,8000053,628395,87,30
87,#2GGUY9R8J,QLASH|URUGUAY ❄,8000002,624585,88,29
88,#J8QR8GPC,TEAM*LEYENDAS,8000029,619941,89,30
89,#29GPV2PGG,Los Insanos,8000035,617446,90,30
90,#2G8GCJL2Y,FINO SEÑOR🧐,8000037,611828,91,30
91,#2JRVQJ9GL,Los Pibes URU,8000029,610225,92,30
92,#Y8YQ820P,grupo de pros,8000021,605667,93,30
93,#QRJRGPPY,temible,8000029,598174,94,30
94,#2JYUP0Y9P,Los del lobby,8000035,597828,95,28
95,#2C29LCLVV,Clan Banana🍌,8000017,597151,96,30
96,#2G9VRJJRP,the milanesas,8000037,595343,97,29
97,#2G0889CC0,Dança Uru 🐢⚠️,8000019,590211,98,30
98,#2JVR0U8VY,FENIX LATAM,8000007,588439,99,29
99,#2J02VC0QC,LosCtm,8000037,587835,100,30
100,#2JRLC2082,BRAWLUDOS420,8000001,587180,101,30
101,#JV0V20P,uruguay,8000007,580375,102,30
102,#2P82C2JJR,Mystic NewAge,8000007,576693,103,28
103,#22GCVRL2,Uruguay,8000003,575709,104,30
104,#2C0C0J9QQ,Top 1 LATAM,8000055,574212,105,30
105,#28CUV9PVL,BrawlClan,8000036,572441,106,30
106,#2CLQGU8PQ,Los de la 12,8000016,572224,107,22
107,#2JUC8YVUU,Los Más Capitos,8000047,566940,108,29
108,#29JPJL889,samba manito,8000029,565012,109,30
109,#2C9GVJPV8,INFERNAL'S,8000035,556025,110,30
110,#28UQJ02JL,LosPanas,8000057,555848,111,30
111,#20CVL9VGQ,Los Cabros®,8000045,553291,112,30
112,#2Y0CPGJPJ,Ardientes,8000037,545242,113,30
113,#JC8YCVU,Team URU,8000029,537814,114,29
114,#2CRLJUL9Q,Furia Estelar,8000023,537497,115,29
115,#9JG9V2UU,Ciudad Vieja,8000059,537496,116,29
116,#LY98C82,Charruas Elite,8000003,536581,117,30
117,#29JLUJQRY,∆₡game_over§∆,8000024,536331,118,30
118,#VVJPCVGP,Club  #VVJPCVGP,8000059,532971,119,30
119,#29L000CCC,Estelares,8000018,530961,120,29
120,#2RR8PQP99,monterrey,8000034,529117,121,30
121,#2GG9JR2RR,⚡RUPERTO⚡,8000035,528679,122,28
122,#QPQ8L9VG,LA FAMILI,8000057,527453,123,30
123,#2CRLR800L,LATAM US,8000057,525780,124,30
124,#2G92Y292U,Shisener,8000004,525486,125,30
125,#QJ08QUVU,🇺🇾Uruguayos☆,8000052,523352,126,30
126,#2Q9VG80U,Club  #2Q9VG80U,8000059,523161,127,24
127,#2JRLVU029,los mega pros,8000031,517983,128,30
128,#2288000PR,nova otakus,8000016,514516,129,30
129,#209GPC2QP,Equipo Góndra,8000059,513796,130,30
130,#2YY02CLVL,Uruguay,8000021,512405,131,30
131,#L28CGQYJ,wordsez,8000023,510348,132,30
132,#9Q82R999,Grind Crew 2,8000015,504981,133,27
133,#29L8029YY,TeamCeniza,8000037,498985,134,29
134,#9V8RYU9Q,top uruguay,8000059,498150,135,30
135,#2YJUJC9UY,⚡MANCOS⚡🇺🇾🇺,8000049,493748,136,30
136,#202QRCYL,Elite Latina,8000000,491722,137,30
137,#2J8QCUR9L,La amsterdam,8000022,489195,138,27
138,#2QYUPQ99P,Nacional eSport,8000021,489131,139,25
139,#2CJVCU90R,Shadow Fury💯,8000034,487934,140,30
140,#RVRL0RJ,TOP URUGUAYOS,8000017,485893,141,29
141,#28JLUR082,💥BigBs💥,8000000,485126,142,30
142,#2Y2U8QGGV,cracks,8000049,483873,143,25
143,#2GYJ8P9VL,⚔️|TEAM SPARTA,8000023,482315,144,23
144,#2G98JGJRQ,Desierto🏜️🌵,8000017,481630,145,30
145,#20C8PCVGY,jim y ale,8000002,481152,146,30
146,#299Y8YJG,kush,8000016,480672,147,29
147,#29Y0VJYR9,Team_TRYhard,8000053,479725,148,29
148,#JRCQ8RLV,✨عهد الاصدقاء ✨,8000019,478224,149,28
149,#QQQQYRVV,Pato Limón,8000010,476498,150,30
150,#UP2V2QYU,zxpro,8000034,476308,151,29
151,#2CQJV0VPJ,Legionarios.UY,8000037,473872,152,30
152,#2L8U8LGR0,calvo club xd,8000031,469321,153,30
153,#2RUR00UG9,Team Chiquito 2,8000010,469040,154,27
154,#2CG8G9JGQ,Sub Uy,8000047,466680,155,18
155,#2P2GV0Y8Y,☢️TØXIC’S☢️,8000025,463106,156,30
156,#2QVU8C0VV,Mcdonald's,8000023,462872,157,27
157,#2GJ88C0VP,Rakun RK 3,8000047,460895,158,30
158,#QYP8QGGG,BS Tranqueras,8000007,460625,159,20
159,#LVJGP0VY,🇺🇦УКРАИНА🇺🇦,8000031,454600,160,30
160,#2CYQUVR8V,ASSASSINS🔪💀,8000004,453782,161,23
161,#9C8J2PJV,Team crew,8000013,450779,162,30
162,#C2PP8YYU,Los amigos 👌,8000019,445865,163,28
163,#VRG2CVL2,Club del Tucán,8000004,443042,164,30
164,#2C9RJ08VC,Dala Tito,8000023,441728,165,30
165,#2G9V82JQL,FUEGÜITO AZUL,8000059,437079,166,29
166,#29RPJJLQR,Nuevo Lordran,8000049,434572,167,29
167,#QLPJ2G8L,Legend FC,8000021,432023,168,30
168,#22QCPGU,Los Unicos,8000029,431093,169,29
169,#Y2R2L0P,LagartoCosmico,8000007,430706,170,24
170,#2Y2Q28UU,Chained Souls,8000016,429971,171,30
171,#29GRVP9,.EL INFERNAL.,8000004,429434,172,30
172,#LLCLPC9C,CIBB STARS,8000029,427031,173,30
173,#2JQ2UY020,🐙BrawlLatam🐙,8000004,423843,174,30
174,#8RC28CPY,Soul Society,8000023,423781,175,24
175,#2CGVLRLV8,Push 15k,8000004,423524,176,30
176,#28PRQV0R,uruguay,8000002,423191,177,29
177,#2CRGRC8Y2,Uruguay 🇺🇾,8000059,423007,178,30
178,#PG2YPR2P,WestZoneCrewᵁᴿᵁ,8000013,419097,179,30
179,#2RQPCLQ9,PS,8000013,418802,180,23
180,#QGJ8GR2C,MontevideoATR,8000059,418787,181,28
181,#U2R99RUL,mamao5780,8000029,417573,182,29
182,#29LYU0CRL,UY|POTENTIAL,8000030,417492,183,28
183,#UQUUVJ29,URUGUAY,8000021,416938,184,30
184,#289U99PQL,los quesos,8000036,414675,185,30
185,#2GP2R92CJ,420gorillahaze,8000013,414053,186,19
186,#2PJRP9JJU,Uruguay noma,8000028,411405,187,30
187,#2JQ8JY90Y,"""💗+🖤""",8000046,407263,188,23
188,#29P8JU0J9,los panitas💀,8000037,401432,189,24
189,#2C2LRCPR9,lospros3000,8000035,399612,190,30
190,#2QC899PCU,king,8000029,397587,191,30
191,#2JYVVVYQL,Insanisimos F.C,8000036,395173,192,26
192,#29YL9VPGC,Fuegos,8000041,394965,193,22
193,#2G8228CVR,starPlayers,8000055,392959,194,30
194,#20CRVYJQY,rye ednmonio,8000004,391858,195,26
195,#2L2LUYG0R,TmR_CVK,8000004,386604,196,29
196,#2QVC89VQV,Los quesesooo,8000039,385025,197,29
197,#29R08299L,Martinquezo,8000016,384238,198,29
198,#29G2VPCC0,Dx Generation,8000023,380998,199,30
199,#2LGQJL9,Uruguay,8000004,378709,200,30
