,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4038120,1,30
1,#2PUUYJLQL,XIII Legion,8000029,4000469,2,29
2,#UVLLLLYQ,Legio X Victrix,8000049,3626354,3,30
3,#2G2QGCRL2,GStars Power,8000014,3327146,4,30
4,#2QV0RCUC2,Legion Augusta,8000037,3250878,5,29
5,#898292CL,Legion Inferior,8000049,3228581,6,30
6,#VL9JLRJ,ILKA GAME,8000014,3129477,7,30
7,#V2JQLQQP,<c3>CacTu</c>$,8000045,2911121,8,9
8,#2999L2CUQ,I Lõvê ßs,8000059,1290574,9,29
9,#2GCYQQ2U2,LiMoon ChoY,8000006,1244532,10,30
10,#2CLJLG2LV,🇺🇿UZBEK SILA✊,8000023,1227451,11,30
11,#2GU8RJUL8,Legion Claudia,8000029,1221956,12,6
12,#29J2JRQVU,MR|TEAM,8000023,1203259,13,29
13,#8UQGR00Y,девчуули,8000041,1188889,14,30
14,#288GRYRRQ,⛩️Werh Clan⛩️,8000023,1165935,15,29
15,#290QCVQ0C,пон...,8000023,1150166,16,29
16,#2G8G0992Y,Scary Night</c>,8000057,1126546,17,30
17,#2CQ9G9YU8,Empire Loofy|❄️,8000059,1115828,18,30
18,#2LPVJU2CU,Simple Uz💙,8000021,1090968,19,28
19,#2990U2RGG,LEGENDS,8000023,1058961,20,30
20,#2RRPQR8YU,🦁LeVs🦁,8000049,1057285,21,30
21,#22UVYQCQV,ULTRA GAMMERS,8000023,1029102,22,29
22,#20RYU0898,AXE,8000035,1016153,23,30
23,#8CY0PLR8,Legion Classica,8000052,1000740,24,2
24,#QPLV0YV0,Darkside♡︎,8000037,980585,25,28
25,#29YY29QLG,Astral🌗,8000037,968302,26,28
26,#2G8JP92CQ,UZB KINGS🇺🇿,8000023,956210,27,29
27,#2CG90G08J,omad,8000021,951929,28,29
28,#2CQVP8J0V,FoResT Axe,8000013,950867,29,28
29,#LGU9CYUR,ENERGY GAMING,8000003,942649,30,30
30,#2JCYVLPUJ,<c5>TJ</c>🛸,8000057,935775,31,30
31,#LYPC999J,Uzbekistan 🇺🇿,8000031,934211,32,30
32,#QQUP2GPJ,/Taxi/.✓F.O.l.,8000017,933468,33,30
33,#29JCJPCRQ,<c3>TheBest</c>,8000015,931341,34,27
34,#2QVJL2VR0,TG team,8000033,921098,35,26
35,#2J99PG0U0,WoD,8000035,910012,36,30
36,#8JJPRP2L,Legion Dacia,8000029,884510,37,29
37,#2928ULC2Q,WL|eSports,8000023,883765,38,29
38,#2CQL082YU,™︎UZB|TE么M个🇺🇿,8000055,882643,39,29
39,#28LRRYGQQ,🏴‍☠️😈Venom😈,8000037,878850,40,30
40,#29GJRQVPU,Гос.дума,8000005,872940,41,30
41,#YUJPRCUV,Pro.Gamers.Uzb,8000037,868392,42,29
42,#28C0Y922R,👾MERCY🌆,8000041,863975,43,30
43,#29R8PV9UY,😈●Sa{Y}ReX●😈,8000023,862932,44,30
44,#2GLJQCC08,Zащитник,8000003,861104,45,26
45,#2CCL2JLUL,LegitLxrd,8000018,857585,46,28
46,#29JU0RV90,MR|TEAM 2,8000023,850398,47,30
47,#L82YV02L,UzB | SiLa 🇺🇿,8000055,840577,48,29
48,#QC8P8RRC,Шпана Team💪🏿,8000033,840185,49,30
49,#2Q0UP09R0,Prossent,8000055,837443,50,30
50,#QJVGLUVQ,A•O•T ➳ᵀᴵᴹᴱ,8000023,831346,51,30
51,#29RPQRUV2,FuWin_team,8000029,829705,52,30
52,#UQURL8QU,KINGS,8000058,823735,53,30
53,#QLGUPGLY,UZB🇺🇿❤️‍🔥,8000021,821615,54,28
54,#Q8VP9VLR,BRAWL TOP,8000023,821082,55,28
55,#2C2P2VYJ2,Kings of Brawl,8000023,811180,56,29
56,#2RJU8GUGL,Our Team,8000007,810157,57,28
57,#29PR9CC99,uzbekistan,8000037,807000,58,30
58,#QG2LUJ2Q,BeK Legend❤‍🩹,8000014,797864,59,30
59,#22PCV20QP,LOLKEK,8000023,793970,60,30
60,#PY98JLL0,TOT SAMYY,8000034,785278,61,30
61,#2R9JQGPVU,родные💪💪💪,8000049,782618,62,30
62,#29JCUCPVR,Uzb_legends,8000037,781896,63,30
63,#2992UGVR8,Supra mk4,8000037,778924,64,30
64,#29Q0GQLUJ,CENTRAL ASIA,8000050,775742,65,30
65,#2JQRR0LPR,SantLegion_Maks,8000021,773111,66,29
66,#29YL02RGQ,BS|SAM🔥,8000037,772612,67,30
67,#299RV2Q20,Доширак,8000037,769948,68,30
68,#298VCC2LQ,G.O.A.T,8000023,768770,69,30
69,#VR900UR2,ВЕЛИЧАЙШИЕ 😇,8000029,764745,70,30
70,#2G0Y982Y0,💥TOP💥,8000049,758663,71,30
71,#QJPYPUP2,UZB family,8000037,758108,72,30
72,#QG8Y0C8P,JS | FAMILY,8000029,750491,73,30
73,#20U2GL922,*_*ТоПчИкИ*_*,8000047,749035,74,30
74,#QJ02GLUG,LEGEND,8000037,746166,75,30
75,#2CRGQCR0R,•𝚑𝚊𝚠𝚔⌁真実☢︎,8000023,742940,76,30
76,#298UQLJ8V,UZBKINGS,8000055,738935,77,30
77,#29YGYGVYV,HOUSE OF DRAGON,8000037,735439,78,19
78,#29L88RL8R,☯️🐲КАРАТЕКИ🐲☯,8000037,734322,79,29
79,#28J98LRCQ,fracson,8000023,730763,80,30
80,#29L22VPV2,Simple Uz🖤,8000023,729572,81,30
81,#282L0YV0G,[BS|FAMILY],8000035,729296,82,30
82,#QL9JVC2J,NAVI UZB,8000023,726723,83,30
83,#29ULGRYRU,UZB||N1🔥,8000049,715121,84,30
84,#2J8RVVR2,Dracula £,8000027,713521,85,30
85,#20V2U2RJG,Invincible,8000004,713230,86,30
86,#2JGVQV22J,PLATINUM,8000052,713008,87,30
87,#2C8PG9Y0L,QLS | FAMILY,8000049,712876,88,24
88,#29GUGJ92Q,ESports club,8000004,712314,89,29
89,#9VGULLUV,B # B Brawlers♥,8000006,709878,90,30
90,#2C8QPGY20,UZB BRAWL,8000053,707273,91,30
91,#QRQQRJUP,KOCHA IBROHM,8000025,706862,92,29
92,#QYV0GVY8,REVENGE,8000037,703358,93,30
93,#QG9GCQ9J,mvrod007™,8000046,703052,94,30
