,tag,name,badgeId,trophies,rank,memberCount
0,#U9RPJY9,Red eSports,8000023,1560648,1,30
1,#2J2JCPC0Q,ZoneOfInfinity,8000053,1495456,2,30
2,#2G8PVJLQV,Phoenix Coffee,8000037,1423464,3,29
3,#282LVRRLG,Slowhard,8000008,1373190,4,30
4,#2QQGGY0UU,Fresh Breads,8000039,1320102,5,29
5,#2GUPPPJVG,Ø Randoms,8000057,1306240,6,30
6,#2GJVRCJ0R,LA Crystal,8000014,1297525,7,30
7,#29J89GRR0,<c4>Us</c>AsOne,8000033,1279751,8,30
8,#2JGQ8JC98,DARK-KINGS😈,8000025,1275653,9,30
9,#28VR228CJ,Ice Souls|☃️❄️,8000002,1273890,10,30
10,#2P9QQUC,Venezuela,8000018,1271082,11,30
11,#28RVQ8C8C,DarkMinds,8000049,1257813,12,30
12,#2JP0JLP08,NJ|<♤>,8000049,1248606,13,30
13,#2C8L2C20Y,Sakurasō 🌸,8000009,1215211,14,30
14,#2QYC88QVG,🛒• Carrito,8000047,1189776,15,30
15,#2GGP9V8G0,EV Gaming,8000000,1183976,16,30
16,#2C8280Y9J,Colette x Spike,8000009,1181996,17,30
17,#J9VU0GR,¡TheKings!,8000027,1175542,18,30
18,#22PVJP0UQ,Legends Mistery,8000037,1171712,19,30
19,#2JJLYQ28G,✨Stars✨:),8000010,1171329,20,30
20,#2LJCUGVGR,♚™TOP SHADOWS™,8000057,1170774,21,30
21,#20YGPPV8,Vzla activa..!,8000029,1169522,22,30
22,#2GVQUQGVQ,ORS|UniversaL,8000033,1164805,23,30
23,#R90PQYVP,Snowclub,8000052,1154930,24,30
24,#JJJUYPQJ,Crashing Stars,8000023,1152932,25,30
25,#Q9RPQ9YU,guerrero leg,8000007,1138052,26,30
26,#29C9LJGRG,ŪNV ⌇ Empire🍀,8000049,1135028,27,30
27,#28J9VQR9Y,TS| Artic Force,8000011,1130793,28,30
28,#UPUQR9LC,INVICTOS 2,8000031,1122774,29,30
29,#2GLU9PJYJ,DCR√SoulFire,8000010,1122050,30,30
30,#2P2JJUPV2,Venezuela Jr II,8000029,1113693,31,30
31,#V98QU0,Sandstorm VE,8000019,1101102,32,30
32,#2G8LL9CL9,Los mas capitos,8000041,1093551,33,30
33,#RV2U980L,SI,8000049,1092001,34,30
34,#2GJ2082G0,Rimuro-Sama,8000059,1084703,35,30
35,#2R8RYL99U,Refuerzo +58™,8000003,1072752,36,30
36,#YLPV9RCC,Zona_WD,8000013,1067696,37,30
37,#2QY0QR2CY,SK | Sky K!ngzz,8000011,1063200,38,30
