,tag,name,badgeId,trophies,rank,memberCount
0,#2G29GCCL2,Marvel•Avengers,8000037,1481792,1,30
1,#LC80J2J,Vietnam Glory,8000006,1480719,2,30
2,#2098LYGGJ,Mix & Mingle,8000013,1433775,3,30
3,#2CRLRGJ0V,WARRIOR,8000049,1403390,4,29
4,#2JPQQR2PP,Anya Simpers,8000010,1304615,5,30
5,#20CCLGVC,VN Group,8000006,1281826,6,30
6,#LU2LG2LY,Smol Gummy 👊🤡,8000039,1250297,7,30
7,#28Y2CVJP2,IX Vietnam,8000047,1250262,8,30
8,#LRQYUUR8,Masun,8000006,1189200,9,30
9,#2C2RJCLY8,Việt Nam Box FB,8000023,1152828,10,30
10,#YG8809G,VN tiêu dao,8000006,1135352,11,30
11,#URCCPR0,Hà Nội,8000057,1120906,12,30
12,#PRJCYPUR,Trường Người Ta,8000045,1107789,13,30
13,#PJVJLG2G,Càn Quét,8000003,1104201,14,30
14,#LVQY82,VIETNAM,8000018,1092103,15,30
15,#2PG80RGV,Crocodile,8000018,1089683,16,30
16,#2RPR8QC0V,⛩|Mortis Gang🎋,8000018,1085487,17,30
17,#2JUCLC2L8,Blue Ribbon,8000025,1071536,18,30
18,#2R2U8QQPJ,Gáy Sớm Ăn Gì 3,8000009,1066258,19,30
19,#QP9Y9UR,Trà đá,8000013,1042888,20,30
20,#YJY9C0JY,Vua Hải Tặc,8000039,1010513,21,30
21,#28RPJUY9Y,😘🇻🇳😘,8000003,1005491,22,30
22,#P8C0R982,Sài Gòn,8000044,1000175,23,30
23,#8UC2C9Y,Đảo Mèo,8000011,991233,24,30
24,#8QRR0J9P,Zenk Accademy,8000023,986579,25,29
25,#2LURVYJ2G,VIET NAM,8000057,978332,26,30
26,#VJGVLLLG,VIET Drake 2,8000037,977329,27,30
27,#PCLGU9JU,đội việt nam,8000013,972732,28,30
28,#QY8VQPUV,Meow Universe💫,8000047,972164,29,30
29,#2J2Q22282,Hội Chủ Tịch 2,8000023,961994,30,30
30,#2R20C28L2,SƯ TỬ ĂN CHAY,8000029,949293,31,29
31,#2GUCJ9QPL,belleq,8000036,943527,32,28
32,#2QU89JGPR,Brawler Fighter,8000007,942984,33,26
33,#2PRLQQJQQ,Ung Thư Club,8000018,936732,34,30
34,#28LRCGU0G,BBR°Village™,8000057,934465,35,30
35,#2RCJVVGVQ,AEVNGo,8000048,924450,36,30
36,#2YVY89L0Q,WorldStar(N.I),8000014,920508,37,30
37,#29PLRG8GJ,<c5>NOVA VG</c>,8000055,906080,38,28
38,#YQC2R899,Xanh Palace,8000039,903317,39,30
39,#2G0P28V0U,Khỉ gió 🙊,8000048,895097,40,30
40,#2GGU9YQLJ,Việt Nam,8000057,894118,41,30
41,#P8QC2QUV,-MIX GLE-,8000017,892610,42,30
42,#28RYJ22YQ,Việt Nam,8000045,892178,43,30
43,#2CUJU8GU,LittleVietNam,8000029,891622,44,30
44,#2R092CUVR,IX Shield,8000005,889659,45,24
45,#2YCG00QQJ,Hội Người Chết,8000050,885260,46,30
46,#9PG282YL,VN 001,8000058,880499,47,30
47,#UQUQCJVJ,Hội Người Trẻ,8000055,872944,48,30
48,#292UCGVLV,Gà Mờ,8000037,860773,49,30
49,#28G0PQQLJ,llvllilky Way,8000031,833588,50,28
50,#2GRPUJVLV,VN vô địch,8000048,823980,51,30
51,#PJJLGUJ0,supernova,8000031,820775,52,29
52,#8GL0GG,Việt Pride,8000006,816738,53,30
53,#U8UVY9LU,Việt Nam 😭😅,8000044,799417,54,30
54,#J9VUCYQP,TPS,8000046,796558,55,30
55,#9QQU2RYY,Mãi Là Anh Em,8000047,794027,56,30
56,#292UG20JL,~Cafe Động Vật~,8000042,792060,57,30
57,#2YPVUPC8P,VIETNAM,8000006,791648,58,30
58,#8CQG8VPQ,(VN) Endgame,8000040,783404,59,30
