,tag,name,badgeId,trophies,rank,memberCount
0,#R0PLVG9J,Yasin HANÇER,8000029,1538435,1,2
1,#VPCC89GU,نـسـ๛ــمـهہ❄,8000029,1348887,2,26
2,#2RC8JLR9R,💀Valhalla💀,8000016,1253128,3,30
3,#2PJJCU99Q,AIRAC GAMES,8000006,1190047,4,29
4,#2G929QG0U,Golden Dawn,8000037,1114794,5,25
5,#20LVP2U02,Kocham psy,8000057,1108477,6,29
6,#2CJ2RJYJL,Cinnamon's みんな,8000037,920257,7,30
7,#29Q9C89V2,MAFIJA 2,8000007,897688,8,26
8,#9GGC9J0Q,FUND.BANANITOS,8000039,880640,9,30
9,#298PJRYJJ,Sesame Street,8000006,838295,10,5
10,#2QGP92JGG,солевые,8000037,696277,11,30
11,#UR8YQVUV,RoyalS,8000021,677227,12,30
12,#2QRVJU82J,ball stars,8000035,634086,13,30
13,#2G28LLJUV,PARADEEVICH,8000059,615917,14,26
14,#28820JYUL,Империя,8000009,564336,15,30
15,#QYR92RUY,チャンゴブの部屋,8000013,533541,16,29
16,#2C299PVCC,스우파파파파팦2,8000034,527853,17,30
17,#VC8C2R,English,8000029,513450,18,30
18,#2GGRQCUJU,Itzx Clan,8000037,497148,19,30
19,#28VJ2Y2CC,KZ|FIGHT CLUB,8000023,491403,20,24
20,#2QJ9P2Q2Y,Copa Dream 2020,8000027,489785,21,30
21,#2JJ989829,The Sleepers?,8000023,483213,22,30
22,#V892VV2C,"안아인,안아윤클럽",8000019,479337,23,30
23,#2GPQ028U9,Cerussite,8000037,471689,24,30
24,#GG0YUU,SpiceBrawlers,8000029,457061,25,29
25,#2CRQ20V8Y,VOHESTİA,8000006,453572,26,30
26,#2JLC2RQ00,Capodanno 2023,8000018,449331,27,30
27,#UPQRUQL,ESGINCEFRENILLO,8000013,447460,28,30
28,#LCVYVRR,kuble,8000057,447265,29,30
29,#299Y80U89,pydar mama baca,8000004,437623,30,30
30,#2CRCGQ082,재원ME,8000001,432380,31,30
31,#28YVRLYVQ,MEK...,8000023,426561,32,26
32,#YLLLQL,Popodo,8000018,420158,33,30
33,#8L02PPJU,DET💥NATOR,8000034,419060,34,21
34,#29L0Y0QQY,ГИПЕР КОТЛЕТКИ,8000057,409335,35,30
35,#222CJVQYG,BUSHCAMPER'S,8000027,402677,36,22
36,#2GRQ9LG08,|MorTis LoVer,8000005,394505,37,27
37,#2JLRCC8RG,[black]kykymber,8000031,393524,38,27
38,#2C8Y0L0YU,Sweet💫Showdown,8000018,382607,39,30
39,#28URCJPPG,42 школа,8000033,370524,40,21
40,#829VPUY2,Tiger Family,8000029,357726,41,30
41,#CCPUJ9Y,LES ATHLÈTES,8000019,350701,42,11
42,#PCYCG20,Raging Barbs,8000023,348251,43,30
43,#QG2PLV9,Easy $$$,8000018,345621,44,28
44,#2Y0U8PCCL,los patojos,8000034,333359,45,24
45,#2JG8CJ980,лига!,8000051,327035,46,29
46,#898PRQRG,бебрики,8000008,317720,47,17
47,#2LQPJ99V8,Tennis🏆🏆🏆,8000030,310296,48,18
48,#2C9JJ90P9,bello chompis,8000047,308759,49,17
49,#22JURVG,Club Master B8r,8000029,296691,50,30
50,#2GYGQCYCQ,<c2>OxYGen</c>,8000059,295402,51,29
51,#JCUJUQP2,MTA👑,8000029,290085,52,29
52,#2G2PY09UL,гей на сметане,8000047,290018,53,14
53,#J9YPUV8Y,MUTSUZLARgelsin,8000004,287013,54,24
54,#J8GLV20U,PM | GN,8000021,277944,55,30
55,#J9VY9GYV,초보자마을,8000018,277293,56,30
56,#L8YLG2Y2,Пиявки,8000009,273004,57,30
57,#209VV0P29,бобры спартаков,8000023,270701,58,20
58,#U8P220PP,【新】ブリットカンネル,8000057,267647,59,30
59,#2JR09VLCU,Em-path,8000019,267264,60,17
60,#2GG2LJ80C,Minecrafters,8000057,264399,61,25
61,#20LQJ0QQ9,i patatrocchi,8000007,262572,62,30
62,#20V0LUGU9,apoo,8000012,258047,63,29
63,#2YCCYGV8R,23BG,8000007,257733,64,27
64,#28QLY0L8Y,Slovakia Kings,8000019,254683,65,30
65,#2RCV82C82,шляпники 🥵,8000035,254316,66,13
66,#8LJ0J9LU,good,8000037,242301,67,30
67,#CQ0R92L0,KANKİLER,8000007,242150,68,29
68,#9GU2GJJY,révatistanberol,8000019,238302,69,23
69,#9YVGYJ8C,OFFICIAL GSO,8000025,238056,70,30
70,#YCR9UPC,winning family,8000029,236977,71,30
71,#2RG9J0U2R,Вторник,8000037,236451,72,30
72,#2GULQR,SlotH's TEAM,8000036,234133,73,18
73,#29R02JLGU,Огрызки,8000059,230308,74,12
74,#2RUJL2J0G,кибер боты,8000029,224571,75,16
75,#YRP0RVLQ,Измаил,8000013,223753,76,30
76,#2JUQQLJR0,идиоты,8000037,219228,77,14
77,#GLQRPQJJ,ant sity,8000029,217896,78,29
78,#V2R0JU2,Lololosik TEAM,8000029,216348,79,23
79,#2Q8YUR9G,MoistTowellette,8000008,215786,80,29
80,#PPRQ202L,очкастики,8000048,210269,81,13
81,#29CCCQPQV,MEGA PIG 👍,8000029,210077,82,29
82,#V0G29PG,온수초 모여라!!,8000007,209686,83,23
83,#2GL0RCY9U,льчл,8000058,209539,84,30
84,#2GPLULGC0,Brawl auf die 1,8000029,208687,85,22
85,#22PJVYPLY,крутые дев4енки,8000038,208270,86,21
86,#2GU9YP9L,Shtarriu,8000027,204967,87,16
87,#LJVLR92L,FAROFEIROS,8000038,204911,88,28
88,#CVRQPQUV,кот бармот,8000025,201751,89,30
89,#CCGGGRUC,00000,8000029,201278,90,30
90,#PYCLG02Y,АНТИДОТИ,8000018,197937,91,29
91,#ULCU8QQR,Team Bobasek,8000000,197924,92,28
92,#R9LV8JU9,АРТЕК,8000037,197479,93,27
93,#GYUYP02P,Nintendo Switch,8000023,196401,94,29
94,#2R0802028,Барбарики,8000001,195375,95,13
95,#29Y2QLGRQ,Kafası güzeller,8000027,193283,96,29
96,#JC02C0Y8,SAMSUNSPOR,8000023,192812,97,29
97,#28V9LR0L0,KUZENLER😈,8000059,191232,98,18
98,#2JL2PLYQ,Eryk pro,8000029,190649,99,28
99,#2Y82YJQPV,Türkiye Esport,8000023,190343,100,30
100,#J89QUY22,TEAM FENETIX,8000028,190254,101,27
101,#20JGUGR99,Бандеровцы,8000057,186868,102,23
102,#U80PQLU0,PISE ❤️,8000007,185921,103,30
103,#CU8U0Q,Panda’s United,8000028,184515,104,17
104,#2GQVCUPRY,PTT,8000056,183387,105,11
105,#2YUPLCGC8,לוטן,8000024,182037,106,29
106,#2PPRY2V98,에버,8000021,180108,107,30
107,#9R28R8PV,klup,8000002,179666,108,5
108,#28CGUCPC9,Мы в активе!,8000015,175802,109,13
109,#20LLRQL8G,EBEM |MISHURU,8000037,175454,110,30
110,#28RJQVCY,про,8000003,174914,111,11
111,#20V009QYY,Vahşi Çete,8000035,173360,112,26
112,#C9VCRJCL,юна,8000056,172972,113,21
113,#2CQVG2G20,Daxar,8000037,172398,114,30
114,#9QVYQ8J2,muffintop kids,8000033,172117,115,13
115,#U2P8U0R8,Arm_ZeroDestroy,8000007,171556,116,29
116,#20CQQGY90,👉😭😢👈,8000023,170616,117,8
117,#208JY8JQC,kl13,8000002,170393,118,15
118,#2Q2YJ2GG2,👑TÜRK BRAWL👑,8000016,170201,119,28
119,#2GGCY9QJQ,ЛоГоВо ЗаДрОтА,8000031,169654,120,9
120,#JQJL8PU2,Обатри,8000057,169072,121,27
121,#GRUPPG2,3K WAS TAKEN,8000004,166664,122,24
122,#2RYVL28PJ,Aim_Bottttttt,8000058,166457,123,9
123,#2L0Q2JUG9,Indonesia,8000037,164862,124,19
124,#2LVJVQYLJ,Qwerty|party,8000007,163783,125,30
125,#20PJ8Q2LV,brawllly team,8000017,162769,126,30
126,#22Q9URUVV,Iᴄᴇ|ˡᵉᵒⁿ👑❄️💔,8000006,162556,127,28
127,#28CRY8L2J,Love Pirulas,8000059,162445,128,30
128,#82YVQGGG,peace warrior,8000004,161599,129,30
129,#2QQC8C2LU,Los pros,8000059,161372,130,27
130,#2P8VU00QC,PSG|Oper_Stule,8000027,160885,131,29
131,#2LQG9JR0R,тру гули 1000-7,8000004,156728,132,13
132,#ULUJL2Q2,ABEMYS,8000035,156546,133,7
133,#9Y9V9L82,DOMINO GAMES,8000004,156346,134,27
134,#20R2JPGYV,trginal12,8000045,155686,135,16
135,#29GQ2RY0L,clubparatodos4.,8000023,154771,136,28
136,#2V2JYLJY,Broom Brothers,8000008,154233,137,30
137,#289C9JPPP,мы чемп,8000059,153868,138,17
138,#8JJY9YR8,borci v brawl,8000017,153538,139,27
139,#U8RL2L0Y,Volcano Stars ⚠,8000031,153327,140,30
140,#VGGJJ0VC,Josef und josef,8000023,151807,141,10
141,#RRYQ2CYG,CP Gaming,8000000,151694,142,30
142,#2JVCYG8J2,한국인들모여라! 🇰🇷,8000002,151059,143,28
143,#ULQ88JPQ,Schneemil,8000029,151052,144,29
