,tag,name,badgeId,trophies,rank,memberCount
0,#2999PULUC,Best Friends❤️✌,8000057,1174680,1,30
1,#R2GQC9UQ,Mejores Amigos,8000019,1068016,2,18
2,#2YR8VCQQU,Knockout Kings,8000029,962033,3,30
3,#2JJRP2L2R,Plug,8000024,769335,4,29
4,#9QLQRL0Y,BUNKER,8000037,762291,5,30
5,#2CC80CJGL,<c9>Rud</c>Bull,8000023,715328,6,27
6,#298LLQ0QC,1234şampiyon,8000023,711326,7,29
7,#2QCJJ9P9G,TEAM TOE,8000029,685393,8,30
8,#99JC2L0,TheNinjaz,8000052,616205,9,24
9,#2QLUL2GYV,slalal,8000013,606684,10,30
10,#20C88J8UR,E2 Yoshi,8000027,601198,11,29
11,#28QJ8Q2CG,MJK TEAM,8000004,598187,12,29
12,#20PLYR8U,Fun Stuff,8000039,597059,13,30
13,#2920Q2P80,Insulares,8000009,591116,14,30
14,#2G2G0V98,SLP Panthers,8000018,568545,15,30
15,#2C80QCCPQ,<c2>Zest</c>,8000034,518145,16,27
16,#2CPY0PP9V,SexuLovers,8000037,496102,17,30
17,#2G9YUQG09,Го в кроватку,8000003,495340,18,29
18,#2J922090R,TEAM☔COLD,8000013,476679,19,16
19,#20QR08R8L,КВ LEGENDS,8000023,451577,20,19
20,#2GRRR0YGV,Микробы!,8000039,431174,21,24
21,#2JC2JU8CP,buroxx,8000059,429490,22,28
22,#82GJY9PP,Virgin Records,8000039,415914,23,30
23,#R0J99PLP,cookngrind,8000013,411990,24,28
24,#2C909LRQ9,Retire,8000037,401601,25,19
25,#2Q0VR0VU0,NeoGachists,8000005,382729,26,16
26,#2CY082PLU,Oj/Kairos Fans,8000012,379607,27,30
27,#28222GQ,yETI Brawl,8000027,360867,28,30
28,#2RVQLPCGG,Magic Trashcant,8000034,356590,29,30
29,#QG8JJ8RP,Chula Railz,8000049,346600,30,30
30,#CRYC8UCL,<c,8000035,315384,31,17
31,#QQ8Y0GUY,imap ussa,8000041,308184,32,30
32,#28UGU0VL2,The Orphanage,8000022,305070,33,29
33,#2YC9JGUJC,ЛапкаЧТОЛапка,8000059,293604,34,26
34,#2JGUU9GGG,Дристунчики,8000021,292091,35,15
35,#200C0CUYP,real clan,8000021,284387,36,25
36,#99J8CCJ2,ГЕЙ КЛУБ,8000024,280755,37,24
37,#L29PJUJU,mma,8000034,279003,38,27
38,#QYPLYGV,WeennieHutJr’s,8000022,275525,39,19
39,#2P999CVC0,suskasusubbb,8000019,275288,40,30
40,#2GU9CGJYY,AZE_TEAM,8000033,268014,41,23
41,#28GQLPL2P,YT CLAN,8000007,267115,42,15
42,#2JGVC22GQ,KAKTUSTEAM,8000005,258829,43,17
43,#2UPUV9C8,Matteus’ Crib,8000024,255155,44,29
44,#RGC8L0V,tjclub,8000043,251803,45,21
45,#2J908VCLV,майбахлуивитон,8000057,250275,46,11
46,#2C82GUQU0,Egoism,8000036,250109,47,30
47,#GCGV2PUC,Бойцовский клуб,8000005,245488,48,25
48,#290RG0P89,NaVi,8000029,244646,49,17
49,#2PGPPQJJC,NAXRON_YT,8000054,242499,50,12
50,#JPPYL2,EliteGoats,8000004,241262,51,16
51,#2Y08L90P9,⚔ＴｅｄｏＧｒａｎ⚔,8000025,228148,52,10
52,#29RP0RPP9,team of kings,8000029,227695,53,13
53,#28RPUG20C,Noel,8000047,227404,54,30
54,#2QQ2G2GRC,BlueFoxes,8000055,226905,55,12
55,#22RCRRG,KCCO,8000022,221684,56,27
56,#22JR0LCQY,polska petarda,8000029,219441,57,27
57,#20VU0RQR9,мира 38,8000045,218403,58,30
58,#QRP8YCV2,Sac > D,8000041,215629,59,30
59,#2LRQ09GLG,Virgin Islands,8000029,215501,60,17
60,#VG8LG9R,pro boyssss,8000005,208360,61,25
61,#28UVU9CYL,БрАтКа,8000016,204490,62,26
62,#YVY2LC2U,Dirty South,8000008,201391,63,28
63,#RCYC2PQ,СТАЛКЕРОК,8000059,198453,64,30
64,#29L8QL99V,vegan rebels,8000013,197980,65,30
65,#8P0GQUY9,let me smurf,8000017,195662,66,25
66,#28YL2ULP,Booty Juices,8000025,195438,67,30
67,#28PC0CRC2,Peugeot,8000029,187087,68,16
68,#CV8GQQCR,bez nazwy,8000013,186533,69,20
69,#2LG0JV8RU,дом бебриков,8000057,184405,70,30
70,#28UG2GJRJ,IM A VIRGIIL,8000004,182486,71,30
71,#2RC2UGVG2,Roll Topps,8000041,182141,72,30
72,#29PR8JRR2,Nizzler FC,8000036,175173,73,13
73,#8CY98YG0,GTF,8000029,173124,74,14
74,#2PLPP8RG2,Дюсш Власиха Рф,8000005,172351,75,24
75,#G9P299G,BRAWL толькопро,8000029,171013,76,29
76,#L2VRRQ2R,вступите пж,8000021,170561,77,21
77,#299J9PY9G,Da Boys,8000029,166730,78,13
78,#2QCU9U98J,Proper cousins,8000029,163321,79,29
79,#2QJ8LPQU2,Club Penguin,8000017,162964,80,30
80,#29RGURLRY,<c8>Pursuit</c>,8000011,162942,81,10
81,#29GGRPR9U,7house,8000041,161227,82,10
82,#2P2CP0JP0,+10 sevgili,8000011,160479,83,14
83,#28CCC00,big peep clan,8000000,158984,84,27
84,#P9VGCQY,AAA Crab,8000029,158252,85,24
85,#VYLQR2L,LE CLAN A TETON,8000029,157574,86,26
86,#22LVUUG8V,fociu11,8000000,156784,87,19
87,#G08V0GL2,MAD LADS,8000007,155440,88,28
88,#2RPCC8J80,изи ап клуба,8000035,153559,89,20
89,#2LLJ290JJ,влвллв,8000031,150177,90,29
90,#2QVGG80LG,f@ns churuumbee,8000039,147506,91,30
91,#JRU8G92R,FC ANIS,8000023,146869,92,9
92,#2JCRCYYY9,Whitney,8000021,146817,93,12
93,#2JCPCVGCQ,Wall Su,8000029,146582,94,30
94,#QPUVQP9C,ADL😡😡😡😡,8000007,146390,95,30
