,tag,name,badgeId,trophies,rank,memberCount
0,#QR989GYJ,LATIN SPORT,8000007,1007809,1,30
1,#2C2QR080C,<c9>DeVi</c>⛩️,8000023,934599,2,30
2,#28YGUQJQ0,ハッピーセットのナゲット達,8000037,813248,3,30
3,#8G8R82JC,Союз Пте,8000047,765505,4,30
4,#2R9QRUUY2,тройной аутизм+,8000039,761486,5,29
5,#2YLVCJV9,Club Penguin,8000035,651813,6,30
6,#2C8RLCGV9,UA| DEVIL TACO,8000043,614769,7,30
7,#2G9UJCLU9,pavi gang,8000044,606951,8,29
8,#2CRL9892C,S.P.D.Y.I.L,8000029,592797,9,30
9,#2C8V0ULQJ,Marious21 ytb,8000036,569169,10,22
10,#282J2VQYL,Los GATOS,8000029,558304,11,30
11,#QG09R9J,EspañaCannabica,8000012,543962,12,30
12,#29PCYYY9U,Toxic Gang,8000042,529434,13,30
13,#J0YR22U2,İlk Aşk🤗❤,8000006,527072,14,30
14,#28JQJCCRP,жожа×_×,8000059,495288,15,30
15,#2GGU0PGR8,POLARIS|🔥🔥,8000049,495102,16,30
16,#2R0RVCQJP,Арматура,8000056,489238,17,20
17,#2GCL0V9LR,고수들모임,8000023,472514,18,29
18,#20GCG209Y,Squirrel Club,8000051,462482,19,30
19,#2C8UVQL2J,임준표 존잘,8000029,440257,20,30
20,#2J22LCRV9,UKR🇺🇦,8000019,434383,21,29
21,#2RYRY0V8Q,Magyar Profik,8000029,431922,22,28
22,#2YPP0LPU9,❤|INS.ARMY|❤,8000007,422203,23,29
23,#2CJ8QU2G9,легенды,8000004,412878,24,30
24,#PV9PUPP2,방우영,8000056,398198,25,30
25,#22C88JGC2,Brawl Fire,8000057,392296,26,23
26,#2GYLUL0GU,DHARK GAMİNG,8000021,391364,27,30
27,#29G0C898J,paletka,8000027,377837,28,30
28,#2029R0UQQ,izilega,8000059,377082,29,22
29,#29GRPR9UQ,DKA,8000037,374557,30,29
30,#2JVGY8LQV,Жесткие пацаны,8000059,373893,31,23
31,#2QRVY90QU,Müll Depot,8000001,353314,32,27
32,#CGYGRP8C,House of Bratan,8000058,311833,33,30
33,#2J2QPLP09,DIZ_💖,8000029,292522,34,30
34,#288P9C9U9,TERLİK SPOR,8000057,282265,35,19
35,#QVJ289VL,Team Stars Py,8000029,281878,36,27
36,#2JYUC0VCY,nigersi,8000029,281236,37,30
37,#2JL0C8YJL,31 yenilmezler,8000029,275877,38,30
38,#2Y8VPQU9C,kot29av,8000038,273621,39,29
39,#8P8JJVRC,болотцев,8000025,272059,40,29
40,#Q9P80RL0,亂斗明星⭐,8000058,269348,41,30
41,#2CP0R8YUU,Hello 💗😻,8000021,262690,42,29
42,#2GLY8GRLV,Tosiaxy,8000039,260239,43,25
43,#20889Y9VR,ПАБЛО,8000013,256607,44,21
44,#2QV9802VQ,︎︎︎,8000057,253793,45,19
45,#8CYU00PY,[BJ] SQUAD,8000021,252705,46,16
46,#2G9GVLP2R,очкошники,8000035,245761,47,13
47,#2QGGJ8GLJ,$NAHABINO TOP$,8000023,243781,48,12
48,#2P9Q89QRU,gg5,8000058,240974,49,22
49,#2C88YGLC2,Navi🔛🔝,8000037,239689,50,29
50,#2QUL0C2CQ,one pice,8000059,237712,51,22
51,#29GRC880G,Витя староста,8000036,236895,52,11
52,#CY8G08J9,Собакакинс,8000035,236154,53,28
53,#2QLGVCPPR,성원초등학교,8000000,231515,54,29
54,#2G2PLQLPG,kerem/oğuzhan,8000049,228390,55,30
55,#2LC20LV8V,KUZİLER 61,8000057,222330,56,23
56,#2CCY0P9P8,Mister|GTR,8000049,220616,57,8
57,#JRVL8C9V,палка картошка,8000027,214832,58,30
58,#20C9GV9J2,glaş,8000021,214828,59,30
59,#2CQPJ28Q9,R & RandM,8000020,211713,60,30
60,#VY9VL2VR,Ninjago klubben,8000029,210321,61,18
61,#UUJ9QV8R,MÜPTEDZEL 2 :),8000019,209986,62,23
62,#22UG8VCUP,"""BİRTH OF KİNGS",8000043,209068,63,30
63,#280RLPJP8,LIGUE,8000015,205831,64,24
64,#2JU0G0802,MMA КІБЕР,8000057,205231,65,30
65,#2RLG2UYR8,UA Family🇺🇦,8000059,203956,66,30
66,#29JCY0JR2,ℙᗅℒℰՏᝨⅈℕℰ🇵🇸,8000046,203163,67,29
67,#2JJYL9C9Y,AlBer,8000019,202312,68,29
68,#29Y2RG02Y,にわか勢の広場,8000007,202152,69,29
69,#20CCQQRLL,КИБЕР КОТ,8000037,201786,70,22
70,#CUL0QVLL,50 ка кубкав,8000027,199138,71,30
71,#2Q2U0LC29,очко сибсканы,8000050,198678,72,8
72,#PCRLCCUV,бск пхов,8000045,198431,73,27
73,#28PPPVLL9,Top Secret,8000022,197760,74,29
74,#YV29JV8U,Пабло,8000043,195273,75,30
75,#2JUJQ9GJ0,doors,8000035,193205,76,13
76,#2GP9JJ0C8,100. yıl'a özel,8000006,193070,77,30
77,#CC09C9QC,paok club,8000003,192516,78,30
78,#8LUL8VYJ,Murat Dünyası,8000059,192338,79,30
79,#2QLU8GPCP,댕댕이,8000059,192324,80,28
80,#R2UUQ8RG,топы в топах,8000047,191957,81,18
81,#292C09808,WOLFGANG,8000003,191030,82,9
82,#2Y29P29QY,BigBro,8000055,190815,83,11
83,#2YLY2YCJ8,вы топ,8000022,190814,84,26
84,#2JJ02C8U,все крутые,8000029,190131,85,29
85,#VCVCPCG0,КИБЕР КОТЛЕТЫ,8000059,190022,86,11
86,#Q20LP02V,читати,8000045,188678,87,30
87,#2982QLRRU,riwal,8000008,187502,88,30
88,#GPLJGQ0V,떡볶이 클럽,8000029,187500,89,26
89,#2CJU2Q9L,getafe.c.f,8000004,186228,90,29
90,#YLRLL0U,E-Sports-49,8000000,185199,91,23
91,#2YY20CUY8,somos.pros,8000059,184387,92,30
92,#2R9LYQYLY,🇦🇿TÜRK🇹🇷,8000029,180028,93,30
93,#80GGYLYU,Jahbreakers,8000029,179598,94,24
94,#V9GPQQ98,Банда всех,8000029,179522,95,29
95,#2RPPPPQRC,Парилка,8000004,178181,96,9
96,#U29VPUYL,DEVI,8000027,177977,97,29
97,#VRL22VL9,асгат,8000059,177849,98,30
98,#290PJLRPC,potaxies🥑💋🥑,8000016,175884,99,24
99,#20VPLC92,Comillas 06,8000017,175782,100,30
100,#UJ99LGY9,Cammello gang,8000004,174911,101,29
101,#28R0PLLCV,TEAMBEAS,8000019,174818,102,16
102,#29L20UQP9,Dany crew,8000035,172568,103,21
103,#2PYJY8908,FNF frdy🍕,8000023,172249,104,28
104,#2G928VRG,ŞEKER KIZ,8000010,171942,105,26
105,#VJRUV8RQ,braws star mejo,8000004,170512,106,27
106,#209VJRY0C,E SPORTS PIZZA,8000019,170265,107,30
107,#2JQ0VJ0PG,bolshoy popka,8000042,169497,108,10
108,#2RRCL8Y08,™MONSTER™,8000055,168705,109,18
109,#G82RPP9Y,Fotbalişti,8000016,167902,110,29
110,#2C9ULV808,BAKQ,8000029,167802,111,28
111,#22VVRUPUV,Лд. Лп.,8000047,166666,112,29
112,#289UVLPCR,📌YILDIRIM⚡⚡⚡,8000053,166084,113,30
113,#2QVCGRQYG,люблю мами,8000024,165545,114,6
114,#28C800YUU,E SPORTS PIZZA,8000019,165431,115,9
115,#2Q2UVGG2V,Армия Алишера,8000057,164466,116,30
116,#QPQR9202,TABİ EFENDİM,8000000,161527,117,13
117,#2JVLR9JP,Gutterne,8000029,159182,118,26
