,tag,name,badgeId,trophies,rank,memberCount
0,#2YQ0P9U90,Hunger Games,8000059,2299331,1,30
1,#28P0V09P,✌AMIGOS BR✌,8000007,1647437,2,30
2,#2Y9Q0GLL0,Adultos Army,8000000,1229591,3,30
3,#29J28JJ9P,ZoTaxIoN,8000023,1220723,4,30
4,#2GJ200880,페미집단,8000004,1157145,5,29
5,#2C8JRR2GG,Earlyerixs Army,8000021,1040841,6,1
6,#2R8PCRGPP,Аркеры,8000021,910726,7,30
7,#29PPYP28P,100k,8000005,827406,8,28
8,#2JQJG880C,cosmic doritos,8000055,804694,9,30
9,#22P02JQC,Бойцовский клуб,8000029,774557,10,30
10,#2J0J2JLQG,광명시,8000035,733356,11,30
11,#VP229RJR,🌵Spike 🌵,8000013,730881,12,25
12,#L99VYYGV,Skysauce☠️😤,8000036,723692,13,30
13,#2L8VJGQQG,путь за хлебом,8000057,692453,14,28
14,#2CR8QP8UR,Ziyech Team,8000037,656221,15,26
15,#29C2QVLJJ,KRALLAR🏆🏆🥇,8000005,656166,16,30
16,#29PV0R0V2,ELITE BRAWL🥇❤️,8000019,645755,17,30
17,#QCUGLPGJ,Mario,8000005,635156,18,30
18,#2GJQL8VC9,TOP TEAM,8000034,632847,19,29
19,#2C90LGQYQ,FEUDAL LORD,8000029,624709,20,25
20,#2QU0P2GQQ,Мини игры,8000010,618815,21,1
21,#UUJGL98G,I migliori,8000025,615682,22,30
22,#VYV9LRJY,😊❤KNKSLAR❤😊,8000000,602911,23,12
23,#2C0Y0G2CG,Mar ini,8000034,594949,24,29
24,#2QPQPQP2L,2137,8000059,575364,25,30
25,#2RQ888RJL,いじゅあんカンパニー,8000059,569666,26,26
26,#28GVJVL8Q,클럽리그,8000029,567431,27,30
27,#2RPU8GLJ8,帥哥特功隊,8000031,566180,28,25
28,#2JG8J8P8U,Fail army 👎,8000041,564360,29,19
29,#2GY0JYYVU,chiringuito,8000034,557371,30,30
30,#2GCGV8Y9Y,ors,8000037,553013,31,30
31,#2YR828LG0,GIZEMLI PRENSYT,8000023,548447,32,2
32,#QYR8909R,Hayati tim,8000052,538872,33,30
33,#2GVCPURLJ,🇷🇴QLASHRO🇷🇴,8000037,528653,34,3
34,#288829QPC,齊心協力,8000000,522967,35,30
35,#YJVGJQCC,《GøD_MiTøS》,8000029,519725,36,27
36,#2C8U202UC,Ayakashi❦,8000037,508637,37,22
37,#2QVVQUJ9C,КиберыПупсы,8000033,508320,38,30
38,#QPRUCCC8,pain,8000008,500224,39,16
39,#2JRGGYVVL,🇺🇦CANDY🇺🇦,8000055,485219,40,30
40,#2Q0CJUPJC,OG Painsツ,8000008,484149,41,2
41,#2GJJGY0U0,🍉bebro4ka top,8000055,483899,42,30
42,#2JGJYUJUG,Los insanos,8000035,470078,43,30
43,#28L89RVP0,NaVi|mini,8000057,457919,44,30
44,#22P82UQUV,SOSİS,8000015,456830,45,25
