,tag,name,badgeId,trophies,rank,memberCount
0,#QCRP2G2,pubstars,8000010,2887941,1,1
1,#29U2G9LQ9,Talents fr,8000018,2831123,2,30
2,#2G889R2L0,BOSTA STARS,8000008,2665784,3,30
3,#RJ80282,В КРУГУ ДРУЗЕЙ,8000057,2124570,4,30
4,#2QGR9V2LQ,Drago di Fuoco,8000023,1916290,5,23
5,#2LQPQ8JPQ,❄️hrzFORCE❄️,8000023,1665653,6,25
6,#2PQYQ2GCQ,Feuerimperium,8000037,1618860,7,29
7,#JJURV2QL,MIDNIGHT,8000023,1423171,8,2
8,#2Y0CUP8VG,Top Israel🤟💪,8000020,1421190,9,14
9,#UL9CGQ8Q,amigos check ✅❤,8000037,1420561,10,29
10,#2LUGR00GY,⭐LIKAMUNIDAD⭐,8000029,1410478,11,6
11,#CG2828YV,Aurors Gamers,8000048,1349640,12,28
12,#20VY8YPCC,TT:Yto4ka,8000007,1334493,13,30
13,#29CPQYU29,YAKAMOZ,8000029,1315417,14,27
14,#U29YG02U,PalomoCorp ®,8000055,1170395,15,30
15,#2GL8VRQ8R,One Man Army,8000023,1131942,16,30
16,#QPPJYUJU,@lenainMr,8000037,1097756,17,30
17,#2LQC8L0P9,Russian Club,8000039,1080604,18,28
18,#RPPRYCR9,EDGAR GAMING,8000046,1072305,19,3
19,#288CPJ98G,LOS PICHICHIS⚽️,8000055,1045086,20,4
20,#22U8QJLRV,TÜRKİYEM,8000023,1035749,21,27
21,#2C9R8LC9,BRAWLSTARS GANG,8000057,1006284,22,18
22,#G00L9800,<c0>REAL</c>,8000023,996073,23,30
23,#2828RRLQ2,•xXClubXx•,8000025,980276,24,30
24,#28282V88Q,Smailik,8000029,970433,25,30
25,#UUGU9CVJ,Go~Go,8000018,952952,26,19
26,#V80909JU,kazuosan Crew,8000021,934571,27,8
27,#2CQ8J0PL9,한국KOREA🇰🇷🇰🇷,8000029,897419,28,28
28,#20RRQLP2V,❤️ПЯТАК❤️,8000006,877406,29,30
29,#209P0LPQJ,💜🐣Şirin Qız🐣,8000029,834944,30,5
30,#29L2R9YU8,ArmyOfCats,8000048,798918,31,28
31,#2GUYVUYQ0,30 DZ,8000015,798080,32,27
32,#20R0UVUR9,potęga polska,8000007,789064,33,6
33,#229L0LLUP,SAYNOR🤪🥀|TT,8000025,787851,34,30
34,#2C80V22V2,💛YUMMI🖤,8000029,784155,35,30
35,#20R9RYV0P,CODE: NAUNAU,8000000,778399,36,9
36,#288QP9Y9Q,pink,8000025,766574,37,30
37,#RRQQRPPP,mihai si gabi,8000018,759520,38,5
38,#C9V8V9UP,Олимп,8000021,741315,39,29
39,#20RPVGUR8,Provocation KZ,8000023,741200,40,29
40,#2GUJUQPG0,EXPERIENCE,8000004,736815,41,30
41,#2G20JG98P,브롤돼지꿀꿀이고수삼총사,8000004,725130,42,30
42,#G9RP8QQR,Imperiul Primar,8000019,719768,43,2
43,#JYUU2GU0,SV_Oleni,8000029,711006,44,30
44,#R9RC98JP,Ladri Like PRO,8000013,710200,45,11
45,#2C892GVCL,어쩔너굴맨,8000002,707155,46,30
46,#LUL2YRYR,👉👈,8000055,697611,47,29
47,#292LPURYY,The brawl pro’s,8000021,689453,48,30
48,#2Q2YJ2GG2,👑TÜRK BRAWL👑,8000016,684657,49,28
49,#2G9J8JG2V,Nocne Imperium2,8000023,677516,50,29
50,#RUVC00GP,FISCHGESICHT YT,8000023,662121,51,22
51,#2C9L8UUJP,"""Good day poss""",8000049,644593,52,30
52,#RU2RQYPQ,GG GAMERS,8000023,640750,53,13
53,#2JJJP2J8P,SWM Gang,8000029,631986,54,30
54,#2L90CLLUJ,блавл,8000019,631227,55,29
55,#2C9U8Y80R,Zimbabwe,8000037,625590,56,25
56,#2L8UYCGUG,iubire❤️😍😍,8000007,623581,57,21
57,#2QL82Y9LY,🔥Клуб Огонëк🔥,8000037,620650,58,30
58,#2Q90QUGC8,surge team,8000059,616340,59,30
59,#J88UP08Y,БОГАТЫЕ БОМЖИ,8000029,600499,60,1
60,#VU9L2CQU,不可以澀澀,8000039,595917,61,23
61,#2JVR0GCUV,인천브롤123,8000029,580119,62,30
62,#2GQJC9VVL,에이스,8000048,576834,63,29
63,#2JVRLVJRR,おせっせ同好会,8000035,567389,64,30
64,#2PV9GPPV0,TÜRKLER,8000043,564382,65,29
65,#8L2P9VL8,Boxer und Nita,8000002,553525,66,27
66,#28L0U022P,ばろめがの極み,8000022,551839,67,30
67,#2CG22QYV9,나주연팬클럽,8000011,550393,68,30
68,#2CR0ULRL0,<c5>플루오린</c>,8000055,547128,69,30
69,#2Q0YYQY00,the goat,8000048,543845,70,30
70,#28GVY9VYY,МэШкЭ ФрЭдЭ,8000028,538881,71,27
71,#28UUGV0V0,<c0>COOL</c>,8000046,530898,72,29
72,#QRLGUJYJ,QLFX-FSB,8000049,528858,73,30
