,tag,name,badgeId,trophies,rank,memberCount
0,#22J9V2JP0,Electro Team,8000003,2107102,1,1
1,#2P89Y808U,FM DV TV,8000016,1520042,2,30
2,#QRP2P9C2,Амбер,8000029,1314245,3,26
3,#28LLJRYR,● Theryum BR ●,8000003,1278282,4,25
4,#9Y80L98,一哭二鬧三上悠亞,8000004,1201836,5,30
5,#RVLCLLR2,<c0>Đ₳₦₲ɆⱤ</c>,8000018,1199240,6,1
6,#29G9L0GQR,LEGENDS☆,8000021,1060061,7,30
7,#RLYPU8R,starforce,8000016,1050207,8,30
8,#228P9UGC0,Las tóxicas 😈❤,8000035,940692,9,15
9,#9R9CUU8Y,Brawlers Top,8000004,937544,10,24
10,#VGQ89YYJ,chile_evolution,8000007,843566,11,2
11,#2Y90C22CP,._.,8000031,838337,12,4
12,#2LCLRCUQ9,_신도세기_,8000059,795635,13,30
13,#2RLCCP22Q,ээээль примо🥊,8000007,750366,14,29
14,#2JLCQV082,雷爆兄弟,8000037,720123,15,30
15,#LV9QQUJG,KOREA,8000031,707882,16,30
16,#CYJ9JG09,anasongoespaña3,8000005,693179,17,27
17,#29JJJLJU9,☯︎RO|GAMING☯︎,8000014,684364,18,5
18,#VL0L0PJP,死廢物,8000035,682341,19,26
19,#2C8LRGYCL,K.OSAN,8000018,642301,20,30
20,#29R0VUY28,LEGEND,8000037,639951,21,30
21,#29QCRLVQ2,🐋블루 고래🐋,8000056,620799,22,30
22,#20CPPLPC,OYUN CAMİASI,8000029,618637,23,30
23,#QQQ2G9CL,Пурпурный союз,8000024,613714,24,25
24,#299PYU2JJ,TMD|Greece,8000002,612460,25,3
25,#29G08VCUG,Brawler Elite,8000018,608041,26,30
26,#YQPVY9V,LAUTERN,8000059,603000,27,27
27,#2GC0Q0QGR,Lɪɢʜᴛ's🏝️,8000006,600010,28,27
28,#220PRYLY9,IX PhoenIX,8000059,562267,29,30
29,#2CQL8Q92P,브롤스타즈,8000041,554832,30,28
30,#292R8G820,ansv,8000038,546091,31,22
31,#290RJVL8C,잼민이 클럽,8000004,538729,32,30
