,tag,name,nameColor,icon,trophies,rank,club
0,#288YGV2JL,-@ GOOD LUCK @-,0xfff9c908,28000349,61900,1,ƝօɓƖҽʂ ƘíƖƖҽɾʂ
1,#PG8Y8PRPR,『K~A~R~M~A🦅』,0xffffffff,28000335,60756,2,Karma's Legacy
2,#JY20QJ9Q,AF1|Mohammed,0xff1ba5f5,28000292,60267,3,زربات عمك
3,#UUCUP0VJ,⛓️ᴮᴸᴷㅤ⛓️,0xffff9727,28000014,59004,4,F/A Bellum
4,#8RGRQ99VV,♤♤♤ŁÉĎÌ♤♤♤,0xff1ba5f5,28000163,58457,5,KOSOVA
5,#2GUPYYUQL,❤️DaddyAlbanie❤,0xffffffff,28000019,58401,6,TIKTOK HISO🦊
6,#Y9U8CYQJ,☠️one piece ☠️,0xffffffff,28000167,57567,7,درع الجزيرة
7,#YQR9229J2,✐ՏվԵհօղօմՏシ,0xfff9775d,28000279,57117,8,Slorien
8,#P0RLVU2YU,жмих|ᵖᵘᵖˢⁱᵏ🐀🖤,0xffcb5aff,28000272,56472,9,✨SYNDICATE✨
9,#82LGRVRPV,スラン💞whereend?,0xffffffff,28000058,56363,10,<c6>?</c>
10,#82V2YURJG,ZETA|제로 ZERO,0xffa2e3fe,28000156,55300,11,KLT 챔피언십
11,#Y90J8PUCY,shoku jem,0xff4ddba2,28000315,55232,12,Eagles Eyes 1
12,#U2R0C8J,ViniBS,0xffa2e3fe,28000175,55205,13,CCCC
13,#PURYULVQC,꧁OLDMITE꧂,0xffff8afb,28000240,55184,14,الناقة
14,#29CJQCQQ8,buu,0xffcb5aff,28000308,55078,15,котики рулят
15,#8J8UQRYYC,Sun_beam,0xffff9727,28000055,54909,16,котики рулят
16,#9UUCR9GRU,Ł£Ø🔥昱'和平,0xffffce89,28000071,54749,17,KOSOVA
17,#8P89RPVRL,¥|Kuba☯️,0xffcb5aff,28000267,54683,18,
18,#2QJQ80GU9,あ·Smoke〆,0xffffffff,28000352,54584,19,The Real World
19,#8QCGQJ8CR,Bledaruan,0xfff05637,28000334,54578,20,Maxi ganG ⚔️
20,#8VQ0UJLY0,brajani,0xffffffff,28000322,54295,21,Arctic Blast
21,#80GPJULU2,最強神ゴッド,0xffffffff,28000177,54121,22,ふぁんふぁん倶楽部
22,#9R82U9P90,😂😎carlo1😁🤣,0xffcb5aff,28000334,53953,23,NO RISKnoFun PL
23,#CCCC8RU,xhoncoin,0xffa2e3fe,28000065,53832,24,Remaining Ace
24,#2LJGRYRGV,재후🇰🇷ʸᵘᵐᵐʸ,0xfff9c908,28000267,53685,25,
25,#PVQQLQVLQ,🖤Black Wolf🐺,0xfff05637,28000349,53225,26,❄️TheIceKing❄️
26,#8VPGCUYG2,michou,0xfff05637,28000046,53098,27,🎋ESPØRT|wolf🐺
27,#98UVJ9J9R,♡NOOB♡,0xffa2e3fe,28000129,53059,28,KOSOVA
28,#9CLJLVVJV,667,0xffcb5aff,28000293,52973,29,The Awakening
29,#2CR2PQCQ,Goshan123),0xff1ba5f5,28000225,52720,30,⚔️👑SM|Bella👑⚔
30,#8PC2YJ2J,♠️♥️JOKER♦️♣️,0xfff9c908,28000185,52439,31,KOSOVA
31,#9V99Q8G8Q,Yaman SSK,0xffffffff,28000000,52403,32,HellsAngls
32,#9CJRPC8V,🇦🇱EndriZone🦅,0xffa2e3fe,28000348,52382,33,❤L o v e❤
33,#8QU9G0UPJ,edison seise,0xffffffff,28000228,52311,34,OP Player
34,#QGCQJU80,Legendary,0xffcb5aff,28000290,52059,35,Xx|Squad⚕♂️
35,#PP08GG0Q,⚡️Vitrin⚡️,0xffffce89,28000021,52038,36,Legion Reserves
36,#8CGQ8UGR8,sesyasesay💗,0xffcb5aff,28000254,51912,37,Eternity🍀
37,#2Q2ULUPUC,Captain Dunk,0xffa2e3fe,28000126,51714,38,BS
38,#VU9G0YJQ,Smoky,0xfff05637,28000129,51515,39,Hørrat
39,#UPQQ9RQ8,{TheOneAndOnly},0xffcb5aff,28000022,51414,40,ElitePig
40,#YLQVYUV0J,𝓚𝓪𝓽𝓪𝓷𝓪༄,0xff4ddba2,28000169,51403,41,🌪️TORNADO🌪️
41,#8JQ8P88Y8,AjanK13,0xfff05637,28000151,51391,42,Brawlers Legion
42,#2000LJRU,Trojan,0xff4ddba2,28000151,51181,43,Hørrat
43,#90LGRC00V,Ñêâd ñêêd ñêrf,0xfff9c908,28000087,50945,44,Legion Reserves
44,#289922LL8,Eridon,0xffa2e3fe,28000347,50943,45,JUSTICE
45,#299JUCPY9,piopaw,0xfff9c908,28000262,50908,46,CheetosBanditos
46,#QQU0V9U8,Qr1 |TRydOn ☔,0xffff8afb,28000284,50879,47,Hell's Kitchen
47,#LJ0R8PVP0,Tͥonͣiͫ⚔ᵍᵒᵈ,0xffffffff,28000305,50710,48,KOSOVA
48,#8C8VL9CUG,ζ͜͡𝐆𝐡|Mauro🔮,0xffcb5aff,28000156,50588,49,ζ͜͡Ghost👻
49,#9Y2VQ9L2,jannboja,0xfff9c908,28000262,50372,50,RoyalStHoolignZ
50,#8RYQP8Q2U,-@JOAN@-,0xffffce89,28000023,50364,51,AR |Family‼️
51,#2GGY9P0JQ,SC |Andi_alb🔥,0xffa8e132,28000275,50363,52,AR |Family‼️
