,tag,name,nameColor,icon,trophies,rank,club
0,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,83090,1,
1,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,64542,2,
2,#GPPLR0UQ,Oscar!,0xfff05637,28000348,64004,3,KLUB MINIONKÓW
3,#899VUJGL0,쇼랭이님팬loin,0xffff9727,28000346,60060,4,엄마하튜
4,#2Y22G9L8V,Капатыч,0xfff05637,28000195,57917,5,ЮТУб РУЛИТ
5,#YPYPJ92V0,✞𝖋𝖆𝖐𝖊ℑℴƙℯℛツ,0xffa2e3fe,28000305,57746,6,DrEaM TeAm
6,#PPRP9RC9C,LR | Bobby🌠,0xffffffff,28000221,56776,7,Lipton Reborn
7,#2P8J0RPYP,тигр,0xffa8e132,28000305,55492,8,B2B | Eclipse
8,#LGY8VJ2PU,通りすがりのえんどうたん☪️,0xffffffff,28000022,55102,9,めろんぱん食堂
9,#G2YCJ0RY,𝓤𝓰𝓵𝔂,0xffff8afb,28000187,54671,10,乱世佳人-创世
10,#Y0PUVLUY0,CR|𝑨𝒈ø𝖗𝖆•ˢʰ,0xfff9c908,28000341,54230,11,UP
11,#28P2CPJ9,CM/AVENGER🔪,0xfff05637,28000095,53705,12,
12,#82UCRR28C,Евгений Гений,0xff1ba5f5,28000272,53268,13,Brawl Empire
13,#LGP98CQ08,Rayan,0xff1ba5f5,28000168,53106,14,⚡Lighting Gang⚡
14,#8GPVC0Y8J,PROCHITER999,0xffff8afb,28000303,52743,15,profi
15,#RPC998G,emad,0xffff8afb,28000173,52701,16,Ultimate Club
16,#PJ0J2GRJG,Глеб,0xffcb5aff,28000294,52314,17,乂Легион_Смерти乂
17,#2YPGYJ0V,𝕯á𝐦ĩ𝓪𝗻🥀😈,0xffcb5aff,28000305,51653,18,
18,#QV20VQUJ,𝔽𝕒𝕓𝕦ツ ᴷⁱˡˡᵧ,0xff1ba5f5,28000247,51562,19,
19,#PP990YQVV,КРАСАВЧИК:),0xffff9727,28000164,51391,20,Ягодное Поле🍓
20,#82G2GV9RG,(пот)камиль,0xff4ddba2,28000256,51110,21,OneUp
21,#9G22LU9C8,Xx_SpikePro_xX,0xffff8afb,28000225,50978,22,ETOJECLUB
22,#L288QJQY2,Экстро вор,0xffff8afb,28000033,50948,23,ERoom
23,#289VU9CJ2,Levi,0xffffffff,28000002,50923,24,GA|Esport ❤️‍🔥
24,#LGRYRVGC,NaVi|Lordy,0xfff9c908,28000023,50611,25,🌪TORNADO ™🏴‍☠
25,#8R8JYVQYV,patucasagorda,0xfff9c908,28000177,50582,26,daxter
26,#V2V8G020,SK | Igor,0xffcb5aff,28000333,50564,27,Бустеры
27,#2VUU022JU,УпругийСпроуг❤️,0xffffffff,28000132,50259,28,-6е3_п0нт08-
28,#2JG28UPQ0,CaSto | Ｍｉｓｔｙ💗,0xfff9c908,28000349,50122,29,No Name
29,#QUPLG9U2,Ks|MANU 🌸,0xffcb5aff,28000139,50098,30,👹 infieles 👹
30,#PVLJ80GR,🥀Index+S_Tom,0xff1ba5f5,28000175,49914,31,@tom_burosura
31,#YCGLCYR2U,qqwweasd,0xffffffff,28000000,49874,32,BeatTeam
32,#2R90280Y0,❗️✅Кирилл✅❗️,0xffcb5aff,28000305,49463,33,TT_House2.0
33,#2Y20RY8JY,🎋|itZzCalvoX|♣,0xffff9727,28000192,49426,34,Sandstrom VS
34,#CY8YCVQ8,DRK-eae 37,0xff1ba5f5,28000168,49388,35,Dark Of Mether
35,#PPVR28JVQ,💲monetka💲👎,0xffff9727,28000192,49385,36,[BRON]
36,#2UYG8PCLY,¡@ртём¡,0xff1ba5f5,28000271,49366,37,Аркеры
37,#PL2GJ2VGY,♡ｉｃｅ ｂｌｏｏｄ🧊,0xff1ba5f5,28000264,49291,38,Last Hope ❤️
38,#2QGV9L9J,MKS|Master ⚡,0xffa8e132,28000169,49217,39,SUPER
39,#8PPY2PL82,Lil Dunk⚡|🏀,0xffffffff,28000011,49073,40,Lil Dunk 💔
40,#89QJJJJJR,🐝 elisei YT 🔥,0xfff9c908,28000176,48914,41,viking legacy
41,#2L20JCG2C,😈꧁Leͥgeͣnͫd꧂😈,0xffcb5aff,28000222,48834,42,
42,#82JGL8RYL,MNメAG,0xfff9c908,28000020,48822,43,ROLL OUT
43,#99UC2YVYP,mt,0xffff9727,28000273,48774,44,трум тик
44,#9LGRL2CCY,전설TVyou,0xfff05637,28000173,48743,45,moom
45,#2PQC0LLVP,KKG | Super Lev,0xffa2e3fe,28000318,48679,46,⚔️Legion🛡
46,#JC99RJLR,[LP]Mr.Smoke,0xffcb5aff,28000069,48592,47,Mixter
47,#PQ2Y90L89,HiHi,0xff1ba5f5,28000224,48510,48,順其自然
48,#8QJ8PRQP8,bravl cat,0xffffffff,28000333,48125,49,GG|Team🇷🇺
49,#9Q0RPPL2,☄️BowMaster|YT☄,0xffffffff,28000310,48106,50,
50,#P29RRJG02,Я_ЧЕЧEНЕЦ_095,0xffa2e3fe,28000246,48105,51,<c1>MERCY</c>
51,#2CVY08VRG,OGAntti,0xffa2e3fe,28000151,47958,52,SekavaSuomi
52,#RJP9UL89,Captain Cookie,0xfff9775d,28000352,47900,53,chicken samwish
53,#8VC0G0G9J,хакер 777,0xffffffff,28000149,47880,54,tomtomtomtomtom
54,#29CRLR2YL,戦のトン プロ豚,0xffffce89,28000009,47853,55,おっす！オラ！悟空
55,#9YJC8Q0PJ,₲S₲|🌪₮øⱤñ`aĐØ,0xffff8afb,28000320,47825,56,Fonsett
56,#JGQUG2U8,D҉O҉N҉A҉T҉҉1K҉,0xfff9c908,28000242,47551,57,трум тик
57,#JLYJCVU0,emir-kaan,0xffff8afb,28000020,47526,58,kaçmazlar
58,#8LP08LL0C,gromoboy™🀄,0xffffffff,28000331,47358,59,Bogh Joy
59,#RYG8008G,筋肉,0xffcb5aff,28000281,47074,60,森本哲郎
60,#RPUQQ820,Ups KiL,0xff1ba5f5,28000156,47072,61,magia_propsa
61,#GUGU0QQ,mazacote muñón,0xffff8afb,28000018,47028,62,PunkiCactus
62,#CPLPPLRU,然也,0xffcb5aff,28000125,46965,63,CRAZY
63,#JJ98LQ2V,So Sorry! 😪,0xffcb5aff,28000333,46743,64,SnikSik
64,#9QUQGPR8G,응 아니야,0xffa2e3fe,28000061,46723,65,семьябравлстарс
65,#992LCUGJY,Zerotwo,0xffcb5aff,28000261,46623,66,赤盾まで疾風怒濤🥀
66,#2Y9UJ8YLG,Sizzy,0xffcb5aff,28000332,46581,67,RSA STORMERS
67,#9LP08V8P,光が,0xfff9c908,28000070,46554,68,
68,#8PC8998UV,LionStar,0xffffffff,28000263,46344,69,=SolarTeam=
69,#8YQLP2L08,私は香里奈が大好きです♥,0xfff9c908,28000322,46258,70,FK|DeTD
70,#9PU2U2VV9,Bull,0xfff9c908,28000132,46230,71,Elite Souls
71,#PR8C9Y828,Ali Games,0xffa8e132,28000156,46218,72,Kurdish empire
72,#22U22QCC,StandFt,0xffffffff,28000146,46202,73,Spartans Xever
73,#LPRVPGU9C,Burak,0xffcb5aff,28000135,46130,74,🔥GECE🔥
74,#98QQ2CJR8,ZAGA,0xffa8e132,28000023,46123,75,B2B | Eclipse
75,#9YCV0JVYY,clockteamer227,0xfff9c908,28000309,46117,76,best of best
76,#8CVC0CGC0,SheriFF,0xffff9727,28000294,46045,77,💪Gigachady💪
77,#8CJJ8V8Y0,TT/Pregrada🦇,0xffffffff,28000207,46042,78,
78,#U0PYQ2GP,GX-Ghost,0xffff9727,28000336,46028,79,TEAM OMEGA
79,#2JYQPYGV2,Егор 944,0xff4ddba2,28000077,45927,80,
80,#P9YRCJULP,♦️DelTTaGG♦️,0xffff8afb,28000018,45915,81,ShockTeamツ
81,#LV9R8YL9,King of David,0xfff05637,28000210,45911,82,Killer Queen
82,#YCG88PUJG,NO[SEEMEE]🧢™,0xffa8e132,28000255,45868,83,
83,#YV9JCR8YC,Jpepitos,0xfff05637,28000290,45844,84,Zay
84,#9GJYYCG0,🦁osama🦁,0xfff05637,28000334,45843,85,Free Palestine
85,#2LL8CJLYP,NAVI | MMA,0xffcb5aff,28000332,45787,86,SIGMA KINGDOM
86,#29UU022C0,wosske🫐トッパー,0xffcb5aff,28000175,45785,87,Salty Spinners
87,#P9RGJULR8,clem,0xffa8e132,28000347,45747,88,TEAM-TITAN
88,#8VUPJ0PLV,ЧИТЕР777,0xffa2e3fe,28000184,45540,89,<c2>Beasts</c>
89,#P0PCJVGY9,测韩闹谈全价,0xffcb5aff,28000295,45534,90,不是阿柯的粉丝战队
90,#PJVV09VYP,SunexGod,0xffcb5aff,28000274,45494,91,ER|FUEGO
91,#P2P229YCJ,pro,0xff1ba5f5,28000317,45487,92,Code: NOMERCY
92,#P0RQ2VRL2,brawl stars,0xffcb5aff,28000228,45417,93,ClubspieleDE
93,#C9VRVQ8U,Louis_Eric,0xffa2e3fe,28000170,45351,94,Fabled Legends
94,#8QG8U0R8P,QLS|🥀ANGEL🥀,0xfff9c908,28000132,45331,95,수리수리
95,#LPP0V92L2,ヒマナッツ愛好家,0xff4ddba2,28000005,45308,96,ELYSIUM
96,#2LR8UYJ02,BOT 4,0xffa2e3fe,28000170,45282,97,LewissHouse
97,#Y9LJL8UYC,kavaler15,0xffcb5aff,28000132,45278,98,nameless
98,#UYV998RR,gxmattia,0xff1ba5f5,28000281,45113,99,Summer Siren
99,#LVV0JUV20,Бог,0xfff05637,28000081,45062,100,
100,#99JJUJU9C,(8 bit)lonk,0xffcb5aff,28000129,45014,101,Карапузники
101,#8J0V8GUJC,⚔️Renato YT⚔️,0xffcb5aff,28000295,45013,102,KM Family ❦
102,#8CPPJGQY2,KlockS,0xffcb5aff,28000335,44943,103,moon.gaming
103,#20QVRQG8U,Mim Kim,0xffcb5aff,28000221,44901,104,
104,#28RPGCGV9,오늘의 보스는?,0xffcb5aff,28000335,44900,105,크로우
105,#8PJJG9G0R,WEP4R,0xfff9775d,28000317,44808,106,House Bulwer
106,#Q20J2C20C,🦄🦄🦄,0xffa2e3fe,28000078,44804,107,Помощь 25рангов
107,#98C0YRVJQ,Aɴɢᴇʟs🖤,0xff1ba5f5,28000151,44678,108,
108,#PLUCU8YQ8,Saúl_YT,0xffffce89,28000348,44661,109,los tios
109,#L9UQQUVQJ,Wing,0xffff9727,28000267,44642,110,
110,#YL8YLJL0U,yametekudasai,0xfff9c908,28000301,44629,111,🔥FĘŘĮ ĐĘVĮŁ§🔥
111,#YRRV22LRC,Wizaxs,0xffffffff,28000139,44606,112,Клуб:  #2RGY9RYUP
112,#20Y0UPYYL,Лоли,0xfff05637,28000347,44565,113,Душееды
