,tag,name,nameColor,icon,trophies,rank,club
0,#2J9JC2P0C,Aℓyssa<3,0xffff9727,28000176,60736,1,Perro salchicha
1,#PPU20R9LC,ZÅ•|Whïtê🐼🤍,0xffff8afb,28000341,59549,2,A few good Team
2,#P2QYVJUPC,SH|FeWaTi🇦🇩,0xff1ba5f5,28000053,58872,3,SHIELD NL
3,#92YRGRUP8,𝘿𝙓𝙍𝙆ネス五🌒,0xffffce89,28000347,56652,4,Eclipse 🌖
4,#8C8PL2GL8,Nelson888🇦🇩,0xfff05637,28000328,56265,5,Tem oasis
5,#PLCCLYL8P,LAST KIRA 📜🗡️,0xffff9727,28000335,56236,6,│S H A D O W S│
6,#2C2RRPLQ8,Mati😈,0xffffffff,28000352,55407,7,PAN MOLON 🙈🙈
7,#PRYVPURJ,日|Adriuвer55,0xffa8e132,28000156,55004,8,ES | COMPETI
8,#2GQR8PGPG,adri07,0xffa2e3fe,28000281,53837,9,F▪I▪E▪R▪Y
9,#8VJPUPY2R,Szyszka🐢,0xfff9c908,28000106,53005,10,KOLCE SPAJKA
10,#LG0YQJL,⚡CristoF⚡,0xfff05637,28000007,52558,11,Alianza LDC
11,#8RQGPL8UP,A͢͢͢zeͥℝtͣyͫ ❦,0xffcb5aff,28000224,52235,12,π/2
12,#VCC8P2LG,teito,0xffcb5aff,28000069,52052,13,WAR-EPIC
13,#82J9GRYC0,『мR』Danixz🃏💜,0xfff9c908,28000244,51731,14,✨🦋✨
14,#2GCRUGUUJ,Mͥewͣtͫhrow ツ,0xffffffff,28000135,51715,15,SpaceOrbit⚡
15,#80CGLQ8Q2,sosy_jopy//:,0xff1ba5f5,28000349,51439,16,∆Omnipotent2∆
16,#PPQ8GPG09,Muleroo🤬,0xffffffff,28000226,51399,17,s e c t a 🦆
17,#LJYYCQJV,Star384✨,0xfff05637,28000299,51233,18,§håÐðw χ
18,#PL90R2CU,⛩️|ᵍᵒᵈIvanet_28,0xffff9727,28000321,50915,19,Squad☠️Killers
19,#28QPP0RCQ,adei.z,0xfff05637,28000095,50851,20,SK|Gaming
20,#LV8V88Q,❄❄MANI99❄❄,0xfff9c908,28000295,50836,21,<c3>PS</c>|Army
21,#8VRQPRYJR,Javi007,0xff1ba5f5,28000259,50776,22,⚡WïÐgê† †êam☠️
22,#22RV82QUJ,400Pro,0xffcb5aff,28000218,50738,23,TeamYeeze
23,#88GUYG29,ιтѕ.¢αяℓιтσѕ77☔,0xffcb5aff,28000189,50618,24,Los hombre paja
24,#80RJL9C,(LN)SLENDRIK@,0xffffffff,28000281,50513,25,yamertv
25,#Y22UCR0CQ,ник,0xfff05637,28000016,50500,26,~{Doom Bots}~
26,#8PQGLU8VP,AD|ÂŗĤāŋĞęŁ👑❤️,0xffcb5aff,28000280,50492,27,Друзья Макс
27,#YR9QY0PPJ,alienn❦,0xfff05637,28000023,50476,28,xBears🐻
28,#9JR89VUYV,Léandre. C,0xfff9c908,28000318,50336,29,FC|CAPTUS🌵
29,#8292RGR8,🦎|TheL4xer 🥀,0xffcb5aff,28000303,50183,30,Desayunos69
30,#2PYJ2GVPJ,✨🌀sharlly🌀✨,0xfff9c908,28000090,50165,31,OP|STARS
31,#22LCCC8Y0,HP|ramibg,0xffffffff,28000347,50150,32,ARG WARRIORS
32,#92CUG09Y,Vincent|⛩️🎍🎴,0xff4ddba2,28000305,50015,33,Scifen
33,#290GV9UQY,SK|AD.RA.ME.,0xfff9c908,28000064,50002,34,SGD Team
34,#8YQ2RG0JJ,ARG |Lucas🇦🇷,0xffa2e3fe,28000062,49922,35,Aston B¡rra
35,#JQLRV02J,ＲＳ🌟|ＤａｎＢｅｓｔ🌍,0xffffffff,28000064,49709,36,MMA сила
36,#82Y8JJURY,ᴇɢʜ|iDrxp,0xffcb5aff,28000029,49657,37,LA Zero
37,#8Y9C9PRP9,cronk2012,0xffffffff,28000199,49519,38,героиня би би
38,#8V8GG9YJ2,ipr,0xffffffff,28000138,49314,39,<c5>Banned</c>
39,#22G8C8V2,kev🐣💛,0xfff05637,28000179,49289,40,TOP|Boss
40,#9Y902VYRU,El P@trØn,0xffa2e3fe,28000156,48794,41,Fire Power 🔥
41,#9JR8C29LR,SH|Warbo🇦🇩,0xffcb5aff,28000233,48698,42,SHIELD BE
42,#VC80J8YC,gallardo,0xffa2e3fe,28000281,48536,43,
43,#PCP9YGCQQ,⛩ ETH|Azm64🎋,0xffff8afb,28000334,48530,44,ETIHAD GAMING
44,#90LCUR2J,fabio222,0xfff05637,28000345,48472,45,SHISH DESTROYER
45,#8QGULJRJ2,Matthew,0xffcb5aff,28000272,48435,46,●°A M U S°●
46,#2L9GU2J8R,⚡️KORIN SNAYDER,0xffa2e3fe,28000203,48402,47,Monkeys
47,#9PVV80YGY,⌜➳❥𝕯𝖚𝖊𝖝🌹⌟,0xffff8afb,28000128,48372,48,地DarkLegends|🖤
48,#8L2GLR8LU,WG | RøMe,0xffa2e3fe,28000294,48241,49,Luciano's Bar
49,#8Q0V9VLR,Xxpablo_54xX,0xffa2e3fe,28000170,48237,50,
50,#8VUYLQGC0,Metapodel6🇪🇦,0xffcb5aff,28000330,48039,51,Union Española
51,#UYJCJ8JU,TQ AGT YT,0xffcb5aff,28000037,47956,52,Bibi Elite💜
52,#9J9VCCRG8,nando,0xffff9727,28000152,47760,53,BRAWL BROTHERS
53,#2RJLGQ0R,SouFiane,0xfff9c908,28000155,47753,54,BC🦋| FAMILY 🦋
54,#9UQ0L8PQ9,Ari,0xffa2e3fe,28000341,47646,55,TOYAKONS
55,#PJRL9P8Q,Матвей про,0xfff9c908,28000235,47556,56,👑SQUAD 👑
56,#9PJ28C9YR,⚜️𝓚𝓮𝓷⚜️,0xfff05637,28000138,47413,57,強制シニア部屋☀☾
