,tag,name,nameColor,icon,trophies,rank,club
0,#2PCV8VVC,🔥Pat🔥,0xff1ba5f5,28000004,59243,1,💠Golden|Fire🔥
1,#80P8YY2JU,Juan,0xffffffff,28000139,57151,2,Spain 🇪🇸
2,#9G089YGLP,QLS|CrowYT,0xffff9727,28000020,56752,3,Fake ⛏️
3,#QP08RCRC,🥋SXM|ˢʸᴺᴬ⛩,0xffcb5aff,28000213,56085,4,🥋SXM🥢
4,#8JUL8J2UG,malo49,0xffcb5aff,28000156,53863,5,Ramzes
5,#PLRG8YR9J,zBatataFrita🐾,0xff4ddba2,28000140,53307,6,Lusa Club
6,#8JPGJJ2G2,഻഻഻,0xffffffff,28000194,53025,7,티바트
7,#92VR2QL8,SD|🍪PoN4itO🤍,0xffcb5aff,28000018,52955,8,дворовая лига
8,#2GUUG9PJ,💫ɮʀǟVɛ ℒ愛莉森❤,0xff1ba5f5,28000247,52504,9,春暉之思
9,#280QGJP9J,Oscar,0xffff9727,28000314,52328,10,LIHKG
10,#2L98JQV2,Ericks44,0xfff05637,28000294,52289,11,Dark Matter
11,#UY8JG88R,LEYLA,0xffffce89,28000305,51975,12,DOLU CLAP
12,#982R809J,SaoIsLife,0xffa8e132,28000136,51533,13,Frostfall
13,#9VRG288P9,nxghtmare0day🩸,0xffcb5aff,28000017,51279,14,
14,#YCL08LCPQ,NaVi|MMA,0xffff9727,28000129,51063,15,Котики😻😸🫶
15,#2RLRQUV8Q,Token,0xffff9727,28000305,50687,16,Noob Gang
16,#GQJ92J,Nick,0xffff8afb,28000317,50662,17,hardmoon team
17,#PUCL9G2Q0,SPROUT,0xffcb5aff,28000335,50644,18,Alpha Team – AT
18,#P9GJU2RQQ,JV NÒÓB,0xffcb5aff,28000095,50341,19,Adultos Stars
19,#2YP90QR0L,Sё,0xff4ddba2,28000073,49946,20,S-Class
20,#29GRUGU00,hio!!,0xffa8e132,28000312,49932,21,ぼっち
21,#JVLJLVV9,怒りLewzess♡,0xffffffff,28000135,49760,22,F/L?💔
22,#8P00UGRCP,%aAudi-Black,0xff1ba5f5,28000156,49280,23,God Players
23,#88YGVV898,UKR ШЛЕПА🇺🇦,0xfff05637,28000023,48800,24,TheLegends
24,#PJYYY0PG,⸕⸕ＬＯＶＥᵧₒᵤ ⸔⸔,0xff4ddba2,28000341,48327,25,version
25,#2LPQ0JUJ8,топчик,0xffa2e3fe,28000300,48011,26,Euphoria💋
26,#2PVQU0QJC,ダイナマソコ,0xff4ddba2,28000259,47618,27,SoldianArmin⚡⚔
27,#80RYP0CUU,Ivonelo,0xffcb5aff,28000077,47259,28,Dora❤️Lovers
28,#8VJPJPRL,jes0316,0xff1ba5f5,28000345,46942,29,SQUAD MANCO
29,#P9VL8G092,HNK|Kīłər Manø,0xfff9c908,28000262,46935,30,KSA|Carven✨
30,#RG0YJJLG,Santi,0xfff05637,28000294,46925,31,Popo Poco Loco
31,#Q9JPY92YQ,チャウチャウ,0xff1ba5f5,28000168,46867,32,チャウチャウ組
32,#92PJ9GLPR,ss,0xffa2e3fe,28000156,46521,33,BlackLight#2
33,#29YQL988C,王王(≧ω≦)/愛莉森❣️,0xff1ba5f5,28000023,46413,34,春暉之思
34,#8C9UC90QG,runorabor850,0xff4ddba2,28000016,46380,35,No1Runo
35,#YYLC0G0UL,Šimix,0xffffffff,28000135,46355,36,<c7>Lemons</c>ツ
36,#LLR0YYPG,KG|Example,0xfff9c908,28000242,46270,37,Wintrade Moment
37,#80V90UPGQ,FIXY_Bboy,0xff1ba5f5,28000348,46264,38,FIXY
38,#8R9P2U829,leonard@ stars,0xffff9727,28000267,45976,39,Clube Dos pudim
39,#YC8URRRCV,機|NEEDLE✰,0xffffffff,28000087,45813,40,PL e-sports
40,#GCUVVCY9,Mega pró master,0xfff05637,28000243,45461,41,Tiro Torto
41,#90J9LP9LP,抽~抽~抽Go！,0xffa2e3fe,28000290,45302,42,荒野亂鬥！
