,tag,name,nameColor,icon,trophies,rank,club
0,#2Q9PVULV,VIP,0xffcb5aff,28000291,60751,1,FULL_CONTROL🎮
1,#YJJV0GRRP,빈스💞생명,0xffa2e3fe,28000284,60414,2,날 막을 테면 막아봐!
2,#YRJ08PLQQ,FTL|𝓩𝓮𝓽𝓼𝓾❦,0xffcb5aff,28000347,57238,3,FTL | E-SPORT
3,#80QLV9V2U,PHOENIX Marco,0xfff9c908,28000261,56238,4,sghenez
4,#2L02VRGVG,GX BOTTER,0xffcb5aff,28000352,55890,5,
5,#RYPRUC8R,NubiX☢️,0xff1ba5f5,28000291,54948,6,BANGLADESH 🇧🇩
6,#PL90VPC8J,#Legenda#,0xffff8afb,28000305,54816,7,<c1>MERCY</c>
7,#YQY8JJGC,白井球審,0xffcb5aff,28000139,54720,8,三つのラビリース
8,#U9JQJJPV,ダイアナ?💘个,0xffff9727,28000333,54545,9,❤️ L’amore ❤️
9,#2UY0YLRYR,한방,0xffcb5aff,28000223,54013,10,dada
10,#P2VLLJ0R8,Дюха,0xffffffff,28000132,53518,11,GL|NaVi
11,#YLGR2L8PR,幸运Revenger🖤,0xffff9727,28000348,52865,12,IMAGINE DRAGONS
12,#PYLQ2J9QY,🍑흑도,0xffcb5aff,28000308,52785,13,새콤달콤
13,#CJQQVCUR,🤍,0xffffffff,28000167,52423,14,ИМПЕРИЯ ГАЗОНА
14,#Y8JRJPVPP,𝔀𝓵𝓵𝓲𝓿𝓪🕊️,0xffff8afb,28000228,52398,15,龙?<c5>zeNts</c>
15,#88PQUC2RP,Star1💫,0xffcb5aff,28000132,52381,16,<c1>MERCY</c>
16,#YGJGQ2R2,DmB|spike🥀,0xffcb5aff,28000055,51163,17,Ang|Top🥀
17,#2VPYYQL9G,가자!브롤스타즈,0xff1ba5f5,28000067,51035,18,파워브롤스타즈
18,#8JP0Y0CPV,дрейнерша,0xffcb5aff,28000281,50704,19,THE ELITE 🎗️
19,#2CLR9CP09,AQM | LeDestro,0xff4ddba2,28000140,50631,20,Bad Randoms 🤡
20,#PVC2Q289Q,CᴀʟʟMᴇM̶ᴀɴᴜ🐉,0xffcb5aff,28000290,50294,21,NewHope💫
21,#JRCPYG9C,NE|Frizum64🖤🥶,0xffffffff,28000280,50065,22,|ПИТОМНИК|☺️
22,#PPLQVUCJY,Alim,0xffcb5aff,28000014,50002,23,BIG PIG🐷🐽
23,#98QUQ8C2,TiotiaLexa,0xfff9c908,28000305,49881,24,беляшики
24,#9LU828LPP,𝙀𝓇𝓪𝙭 ᵗᵐ🖤,0xffcb5aff,28000254,49478,25,
25,#LYYG0P92C,mzznelzy,0xffffffff,28000228,49343,26,з@лупа
26,#9GQ99CPR2,魔Katana。🥷破,0xffffffff,28000273,49226,27,Legion🔝Victory
27,#2L0L2JC8R,призрачный леон,0xffffffff,28000094,48976,28,
28,#P8GCQG2QC,等議題,0xff1ba5f5,28000220,48644,29,Just Chillin'
29,#YLGYJYUPJ,OIS RASSA,0xffa8e132,28000129,48274,30,mercy
30,#8YUR8U9UY,⛩️爱 | ᴅɪᴀᴍᴏɴᴅ,0xffcb5aff,28000184,47982,31,Лига Бравлеров
31,#YUGRYC8QP,KeNoS|🧬,0xffffffff,28000155,47832,32,Хижина Минди❤
32,#82QCCG9QU,ЛЕС Идель,0xffa2e3fe,28000267,47520,33,FAVELLA
33,#92QQ82J8U,BASHKIN,0xffcb5aff,28000182,47216,34,
34,#PYQ8Q9988,🥀R❤️MAshka🌼,0xffffffff,28000305,46927,35,👑 TM|INFINITY⚡
35,#89UQ8UL0V,я нуб и труп,0xffcb5aff,28000276,46806,36,HunterZ
36,#8JYCURQCL,некит читер😈,0xff4ddba2,28000301,46681,37,Keb Easport
37,#2C2LLLVGR,(^^),0xffa2e3fe,28000293,46318,38,バトロワ勢の集い
38,#PUGVPRQC8,愛~𝐬𝐥𝐚𝐲Z✧,0xffcb5aff,28000348,46251,39,
39,#VRCV82UJ,AI 3,0xffff8afb,28000303,46150,40,三ツ矢サイダーPOP
