,tag,name,nameColor,icon,trophies,rank,club
0,#2RUVRJYJ2,SY|Faͥbͣuͫᴳᵒᵈ☔,0xff1ba5f5,28000061,73738,1,Ex0tic-E-Sport
1,#8RYRU28Q0,koji <3,0xff1ba5f5,28000018,73708,2,<c5>Just Us</c>
2,#R0R28JR2,TTV|xJay,0xffcb5aff,28000241,68216,3,LA Global
3,#2CU80LVRQ,Mortis Knacks%,0xffff9727,28000253,65634,4,ᴅᴀɪʟʏ
4,#RJJ20JJP,CPU | c0r_br0🐙,0xffcb5aff,28000291,64361,5,CODEMAGIC
5,#PLL0V88V9,Alex |Boss👨‍🍳,0xfff9775d,28000336,64199,6,Die Tafelrunde
6,#Y20LQRGP0,ʟᴜᴋᴇ♡,0xffcb5aff,28000278,63394,7,Team Jonas
7,#P290Q2UQJ,🔥BS|Petzi🔥,0xffcb5aff,28000286,63034,8,Vikings VI
8,#2L0Q22YY0,Strange,0xffa8e132,28000263,62853,9,DPB | ⚡Esport⚡
9,#2JCV0CLQ0,Queen Miku 🧸,0xffcb5aff,28000333,62260,10,THE HEADHUNTERS
10,#Y8CJV9C8Y,Ice|SkyColt,0xffffffff,28000297,62150,11,Kamikaze
11,#PVV298U8,Sᴛᴇғ ᶜᵃʳʳʸ ʸᵒᵘ☺,0xffffffff,28000241,61818,12,FlyHigh🛐
12,#29U9CYPRV,Dqriio❤️,0xffff8afb,28000037,61701,13,Few But Good
13,#G922828R,ritsar,0xfff9c908,28000061,61434,14,Smart
14,#28QL9JPJY,老虎|John🎃,0xff1ba5f5,28000175,61302,15,Future Talents
15,#8P2U09RPV,kitsune,0xfff05637,28000224,61206,16,Ꝉҽʂ ҠìӀӀҽɾʂ ™💣
16,#2PYJVUULV,Evil | SnOw🔥🖤,0xffcb5aff,28000349,61186,17,Ѕℓυѕнιє
17,#28820UR80,NLS|Rice,0xfff05637,28000331,60926,18,trolling
18,#VJ0CYL8P,lil lauch,0xffcb5aff,28000272,60902,19,TG|TheGods🥶⚡️
19,#LUPP0LYLJ,Mia,0xffcb5aff,28000085,60779,20,Vikings VI
20,#2JV022QC8,AT|Spoookey 👻,0xffff8afb,28000118,60646,21,Vikings VI
21,#P2L8QV2V9,🐼BC🦥,0xfff05637,28000256,60363,22,DrachenLegion
22,#Q9JQCPUP,🔥BS|Niklas 🌖,0xffff9727,28000259,60355,23,
23,#2RJ9VUCRL,Josef❤️Lamas🦙,0xffff9727,28000233,60315,24,TheLastManStand
24,#20J2QCRQG,24Paul24,0xffa8e132,28000008,60299,25,mse
25,#88UR2Q2Y8,clemens,0xffa2e3fe,28000017,60224,26,kopfloser hase
26,#9Y8UV980Q,ninja,0xfff05637,28000037,60091,27,Österreich
27,#89YG88L88,Waldemar,0xffa2e3fe,28000112,59979,28,NOS|NieOhneSpaß
28,#U09LLCPU,Deox̸ys™,0xffff9727,28000299,59929,29,DarkEvil™
29,#8P0UGQCC8,RV|Rocky🐻🔥,0xffff8afb,28000023,59828,30,♕︎Rɪᴠᴀʟs🃏
30,#Q0V89GVL,Schecoluga,0xffcb5aff,28000125,59586,31,1 Person Test
31,#QRGR28RQ,YT|Victorieux🎴,0xffff9727,28000331,59308,32,LetThemCook🥭🧊
32,#90R2QC8,Anubis🦈,0xff1ba5f5,28000121,59164,33,
33,#J9CLC0LC,OG,0xffffffff,28000168,59078,34,No-Limit
34,#PQVGR2P2,ZETA | Uchiha⚡️,0xfff05637,28000139,59063,35,Spanish Legends
35,#2PG2L8CR,KL|KingLukas,0xffff9727,28000322,59035,36,60K
36,#2YP9CPPY8,Sɪᴅᴇᴄʜɪᴄᴋ♛,0xffcb5aff,28000335,58927,37,Lesch0x Army
37,#2YQJLQVCJ,Powdertoast,0xff1ba5f5,28000348,58843,38,StonedBrawlerzz
38,#9PR0V2VL2,Tosh 永远是第一个,0xffcb5aff,28000175,58611,39,
39,#PPLU8JGJY,Niciツ,0xff1ba5f5,28000247,58610,40,StonedFighterzz
40,#Y2QY0VY9U,🕊🤍|Taube|🤍🕊,0xfff9c908,28000272,58609,41,Brawl Imperium2
41,#LVV8GQ8U,CxlledLuka,0xff4ddba2,28000253,58227,42,StonedBrawlerzz
42,#8RL28VJ2P,THE COMET,0xfff9c908,28000295,58223,43,United Empire
43,#L0YJ9UUY,Gangster Rapper,0xffa2e3fe,28000170,57911,44,Partytime
44,#YP9YY9YJU,Olma🥷,0xff1ba5f5,28000167,57765,45,Brawl Imperium
45,#VCJCYCYR,Jangstin12,0xfff9c908,28000122,57739,46,Spanish Legends
46,#2Q20RQPU9,Rafael 7,0xffa8e132,28000247,57602,47,Austia Legends
47,#VQCYC2P8,TH|Maddy😈,0xff4ddba2,28000290,57576,48,Schlafmützen
48,#80L0GQU0,Valerian,0xffff9727,28000281,57512,49,German Avengers
49,#2Y9LYU9YP,LTE|Lukas,0xffffffff,28000139,57473,50,brawer_skin
50,#PYGP9U2QJ,Lorenz,0xffcb5aff,28000350,57198,51,The Classics
51,#GRYUP0VU,DineMama,0xffa8e132,28000197,57190,52,
52,#PPQGLCLQY,Angel❤️,0xffcb5aff,28000330,57157,53,AUT–AREA™
53,#9YLVRPUU,Burger king,0xff4ddba2,28000204,57155,54,🇩🇪LEGENDS🇩🇪
54,#80LYY0PVJ,案 | 𝐄𝐝𝐨✮,0xfff05637,28000321,57037,55,Mystic Hellfire
55,#Y0CY2280,alex,0xff4ddba2,28000320,57012,56,⚔️PVP RASH⚔️
56,#88RRUQ08P,ㄞМаттео🖤,0xffff9727,28000333,57012,57,We❤️‍🩹Showdown
57,#8JVRJPJVR,雪暴|Blizzard,0xff1ba5f5,28000276,57007,58,Vikings VI
58,#QY2UVPV,Ziad,0xff1ba5f5,28000242,56965,59,Batigarzi
59,#PLC8RPY0,куро4ка ряба,0xfff9c908,28000110,56887,60,<c0>★DARK★</c>
