,tag,name,nameColor,icon,trophies,rank,club
0,#9YCUUVVPU,_Prôsty❦.,0xfff9c908,28000176,75205,1,Tribe Turkey
1,#8LGGPUVP2,EâglePâW❤️‍🔥,0xff1ba5f5,28000207,70202,2,RAXENS~
2,#99PRPGQYC,ᴳᵒᵈD̷y̷n̷a̷🎋,0xffff9727,28000346,69119,3,🗡️| Impossible
3,#J98LR0UR,✴LOGAN 2006✴,0xffff8afb,28000129,69007,4,SoloDuo🥶
4,#89VL8Y90G,BG|Mozart🖤🔥,0xff1ba5f5,28000233,68403,5,LA Global
5,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,66352,6,ᴅᴀɪʟʏ
6,#90YRG9G8R,Oh My Fred🥵,0xfff9c908,28000254,64400,7,AE|JusT Play
7,#UYJVUVUQ,ツAM҉İN҉🇦🇿⁴⁴,0xffffffff,28000213,64101,8,<c7>V|Team✨</c>
8,#2JQ9L9YY8,P4S | General♡,0xffcb5aff,28000003,64058,9,P4SSANGERS
9,#8QCPYL9LC,❄️QLS|StayLay❄️,0xffffffff,28000000,63455,10,AZE❤TURK
10,#J20CGPYU,Exspereonis,0xfff9c908,28000339,62530,11,<c6>Axolotl</c>
11,#L2PRJQY92,XP|Wolf🖤,0xffffffff,28000175,60701,12,XP|REALM
12,#PLCJ9JU08,聽|Le̸v̸e̸n̸x̸☔,0xffcb5aff,28000129,60567,13,DénkYørk🥷
13,#22R2RJCPG,水禅 | apollow🩸,0xfff05637,28000304,60497,14,<c8>Lafkkお</c>
14,#8QUUGQQ8Y,Fxsion⩔,0xffffffff,28000336,60444,15,oldbutgold
15,#8VUPP09C,Tiger🥶,0xff1ba5f5,28000278,60415,16,
16,#8LULV9QG9,ĂŁĬ™,0xffffffff,28000331,60038,17,+CyberTeam+
17,#YP2J0VL2P,🇦🇿MURAD🇦🇿,0xfff05637,28000305,59697,18,девчуули
18,#8VJC90JJ0,NO NAME,0xffcb5aff,28000105,59423,19,
19,#9VQLVGLQP,Stinging❤Stroke,0xffff8afb,28000254,59150,20,Pain4Win
20,#28UG8LRVQ,螿|Ｒεｚά 🥵,0xffffffff,28000261,58897,21,Duo'♡
21,#98QLCY9R2,💎цунгват 💎,0xffcb5aff,28000349,58590,22,TRIBUNVL
