,tag,name,nameColor,icon,trophies,rank,club
0,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,70122,1,weird gamers
1,#CPLPPVPJ,Allawi325,0xffa8e132,28000247,65579,2,GG <c7>Mech</c>
2,#89VL0RRUR,عبدالرحمن,0xffff9727,28000346,63753,3,ملوك فلسطين
3,#P08PUVJPJ,AsD|Aisberg♡,0xffffffff,28000290,59920,4,
4,#PP8CQUY00,mahmoodD,0xffffffff,28000263,59342,5,<c9>Dragon</c>✨
5,#90UQPCPUQ,CRY|MOHSEN,0xfff9c908,28000256,59228,6,Night Stars
6,#2V9P0Q0U,السفاح,0xffa2e3fe,28000141,58467,7,جعويط
7,#8YRVRL0P,carfo 🐙,0xffffffff,28000007,58282,8,MenAreUp
8,#99JCJGV2J,『 Łwá❦』,0xffffffff,28000139,57398,9,Team|Players🖤
9,#99C9GYJLV,技能𝚂𝚔𝚛𝚒𝚣𝚣❦,0xfff05637,28000023,56967,10,DDK komplex
10,#PV2R88CGQ,superbaleze,0xfff05637,28000252,56634,11,Adulte France A
11,#8Y22L98YV,OJC|Jess⚡️,0xffff9727,28000348,56021,12,Gg|My Clan🥀🖤
12,#8RPCCYRVJ,؟؟؟,0xff1ba5f5,28000112,55525,13,ملوك فلسطين
13,#QLQVU29,Dark_Warrior,0xfff9c908,28000272,55393,14,
14,#C8CGCJYV,Hululu,0xff1ba5f5,28000034,54649,15,Kiwi Krew
15,#2Q2VUPQQ,$the pro maste$,0xffcb5aff,28000156,53666,16,X'LENGENDS ☣️
16,#P209JLY9Q,⛩¥€|Felex⛩,0xffcb5aff,28000175,53493,17,Mystery Killers
17,#8U9CL00YR,Div!处|🥀,0xff4ddba2,28000244,52616,18,UNITED ESPORTS
18,#208LJQPJ9,是|Kiłłerツ,0xffa2e3fe,28000008,52413,19,𝐒𝐊| 𝐋𝐈𝐆𝐇Ƭ
19,#809V9RJ2,mjawad,0xfff9c908,28000037,52112,20,why so serious?
20,#8RPCYLU28,Ahmed🔪,0xff1ba5f5,28000135,51887,21,<c7>BLITZ</c>
21,#9JU2GJ0R,Abood,0xff1ba5f5,28000352,51866,22,Hujair
22,#22RQY9UGG,ysfo0o12,0xfff9c908,28000284,51718,23,Tribe|HELL
23,#20Q88YPVC,myyth055,0xff1ba5f5,28000218,51661,24,why so serious?
24,#20LJG0VL2,JANE,0xffcb5aff,28000035,51612,25,Kiwi Krew
25,#2G0PV9CL,martyooo,0xffa2e3fe,28000339,51300,26,‏☬_❂𝒯❂ℛ𝒩𝒜𝒟✰
26,#YY2RP0JGG,ｷ乇尺丂ひﾚ,0xff4ddba2,28000248,50956,27,sunlight💫
27,#YCVUG29G,⛩️|₵Ɽ₳ⱫɎ₭ÏḼḼ℥℟,0xffa2e3fe,28000017,50943,28,
28,#UCQ9LURR,MahdiLYNX,0xffcb5aff,28000336,50668,29,HUNTER KILLER
29,#8VY9JVL8G,master,0xff4ddba2,28000016,50522,30,Liga de Clubes
