,tag,name,nameColor,icon,trophies,rank,club
0,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,80238,1,Tribe Turkey
1,#QLU8YLP0,〤𝐑𝐚𝐟𝐢𝐗❦ᴛ๓,0xffcb5aff,28000278,71731,2,vMoove
2,#JP9P0LJG,Byrox❤️‍🩹Xorox,0xff1ba5f5,28000302,71171,3,ᴅᴀɪʟʏ
3,#29UYQ90J9,ℂℝ| 𝑩rownies🪐,0xffff9727,28000000,67552,4,Illuminate ✨
4,#98C0VR8J,あ|Bommer ❤️‍🔥,0xff4ddba2,28000322,67284,5,vMoove
5,#9PRU2PJUP,༄𝑺𝒌𝒚𝑷𝒓𝒐✨,0xfff9c908,28000020,66947,6,
6,#2PJJCLPUU,暗|IDarkLex💜,0xffcb5aff,28000129,66850,7,tontonflingueur
7,#JQ20LV8,Motivation.,0xfff9c908,28000142,66754,8,Unima Gaming
8,#820CQ2L8L,lol gamer,0xffff9727,28000182,66226,9,BP|<c5>GANG</c>
9,#2UU929P89,MO | 𝙰𝚕𝚎𝚡🦋,0xff1ba5f5,28000095,66174,10,TL|Team Luzou
10,#P09YVLGCU,を|ȤagƦeus,0xffffffff,28000336,66064,11,ᴅᴀɪʟʏ
11,#2JJ9JP2CQ,😈Lqcas_God💘,0xffcb5aff,28000176,65999,12,Skill issue NL
12,#8J8PVCRQ8,ANAAN ʕ•ᴥ•ʔ,0xffff8afb,28000020,65744,13,Dysphoria
13,#920J9G20V,Alk4pote,0xffffce89,28000020,65596,14,
14,#Q2R90U2,❄️Hero Ben❄️,0xfff9c908,28000332,65352,15,The Crown
15,#88CPLYRQ,😈Milanᴾᴿᴼ💘,0xff1ba5f5,28000175,64860,16,Skill issue NL
16,#988U8V89,Di Matteo❤️,0xffa8e132,28000136,64661,17,RealDutch
17,#8LLLQVVRQ,ᵒᵖ|Öʍɛʀ🧸,0xffcb5aff,28000150,64465,18,Puit♡
18,#JQ2J8RGP,夂|Sεʀʀε Fɨøɴツ,0xfff9c908,28000137,64348,19,F/A India
19,#PQV8Y0U0P,NeyͥŦiͣkͫFix꧂,0xff1ba5f5,28000299,64195,20,TI | TEAM
20,#8PGPCQJ8Q,ANMLS |parano,0xfff05637,28000211,64002,21,Animals ❤️‍🔥
21,#2VCR2GV,Asjio♡︎,0xffff8afb,28000334,63943,22,tontonflingueur
22,#YLRLC2YYJ,NML|♡Nonante⍨,0xff1ba5f5,28000253,63685,23,16-14|Esport🏓
23,#U8R82CQ9,VORTE乂ᴷⁱˡˡᵧₒᵤ🥀,0xff1ba5f5,28000129,63274,24,YT : ELCANGRI
24,#PJ0PQL8PL,君|mattis🌴❤️‍🔥,0xffffffff,28000230,63235,25,RealDutch
