,tag,name,nameColor,icon,trophies,rank,club
0,#VQYCRRL0,Lebron 🎧🏀,0xffff9727,28000347,59588,1,Family
1,#2JCYRVR80,ggggg,0xffff8afb,28000305,56816,2,슈파카브라
2,#9UUY890Q,EE|SwIpE|♌,0xffcb5aff,28000347,56241,3,Lord dragon
3,#2QJU0VG88,🦑iWesdr🥱,0xff4ddba2,28000254,53576,4,Lord dragon
4,#CL8QUP9L,PRO ELA,0xffffffff,28000247,51147,5,Astralis
5,#LP2VGYPPV,❦GMT‖𝓜𝓮⭐︎,0xffa8e132,28000271,50323,6,✭𝕋_𝕄•*¨*•.¸¸☆
6,#9ULGJQ22L,NaVi | Daniel,0xff1ba5f5,28000076,50008,7,Хата Пипла
7,#PYRQR9UG,Ben Samo,0xffffffff,28000084,50002,8,team.vfx
8,#QRL9U8UC,🂱𝐖𝐢𝐧𝐝Ψ,0xfff05637,28000023,48138,9,ŦɌ | EXⱣɆɌŦ•¥
9,#809UJVGV,229 | kenopow🥷,0xffcb5aff,28000305,47973,10,La French🚭🔞
10,#QCJ9R2CL,xd|arlex🥀,0xffcb5aff,28000352,46304,11,Youtube KINGS👑
11,#9GGQUL8YP,Hafez😈🐍🌵,0xffcb5aff,28000305,45432,12,<c9>AK</c>tsuki
12,#2CP8C20Q8,Mapro,0xffcb5aff,28000305,45110,13,Monte|BS
13,#8QQQQPPYU,+5|𝔹𝕝𝕒𝕚𝕕♣️,0xffffffff,28000335,44811,14,No t🦠xic ppl🖤
14,#CQU8009V,it's Klendyy?💔,0xffcb5aff,28000061,44487,15,
15,#928CPR2L,스님 먹다 걸린 고기,0xffffffff,28000175,44352,16,JT|✨️크루
16,#J90RC0Y,Eliot,0xffffffff,28000332,44257,17,L'zer
17,#902L009PC,SᴇPʀᴏɴɢᴇ🎭,0xffffffff,28000139,44144,18,Mega Pig
18,#8QJVG0G02,BF|Canzy,0xffcb5aff,28000110,43994,19,
19,#8LV99PYPY,정훈,0xff4ddba2,28000037,43920,20,신사와아가씨
20,#2200UJPJV,HC™ | Leon4ik,0xfff9c908,28000156,43914,21,the power trip
21,#9QL9J,Mega-Brawler,0xfff05637,28000016,43516,22,
22,#QRGL8PGG,Gustar,0xff1ba5f5,28000273,43319,23,Dream🔥✨
23,#U0PYP8Y,SkuLL,0xffffffff,28000127,43115,24,La French🚭🔞
24,#LUL9U2YCQ,Balistar,0xffa2e3fe,28000274,43021,25,TeamStars
25,#J8UYVGP8,Un nain coloré,0xfff05637,28000164,42962,26,Alpha Burger
26,#9PL028R90,ddma,0xff1ba5f5,28000337,42437,27,TG|TheGods🥶⚡️
27,#2LCUL98UR,King's Brad,0xffa2e3fe,28000041,42264,28,BSB LeGendS
