,tag,name,nameColor,icon,trophies,rank,club
0,#C89LLQL2,小秦,0xffa8e132,28000339,61557,1,
1,#8LQVJ00PG,#SUSHIBOY,0xff1ba5f5,28000345,53146,2,трезвый фикус
2,#YP08JYLR9,やoͥlsͣkͫa,0xffcb5aff,28000176,52391,3,Second Sight
3,#8VJV2J92J,IHATETHSWRLD💔,0xffff8afb,28000102,50304,4,Forward Team🍃
4,#8UUR09R8Y,brawllилья,0xfff05637,28000168,49749,5,токсик
5,#8C0229UPL,mumu,0xff4ddba2,28000254,49008,6,AQS♧babouchka
6,#8GQP0LQ8Q,Jacob 🐣💛,0xfff9c908,28000262,48180,7,ᴛᴀᴍᴀʀɪɴᴅᴏ|TNQ
7,#20PCJLPLU,fish🐬,0xffffffff,28000095,47504,8,GOD PLAYERS
8,#292C2RJJ,ByDracko57,0xff4ddba2,28000151,46705,9,Ayuwoki
9,#PCCY2CPQL,あ|Braziz💛,0xff1ba5f5,28000337,46542,10,🍓🍇🫐
10,#L99Q2Q820,Back4Ground,0xffffffff,28000255,46524,11,Dangerous Club
11,#9GU2RCPC0,⛩RZM64❤️,0xffffffff,28000173,46049,12,⚡Dragon⚡
12,#VP9928GQ,Ватой мужик,0xffcb5aff,28000130,46031,13,blackwhite5
13,#P9V2RGV8L,葉|•𝐃𝐚𝐧𝐢•🥀,0xffffffff,28000175,44829,14,Genesis
14,#2JQ8JVVUR,★★Saeed★★,0xff1ba5f5,28000044,44613,15,Brawl pirates
15,#8CP2J9GVU,el loser tonto,0xffcb5aff,28000333,44490,16,TopsSxvx
16,#LGGYRU88,Hambu,0xff1ba5f5,28000175,43397,17,QLASH|YouTube
17,#9YCP8929J,biba Pirat,0xff1ba5f5,28000148,43339,18,
18,#8PRLLRC8,パワえもん,0xfff9c908,28000290,43200,19,ゆかた淫the worlD
19,#2CU9JL9UY,rico,0xff1ba5f5,28000286,43162,20,La Bea💎
20,#8RYVJYGJR,EvgenEvgen,0xfff05637,28000255,42572,21,FFA|TEAM🌀⭐
21,#9YU8U8GGJ,🕷️|Bizarrap‡🥀,0xff1ba5f5,28000278,42542,22,ESIMIOS
22,#UC8G2GP8,Я БЬЮ ЖЕНЩИН,0xffcb5aff,28000228,42477,23,
23,#8GU9LQCV,percebeCOOL,0xffcb5aff,28000064,42327,24,los zopilostes
24,#2YCVLCG0P,lukas,0xffffffff,28000349,42250,25,StonedFighterzz
25,#9Q0JLGL2G,悪魔|zeynox,0xffa2e3fe,28000263,41952,26,惡魔LŪNÅR🌒月亮
26,#22R2PQJGJ,Паша Ювелир,0xffffffff,28000307,41877,27,беляшики
27,#G8089VL8,QLS|Igna10,0xff4ddba2,28000341,41735,28,PALTEC
28,#2CYQJ82L0,Harel,0xffa8e132,28000347,41544,29,🌀Konoha🌀
29,#Y99RJ9V8V,путь радуги,0xfff05637,28000226,41512,30,
30,#V0CP2LLL,Filonek,0xffffffff,28000225,41414,31,PG Academy
31,#902GGUCPJ,🌆/Ħ₳₦₮ɆɌ~🗽,0xffffffff,28000138,41318,32,PABLO BAND🌵
32,#89PJQUGCP,крейсер,0xffffce89,28000047,40924,33,
33,#99JJ9V200,kraven,0xffff9727,28000061,40845,34,BrooklynBrawler
34,#QR8RGP9R,𝗠𝖆𝘅𝖎𝖒🐬,0xffff8afb,28000184,40651,35,<c3>Fis</c>hy🐠
35,#2VUCY2QRL,❤️☠️wrecked❤️☠️,0xfff05637,28000278,40521,36,TiltedGamers YT
36,#PY2Y9C8YU,★Marciozim★,0xffa2e3fe,28000335,40350,37,resenhasBR
37,#2LUCULRG8,Arminou,0xfff05637,28000281,40326,38,Ɓ$|$ÑØW❄️
38,#2VRRR8PL0,준휘,0xff1ba5f5,28000037,40240,39,07
39,#8PG02J9GC,twins08,0xff4ddba2,28000349,40174,40,I CICOMONZI
40,#8Q9LY9P02,Bad Boys,0xffcb5aff,28000291,40155,41,София и Миша YT
41,#L89V82JQQ,GSW CHAMPION !!,0xffffce89,28000335,40073,42,Energy Drinks
42,#99PPPJC90,tu ex,0xff1ba5f5,28000018,39767,43,REALG4LIFE
43,#Y9U29LGC,🔥Miami_ultra🔥,0xffcb5aff,28000348,39634,44,Pray for us
44,#Q88VL2JGL,Denon,0xffa2e3fe,28000262,39617,45,A 8 YT
45,#8G209JVG9,Snipe,0xffff8afb,28000073,39583,46,클럽리그
46,#QLYQV9JR,Brawler,0xffcb5aff,28000336,39530,47,CMG Poland 2
47,#P02RLYGL,razrushitel 💥,0xffcb5aff,28000033,39468,48,Бобренки🥰
48,#89QVRVUYP,💗VILONBABY💗,0xffcb5aff,28000305,39405,49,Smokinbuddha's
49,#8RVPRYPJP,⫷⚔K̷o̷M̷a̷R̷⚔⫸,0xfff05637,28000180,39368,50,Banda Kaktusa🌵
50,#Y2PUL8P9Q,ᴋᴀᴇɴᴀ|後,0xffffffff,28000343,39301,51,[BS]RUSSIA
51,#828YCJ8P8,מנגו100,0xffa2e3fe,28000207,39053,52,🚗 car
52,#8RVU8CUCG,JOHAN👿🤡,0xff4ddba2,28000347,38957,53,classroom
53,#9Q8CQ2RL0,Full_Dark,0xffffffff,28000104,38920,54,клубная лига
54,#20JLLGG02,Âĺůč@řð,0xffa8e132,28000290,38723,55,Boosted
55,#P00LPJ2CY,橱┃卄卂刀尺卂乂☔,0xffffffff,28000000,38710,56,
