,tag,name,nameColor,icon,trophies,rank,club
0,#2JYQQGRJ0,AlvareX,0xffffffff,28000017,69409,1,Team GV
1,#2092CLLP,ʟᴅ|ᴋᴀͥɴᴇͣᴋͫɪᴳᵒᵈ,0xfff9c908,28000278,69128,2,LEGENDS DREAMS
2,#PUCC0URP,SxyDavîd✓,0xfff9c908,28000095,68760,3,LaViejaSchool
3,#LVPU2RL,Sкai❦,0xffff8afb,28000108,68295,4,F̶G̶Z̶✨ɢᴀɴɢツ
4,#8LU8GJR9,友達|Ʋℓтяα☄,0xfff05637,28000023,65896,5,LEGENDS DREAMS
5,#20G9LC082,MrDante,0xffff9727,28000277,65367,6,<c7>Hive. </c>
6,#9LGU8CQR,Nano🐢,0xffa8e132,28000018,64254,7,No Mercy
7,#CQQ9VQVV,Kairos,0xffffffff,28000314,63939,8,X-Force Bolivia
8,#YQQ22LYC,死|𝓒𝓗𝓘𝓛𝓐 ✞,0xfff9c908,28000299,62616,9,Criminal eSport
9,#P00V2UCRR,☄AssassinO.o ☆,0xffffffff,28000230,61894,10,
10,#9JR20VGQG,F3RN4NPR0,0xfff05637,28000294,60264,11,CHAO
11,#LPYQJV28,FireCrow :),0xffcb5aff,28000168,59978,12,BR|VeteranoS
12,#9JG08GR9,𝘽✘𝗭|Conde🦇,0xffff9727,28000064,59948,13,Gogeta's Army
13,#VYV0JURC,Limbert,0xffa2e3fe,28000286,59654,14,LA Crystal
14,#R2J9G0G,ㄒ卄乇 🇱 🇮 🇴 🇳,0xfff05637,28000150,59136,15,Panas de Axito
15,#892Y0LC8G,^/Toxic-RN7/^,0xffff8afb,28000305,59053,16,BarbaFantastico
16,#2L8C9UP9,Lío shaarawy ❇,0xffff8afb,28000297,58867,17,<c4>OMEGA X</c>
17,#902C9PQUV,JDX,0xff1ba5f5,28000330,58513,18,»Bubble♡Gum«
18,#99LQL8QVY,TB|DARK ZEN|$,0xffff9727,28000224,58513,19,CLAN (-F-)
19,#PJLCU2PLP,Thiagoイほ,0xffa8e132,28000129,58384,20,Tunometecabra
20,#GCRCVVQ8,Josias♥️Dove,0xffcb5aff,28000291,58188,21,LitheX🐢
21,#9Y0GG9CQC,JHÄMÏĹ :V,0xffffce89,28000109,58026,22,🧀MUSSARELOS 2✨
22,#YJU9RGVL,☢️Almanza☢️,0xffff9727,28000129,57956,23,CLAN (-F-)
23,#2R9JG8LR8,🦋𝓨𝓸𝓻𝓭𝓪𝓷✨,0xffffffff,28000345,57922,24,Sanfe Stars
24,#Q9J0JLU,大𝕭ЄŁŁЄИ大,0xffff8afb,28000346,57397,25,大DØÑA大
25,#CQY808V8,Diego Sullca,0xfff05637,28000119,57369,26,LEGENDARYS
26,#29YJYJCJG,𝒞𝓇ℯ𝒶𝓉𝒾𝓋𝒶,0xffffffff,28000291,57360,27,minuta:3
27,#UUJPY9Q,rearts,0xffffffff,28000333,57236,28,AutoFireGod's™
28,#20LR9289C,ᶦᶰᵈ🔥Gᴀᴍᴇʀ 🔞,0xffcb5aff,28000297,57211,29,🙂🙃😉😜😝😝😝
29,#PLP08QCQU,AL|Lukas💚,0xfff05637,28000321,57114,30,Team GV
30,#2QP0C8YCL,大ANABЄŁ大,0xffcb5aff,28000341,57107,31,大DØÑA大
31,#9C2YCPJUG,Arthasツ,0xffffffff,28000047,57079,32,X-Force Bolivia
32,#2GU2GPJ2U,Beymar,0xffa2e3fe,28000294,56989,33,X-Force Bolivia
33,#8JRVU0CPC,𝕽𝖆𝖚𝖑☙,0xffff9727,28000348,56988,34,Zeta Wanted
34,#8RR92PVVL,YT|꧁༒LÊØNÂRDØ,0xffff8afb,28000023,56900,35,BrawlConQueso
35,#29G09JP82,SCORPION,0xfff05637,28000175,56867,36,los lomitos🥪
36,#RCJCCUPU,Jeff,0xfff9c908,28000097,56790,37,EL BRAWL😪
