,tag,name,nameColor,icon,trophies,rank,club
0,#2UY9RP,Prof.Petar,0xff1ba5f5,28000304,66924,1,Bosnian Legends
1,#82CL2V02J,SKY |Mahe,0xffffffff,28000005,64885,2,Self Respect🖤
2,#RV9P8R2Q,BOSANAC,0xff4ddba2,28000341,62786,3,Bosnian Legends
3,#9VPY880CC,Mᴇᴋɪɴᴊᴀ🥀,0xffffffff,28000335,61351,4,Bosnian Legends
4,#2GU8QUJJQ,Ҩ|Dzøntaᵍᵒᵃᵗ❦︎,0xfff9c908,28000218,61329,5,QLASH Serbia
5,#28YC9YGP9,『🪐Milanini🪐™』,0xffffffff,28000139,60412,6,Fake ⛏️
6,#8GUUJRQ2J,мαяισ,0xffff8afb,28000225,58933,7,Bosnian Legends
7,#9C0RQGYCJ,『火|Legend🌪』,0xffff8afb,28000044,58854,8,cheese el pro
8,#P8CUCLJ9G,ReturneAuLobbie,0xfff9c908,28000018,58820,9,Bosnian Legends
9,#2JRRCYGR0,😴|Mr.D1no🖤,0xffcb5aff,28000333,58271,10,banda s bokseri
10,#99R2J8U98,Brawl player☘️,0xff1ba5f5,28000151,57073,11,United Empire
11,#2UUG00JQC,Kiki🕊,0xfff9c908,28000218,56868,12,Bosnian Legends
12,#8V2Q08VVL,🇧🇦N͎i͎h͎a͎d͎,0xffffffff,28000140,55817,13,$BiH$Soldier'$
13,#9LPC289C9,Jufik,0xff1ba5f5,28000299,55645,14,TM|Active
14,#2P208GQRL,malisale,0xffff9727,28000305,55330,15,Bosnian Legends
15,#20VYRLUL2,necod,0xfff9c908,28000156,55139,16,Bosnian Legends
16,#2LQYC0G2P,KGB|BISA,0xffcb5aff,28000265,54396,17,OG Balkan
17,#2JRG8999Q,Edox7,0xffa8e132,28000151,54166,18,7star CLUB
18,#8YU998Q8,Neki Stranac,0xffff9727,28000305,53700,19,Bosnian Legends
19,#88Y9CUR08,Babicic🥀,0xffffffff,28000194,53555,20,Bosnian Legends
20,#8QVLCLV2J,miguel,0xff4ddba2,28000135,53107,21,KS Green
21,#CLJRGLQ8,天神也畏惧我三分,0xffff8afb,28000301,53078,22,tokyo clab
22,#2JVPVGCYY,Nacolini,0xffff9727,28000037,52969,23,BALKAN V.I.P.
23,#2UVV9LUVC,‼️NenoPro‼️,0xff4ddba2,28000341,52522,24,BosnianLegends2
24,#2C0RY82U,LAB | DUsAn,0xffffffff,28000183,52069,25,PIG HUNTERS
25,#998CGUU29,GM_THE ŽILE,0xff4ddba2,28000303,52046,26,
26,#8VYQV92QP,Ninja | LeGas🥑,0xffcb5aff,28000129,51947,27,Bosnian Legends
27,#8PPQLP0U2,OP|Muki_x,0xffcb5aff,28000332,51857,28,BosnianLegends3
28,#22QLYJ9UU,veLx,0xffcb5aff,28000335,51810,29,HORDE
29,#2QU88G9C2,GG|BENJO,0xffa2e3fe,28000341,51565,30,CROATIA POWER
30,#2G2GVYJV9,Fe4RLess,0xffa2e3fe,28000211,51125,31,BosnianLegends3
31,#2JU2P2U02,🥀DudiN🥀,0xffcb5aff,28000281,51108,32,
32,#YYRCVV0RC,Aladdin882,0xffa8e132,28000207,51023,33,Clan Lions
