,tag,name,nameColor,icon,trophies,rank,club
0,#2U9R0YJ8L,愛💞𝐈𝐛𝐫𝐚𝐚,0xffcb5aff,28000212,60025,1,
1,#L2JQG2899,VG|メIllumina🐬,0xfff9c908,28000090,56190,2,Vital Grinders
2,#9VJVR0P29,RZ|Tiki😈,0xff1ba5f5,28000285,50359,3,RZ | Gaming💥
3,#989L0C2QC,NaVi | lulu,0xffa2e3fe,28000132,49439,4,Clém Ad
4,#22CQCPR9Y,Ghøst 47,0xff4ddba2,28000345,48358,5,Cactus Team
5,#9J8YGR8CJ,игр боцмана YT,0xffa8e132,28000136,47136,6,Остров боцманов
6,#9U0Q92JQ8,Ghost Tobi,0xffa2e3fe,28000207,46785,7,3v3 💔
7,#2CG0UYU2Q,Tom D.,0xffa2e3fe,28000014,46519,8,RiMA's Clan™
8,#P9LC9RQQ8,BL | 1strok个😔,0xffcb5aff,28000291,46202,9,
9,#PL8R9PYVJ,pauloPSG75,0xffa2e3fe,28000321,45313,10,BB | Boys
10,#80RVP2GL8,El Paulo,0xfff9c908,28000332,44853,11,DARK ICE
11,#YV2CQVJ9R,Aʟᴠᴀʀo̸ᵏⁱˡˡ ʸᵒᵘ,0xffcb5aff,28000350,44658,12,Ajolotes_Brawl
12,#P9RL8G09U,BU|Grushaツ,0xffcb5aff,28000280,44629,13,BRAWLERS UNITE
13,#2P9CY8R0P,VC|Andrew_6534,0xff4ddba2,28000297,44520,14,100villacañeros
14,#UPPRV9L8,carl✨🕋,0xffff8afb,28000349,44169,15,ARGENTINA >c2
15,#QGJG8289,pippa a sugo,0xffa2e3fe,28000348,44064,16,THE BRAWL KING
16,#2JU8V2UJR,☆grenchik♡︎,0xffcb5aff,28000302,43612,17,AFZ|TEAM💚
17,#80LC909QV,ScareSpix💔,0xffcb5aff,28000207,42992,18,*SkIlL*
18,#CR0JRYQL,☬ˢ₲₳₥ɆĐØɎ ☬,0xffffffff,28000243,42854,19,ELITA
19,#928J0LCJV,luis,0xffffffff,28000262,42811,20,Malditta²
20,#R2LQ0GGL,skywaks,0xff1ba5f5,28000170,42327,21,Menestai
21,#8C8UC892C,Niszczyciel,0xffa2e3fe,28000305,42307,22,RETIRED STARS
22,#PGP2C90YV,Mateusz TV_Yt,0xffcb5aff,28000294,42230,23,TrampkiFanga
23,#LLLVR00JR,josbrocrac,0xffcb5aff,28000014,41937,24,HB|Gaming
24,#QQGJJJYP,Neox🏝,0xffcb5aff,28000332,41563,25,
25,#8JGLGG80P,TeM4ik™BS',0xfff9c908,28000176,41519,26,DRAGON-LOVE
26,#8R9GL9902,McLovin『T』『K』,0xff1ba5f5,28000179,41463,27,Huancavelica
27,#8RL0C9RYG,Sk|⚔️akira🇨🇵,0xffcb5aff,28000135,41427,28,FRERES D’ARMES
28,#9UQ8228P8,Алмаз228💙👑🧊☄,0xff4ddba2,28000280,41342,29,leśne lisy 02
29,#YVU0QLUCY,İMPARATOR,0xfff05637,28000347,41311,30,<c0>N4</c>
30,#PRYY2YYG9,Нуб Дон,0xffff9727,28000218,41193,31,legendary club❤
31,#G9Q08GCP,Dj berga,0xffcb5aff,28000175,40770,32,TFLS|FILIAS
32,#P0JPY00UU,kevem,0xffffffff,28000284,40642,33,Os Cabinhas
33,#9JQQ9G9P,ツ𝕆🪐𝕡𝕤🐳,0xffffffff,28000204,40572,34,Coco♡Choco
34,#PG0P2JYQV,REKIN,0xff1ba5f5,28000096,40250,35,Golden icons
35,#2C00R22J9,NaVi |MMA,0xfff9c908,28000132,40023,36,КАНЮПЛЯ ЗАЙДИ
36,#8RCJQRRPG,S1mple (navi),0xffa2e3fe,28000281,39973,37,gleki
37,#8YJJVRR2R,ACE1|Zero Two,0xffffffff,28000347,39744,38,
38,#282YYRG,Bīļľŷ,0xffffffff,28000301,39504,39,мы крутые сигмы
39,#8VCUPCYLP,LÉON,0xfff9c908,28000295,39474,40,ATEM
40,#GG8YVC9Q,Tark,0xff1ba5f5,28000280,39386,41,MDY
41,#2L2Q28GQ,AkaBorja,0xffa8e132,28000291,39383,42,100k
42,#V8P9VV29,Mr.Wiwor321,0xffff9727,28000170,39090,43,LeBs Easports
43,#P28JJY9VR,LoloFortnite,0xff1ba5f5,28000341,39081,44,👀👀
44,#2VG2PUUJY,Papi,0xfff9c908,28000293,38799,45,LOS PROAZOS
45,#2009LJQG,MARCOOOS,0xffffffff,28000139,38772,46,No Life 2🔥♥️
46,#2VYQJG220,Кирилл,0xff1ba5f5,28000347,38716,47,брувл стурсікі
47,#22RQG9Q8Y,☆TOM☆,0xffffffff,28000190,38682,48,Cuadractus
48,#2C290LPYP,[пот] brawl топ,0xffff9727,28000161,38588,49,
49,#UYCL0LP9,omi,0xff1ba5f5,28000295,38457,50,Show No Mercy
50,#989CL8UCG,Fake Simon🌠🌠,0xfff9c908,28000096,38427,51,Los STARRS
51,#UQ9UU0PG,velocidade_ne,0xff4ddba2,28000275,38404,52,Brawl Clover🍀
52,#JL80QCLP,☔| Lͥukͣaͫsᴳᵒᵈ,0xffff8afb,28000279,38260,53,<c9>Dombo</c>
53,#PL0QGCYCC,@unknown_boy,0xfff05637,28000014,38158,54,SPIRIT Takers
54,#2PVPGP8Q2,правое яичко,0xffff8afb,28000290,37642,55,КІА(НАУ)
55,#8RCQU8UPR,shaurya281108,0xffff9727,28000348,37629,56,Jurassic Club
56,#9022LLYQU,꧁Ďęмøņᵏᶦᶫᶫᵧₒᵤ,0xffcb5aff,28000294,37627,57,*SkIlL*
57,#2R08J2GYC,900000000000000,0xffcb5aff,28000023,37379,58,Jesus Juice
58,#PRUGGYVGR,monster3142,0xffa2e3fe,28000078,37220,59,Squad 58
59,#9PUU2QPLL,1-й бот,0xffcb5aff,28000347,37156,60,клубпоинтересам
60,#8RQ2YJJVJ,Leopard PTA,0xffffffff,28000016,36944,61,
61,#YGJC02LJP,i_love_you<3,0xffcb5aff,28000077,36928,62,д2
62,#990G2LYQL,Edgar,0xfff9c908,28000181,36857,63,ex alperen
63,#RR8GLURJ,Leroux,0xffa2e3fe,28000218,36855,64,éssemoussa
64,#2QGPL9RJR,TM|PACHI,0xffa2e3fe,28000294,36799,65,GRK|LONES
65,#P8098R22,Flarandax_YT,0xffa8e132,28000348,36758,66,KiwiKnights
66,#8QURPC99J,непобедимый,0xffa2e3fe,28000298,36727,67,חורשים כל היום
67,#8CR2C2V88,⚡ғ ᴀ s ᴛ ⚡,0xfff9c908,28000202,36617,68,fort of shadows
68,#Y0V980QCC,isimsiz,0xfff05637,28000298,36545,69,Bad|E-Sports
69,#2PPJJLPPR,☃️kill Santa☃️,0xfff9775d,28000138,36528,70,
70,#C8YCRRC0,Pablo YT,0xff1ba5f5,28000091,36466,71,pibes de jungla
71,#L2GRVQY02,Casper,0xffffffff,28000139,36410,72,
72,#2V8Y2QC8R,hacker,0xffffffff,28000348,36321,73,SFGG
73,#L9V8Y9P00,tt|Xhaeruss😠,0xffffce89,28000335,36273,74,сигмы😎😎
74,#8UJQY0V9Y,ᴍᴋ|ʜɪʟᴅʀᴇʏɴ♡︎,0xffffffff,28000168,36242,75,The red Devils
75,#9PCLV8L8V,Goldpack,0xff1ba5f5,28000285,36058,76,🦂SKORPIONE 🦂
76,#PJQJ0R2PU,hunter clemendo,0xff1ba5f5,28000325,35988,77,Bullet Club™
77,#8UUURJ8YQ,olejan,0xfff9c908,28000273,35910,78,WaRsAw ShArK🔥
78,#2RJJY2RL2,HeYTio,0xfff9775d,28000226,35905,79,Los Cojos Stars
79,#2V808V9,jimlovesbean,0xffcb5aff,28000248,35859,80,Moist
80,#88G9Y2Q0J,Барсик,0xffff8afb,28000252,35825,81,Brawl king's
81,#Q080U08Q,CAT | Almogàver,0xfff9c908,28000078,35808,82,LaGas⛽
82,#2PQLJUCQV,VG | TechnoLag,0xffcb5aff,28000349,35807,83,VG Galaxy
83,#2G8L8PG9Y,スポンジもぐもぐ,0xfff9775d,28000349,35793,84,新ブロスタの里
84,#892RU28QL,| CARLOS,0xfff9c908,28000305,35733,85,Brawl BEASTS
85,#9V2YY0PRG,Palme,0xff4ddba2,28000220,35664,86,Dream™¹
86,#GJUY08PQ,ЧИТЕР777,0xfff9c908,28000348,35643,87,MT GAMING
87,#PCL08V0J9,ZLOY_KOT:3,0xffa2e3fe,28000171,35570,88,
88,#PRP889YCC,⭐️ՏԵ𝘦Ʀ⩎𝘦⩎⨏αɭɭ,0xfff05637,28000023,35401,89,
89,#8RRUVJ0VV,Net,0xffffffff,28000000,35273,90,Os PutosDeParis
90,#8P8LCRJRG,🔑MataRatas【Tu】,0xff1ba5f5,28000352,35205,91,Brawl Legends
91,#PQ2UULL8U,Muzaffer❤️🔥,0xffffffff,28000262,35141,92,
92,#2V00GUC08,VF444🍓,0xfff05637,28000352,35076,93,Dreams_team
93,#P8JGJJQQR,Ich mag Pizza,0xfff05637,28000023,35020,94,BANANA KING
94,#80RYGYJCR,GAMI,0xff1ba5f5,28000352,35006,95,BRAWNDALUCES
95,#29CV9CJUU,TRY|ATN 64,0xffcb5aff,28000044,34977,96,SweatyManety
96,#UVV00GLG,Arnaud,0xffa2e3fe,28000233,34875,97,La Titi Family⚡
97,#2J08G8RRL,ᵐᵒᶜ𝙺𝙸𝙽𝙶ᵇⁱʳᵈ,0xffcb5aff,28000095,34843,98,
98,#9GRVQ2P9U,Mamad Egg🥚,0xfff9c908,28000312,34813,99,RESURRECTIONS
99,#PY082RYGY,Skipi,0xffa2e3fe,28000130,34797,100,TheOneAndOnly
100,#8CCJ9CLQ8,old,0xfff9775d,28000132,34667,101,
101,#2U8Y29Y8L,KoD | ｓｉｍｐｌｅ 🌺,0xffffffff,28000018,34619,102,AFZ|TEAM💚
102,#8CPJLCC28,🌠Tomy🌠,0xffa2e3fe,28000302,34539,103,굴개tv
103,#89GRCGP9Y,oBaMa ChIkItO,0xff4ddba2,28000330,34524,104,chiquito :D
104,#G28L999G,GX giulio_11,0xffff9727,28000140,34521,105,Juanè
105,#2UY220JPY,jules,0xffa2e3fe,28000151,34504,106,Les hypercharge
106,#P0R0J8L80,ROBLOXSER,0xffffffff,28000156,34410,107,
107,#982Y8P92G,tt:nextrorip,0xffcb5aff,28000288,34352,108,TRG
108,#PJRG2LC0J,inan pro,0xffcb5aff,28000167,34307,109,Team Lunar
109,#2J099LQRQ,☆ProGamer1337☆,0xffcb5aff,28000223,34276,110,без баб
110,#PGRUG8G9L,LonDon😶‍🌫️,0xffcb5aff,28000330,34253,111,◕‿◕R͒U͒ ͒G͒A͒M͒
111,#PPULUC89,•NickSuke•,0xffffffff,28000073,34242,112,TodoMundoMorreu
112,#9C829V0CY,GLÁUCIO GEIME,0xffcb5aff,28000228,34240,113,on games
113,#90CCVUVYL,NICOLAS1236,0xffa2e3fe,28000145,34207,114,
114,#99L0CV8G9,CM|Berkay,0xffff9727,28000272,34156,115,3 deli
115,#2QYR2R9JP,Derͥℓeͣzͫz♡︎,0xffffffff,28000037,34153,116,LUCK E-SPORT🍀
116,#2L90U90Q8,Larry,0xfff05637,28000170,34055,117,lil big
117,#8P09CJPGR,stevoluszek2115,0xffcb5aff,28000141,33976,118,
118,#PLPVJJCQY,lacki,0xffa2e3fe,28000294,33876,119,avnwe
119,#8CGV0J00C,禹🔮乂Shuffle:)大约,0xffffffff,28000184,33869,120,ArmiaBizona
120,#9288R0209,ASRO,0xffa8e132,28000021,33753,121,Psycho
121,#8RL0C20UQ,Garav,0xffcb5aff,28000314,33753,122,I PIÙ FORTI
122,#82CGGVUVJ,♡Śmietanaツ,0xffff9727,28000176,33752,123,bs: kings
123,#9RUY9QCJV,TTM|PRAISE,0xfff05637,28000174,33676,124,gli spetrali
124,#99C8CRY0P,🍀Kami🔥good🍀,0xffa8e132,28000023,33676,125,PIES W ZUPIE
125,#PQPGUQCYR,NTF|Mortis🌪️,0xffcb5aff,28000288,33604,126,Any last words?
126,#VCVLC8U9,yonatan,0xffcb5aff,28000249,33576,127,1654
127,#GRV9YGGJ,gato,0xfff05637,28000347,33544,128,OS AMIGUINHOS
128,#2L09V29JQ,xy clans,0xfff9c908,28000281,33509,129,ok team
129,#2RVQ8LQG,👑🐥||Duriel,0xff1ba5f5,28000043,33402,130,coronapollos
130,#880GQJ980,$АхМеД$,0xfff9c908,28000132,33352,131,HyvirCluB25
131,#P92YUVGUJ,anonimus176,0xffa8e132,28000172,33235,132,cacerolaaaa
132,#89P0Y0YQP,RVG | Swonzy❄️,0xffcb5aff,28000004,33185,133,❄RVG💜
133,#8LU99JJLL,Иллка,0xffa8e132,28000065,33181,134,Woo
134,#PRJ8YQLYU,Веббер паук,0xffa8e132,28000184,33124,135,electrification
135,#88GJCG9RL,cattrijadt,0xffcb5aff,28000175,33106,136,
136,#YQRULLV9R,🔱|RYNTYZ|🔱,0xff1ba5f5,28000282,33087,137,Team Aguacatito
137,#R2L9YG2V,Mexify,0xffcb5aff,28000281,33049,138,hraci brawlu cz
138,#9PGU09JVV,plan,0xffff8afb,28000305,33039,139,Astronomia | Bs
139,#2VJRR2J9J,epic,0xff4ddba2,28000136,33023,140,Dark E-Sports
140,#2YC2CQP9Y,ᵞᴮᴶ | E͟m͟i͟r͟,0xff1ba5f5,28000285,32920,141,
141,#9LQPPUCRP,AS|Star,0xffffffff,28000281,32815,142,
142,#Y8PL0LGLV,SALATik,0xffa8e132,28000021,32806,143,
143,#Q8CJ9QL,Pro Orçun Baba,0xffff8afb,28000096,32708,144,Mr Fearless
144,#P0CVCCVLL,Dawidmpm_yt,0xffcb5aff,28000139,32639,145,PolskaBanda
145,#8JJ00U9C8,[SBT] SENK,0xff1ba5f5,28000066,32475,146,
