,tag,name,nameColor,icon,trophies,rank,club
0,#PJ0809CUY,MMH|ᴠᴀᴅɪᴋ🎭,0xffff9727,28000181,58392,1,TTM|Joker🥵
1,#920CQQYCP,𝚁𝚊𝚏𝚏♡︎,0xff1ba5f5,28000284,54429,2,Mothers’ family
2,#PVV0JUJQJ,SEPELTURA,0xff4ddba2,28000284,54154,3,๛Shadow Empireツ
3,#8JGV29UPP,MAG|✨MaGGcian🧙,0xffffffff,28000290,52213,4,Dimension X
4,#2CJ2GU8JR,説 | KRatos〆,0xffffffff,28000000,50882,5,Skills4Life
5,#YJ2CPGGG,KTB|Sasa⚡️,0xff1ba5f5,28000333,50650,6,Los topollillos
6,#9CG0VJGLV,NightmareLuinor,0xffffffff,28000129,50232,7,Remaining Few
7,#9CP8YUGUR,☃︎민규☃︎(奎)ᴾᴿᴼシ,0xffa8e132,28000348,50086,8,과천브롤스타즈
8,#8GYJV98RR,ぼ|эдельвейс❦,0xffffffff,28000188,49391,9,
9,#Y8CCP9VY9,あ|P¡ngűᶫᵒᵛᵉᵧₒᵤ✨,0xffff9727,28000061,48944,10,Universal Bros
10,#2Y2RG0UV0,케렌시아☘바투,0xffcb5aff,28000305,48921,11,KOR|JC-LEAGUE#2
11,#YJJJ8J2VP,WEB|Botyara🐗,0xffffffff,28000280,48752,12,клан фембоев
12,#8YR98VG2C,❤️‍🔥dark🦅wolf,0xfff05637,28000138,48560,13,tribe e sports
13,#8UJLU9YJQ,⎝ツ⎠♚♕♔₭ł₦₲ ฿℟♔♕,0xffff8afb,28000139,48064,14,Bogovete_BG
14,#RGR9JJCP,Natgeowild,0xffff8afb,28000297,47799,15,Avengers
15,#9V2CL2C8P,yarikdh,0xfff9c908,28000132,47236,16,La team Goat
16,#2PRL229G2,Sylveon°Lol🛐,0xffff8afb,28000035,46385,17,LA CANTINA 13
17,#PLY8RCULL,PX | dark 👑🔥,0xff4ddba2,28000294,46113,18,Unima VI
18,#889JGV9LU,B.,0xffffffff,28000223,45787,19,
19,#8U8P289P0,《⚜️소련ˢᵒᵛⁱᵉᵗ⚜️》,0xfff05637,28000320,45773,20,범물중
20,#YPURCULL,Fieadest Games,0xfff9c908,28000320,45565,21,Legenda YouTube
21,#9QJJR29UR,ᴴᴱᴸᴸᴼI̶t̶s̶M̶e̶,0xffcb5aff,28000241,45535,22,Potatoes
22,#JLGYL8LP,CO | ⛩️Sun Tzu⛩,0xffffffff,28000138,45411,23,Comando
23,#PPY0JL9RV,Best⌫,0xffff8afb,28000179,45033,24,CODEMADGIC_UA
24,#8U020UUYJ,아이러브16,0xffa2e3fe,28000134,44870,25,自宅警備隊東亜細亜本部
25,#8GCL8Y8VC,crow,0xffffffff,28000151,44851,26,
26,#982YCCQQV,Dima,0xffff9727,28000349,44841,27,XIX. IE
27,#PYL2UP0C2,🥀NE|Robertᵍᵒᵈ,0xffff9727,28000284,44730,28,🇷🇴Ro|Play
28,#V9CQ2QUR,AQM|ザ・キラー・オブ・ゴッ,0xffff8afb,28000138,44549,29,No|Limit 🌊
29,#2LCJ0Q2VP,RiN|Hydra💔,0xff1ba5f5,28000139,44474,30,
30,#8909GL8JQ,kàmi💕maukalo🦇,0xffcb5aff,28000035,44375,31,My Mimis
31,#PUVURC289,『sʜʀᴋ』•ᴮᴬᴰʙᴏʏツ,0xffa2e3fe,28000352,44106,32,The Great Army
32,#LU8PRRV0,ENİŞTE,0xffcb5aff,28000156,44014,33,Akatsuki
33,#80JRQ0G2G,Матвей,0xff1ba5f5,28000162,43955,34,BRO STARS TEAM
34,#J8V8QQCR,あ|Kossi🐉,0xffa8e132,28000174,43504,35,Army Of Cookies
35,#CRV9QUJ0,the Doom,0xffffce89,28000136,43502,36,BULLY BRAWLERS
36,#9YLUPL2PC,💫 Anya|Piper ✨,0xffff8afb,28000218,43420,37,I Lõvê ßs
37,#2UY8VCJUG,SK|Best Mortis⛩,0xffff8afb,28000167,43380,38,🪐|𝐀𝐬𝐭𝐫𝐚𝐥
38,#2J80UVUC,𝓡𝓔𝓘𝓝𝓞🟢215,0xfff9c908,28000170,43341,39,ITALY
39,#2QGV22GC,ᴀᴅᴇʀ ᴇʀʀᴏʀ,0xff1ba5f5,28000219,43162,40,
40,#8YC8QR2G,conejito,0xff1ba5f5,28000106,43115,41,Legends J.R
41,#928YVCUVC,Michel,0xff4ddba2,28000077,43029,42,CM|Siegfried🥀
42,#P9CLUL28,unaicito6,0xffcb5aff,28000291,42765,43,Los Gamers
43,#98P8PRU8,MZ leo,0xffa2e3fe,28000272,42705,44,winner forever
44,#9LQ09J29P,🔱MHL | Hugo🔱,0xfff05637,28000278,42653,45,Time to change
45,#2YCVPR9QR,xerox,0xffa2e3fe,28000014,42572,46,CATZ_RULE2.0
46,#LP2U02PGJ,999,0xfff05637,28000261,42562,47,<c5>Ursal</c>
47,#2892RU8UP,😴|Ṩℓoͥweͣyͫ,0xff4ddba2,28000008,42454,48,VAXI❤️‍🩹
48,#LLYRPL0LC,Wiktor,0xffcb5aff,28000305,42453,49,Cichociemni
49,#J8V9U2JC,Cashotツ,0xff1ba5f5,28000175,42354,50,CROWS DAGGERS⚔️
50,#JYL02CLC,현우레온,0xffcb5aff,28000347,42318,51,키아군단
51,#9RP8C89QR,GG|ᵐᵃᵗⁱʲᵃ ᶜᵃʳʳʸ,0xff4ddba2,28000352,42202,52,MasterClass🐐
52,#208J298J,Mroczny Ninja,0xfff05637,28000272,42173,53,Wataha
53,#UY8R9JCC,MIZETA×X,0xffff9727,28000247,42140,54,AE Legacy
54,#2GQ92PQU,GØT | Кrоsасh ⚔,0xffcb5aff,28000242,42138,55,House Baratheon
55,#GCUP802C,⛩|TIC ET TAC 🎋,0xffff9727,28000334,42050,56,Patate|Esport
56,#2YLRYQ8PR,Dimooon,0xff4ddba2,28000023,42019,57,GRYAZYUKA GANG
57,#YVRGRPCGG,DRS|Dragon¥§,0xffa8e132,28000136,42014,58,Pumas MX🇲🇽
58,#80CPQGQPQ,Dunks,0xfff05637,28000023,42007,59,Best Players:)
59,#PQJP8RCJP,i hate chredids,0xffcb5aff,28000352,41842,60,
60,#8LJL2YL20,Робзи,0xffff8afb,28000273,41604,61,Nimbreeze
61,#PUCL0CG0G,❤️‍🔥C3BIUS🌬️,0xffcb5aff,28000336,41558,62,TRİTSHOT TR 🥵
62,#2LGUQYG8,💣/NIGERIA/🇳🇬,0xffcb5aff,28000335,41508,63,ZANOTTI
63,#UULJ8GCL,♤Takimary♡,0xfff9c908,28000151,41505,64,
64,#8V2U8C0VR,SENDI20,0xfff05637,28000139,41217,65,UA
65,#9UCPUL0UC,Let's win,0xffa2e3fe,28000016,41167,66,CRG
66,#LQ28YVVU,oedat,0xffa2e3fe,28000305,41065,67,🎭error⛄™Mx
67,#L2CJ9LPGG,🐼panda🐼,0xff1ba5f5,28000262,41041,68,SOLO SHOWDOWN
68,#2Y9GR08VR,SM|ŁØŁŸØÜ™,0xffff9727,28000010,41033,69,Shadow Night
69,#R8YLJ8JJ,Schei** Boxer,0xff1ba5f5,28000014,40938,70,<c9>SMA$HER</c>
70,#PYJ8JG8LL,FabriGênio,0xffa8e132,28000285,40876,71,
71,#LCRL00G,tomi-wachin,0xffffce89,28000235,40831,72,<c9>WeaponX</c>
72,#9LP90JU0P,제1장,0xffa8e132,28000126,40805,73,성인
73,#9YJQC98J9,А4 палка,0xffcb5aff,28000227,40796,74,Лучшие! 🥶✨
74,#P8YUC9Q0V,ХИЩНИК,0xffa8e132,28000156,40741,75,Б@ндиты
75,#8J90UVLJQ,Шаман,0xffa8e132,28000207,40707,76,BanditTeam
76,#88QLCP99G,NGX|Arctic Guy❄,0xffa2e3fe,28000168,40672,77,NIGMA GALAXY
77,#99RU080LL,Praveen7310,0xffcb5aff,28000314,40573,78,
78,#9GVY8PRR2,유월❦(七),0xffcb5aff,28000347,40545,79,SUBJECT
79,#8JY2L8LGG,benjaadツ,0xffcb5aff,28000224,40414,80,
80,#9GYCGPGUC,artour,0xffffce89,28000129,40406,81,I Lõvê ßs
81,#P2JPPUUGR,Hantar1k,0xfff05637,28000265,40368,82,|TR|eSporTs
82,#V0R8Y9CU,المارد,0xff1ba5f5,28000178,40338,83,Vatican City
83,#299VV8V9J,Spike,0xffff9727,28000016,40311,84,EVOS Phoenix
84,#8PC0QJVV2,max,0xffcb5aff,28000347,40303,85,Elite Germanen
85,#9QQCJJGYQ,Путь 30к,0xfff05637,28000332,40254,86,ByEspizas Team
86,#LQQUU8L,crimsonarrow,0xfff05637,28000263,40246,87,Relics Phoenix
87,#2JPL9G9RG,vansh champion,0xff1ba5f5,28000273,40174,88,
88,#8VQ9RJ92U,GERSON...,0xffcb5aff,28000335,40145,89,la 18 Gamer
89,#2VCJQVG8R,[MG]Misha Games,0xffcb5aff,28000136,40042,90,ReVant♡︎
90,#QYUV2RLL,GM | zorro4,0xfff05637,28000295,40015,91,los legendarios
91,#92R9QPYRG,CLASH_GT,0xffcb5aff,28000305,40015,92,Grande Line
92,#PV2LGRYP8,ℹ︎scashilchッ,0xffcb5aff,28000288,39978,93,LOS ASTROS
93,#2L9PJQ2LG,flamengo,0xffffffff,28000000,39890,94,BRASIL
94,#2PGU29U92,quinnyboy,0xfff05637,28000138,39825,95,NotCompetitive
95,#VRJ2QYJJ,CanelitaTecYT,0xffcb5aff,28000045,39701,96,SANGRE NUEVA
96,#22VRGR0QR,SebyEslab,0xffff9727,28000277,39673,97,Céltalanok😉👍
97,#LQUVVCPQQ,FS|Simon,0xff4ddba2,28000156,39610,98,die profies
98,#8L8G0C0C0,Sͥteͣnͫdeᵍᵒᵈ🥀,0xffcb5aff,28000156,39519,99,leśne lisy 05
99,#P2GRC89PY,jakob_twich,0xff1ba5f5,28000309,39468,100,InTeamRasur II
100,#PP8YRU8QG,А❤️К|FURY⛩️,0xffcb5aff,28000288,39460,101,crying clown
101,#928PQP09J,ṨҜyͥΐcͣeͫ ☔️,0xff1ba5f5,28000335,39427,102,Stormy Power⚡
102,#9CU89UV0Y,BC_iliya,0xffcb5aff,28000349,39378,103,brawlbaza
103,#8RURRRVCJ,COVID-19,0xffcb5aff,28000206,39350,104,SUN🏜
104,#PRVVRR8Q0,Player,0xfff05637,28000305,39295,105,Os 2 Tugas|YT
105,#P0GJLQY0G,Hauke|clap()you,0xffffce89,28000138,39079,106,<c2>Run⁹⁷⁴</c>
106,#LJGUU2QL,Aless1ø,0xfff05637,28000348,39018,107,Tier Wins 🐝
107,#YQP8YCULV,火|ɪɴғᴇʀɴᴏ☯︎🔥,0xfff05637,28000290,38823,108,Threat Level
108,#8QCLUQL9Y,☔|Rysee...🥀,0xffcb5aff,28000254,38735,109,
