,tag,name,nameColor,icon,trophies,rank,club
0,#82J899G0,Coolblunt ツ,0xffffffff,28000102,58996,1,Adults Only
1,#8888V9CLV,⚡ACE⚡,0xffffffff,28000175,56140,2,RoyalBruneiClan
2,#R0UC9U29,Mohammed @,0xfff05637,28000187,54497,3,SYRAT N @
3,#9UPC2YQQ0,Pwatato :D,0xff1ba5f5,28000123,53844,4,Defense Grid
4,#G2GC9CRG,Leon,0xffffffff,28000148,53169,5,Hell wish
5,#89ULL0282,Onn,0xffff8afb,28000184,52715,6,LC|Midleton
6,#PC2YLPV0,✨❄️ƘⒾƝƓ. Ⓛβ❄️✨,0xffa2e3fe,28000293,52082,7,Sticky Icky
7,#PULUY9800,啊你WhoiAm..?,0xffff8afb,28000243,52010,8,Tokyo Quiet🌴
8,#VUJ9PUR8,rojobaba,0xffa2e3fe,28000308,50807,9,THM|Georgia
9,#80C0PPP2P,레온은성,0xfff05637,28000305,50156,10,레티스
10,#2YR8GG2RG,Morgan😞,0xffffffff,28000112,49804,11,
11,#20PQG29LR,❄️FrozePlay❄️,0xffcb5aff,28000298,49271,12,Nelia
12,#LLLGQQQUV,orsay pro,0xfff9775d,28000312,48038,13,pros ffa
13,#8LLLJC9R0,PaYa|ĘłĕMęŊŦãŁ,0xfff9c908,28000046,48021,14,
14,#YC99P2YV,boss,0xffffffff,28000072,47962,15,BLS | E-sport
15,#UCG9VCYC,☯️nasser☯️,0xfff9c908,28000161,47908,16,IEC MORTES ❄️⛄
16,#9LJQGLUQQ,Tribe | blaze,0xffcb5aff,28000054,47688,17,Liquid Diamond
17,#98GRJCVU9,마동석짝남,0xffffffff,28000293,46594,18,inspirit
18,#L8PLV929,fan de romain !,0xff1ba5f5,28000280,45952,19,𒆜𝗟ő𝑠𝚝ᶤᶄő𝑠
19,#82QYG2JJR,Riri70,0xffa8e132,28000169,45939,20,The 1%
20,#YYJ2RR2LP,AL777456,0xffffce89,28000314,45425,21,Asian brawlers
21,#2G8R8RJQG,JR|SMIT,0xffff9727,28000352,45361,22,zero战队
22,#YLQPPUJU,❝✧ᮘ𝔞𝗿𝖚🦋❝✧,0xffa2e3fe,28000056,45121,23,RushMax
23,#2ULC9L0LV,AX | Kijuma,0xff4ddba2,28000037,44448,24,Villette Goux
24,#YLVQYLJQ0,Flyline604,0xffff9727,28000007,44399,25,pvz bois
