,tag,name,nameColor,icon,trophies,rank,club
0,#2V98U2VC9,♉️AandR☯️,0xfff9c908,28000299,76419,1,BulgarianR
1,#2VG8U2900,HMB|Extrigotin,0xff4ddba2,28000140,74316,2,TTV Kingsebi26
2,#LU0VGJ8QJ,вика12лет,0xfff9c908,28000158,73169,3,PRO
3,#2V8VCP2L0,I ❤AchoShunka,0xff1ba5f5,28000299,72398,4,BulgarianR
4,#2RGP0LPCV,kohhi🤡,0xff4ddba2,28000008,69432,5,BulgarianR
5,#2U82PQRR0,K҉r҉i҉s҉🀄,0xffffffff,28000302,68944,6,
6,#PRCY09G89,INEVITABLE,0xff4ddba2,28000299,68814,7,Code Apocalypse
7,#9YYV2RRGV,ripcho#1,0xff1ba5f5,28000167,68668,8,BulgarianR
8,#92PP8P0C,Dxni🤕,0xff1ba5f5,28000322,67442,9,BulgarianR
9,#PYUPJLPR,alex playz,0xffff9727,28000262,66953,10,BulgarianPros™
10,#9RJGR0JP,най-опнатия🌀,0xff4ddba2,28000140,65997,11,Bulgarian Elite
11,#P9L2Y0J9R,ExtriTUP🦣,0xff4ddba2,28000043,65144,12,TTV Kingsebi26
12,#20RC9GJJ8,Drippy🐧,0xff1ba5f5,28000154,64882,13,BulgarianR
13,#2PL22RLJ8,BGA|Rado🔮,0xff1ba5f5,28000112,64809,14,Bulgarian Army
14,#9PPCYQQUR,DRG|krisoko,0xff1ba5f5,28000018,64738,15,BulgarianR
15,#VQRYLYR9,VMI|Mraz,0xfff9c908,28000123,64232,16,BulgarianR
16,#R2Q08QQ0,🖤|𝑺𝒗𝒆𝒕❦,0xffffffff,28000139,64195,17,Bloody Kings
17,#2QC822VYL,Global•燒賣,0xffcb5aff,28000207,64064,18,BulgarianR
18,#2CYCQJ00Y,PROTO KRIS,0xfff9c908,28000352,63878,19,Bulgarian Army
19,#2C2QLPCGU,traktor46,0xff1ba5f5,28000233,63727,20,BulgarianR
20,#2LL8CUQ8C,༺VaͥŇkͣaͫτa༻,0xff1ba5f5,28000129,63668,21,Bulgarian Army
21,#8QJGPR0YC,Ivo1948,0xffff9727,28000137,63599,22,Bulgarian Elite
22,#2Q80P8CL,Retired Miro 🥀,0xff1ba5f5,28000207,63305,23,Bulgarian Army
23,#P2CRY8U,Hris,0xff1ba5f5,28000062,62862,24,Bulgarian Army
24,#R0G02LP8,❤️‍🔥V1ad5teR ⚜,0xffa8e132,28000114,62735,25,BulgarianR
25,#PQ0LVCQ,LaLYoU,0xffcb5aff,28000014,62290,26,Brawl Imperium2
26,#9JRUCULLY,You,0xfff9c908,28000213,62278,27,BulgarianR
27,#R2RGG8C2,Velichko シ︎☔,0xff4ddba2,28000140,61649,28,BulgarianR
28,#8JR8L29C9,dest,0xfff9c908,28000321,61578,29,BulgarianR
29,#29J8LUQP,R3V3NG3,0xffcb5aff,28000151,61426,30,Misfits
30,#92J9U2JY9,❦|𝗺𝗲𝗹𝗶𝗵ツ,0xffffffff,28000065,61240,31,Bonsai 🥢
31,#PGYQPCGLC,FUT|❤️‍🔥MaRtiN,0xffff8afb,28000321,60466,32,BulgarianR
32,#2JQ0Q9JQ,ICY SHADOW,0xffcb5aff,28000305,60358,33,BulgarianR
33,#82CVLYC08,iHristoフストー,0xffa8e132,28000140,60289,34,Bulgarian Army
34,#8VC2G0YU,Squee,0xffffffff,28000014,60263,35,🤡🤡🤡
35,#2L80Q2GV,MITKO,0xffcb5aff,28000207,60124,36,DarkEvil™
36,#2UQLCR8YV,G | StanSabev,0xfff05637,28000129,60048,37,<c4>Guards</c>
37,#2UU8PQV0P,WHY ALWAYS ME ?,0xffff8afb,28000033,59862,38,The Hearts♥️
38,#UQYP8JJY,TrashBoy🥀,0xffcb5aff,28000335,59571,39,The Bad Piggies
39,#28LCVJUUR,『N4bi🐺🌴』,0xffffffff,28000139,59500,40,Light and Night
40,#P9RVGLR9Q,Donislav,0xffcb5aff,28000282,59173,41,Bulgarian Stars
41,#22GJGLY90,𝚂𝚃|°𝙱ᴀɴᴅɪ•🪐,0xffcb5aff,28000220,58938,42,BulgarianR
42,#8R2YQPRG,Marioシ︎,0xffcb5aff,28000207,58872,43,BulgarianR
43,#PJJL29LJ,umnika,0xff1ba5f5,28000017,58680,44,umnite
44,#29VV0P8RL,StoyanowX,0xffffffff,28000305,58246,45,Bulgarian Army
45,#2ULLUCPJP,NaMaikaTiKosuma,0xffcb5aff,28000262,58197,46,BulgarianTeam
