,tag,name,nameColor,icon,trophies,rank,club
0,#GU898VQ,Levi,0xffcb5aff,28000014,79434,1,Brawl King's
1,#L8L0PJG0Q,BS |✨Alexandre✨,0xffcb5aff,28000196,60343,2,SGwin
2,#Y9GVY0J9G,TRB|上去拍🔚☔️,0xffcb5aff,28000262,53140,3,DeadTribe_😎
3,#9V99C8CU0,DZ 妥🖤,0xffffffff,28000265,53091,4,
4,#2V9RQUY22,SK_Gotenx,0xffa2e3fe,28000156,52393,5,team_SKay
5,#928QQCGG8,ᴛʜᴇ ˡᵃᶻʸ ɢᴇɴɪᴜs,0xffffffff,28000315,52346,6,𝕾𝖆𝖐𝖚𝖗𝖆
6,#8CR2YYGQC,yoyodu69,0xfff9c908,28000282,51824,7,LPBS
7,#GR90GPYJ,#Ķ8ÑĜ ÀBØØĐ,0xff1ba5f5,28000000,50749,8,غزة العزة
8,#PYQVYUVJ9,🌴AQM🍈MAKA🌴,0xffffffff,28000267,50457,9,THE MASTERS
9,#8UPRLUG22,我Past❤️‍🩹Hope,0xff1ba5f5,28000348,50252,10,Люtьle
10,#89VJ2L,[RBL] Roblabiu,0xffffffff,28000066,49981,11,Regions Team 4
11,#2PJJR2ULP,PoIsSoN_MaRrOn,0xffff9727,28000068,49005,12,Monterrey Mx
12,#8Y2PG9P8G,☆|Nass|☆,0xffffffff,28000135,48049,13,SGwin
13,#8J0UY8UC0,Andy,0xffff8afb,28000155,47926,14,The Big Boys
14,#8U9JL299V,YT|Ferian(⁠☞✓,0xffffffff,28000281,47924,15,Frosty Team🥶
15,#R2U9VP9L,pauloski,0xffff9727,28000140,47395,16,ALL RIGHT
16,#88GRCLG28,☢️N̶R̶ |Fo𝕩ᵒᵖシ,0xffcb5aff,28000348,47156,17,☢️N̶R̶ |Esport
17,#2JRYGQUVG,ͥ ͣ ͫFlj_70ᴳᵒᵈ,0xfff05637,28000321,46208,18,HouseTeam🏰
18,#922JRY0LU,kevking,0xff1ba5f5,28000273,45622,19,Scifen
19,#YGPL89UYR,Ange de la mort,0xfff9c908,28000273,45175,20,NerQ derim
20,#PL2JPJRUU,MONRESH,0xff1ba5f5,28000310,44550,21,warriors💪🏼
21,#2P0JLVL08,rider,0xffffffff,28000299,44477,22,-SORRY NOOB 2-
22,#20G2PYLUR,§廾ᙀȴҿ尸,0xffcb5aff,28000335,44246,23,ʜᴀʀᴅ sᴋɪʟʟ
23,#8UQUPGL9Q,GUNBOM kim/군밤킴,0xffcb5aff,28000164,43740,24,송례중 운동부
24,#9U0CL89L2,Mr.per🐣🦖,0xffff9727,28000348,43717,25,
25,#Y8RGR009L,𝕞𝕦𝕙𝕠,0xff4ddba2,28000254,43626,26,zEnCilEr🤚🏿😎
26,#9CGP2J8R,☢Donni10☢,0xfff05637,28000305,43600,27,<c5>Kil</c>lers
27,#8VQGJGQ0Y,GX COZZA,0xfff05637,28000312,43508,28,ＳＴ<c5>Ｏ</c>ＲＭ
28,#9L8UQC9QQ,QuEry|Hz hto,0xffa8e132,28000169,43268,29,HZ HTO
29,#2J90GVVGR,『MR』PhataWRLD🪐,0xffffffff,28000156,42992,30,the UwU club
30,#G8UQRG0G,Dasco💦🌃,0xffff8afb,28000332,42947,31,The Flow Zone
31,#290292GCR,TJ|JØ3Ľ~10,0xfff9c908,28000290,42908,32,los insanos 👻
32,#8JVG82QU,AL | JediR1,0xffff9727,28000293,42904,33,Allez Laaaa
33,#9QYY9QJ9,KRS|White💪,0xffff9727,28000299,42826,34,Saint Devils
34,#90V9C289Q,GDDR,0xffffce89,28000141,42546,35,Harmonic Heroes
35,#20P8LULU8,JONATHAN13,0xff4ddba2,28000101,42353,36,<c7>FʀᴇᴇᴅᴏF</c>
