,tag,name,nameColor,icon,trophies,rank,club
0,#2GLYPVVJU,GX Dj,0xffa2e3fe,28000299,61505,1,devianze
1,#PCUR9UJ8V,SH|Vincy 🪐,0xffcb5aff,28000291,60273,2,Spin Legends
2,#92LCUQLR,Wildschwein,0xfff05637,28000170,58469,3,Bananen Bande
3,#8JCJJ0JPJ,devastatore bos,0xff4ddba2,28000140,57290,4,devianze
4,#8CCLPL8R0,roquett,0xffa8e132,28000000,56180,5,les anti looser
5,#8CRGQPLQQ,•tonakai•🦌,0xfff05637,28000349,51647,6,thegamercrazy
6,#Y220LU2R8,It's Gregg❦,0xffffffff,28000000,51554,7,
7,#2QPUR2YL,GX TIGER,0xff1ba5f5,28000135,51419,8,devianze
8,#GQ2LRCJ,Saxo camp 30,0xfff05637,28000005,51158,9,ramer
9,#8LJ2R0V,DuduGamesYt,0xffcb5aff,28000264,51015,10,Liga de Clubes
10,#8RVP9CVUU,😤|TOXIC,0xffffffff,28000061,50705,11,Резиновый ПРИМО
11,#9PYCRQGQR,☂️ᴵᵗ'ˢ seven ❄️,0xffffffff,28000305,50693,12,🇺🇦Ukraine
12,#22QGL9P90,seysoldたされしい😋,0xffcb5aff,28000291,50493,13,
13,#8QCGPR2PU,no name,0xffff9727,28000350,50149,14,パワリソロ病
14,#99GYQQ0V,❌❌❌❌❌❌❌❌❌❌Pucu❌,0xff4ddba2,28000314,49632,15,Perú
15,#GLP220YG,🥶ᑭ E ᗪ ᖇ I,0xff4ddba2,28000014,49479,16,Potatoe League
16,#9CY28L9CU,YT|Art〽️,0xffff9727,28000333,49248,17,whatt?💋
17,#22YYGL8JL,Боец,0xffffffff,28000218,48625,18,
18,#PGLJUR80P,FerraPiuX(^.^),0xfff9c908,28000010,48601,19,Nuevas Leyendas
19,#8UVC2P0P2,WS|🩸arti-X🩸,0xffffffff,28000137,48551,20,Green Go Jr
20,#9Q8L22CCG,YT/BYMBASTIK🌵,0xff4ddba2,28000103,48112,21,
21,#YGCU22V0V,Flâwléss♡,0xffffffff,28000226,47718,22,Let's Go!
