,tag,name,nameColor,icon,trophies,rank,club
0,#2LUCLG2RR,🙄𝐊𝐲𝐰𝐢𝐩♡,0xffcb5aff,28000228,55814,1,Memories World
1,#RGPURUCR,danielos48,0xff1ba5f5,28000170,55202,2,PLANET EARTH
2,#Q9YCY2LG,al,0xffcb5aff,28000156,53884,3,TKE|PRIME
3,#R9GUUPLC,AS|joeltaqui3,0xffff8afb,28000180,52575,4,LospetasL
4,#Y8JYCLC,Simple,0xffcb5aff,28000032,51440,5,LIFESTYLE
5,#PVRLRVLJR,QU|LacostO☔️,0xffffffff,28000132,51371,6,Seva's family
6,#L88JR2RCC,竹取物語,0xffa2e3fe,28000331,50474,7,はなかもめ
7,#P2YUL0VG0,Сеня 2020,0xffffce89,28000305,50150,8,botiha club
8,#9QY88QRGJ,₩ö$BŁĂĶ♧,0xffff9727,28000135,49239,9,⚡MEJ Storm⚡
9,#88LVJRCU8,5 звезд,0xffa2e3fe,28000224,49155,10,Brother Force
10,#V8JPYJVC,Swagthetroll101,0xffa2e3fe,28000222,48987,11,
11,#8L8VJ802P,ТЕРМИНАТОР,0xffff8afb,28000246,48856,12,
12,#98CULJVQ,頹ツ|F̸i̸r̸e̸ T̸T,0xffcb5aff,28000330,48835,13,Ляп лёп
13,#2RUR29GL2,ToxicGaming,0xff4ddba2,28000140,48737,14,⚡️the legends⚡️
14,#Q2GV88R2,☯️❄️IceSpike❄️☯,0xffcb5aff,28000016,48664,15,Marxists🇨🇳
15,#PG2PCGLPP,嘿！雷鹰🦅,0xff1ba5f5,28000349,48591,16,Physical Club
16,#9LU9RQCLG,UncleSa,0xfff9c908,28000336,48359,17,TB|Team Bull
17,#P2PPLPQQG,⛩Niͥήjͣaͫᵍᵒᵈ🎋,0xffcb5aff,28000286,47888,18,BO|BlackOld
18,#2Q9Y2RLYC,SH|Toshiro❄️,0xff4ddba2,28000259,47007,19,A-Square
19,#JLPJGQPU,Bot 1,0xfff05637,28000170,46525,20,thelegend27
