,tag,name,nameColor,icon,trophies,rank,club
0,#JRCR2JP2,☔|ᴢɪᴇᴍɴɪᴀᴋシ︎,0xffffffff,28000000,58808,1,BrawlBlast 💣
1,#GVRGLCCC,⚡Adelmiro⚡,0xff1ba5f5,28000345,56271,2,(+_+)NØØBS CV
2,#9Q29R0YPU,♧𝖂𝖔𝖓𝖉𝖊𝖗♧,0xffffffff,28000275,56069,3,FREEDOM
3,#9UQYCGGLU,CV|cachupa,0xfff9c908,28000272,55677,4,Stars.G.Family
4,#2YCPC0PRU,I Dark Cyber,0xffffffff,28000139,53400,5,Greek warriors
5,#8PUJ2JR9P,Amaro Ortet,0xff4ddba2,28000258,51794,6,Stars.G.Family
6,#J22URL2J,雷姆教_HI CHOCO,0xffff8afb,28000303,51619,7,合作金庫ll
7,#RRPL0VQC,JhsadTheMyth,0xffff8afb,28000272,50783,8,LOS NOBLES III
8,#UGRCLRPL,B̶̶D̶̶S̶|Mannəł,0xfff9c908,28000137,50458,9,
9,#2JVY2QLVU,❤️‍🔥BARAN❤️‍🔥,0xffff8afb,28000132,50078,10,
10,#LVLLCQJQR,Ski Buit,0xffff9727,28000262,48040,11,огонь вечера
11,#288P8YU92,Red zipper 🐙✨,0xff4ddba2,28000025,47900,12,Phonox: Revıve
12,#289YP9RJU,⚜️Tayvyn 1012⚜️,0xfff9c908,28000151,47757,13,Les héros brawl
13,#8GJ98892G,꧁༒☬₣ℜøźєη•₣ℓα₥є,0xffa8e132,28000180,47312,14,𝕻𝖆𝖓𝖎4𝖐𝖆
14,#2RC0R099,AlessoSsj,0xfff9c908,28000110,46828,15,Scratch
15,#8JYG8Y8JR,ON|TUTU,0xffff9727,28000305,46454,16,👑 The Kings 👑
16,#2CVURL9C9,☆léon☆,0xffcb5aff,28000335,46146,17,Aqua🐳Team
17,#8GQRUUCJC,✨激烈 | DAM✨,0xfff9c908,28000132,46100,18,Fırtına 🌪
18,#PG0QUYQY9,Zeta|Julian,0xffffffff,28000139,45726,19,Rico's Club
19,#28C8CV0RP,Гемотогеша,0xffa8e132,28000037,45709,20,☠️BrawlStars☠️
20,#Y9V9R0VJ,Serax_fox,0xffcb5aff,28000352,45539,21,Legends Club🔥♥
21,#8JVURUV8Y,I♥️Àneu,0xfff9c908,28000205,45252,22,Centurion x😎
22,#29J00C2LJ,stop rob,0xffffffff,28000132,45201,23,ПодСолями🌿
23,#89VR0V00V,⚡Redlyfe⚡,0xffff9727,28000020,45117,24,
24,#YQG09UURU,⛩️|™Grimm98|🌪️,0xffff9727,28000139,44631,25,6.4|My -G☆|¥~₩
25,#PRR8LV280,Archer,0xffcb5aff,28000129,44438,26,Sfl Spastikleri
26,#8UGP8CYVL,×Case×,0xffffffff,28000277,44325,27,<c9>UИHOLY</c>
27,#280RCPVC8,⚡Fábio|CV⚡,0xffffffff,28000164,44087,28,
28,#LJVR9YJGP,CRACKERNOOB24YT,0xffa2e3fe,28000128,44035,29,🌴Team Fresco🌴
29,#99YY2Q00,Noceti,0xffa8e132,28000277,43879,30,BrawlChotaisu
30,#2UU8JCPVQ,⛩|flavi64|🎋,0xff1ba5f5,28000000,43793,31,Shadow|Family
31,#90RLG8YVU,Brawler,0xff4ddba2,28000136,43601,32,Green Day
32,#2JURPLL29,⛩️AgileTøx🗡²³,0xffffffff,28000138,43453,33,Atlas BS
33,#29GR0VPP8,⚡️KIKY.KING⚡️,0xffffce89,28000184,43393,34,
34,#PYPY9ULV9,$Макс$,0xfff05637,28000167,42795,35,RGB KLA1N
35,#8UP2JYR20,TURRODEVILLA,0xff4ddba2,28000062,42696,36,DEAT |GOHST
36,#888QL9VP,Davidgamerpro77,0xffa2e3fe,28000228,42629,37,Drunken Masters
37,#GCU9V0L2,Kamox ツ,0xffa2e3fe,28000004,42467,38,👑KTO/ESPORT™☄️
38,#8YRCP9P9R,car2nish,0xfff9c908,28000122,42438,39,DIVINE
39,#2G82JJ8Y9,지탱,0xfff9c908,28000031,42421,40,siba
40,#C282P0JP,X rein,0xffffffff,28000064,42342,41,
41,#Y8UYPJVPU,жмых)Мilfhunter,0xffffffff,28000348,42174,42,Team Janka
42,#22QJ80LLP,Iggo,0xffcb5aff,28000347,42167,43,Gameroff
43,#YUVCCYJPU,HD|iKross❤,0xffcb5aff,28000315,41949,44,
44,#8GJL8PQ0,why always me?,0xfff9c908,28000291,41874,45,Rebirth Knights
45,#P2R2QQ9CR,𝐂𝐑|𝐖𝐨𝐨𝐝𝐲,0xffa2e3fe,28000084,41724,46,Blazer Toxic
46,#P20GJYG9V,⚡️z҉e҉r҉o҉⚡️,0xffa2e3fe,28000293,41721,47,
47,#8RV90RRYQ,SerKastel🥊🕊️ᵠ,0xffffffff,28000259,41600,48,King's Dynasty
48,#9RPV8292P,wei,0xffcb5aff,28000219,41412,49,Bonsai 🥢
49,#22U080YCL,EYANICK,0xff1ba5f5,28000036,41272,50,GOLDEN TRIO
50,#YPURVVJLL,Victorbo$$,0xff1ba5f5,28000009,41196,51,touros negros
51,#20UCUY2Y9,HFC baban2,0xfff05637,28000051,41107,52,The Seven God
52,#2QQCY9GCJ,💥BAKUGOU❄️,0xffff9727,28000187,41027,53,°•CLÃ UCHIHA•°
53,#8PQQRUJQ0,Hyrayee,0xffcb5aff,28000165,40981,54,IMMORTAL
54,#929QC89PR,→︎leosx™︎,0xffff9727,28000122,40936,55,ORDER
55,#2RPQ8QU0V,蒙|𝒟𝒶𝓇𝓍🌃✞,0xffff9727,28000341,40574,56,BG TITANS ARMY
56,#PGGC2PQ8G,LUIS,0xfff05637,28000077,40531,57,(+_+)NØØBS CV
57,#8U0PGYRJJ,EQWAAK,0xfff9775d,28000282,40487,58,IMMORTAL
58,#82PCL2R2,Leonardo,0xffff8afb,28000349,40485,59,<c4>H2O</c>
59,#2LVLQ9LL2,RZM,0xfff05637,28000044,40386,60,IMMORTAL
60,#Y2PPP29VL,ルイージ１３世,0xffffce89,28000335,40213,61,
61,#Y90PQ0C8U,Code:CYQ.tp🌔,0xfff9c908,28000272,40123,62,Singularity™️ 2
62,#82CP0G0J9,Eyiko meyiko,0xff1ba5f5,28000335,40108,63,Weird Plants
63,#2LPQ9CQR8,1 português🇵🇹,0xfff05637,28000148,40078,64,(+_+)NØØBS CV
64,#JQVVCCVC,S҉M҉o҉K҉E҉,0xffa2e3fe,28000282,40020,65,Only friends🔥
65,#2RQ9U8Y90,Ralu ᵏⁱˡˡʸᵒᵘ🥀,0xffa2e3fe,28000175,39959,66,Code: COSTIN
66,#8JG2299UJ,ali,0xffffffff,28000281,39953,67,BABALAR
67,#8RP28U29P,boczuś,0xfff9c908,28000305,39865,68,Perlejewo Goats
68,#20PRJULL0,Pcstars,0xffff9727,28000348,39828,69,(+_+)NØØBS CV
69,#2RQ88RC09,🌕Otresed®️🗿,0xfff9c908,28000258,39781,70,♡ Friends♡
70,#YV90PVVPQ,лега к диме,0xffa2e3fe,28000233,39768,71,GachimuchiFORCE
71,#29GCYQ9Y0,misterlopex☘️,0xffcb5aff,28000335,39677,72,Cómo 33?
72,#9VV2PJ9VY,Forv¥Y✨,0xffcb5aff,28000156,39527,73,Toksic|live😞
73,#29JUR09U8,jamón ツ ᴷⁱˡˡᵧₒᵤ,0xffa8e132,28000168,39352,74,fibom
74,#82VJQCVP0,бананчик007,0xfff9c908,28000087,39304,75,<c3>РИЦИН</c>
75,#VR8RV9L9,B̶̶D̶̶S̶|ÐłE₲Øツ,0xffff9727,28000137,39090,76,
76,#9PLCPJGQ0,Tobik99_,0xffff8afb,28000118,38803,77,99_ LEGION
77,#8Q2C2Q0CQ,SUCESSO ORT,0xffa2e3fe,28000078,38719,78,
78,#2QRJ20PGY,⚡Lewis⚡,0xffff8afb,28000023,38643,79,
79,#LVPGJC9G,AQM|ADRI GAMER,0xffcb5aff,28000064,38583,80,THE STUDENTS
80,#92GJRYQPC,Bartek,0xff4ddba2,28000294,38495,81,INCHANTIMOLS
81,#889V20QP,Rodrigo,0xff1ba5f5,28000085,38385,82,Los compas
82,#9V0PC88LP,bezobrazie,0xffcb5aff,28000064,38368,83,
83,#9U9U08PPR,cv pro master,0xff1ba5f5,28000279,38133,84,(+_+)NØØBS CV
84,#98CQCJJCQ,CrazyBoy,0xfff05637,28000064,38030,85,Dragon Team
85,#L2GUU2UQY,clap :by aha,0xffff8afb,28000118,38022,86,Most Wanted
86,#99UQUP20P,oS errerrerre,0xffffffff,28000151,37960,87,gli stellari
87,#PRGRPJRL0,CV / rafs16,0xff1ba5f5,28000305,37929,88,(+_+)NØØBS CV
88,#290V0C0YL,👨‍💻,0xff4ddba2,28000327,37925,89,jessi/primo
89,#YLL0UJRUC,🖤ʍɛɢǟȶʀօռ|ɦʏքɛ,0xfff05637,28000263,37850,90,Only friends🔥
90,#CG9RL9V2,Brunão,0xff1ba5f5,28000092,37820,91,Ratazanas
91,#29R2Q22GV,《～Sep～》🌺☔️,0xff4ddba2,28000021,37758,92,Dutch Rangers🦅
92,#8YJYQRQGG,XIFT|SAULO,0xfff05637,28000279,37756,93,Stars.G.Family
93,#Y0Q9V8L0,Naruto Uzumaki,0xfff9c908,28000280,37581,94,(+_+)NØØBS CV
94,#8U2QC0V0C,erickzubi,0xffa8e132,28000205,37516,95,cuadri unida
95,#Y2Q28JJ08,⛩️Cio|Benny⛩️,0xffffffff,28000140,37414,96,Rico's Club
96,#8YR929Q8Y,Dino,0xff4ddba2,28000165,37412,97,החברים שלי
97,#Y9VYQ8RJ,🔥|𝙸𝚜𝚖𝚊ᴳᵒᵈ,0xffff8afb,28000275,37314,98,Moskitos🦟🦟🦟
98,#LL8QRPP,ShAdOw,0xffcb5aff,28000024,37293,99,Scam Weneero
99,#9U90VY9JR,Eren Berk,0xfff9c908,28000129,37278,100,あDA|Team🇹🇷
100,#2LRVQY0QV,☜❶☞Limbo ☜❶☞✨🔥,0xffcb5aff,28000288,37260,101,ʜᴀᴜɴᴛ!🎀
101,#8PJ8QV9UL,CC|TENTACION,0xffffffff,28000098,37198,102,Crube do Cacto
102,#8J8Q9RUJV,🍀|Dinas🦈,0xff1ba5f5,28000140,37059,103,Czech Bros❤️‍🔥
103,#9UQJRLQYP,Maurício Boss,0xfff9c908,28000260,36842,104,Stars.G.Family
104,#PCQLGGG8L,嘿！卡爾,0xff1ba5f5,28000207,36776,105,✨Ray Star⭐TW✨
105,#8QC2GPUQP,oS diego,0xffff9727,28000037,36763,106,le 4 leggende
106,#2QQYUJ99G,DocXHammer,0xff1ba5f5,28000226,36762,107,German
107,#PLY9YJV8,javix,0xffa2e3fe,28000294,36703,108,
