,tag,name,nameColor,icon,trophies,rank,club
0,#UGQRJG8,SSKEdy🍹,0xffff9727,28000018,62703,1,💫👑
1,#RCV0VLGC,Larisa.,0xffff9727,28000018,57003,2,💫👑
2,#90GL8GLLC,the master,0xffa2e3fe,28000195,55005,3,Les Quebecois👌
3,#2CYP8VVV,Splinter™🐀,0xffcb5aff,28000042,50107,4,TAMARRI ABUSIVI
4,#LQ9GUPJ,I Love Lânwiend,0xffcb5aff,28000003,48508,5,
5,#YLGJ2J2PU,♔Reve!|るーかす💞,0xffffffff,28000182,48100,6,♔Reve!💞
6,#JC8PY29,1v3|ClâsH̸❦,0xffffffff,28000000,47469,7,The rise
7,#PC0YRL8V9,平台｜vikashmywife,0xffff8afb,28000321,47154,8,картошки
8,#2YPUQV2Y,SlaydtheDark,0xfff9c908,28000156,46673,9,♕♡⚘尺ŏ𝓼ᥱ⚘♡♕
9,#82PLJRVY9,Leo & Max,0xfff9c908,28000262,45687,10,D-CITY-GANG
10,#2YRRGJPUV,VLAD BOSS,0xffff9727,28000023,44278,11,Vlad Family
11,#PL0228PCV,Пельмень,0xffa2e3fe,28000054,44135,12,русик и олег
12,#22GV9RRCL,илья супер,0xffa8e132,28000046,44029,13,годзила
13,#2CGCLPVY,ᴛᴇᴀᴍᴏᴏɴ♡︎,0xffffffff,28000112,43758,14,[QAZAQ]
14,#U2LVV2UL,腌Duo🤍Angel🍁,0xffffffff,28000320,43756,15,focused.
15,#2GYYC8Q8,또만난근옴,0xff1ba5f5,28000009,43746,16,Team K
16,#9V2VUL8YU,TTM|erikᵏⁱˡˡᵧₒᵤ,0xff1ba5f5,28000060,43513,17,🤗GG combo YT🤗
17,#PLYVJG022,•I-Love Bmw•™,0xffcb5aff,28000273,43086,18,Polish ibimany
18,#8CPVU8V0Q,Ninja,0xfff9c908,28000076,42745,19,El Squado
19,#289J0202,Darth Dredd,0xff1ba5f5,28000084,42276,20,EXTRAORDINARY
20,#8GL09828P,Пусі Дестроєр,0xffffffff,28000150,41953,21,🔥Флоки🔥
21,#2CQYPUGQ2,Danya_Rodriguez,0xffff8afb,28000170,41886,22,PoC89
22,#YJVGU89Y8,cariñosito 35,0xffcb5aff,28000159,41799,23,Team Cat >:3
23,#8P0QLQ2V9,Alberttan,0xff1ba5f5,28000156,41558,24,PH|Stars
24,#YRGG0L9P,UN POETA :3,0xffff9727,28000176,41414,25,!Rank¡
25,#2GRCPPLGC,Lds | Kipo キポ,0xffff9727,28000291,41403,26,<c8>UranuS</c>
26,#QLU8VP0U,DCY/SAMUEL,0xffcb5aff,28000018,41150,27,!Rank¡
27,#LQYJ0U8C,ЛЕОН,0xfff05637,28000132,40970,28,стрп клуб
28,#R9GPL0PG,XxDoroxX,0xffcb5aff,28000014,40912,29,United Spain
29,#20YULVPRY,SyoneX🥀,0xffcb5aff,28000290,40813,30,Men's|Team 🔥
30,#2LJ9GYCLJ,金｜69の力量⚔️,0xff1ba5f5,28000166,40802,31,合作上阿姨
31,#8Q9RQLV9Y,Jacoh,0xffa8e132,28000352,40632,32,panas frescos
32,#Y9J9GPY9P,Nekil,0xffcb5aff,28000018,40561,33,Czech💞🇨🇿
33,#2J8UJ9G2V,_PRIZRAK_,0xffa2e3fe,28000262,40532,34,
34,#CVJ89G9P,『мR』yvanᴳᵒᵈ〗,0xffa2e3fe,28000149,40002,35,SPNV⚡Esport
35,#VV8QV9GP,C K DO!,0xfff05637,28000275,39950,36,
36,#82GR29GYQ,andreu6,0xffff9727,28000103,39858,37,Chupacabra
37,#99RUYG89P,Tonolini,0xffcb5aff,28000135,39452,38,Team|Muffin❤️
38,#9QC80RL0P,Tempo | Manuel,0xffcb5aff,28000224,39437,39,giniintheworld
39,#8LCYRV9Y,Prince of hell,0xfff05637,28000077,39250,40,
40,#CP88CQG2,Lucky Kost,0xfff05637,28000078,38872,41,👑Kings World👑
41,#9QYPLY00,Mistray,0xfff9c908,28000273,38372,42,MR OBZHORKA
42,#2980P2G2,ŐŤℳŐРŐӂĶǺ,0xfff05637,28000285,38248,43,Dnipro
43,#9PC28R9GV,<c4>loltrol</c>,0xfff05637,28000132,38189,44,ukr
44,#2CJC22RV8,GX Ylfet,0xff1ba5f5,28000352,37974,45,IRON FIST
45,#Q8VY98UC9,[ᵍᵒᵈ]Ninja[ᴏᴘ],0xfff05637,28000187,37870,46,Golden Artic
46,#9GJUQVYQV,sa2rn не,0xff4ddba2,28000132,37705,47,KB Academy
47,#8C8LQJP2Q,Jestem ok,0xff1ba5f5,28000169,37694,48,Hociaki🔥🔥🔥
48,#9CR92YR8R,❦EʀRᴏR💚☘️,0xffffffff,28000224,37653,49,
49,#882ULJ9GL,onur,0xff1ba5f5,28000263,37571,50,yenilmez TAKIM
50,#2U9QU90PU,bordo bereli,0xff4ddba2,28000290,37467,51,Mega kumbara
51,#YVGPYR902,Jonboy,0xffa2e3fe,28000025,37454,52,jonboy
52,#P9LGRC0C0,🇹🇷K🇹🇷S🇹🇷,0xffcb5aff,28000175,37366,53,CØUNTDOWN
53,#PUCJP0JUQ,⛩️|Soͥℝiͣnͫ☘|🥀,0xffffce89,28000135,37299,54,Beyond Ares
