,tag,name,nameColor,icon,trophies,rank,club
0,#PRPQ28CRR,ハッピーKaneyzikk,0xff4ddba2,28000021,59320,1,♠️FLASH ROYAL♠️
1,#8CRLLJPGY,Mufkaʕ´•ᴥ•`ʔ,0xfff9c908,28000216,55703,2,Undead Kings
2,#929GQV8GP,матеос спрайт,0xff4ddba2,28000021,51411,3,♠️FLASH ROYAL♠️
3,#8L9920VCP,QLS|MJ,0xffcb5aff,28000023,51003,4,Retired
4,#9VQ8QV8UV,PRODIGE X,0xffcb5aff,28000309,50878,5,
5,#J9P2U08C,TKG|xGrom🦇,0xfff9c908,28000167,50550,6,Dan Elite🦀
6,#9RJG00Y,NotMirko™🀄,0xffffffff,28000030,50278,7,
7,#2U8UGG8J,giuluke,0xffa8e132,28000016,50000,8,Galaxy Boys
8,#LVCG2QC8,❄️COLD~☄️☄️☄️☄️,0xff1ba5f5,28000134,49890,9,The Best🔥|club
9,#8JRU2GPQ0,Celestialあい|彗星✨,0xffcb5aff,28000038,48862,10,RPY
10,#PJGLJ8L88,Dyno|Danik,0xffcb5aff,28000293,48591,11,🌩️The Hungry👺
11,#909C0UP0P,⛩️|Rzm64🎋,0xffffffff,28000247,48558,12,Golden Crow 2
12,#99J0QQYVR,みま|moonixxx,0xffffffff,28000077,48488,13,👻Snowy🖤
13,#20JYYLRCQ,STMN | 卄卂ㄚ卂ㄒ乇⚡,0xff4ddba2,28000136,48126,14,YT Bockwurst BS
14,#8G80QLCLJ,Wuffi,0xffa2e3fe,28000095,48050,15,The Warriors ⚔️
15,#2UVL9VQU9,ﾒ Naizixx 🤍,0xffffffff,28000043,47996,16,Duo♡︎???
16,#20YVPYVJU,MVI | ᴳᴬᴹᴱᴏᴠᴇʀ,0xffa8e132,28000000,47929,17,MVI|🔱Esport🔱|
17,#PPVL8LV9Y,A7MDPRO,0xffcb5aff,28000165,47561,18,Max is gone
18,#P0VC999R0,Kiber_Mozg,0xffa2e3fe,28000156,47543,19,Klubik Olisia❤
19,#9V9J8YG8V,۩րլճիեmare۩,0xff1ba5f5,28000323,47501,20,agua de oro
20,#8RUUYYYYJ,про,0xffa2e3fe,28000331,47303,21,Ⓚ︎Ⓔ︎Ⓢ︎Ⓣ︎Ⓤ︎Ⓐ︎Ⓚ︎
21,#YUP8GY8U2,nikita,0xffcb5aff,28000290,47210,22,Türk's Slayer's
22,#Q0RUQURL2,ПАРАЗИТ ПАЛАЧ 1,0xfff9c908,28000225,47029,23,bambiki
23,#9RYLR8LGV,Егор бро,0xffa2e3fe,28000347,46476,24,TÜRKİYE
24,#9J0CLL89V,yousplayer,0xffffffff,28000314,46236,25,الله اكبر
