,tag,name,nameColor,icon,trophies,rank,club
0,#2JRJJVYP2,Super,0xff1ba5f5,28000305,72654,1,Brawl Kings's
1,#L0YYL0V2V,ToniKroos8,0xffffce89,28000006,69974,2,
2,#P22Y9Q22,ぴーぬる,0xfff9c908,28000188,66710,3,オーシャンズビュー
3,#JJV2P8V,eastside 🥀,0xffffffff,28000215,66072,4,High Ping 😵‍💫
4,#82QLUJRUL,猪突猛进 伊之助,0xffffffff,28000348,64894,5,天道 . 亚♠️
5,#88R0JQP89,只抓猪打🫢,0xffffce89,28000093,64583,6,天道 . 美♠️
6,#2G9U0LGLC,Twen,0xffa8e132,28000349,64459,7,天道 . 美♥️
7,#20JJ8QRUV,ЖуЖа™,0xffffffff,28000336,64434,8,BRAWL STARS
8,#90PU8Q928,✧M𝚊цяo$𝚊d✧,0xffa2e3fe,28000187,64412,9,天道 . 欧♠️
9,#J8RQC90C,kitten,0xffffffff,28000347,64310,10,banana club
10,#GU82JJLY,Nebulæ,0xfff05637,28000345,64170,11,Reforged🔥
11,#2P2VY2U99,Chen,0xffa8e132,28000135,62817,12,In My Mind
12,#22QJQ8RPQ,North🏴‍☠️N,0xffffce89,28000339,62811,13,莫提斯的小屋
13,#9UJQ2L8,εVelpro_Kuroε,0xff1ba5f5,28000045,62810,14,Reforged🔥
14,#P9LVQ8U8,无敌•Howard💫,0xfff9c908,28000306,62334,15,天道 . 欧♥
15,#9CR0RUJQC,Slug,0xffffffff,28000000,61599,16,天道 . 欧♠️
16,#PGR2QQUL0,Mori,0xffff8afb,28000302,61488,17,乱世佳人-盛世
17,#UJG298VV,Tommy+,0xfff05637,28000337,61449,18,一万又一万
18,#Y99QUP0P,mohamadmahdi,0xff1ba5f5,28000017,61418,19,𝐍𝐈𝐆𝐇𝐓ᵐᵃᶠⁱᵃ
19,#L8VPY,BALENCIAGA,0xff1ba5f5,28000096,61404,20,Reforged🔥
20,#9YR0QQQGL,CrazyTuzki,0xffa2e3fe,28000314,61403,21,乱世佳人
21,#8CGRJQR2V,Mr Potato。,0xff1ba5f5,28000234,61341,22,天道 . 欧♦️
22,#P2QGG0Q8,Shao,0xffff8afb,28000163,61183,23,無個性戰隊
23,#9R9YPRC,TIG丨YK,0xffcb5aff,28000335,61076,24,Reforged🔥
24,#UUQUVQGL,Bebe,0xffff9727,28000207,60785,25,Invaders
25,#20G9QLUR,GodFrank ᴷᴿᴵᴹ,0xffcb5aff,28000191,60757,26,Junk & Co
26,#VQQU9GJU,時と黒猫は甘い夢の中で🌑,0xff1ba5f5,28000085,60355,27,anyway🤷🏻‍♂️
27,#2RLY0Q88J,捶爆你的狗头,0xff1ba5f5,28000264,60293,28,乱世佳人
28,#2UC0PURR8,かものはし♪,0xff1ba5f5,28000108,60293,29,✌️✌️✌️
29,#U2PRPLP,OU鸥,0xffffffff,28000341,60266,30,anyway🤷🏻‍♂️
30,#PUU8GLRC2,SK|BOLOFOFOyee,0xffff8afb,28000014,60221,31,
31,#9RP28PPJQ,1van 009,0xfff9c908,28000132,59921,32,
32,#2GV9Q2V29,LiNeRツ︎,0xffffffff,28000038,59898,33,DarkMasters
33,#90UG8G2QP,君丶为红颜坠,0xffff9727,28000014,59723,34,Trick of China
34,#PJ0YRY80P,你厉害，我给你大拇哥👍,0xffffce89,28000328,59637,35,SpicyTunaRoll
35,#2JQC8QULP,TechnobladeQQ,0xff4ddba2,28000141,59526,36,❦大毛❦和❧大宝❧的家
36,#2JJYJ0GQ9,Nol T🩵,0xffffce89,28000322,59403,37,🦠🦠🦠
37,#2VURL2GQJ,DSG丨fbi franco,0xfff9c908,28000109,59240,38,天道 . 欧♠️
38,#LC2RVUYV,Jani,0xff1ba5f5,28000288,58990,39,Team Jani
39,#LG222RRL,上海OP|禁锢声波🐹,0xffff9727,28000225,58894,40,柯莱特の幻想书店
40,#20RLUGCJR,✨小梨花🌸,0xffff8afb,28000314,58872,41,会开花的🌵女孩
41,#922P9UY8G,Sayonara 🃏,0xffffffff,28000184,58818,42,🔴DREAM TEAM🔴
