,tag,name,nameColor,icon,trophies,rank,club
0,#8CJ9UY2LQ,Fishgato,0xffcb5aff,28000256,56635,1,Helados
1,#YC2LL2GL,☠️FAZE_ŁYBA☠️,0xfff05637,28000138,55483,2,66
2,#8LYVLG2GU,LR Boy,0xffffffff,28000018,55412,3,
3,#JVP2CJUP,👿Moon light👿,0xfff9c908,28000139,52104,4,UNITED ESPORTS
4,#P2UC0RVGY,💧GOD|LEON🌊,0xfff05637,28000291,50549,5,naruto mir
5,#RYYV02YL,JHX007,0xfff05637,28000017,50536,6,TʰᵉᴮᵒᵒᵏᴼᶠSʰᵃᵈᵒᵘ
6,#9JYP00VL8,『𝐆𝐀𝐆𝐎』,0xffffffff,28000316,48605,7,BÖRTEÇİNE(+25 )
7,#288QRC28V,lastorm,0xfff9c908,28000330,48597,8,50K😎
8,#PQ289QJU2,⛩️QM|Uŋřeał🥀,0xff4ddba2,28000253,48351,9,❤️LeDi_LoVe❤️
9,#PVLJ9PJJ2,网Dreyvin♡,0xffffffff,28000021,48149,10,Trouble Maker
10,#PY28YC2J2,SSG|Dynamition,0xfff9c908,28000312,47730,11,
11,#Y9VYYPUJP,¤《YT DRAGON》¤,0xff4ddba2,28000259,47507,12,YT:UNF TALIP
12,#9Y09JQRL,5min2ap,0xffffffff,28000153,47364,13,Brawl Stars
13,#8VQJV9CCU,TrOpic🌴,0xffa8e132,28000332,47360,14,Starry Knights
14,#PU8G2V2QL,NAVI|Linus🥶,0xfff9c908,28000132,47334,15,🥶JJL🥶
15,#U9P208PU,Terezka 1,0xff4ddba2,28000161,47083,16,🐉~Dragons~🐲
16,#2YPQVQ9Y8,Quezeri🩸,0xffffffff,28000000,47058,17,Estonian Kings
17,#Y2JCG2P8Q,DarkMilk,0xffcb5aff,28000135,46747,18,Dark beginning
18,#LQ080J0JC,我~Kämpfer🌹,0xffff8afb,28000321,46526,19,BK | BRAWL KING
19,#8GG2YCJY8,monster,0xfff05637,28000138,46496,20,Ancient Origins
20,#2G9UJCU0V,gab👁,0xffcb5aff,28000291,46480,21,ZinZ
21,#90VJ8VVCQ,AnX | vadimulka,0xffcb5aff,28000135,46237,22,No Name
22,#P8800Y8QR,Bruno.s.c,0xfff9c908,28000348,46228,23,GO! BRAWL
23,#PJVCQG00Q,DixieNormus,0xffffffff,28000305,46102,24,K&Q Darkness
24,#PVYL82LJL,QwZ|Neøn4ikk⚡️,0xffffffff,28000295,45804,25,QWIZZY TEAM
