,tag,name,nameColor,icon,trophies,rank,club
0,#9CYCC08QQ,⚡️Sodͥαgͣoͫd⚡️,0xffffffff,28000336,56585,1,Cactus Bandits
1,#CVJRLP0,cookie,0xffa2e3fe,28000347,55382,2,Idle Reborn
2,#YPCCQLLQ9,Satoshi,0xff1ba5f5,28000348,54854,3,Nub Squad
3,#L9JL8GCQ,не кто не,0xffcb5aff,28000305,54591,4,призраки
4,#2890G0L98,🧪Toxic|Jason🧪,0xffffffff,28000000,54507,5,Galaxy Boys
5,#8UCVLQ0RG,I Love Lotti,0xff1ba5f5,28000221,53008,6,Team Knuffi
6,#8UL89YCJL,怒りastezy💞,0xffffffff,28000139,52437,7,
7,#8UUQUJ29Q,cassador de nad,0xfff05637,28000317,51686,8,Good Game™️
8,#P9892QPU,✅LorDFeeD✅,0xffcb5aff,28000129,51253,9,Legendary Elite
9,#YVCLVUV8C,||S_CrOw||,0xffffffff,28000024,51023,10,The Galaxy
10,#GJ0090U,夏|ѕͥʜαͣяͫᴋ⛈️ˢᵃᵈ,0xff4ddba2,28000140,51012,11,⛩️T.S.E|Teamシ︎
11,#2JV88P0P,🇧🇾tara🇷🇺,0xffff8afb,28000314,50375,12,Russia
12,#28YVCVPY8,Vovchok 🦇🦆🦈,0xffa2e3fe,28000023,50023,13,true?🇺🇦(2.0)
13,#2CV0J8G8R,🐍|shadow snake,0xff4ddba2,28000156,50001,14,GalaxyStar🌟
14,#8GGRGPJ8L,ᵒᵖSwezy🐣,0xff1ba5f5,28000018,47524,15,Mezarcı TR
15,#209LGPUGG,AronBrawls,0xffcb5aff,28000207,47116,16,Rnp
16,#PYLUVRP8V,dream|meins🤍,0xffcb5aff,28000330,46947,17,Mystery Killers
17,#YQPYR9GYP,HURU,0xffa2e3fe,28000167,46922,18,HURU
18,#228C0PYUP,RPG Deluxe 2,0xffffce89,28000227,46819,19,Star Fire 🔥
19,#9Q8CRYYQY,leo-38670,0xff1ba5f5,28000149,46808,20,Nw 💤💤
20,#2UPRC0YU9,🥇WINNER🥇,0xfff9775d,28000073,46457,21,Perfectibilist
21,#8ULUGGPUG,Zaire,0xff4ddba2,28000297,46376,22,La Cúspide🏔️
22,#JG2RQRUJ,Mr.Holon,0xfff9c908,28000132,45576,23,
23,#RVGLCR82,GXMARCOVALENSIS,0xff1ba5f5,28000170,45501,24,LA GELATERIA 🍨
24,#9L0PUYG2Q,IBBE,0xff1ba5f5,28000042,45223,25,Die Adler
25,#YJGVUPY9R,tomar753,0xfff9c908,28000175,45215,26,TheSurvivalGods
26,#YPRLYJ0J,Bot 7,0xffcb5aff,28000300,45102,27,Leche69
27,#8U08V0JC,mitinhø:),0xfff9c908,28000267,44826,28,LOS MITOS ENOIS
28,#PGLLRVPYG,Youtuber Miłosz,0xffa2e3fe,28000180,44738,29,PL|SELECTION
29,#8U988QRRC,PEĿMEŚĶÁ,0xffff9727,28000335,44583,30,
30,#P82Q0C208,B12|Tiago🇵🇹,0xffffce89,28000332,44406,31,B12|RZN91
31,#2UJ2R8L0C,L∅Ryʕ⁠·⁠ᴥ⁠·⁠ʔ,0xffcb5aff,28000095,44232,32,ASTRON Taurus
32,#PJ8GRQV0J,지니압바,0xffa2e3fe,28000184,44132,33,KOREA
33,#PJQGY920U,rtyw,0xff1ba5f5,28000349,44120,34,Liner🐲
34,#8VY0YJLPR,NE|Andrei s,0xffcb5aff,28000335,43823,35,SmokeOfEngland
35,#9L2GL8JYC,The Wortex,0xffcb5aff,28000040,43608,36,WorTex|ERA
36,#8CL2LCUUJ,la frite,0xffa2e3fe,28000129,43440,37,WWW
37,#RPC2VQ82,韋一笑,0xffa2e3fe,28000225,43114,38,荒野行動
38,#8PLPG099J,DASH,0xffff9727,28000184,42794,39,☝️братья☝️💪😠
39,#YQU0CPJYY,[LP] Star Wars,0xffff9727,28000139,42661,40,ChehTaPasLéon
40,#9GGGQY29V,🥀|RoxyXeno|⛩️,0xfff05637,28000219,42576,41,THE UNION
41,#9VJGQYP8,qwerty,0xfff9c908,28000258,42509,42,Liner🐲
42,#8L9G99CJR,🖤bandit🖤,0xffffffff,28000221,42504,43,LEGENDS
43,#2G8G02CG2,#T#,0xffa2e3fe,28000335,42325,44,Die|Gang
44,#2CURCURGL,"""TsK""MuStİ""",0xff1ba5f5,28000207,42240,45,BELARUS 2.0
45,#2U0V8JYJY,Illka,0xffcb5aff,28000297,41914,46,pupsik
46,#29CJGVP82,C| Brownie,0xffff8afb,28000139,41869,47,제로베이스
47,#990RY8JY0,NieŚmieszek,0xffa2e3fe,28000165,41330,48,MiotaczeQ1
48,#2UUGPJL08,Jaime🤩,0xfff05637,28000273,41122,49,Toxic Viseon👁️
49,#PLC892VUG,BD|Cube👾,0xffffce89,28000229,40907,50,Krek
50,#RL9G8RJL,讓你|Gløckグン,0xff1ba5f5,28000168,40778,51,🍉❤🍉
51,#8J88RQYL0,pro. jakov,0xfff9c908,28000008,40752,52,<c5>愛|3𝒱3❦</c>
52,#8JJVYPLLR,SUPERstar,0xffcb5aff,28000156,40598,53,KawaiiPancake
53,#892P8CJ80,💎Leonnarium🔥,0xfff9c908,28000333,40570,54,RussiKon
54,#2JJYL8YJ2,rems,0xffff9727,28000332,40535,55,Les inactifs
55,#J8UJY20L,Ángel,0xff4ddba2,28000014,40383,56,
56,#9GPJGGRR,eberøFF,0xfff9c908,28000272,40136,57,ExATorY_
57,#PYYQCL2Q9,PL | SandyShop,0xffcb5aff,28000132,40100,58,PL Club
58,#P9CGY28PY,nolandagoat,0xfff05637,28000091,40017,59,World Brawlers
59,#9PJ9RR9J0,MR. ADRI_09,0xfff9c908,28000104,40004,60,penervet
60,#8JPC9CVQ0,⚔️𝓰Ꮭͥ卂ͫͣ𐌳ıℴ⚔️,0xffa8e132,28000305,40000,61,Deutsch
61,#92QRVJV09,maxcam,0xffcb5aff,28000328,39858,62,MANDY'S CANDY
62,#8UP89PP8V,Ворон,0xff4ddba2,28000170,39755,63,Holy
63,#PLRRQLRPR,♡|likonxp 🪐,0xffcb5aff,28000054,39619,64,8A za Amarafa🍌
64,#YCRG9JY80,∆RIcØ™✓,0xfff9c908,28000337,39544,65,döner=lecker
65,#9RQY0JRQ2,Coco,0xfff9c908,28000260,39536,66,austria pros
66,#2VGR2LG9P,|❄️IceMortis❄️ツ,0xff1ba5f5,28000280,39463,67,mortis team
67,#QQG0Q9RG,[LP]bletrok🤬,0xffa2e3fe,28000167,39379,68,A Very Good Men
68,#89L8CLRQ9,ACL_Neox,0xffcb5aff,28000352,39338,69,les cobra
69,#RGU29CLV,osmogconstament,0xfff9c908,28000033,39317,70,Zinga
70,#929VCPCG9,БратЦыган2,0xff1ba5f5,28000009,39293,71,Gachi Muchi
71,#YU0Q0QVY,Bot 1,0xffcb5aff,28000280,39186,72,berg son
72,#8RPGPP0LV,Brawler,0xffcb5aff,28000164,39111,73,BORREX
73,#9LY22ULC9,NaVi | l1ss_45,0xffff8afb,28000228,38993,74,
74,#QPUUGC82,GXfabrixd07,0xffffffff,28000023,38967,75,InTheLight
75,#2P9PC9QC9,Top Legendary,0xffff9727,28000180,38855,76,Nita's Club
76,#UV98CLRQ,J3Sc0I2,0xff1ba5f5,28000333,38782,77,
77,#290G929YV,Baziqiao,0xff1ba5f5,28000263,38718,78,~Géminis|Yang~
78,#LCJ2V02JQ,THE NEPTOON,0xffa2e3fe,28000175,38683,79,Mythic Death
79,#P80P00RCR,bobas xd 99,0xff4ddba2,28000207,38656,80,WrzućNaLuz
80,#PPJCR92Q9,*TR-T!T4N*,0xffcb5aff,28000336,38615,81,ChozeN
81,#8GJQUVRG2,natpop74,0xffff9727,28000341,38432,82,Legends-Esports
82,#92GUVLLYQ,doshyy? ニャー,0xffffffff,28000004,38424,83,хаунтед маунд
83,#82YQQVVQR,il pro,0xfff05637,28000090,38316,84,Ivittoriosi €
84,#P28RCQQ29,viv,0xffff8afb,28000175,38153,85,
85,#2GYR9V0QU,🏴‍☠️pirat,0xff1ba5f5,28000305,38150,86,mareczkomania
86,#2Q8R90Y9L,Big多คdω☢Ӏf,0xfff05637,28000273,38119,87,Gold Arm Gang
87,#Y9PJP9PLG,♡|Damir4ik|♡,0xffa2e3fe,28000175,38029,88,L.A.T.V.I.A
88,#2J998JVGQ,Voldemort,0xffa2e3fe,28000261,38017,89,🔥DangerZone🔥
89,#LLGP29RQ8,Kualo Bibi,0xffcb5aff,28000310,37988,90,Big kokos ⛱club
90,#2PVC8R9PC,[AU]KROSSowok,0xff4ddba2,28000021,37973,91,$$$
