,tag,name,nameColor,icon,trophies,rank,club
0,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,79307,1,7 Dwarves
1,#PLQ0PYJVV,THB|Pipe♟️,0xffff8afb,28000262,76556,2,7 Dwarves
2,#GCGYLL0G,ᴵᴬᴹᴷ͢͢͢ⁱʳᵃ,0xffffce89,28000054,75147,3,WOLFMX
3,#PGRRLPL0V,Tomillo🌿,0xfff9c908,28000198,71806,4,7 Dwarves
4,#URV2C0G2,VTR|Lito☀️,0xff1ba5f5,28000179,70362,5,7 Dwarves
5,#922U00J8Y,Čucky🍪,0xff4ddba2,28000259,70358,6,7 Dwarves
6,#YUJJC0U,Sofi <3,0xffff8afb,28000177,68843,7,STMN Esports
7,#CRQRGJ8U,xDavero,0xfff9c908,28000137,68819,8,Funados NA
8,#2228PUVUP,DaddyFlame 🧃,0xff1ba5f5,28000299,68633,9,Havoc Echo
9,#22RJY8PUG,あ|Kitol🦉,0xffcb5aff,28000285,67793,10,Zoológico NA
10,#2J2PGLUY9,NoPainNoGame🖤,0xffa2e3fe,28000200,66094,11,Minecraft PE
11,#2C8P2U228,を•LenaMilizé💜,0xffffce89,28000075,66001,12,withdrawn❤️‍🔥
12,#C2GY0YU,Peter|GG🌴,0xffffce89,28000233,65533,13,WOLFMX
13,#PRY92YQC8,NappingProphet,0xffff8afb,28000225,65391,14,Legion
14,#8JYCG0V8,IB|Allan el pro,0xfff05637,28000272,65298,15,Family Barza
15,#8GUYJVUR2,↯❦Esneider➶↯,0xffffffff,28000156,65003,16,Minecraft PE
16,#G9GVUGV2,BRAYAN,0xffcb5aff,28000125,64679,17,☠KillerMachines
17,#8VCCU0PL2,AndresMaxter2.0,0xff4ddba2,28000297,64284,18,Family Barza
18,#2C8V9RJL8,Phensen,0xffffffff,28000160,64121,19,
19,#P8LPL2CR8,ĄNGÊLᴿᴼᴵᴰYT,0xffcb5aff,28000291,63866,20,A Few Good Guys
20,#9CUP822QP,QLS|VIRUS,0xffa8e132,28000175,63594,21,México Top♡
21,#QLPLUQ8V,♪Steven Mc♪,0xffff8afb,28000262,63381,22,LOS ILUMINATI👁
22,#G9L8828,jean k⚡,0xfff05637,28000294,63375,23,My Little Pony
23,#80CVRJYYU,Juan🐴🤎,0xffff9727,28000135,62949,24,Zoológico NA
24,#29L9220C8,kev:(,0xffffffff,28000057,62709,25,Thunderbolts
25,#JPL2LYC,SαɳƚιαɠσMҽɯι💔,0xffffffff,28000095,62577,26,Zoológico NA
26,#L88UJQR9,🌙Moxxie🖤☄️,0xffffffff,28000123,62172,27,Master Players
27,#2GU8UQ9,🔱JC-LAITON🔱,0xffa2e3fe,28000279,62003,28,SALCHICHANCLAS
28,#292G9PYQ8,Astigmatist 🀀,0xffffffff,28000183,61925,29,Mental Problems
29,#22V9R0P02,Micoloco🙊🍌,0xffa8e132,28000244,61903,30,CODE : OG
30,#22VUCCYL0,STMN|xNezzz,0xffa8e132,28000217,61816,31,Moonlight 🧚🏻
31,#2URYY9Y8L,匚モれ匕∪尺工óれ 🎭,0xfff9775d,28000129,61806,32,
32,#GQYR9098,Juan💛,0xffcb5aff,28000281,61595,33,Minecraft PE
33,#YGVYYJJJ,wGerN 👾,0xffffffff,28000188,61507,34,Zoológico NA
34,#YUCVV0P02,GogetaX50,0xffa8e132,28000101,61380,35,<c2>Phoenix</c>
