,tag,name,nameColor,icon,trophies,rank,club
0,#8Y0J928L9,L↯MP_정의🦫,0xffa2e3fe,28000244,66967,1,KOR|JC-LEAGUE
1,#9RRPP02VC,la💜meloyy,0xffcb5aff,28000058,59653,2,Едгарстан💜
2,#2JCLR29QJ,Escanor,0xffff9727,28000170,56614,3,BROWLERONI
3,#8R9RQGJ22,FB|shaddw?❤️‍🔥,0xff1ba5f5,28000000,54499,4,Едгарстан💜
4,#2Q9GVCJGU,bougebambi👎👎,0xffa2e3fe,28000206,53323,5,✨️wrzos✨️
5,#208UUL8R0,𝑇𝑖𝑚𝑀𝑖𝑘𝑠个,0xffa8e132,28000136,52525,6,Lord dragon
6,#9V0Y0UQ9R,Maxk8.,0xffffffff,28000291,51551,7,Only Up ❗️
7,#P298QJGY0,BTsh❦r,0xffffffff,28000139,51081,8,Едгарстан💜
8,#9J20YR000,CRZ|Or̷d̷e̷n̷🎋,0xffffffff,28000290,50579,9,CritiCalZz✨
9,#P9GVRP9Q8,传说|geø×Maføx ¹⅞,0xfff9c908,28000020,50110,10,the end
10,#9C902GJLP,EagleEmperor69,0xffff9727,28000304,49751,11,KN96 & sa bande
11,#PLVPU2RC,Mr Jazzef,0xffcb5aff,28000058,49562,12,Едгарстан💜
12,#8GJRL2PGC,益🍌Bananello🦦,0xffa8e132,28000232,48952,13,Едгарстан💜
13,#PRJPQC8CR,ʜᴇʟʟ♡︎ᴘᴏʟʟʏ🦋,0xffffffff,28000000,48718,14,LerFull
14,#2P8JCYVJL,Максим,0xff4ddba2,28000023,47052,15,
15,#8GVQQ2C0V,ALEX,0xff1ba5f5,28000210,46763,16,BLOOD DIAMOND
16,#8JLVL8G9L,益Xay🫐Moon🐊,0xffcb5aff,28000241,45760,17,Едгарстан💜
17,#2P2PGL2Y,Денчик,0xffff8afb,28000095,44656,18,Едгарстан💜
18,#9998VQLJC,стас,0xffffffff,28000077,44239,19,
19,#CCRYU8R9,ZETA|tomar753,0xffffffff,28000139,44189,20,THOX-HeAx
20,#PPQY29UJ0,Cₒᵣᵥy|☔ᶜᵃʳʳʸᵧₒᵤ,0xffcb5aff,28000309,43977,21,
21,#9YJL8999Y,mardave,0xff1ba5f5,28000305,43952,22,LRD | TEAM
22,#229YJUP29,Stylo DARK,0xffcb5aff,28000137,43448,23,Crowneds
23,#P8VU0UPP,_хХ_$ЭМ_Хх_,0xffa2e3fe,28000348,43299,24,Regions Team X
24,#9UCJ8RY2R,xShnur🤍T强.,0xffffce89,28000271,42607,25,
25,#P8V2RUR0,⚡|L҉ͥe҉ͣo҉ͫᵍᵒᵈ,0xff1ba5f5,28000064,42553,26,🖤ReplayTotem💚
26,#CLQL8QVG,крутий спайк,0xffa8e132,28000016,42477,27,🇺🇦👑KINGS👑⚔️
27,#G2JGJ0YU,bollossletalent,0xff4ddba2,28000021,42407,28,Les plus forts
28,#Y9000VJJ2,aby cool,0xfff9c908,28000280,42392,29,CONGO CLUB
29,#9JVRPUV28,BLACK|checaツ,0xffffffff,28000297,42089,30,apuki55club
30,#8QC00PR2P,Reylleyツ,0xffff9727,28000151,41929,31,
31,#9L20QP9PG,yohan✌️,0xffff8afb,28000298,41844,32,Coq Gaulois🇫🇷
32,#RR0PV2L,Ｊ口尺ムモ | ㄥ刀ㄗ,0xfff05637,28000165,41510,33,JPerú 🇵🇪
33,#820RVG8RJ,리코리코리코리코,0xffa2e3fe,28000159,41328,34,Busters
34,#9VR22QVLJ,ĐÅŁŻE |yammy,0xff4ddba2,28000347,41106,35,Foosy🤍
35,#P8LCULR08,Eugenio B,0xff1ba5f5,28000156,41103,36,243FunStars
36,#880GQVLCR,[БЛЕТ]hovkyn,0xff1ba5f5,28000168,41004,37,PREDATORS
37,#PQPQQGLCJ,danx004,0xff1ba5f5,28000314,40797,38,BLOOD DIAMOND
38,#P02LY98RP,PRO NATAN,0xfff05637,28000289,40548,39,łopaty Mortisa
39,#PP8QQQLYU,‼️ZLASER‼️,0xffff8afb,28000211,40537,40,NN | 🌕Night🌑
40,#2J0CL8C8C,Brawler,0xfff9c908,28000305,40517,41,Team Łazy
41,#9P08UL0P2,ɱąҳ ɱɛŋąƈɛ,0xff4ddba2,28000020,40500,42,
42,#2LR2CP90Q,wendrey,0xffcb5aff,28000135,40014,43,
43,#9P8QPG0QC,kamasoutra,0xffa2e3fe,28000037,39906,44,BIG BOSS CLUB
44,#L8UUPV8Q9,shadow killer,0xffa2e3fe,28000305,39595,45,Shining Stars Ⅱ
45,#2029GJ0U,NOSEY,0xffcb5aff,28000278,39180,46,Spike on Fire 2
46,#Q8LRJQUU,ti.ar753,0xfff9c908,28000140,39136,47,Angels Of War
47,#88JPLGY8C,yarcheee,0xff4ddba2,28000218,38904,48,•shanels•
48,#YP8UGQC2Q,TAͥNMͣAͫSX 🇨🇩,0xffcb5aff,28000265,38867,49,BLOOD DIAMOND
49,#9J8J9LVQP,Mohamd🇪🇬🇪🇬,0xffa2e3fe,28000332,38827,50,كلنا عرب
50,#2Y0PRP0JC,⚡FG|AkirGames⚡,0xffa2e3fe,28000148,38778,51,CzechTrade 🐸❤️
51,#RURUQV2,Super Brawler,0xfff05637,28000176,38632,52,The Hunters
52,#LPCVU8899,Eveil,0xff1ba5f5,28000333,38545,53,LiLi-Stars 2
53,#LPUG2LPCV,galax_yt,0xffcb5aff,28000331,38480,54,United Champs
54,#82J0L0QYP,GENE,0xffcb5aff,28000228,38422,55,МЕГАХАРОШ
55,#9J9UV02PV,твой отчим,0xffa8e132,28000228,38252,56,
56,#P082RP2G0,äbšõłūtē.. 💕,0xff4ddba2,28000147,38186,57,Team Excalibur
57,#Y02YL0JLC,fMk am2011,0xff1ba5f5,28000008,38170,58,LES MEILLEURES
58,#98RJP9L0Y,S❤B|DJEVI,0xffffffff,28000156,38162,59,ZOOBSTER
59,#J9VQVG0P,⚔️やiͥzzͣaͫᴳᵒᵈ⚔️,0xffcb5aff,28000129,38048,60,
60,#2R0LP89YJ,🌸GG:Exclusive,0xffcb5aff,28000228,38021,61,
61,#99VC0LPY8,بطل اللباس,0xfff05637,28000225,37796,62,سكون الليل
62,#YJ9YYVG8C,KaNaMa123,0xffa8e132,28000253,37615,63,Džungle🥦
63,#9VJ8QRYCQ,KiLkA🇷🇺,0xffcb5aff,28000276,37615,64,Корона Империи
64,#PY082R0PG,Kacper2009Pelé,0xffcb5aff,28000272,37593,65,BRAWL SQUAD PL
65,#9V08RGRJ8,VəNøM | ᴇʀᴍᴀ シ︎,0xfff05637,28000347,37568,66,Reimecha
66,#LRVC0CL9C,CoC|Parallax,0xfff05637,28000023,37563,67,QLS and best⛩️
67,#22JYCQR0P,TheMostEvil,0xff1ba5f5,28000314,37430,68,KN96 & sa bande
68,#9V0UR0VJY,мотор,0xffcb5aff,28000156,37318,69,QLS and best⛩️
69,#LQYVQQYCQ,Raphaël le bon,0xffcb5aff,28000135,37265,70,BLOOD DIAMOND
70,#L29JPYP2V,KING KONST,0xff1ba5f5,28000090,37252,71,BLOOD DIAMOND
71,#29QUL9PV,Unknown101,0xffcb5aff,28000141,37209,72,
72,#8GGCGL0C0,wonqqeR,0xffffffff,28000138,37030,73,Едгарстан💜
73,#2P9CVGVG,ᴀꜰᴛᴇ✨,0xffa2e3fe,28000285,37012,74,
74,#8LCVLJ0LG,Даня не,0xff1ba5f5,28000207,36845,75,6 Клас сігми😈
75,#9L0LQ0JUC,fMk exan,0xff1ba5f5,28000253,36826,76,
