,tag,name,nameColor,icon,trophies,rank,club
0,#9C8Q0GRPG,𝑵𝒊𝒕𝒓𝒂𝒎😤❤,0xffa2e3fe,28000081,67033,1,LA Global
1,#P9Q9JUGVU,STMN|Theodorius,0xff1ba5f5,28000256,65416,2,LA Global
2,#80CGYCJQY,AlkaAlka,0xfff05637,28000348,65242,3,YT|CRESTALE🔥⚡
3,#28U0982CY,OP|RAYhacK,0xff1ba5f5,28000271,64043,4,Crna ruka
4,#9CJUPPL2,KɪᴄᴏBᴏɢ🦍,0xffff8afb,28000262,63741,5,CROATIA POWER
5,#2VUCLYUVP,OP|GABI,0xffcb5aff,28000207,61959,6,LA Crown
6,#8C9UL80RG,Luka❤️🔥,0xffcb5aff,28000051,61749,7,QLASH Serbia
7,#2PCVVY2V9,Lyoko |Leo琪,0xffcb5aff,28000299,61322,8,
8,#8CC2GJVPP,GG|Marko,0xfff9c908,28000293,60747,9,Drive4Live
9,#2UGC8Q2GV,愛|↯𝓟𝓪𝓽𝓸❦︎,0xff1ba5f5,28000108,60323,10,Karma Need Nerf
10,#88U2GVU89,MR | Cickač🖤,0xff1ba5f5,28000175,59907,11,kardiafc
11,#2YJPCJQPV,ante,0xff1ba5f5,28000318,58475,12,kardiafc
12,#8GJ9GPVJ0,themightyluka,0xffcb5aff,28000349,58114,13,CROATIA POWER
13,#RRPU98YJ,Syriber,0xfff05637,28000146,57611,14,QLASH Serbia
14,#98Y20P9VY,RoanYT,0xff1ba5f5,28000096,57482,15,Karma my love🐙
15,#9J8PGL09L,Baluexe,0xffff8afb,28000241,57147,16,Reply Totem DE
16,#92G8PUCGL,OP|Daki,0xffa8e132,28000347,57029,17,OG|Players🔥
17,#82R82JQQ,Gogo,0xffff9727,28000291,56965,18,Warner Bros VK
18,#L8QP0UV9P,𝔸𝕓𝕠𝕠𝕪💔😔,0xffcb5aff,28000194,56962,19,ɴɪɢʜᴛ ғɪɢʜᴛᴇʀ
19,#CGPRVCUQ,josipMANIJAK,0xff1ba5f5,28000141,56792,20,Karma my love🐙
20,#228UV0J0V,☆|CRO|☆,0xffcb5aff,28000023,56630,21,Warner Bros VK
21,#2U09CQQL2,Tian♥️king,0xffff9727,28000207,56559,22,CROATIA POWER
22,#2GL2LUV0,YT-->BabyDragon,0xffff8afb,28000349,56539,23,Dragon's Nest🐲
23,#8U9G20JJP,RSK|RoKoᴴᴬᵀᴱʏᴏᴜ,0xff1ba5f5,28000333,56438,24,Warner Bros VK
24,#ULUQYY8J,~MIDAS~,0xfff9c908,28000255,56385,25,Warner Bros VK
25,#2YCCUUQQY,iGolubQu❦,0xfff9c908,28000095,56343,26,Crna ruka
26,#JV9YCUVC,Toni,0xffcb5aff,28000273,56271,27,Night Magic
27,#80GULU9P0,Marin&Lana,0xffff8afb,28000175,56256,28,Serenity🍃
28,#YUQJJV9YU,X7,0xff4ddba2,28000099,56188,29,Gods
29,#LG0QPVVC,fico321,0xffa2e3fe,28000294,55942,30,WaynRage
30,#VQ2V20LJ,Kazuki,0xffffffff,28000000,55494,31,🇩🇰🇨🇿
31,#82C0PVG0V,Karlo,0xffa2e3fe,28000272,55442,32,IX Tails
32,#8U2J2YVQ8,QLS|Zvone19,0xffffffff,28000253,55425,33,CROATIA POWER
33,#8QC9VYPUY,IsusodRođenja,0xff1ba5f5,28000332,55199,34,°•°
34,#8LVQQ89C,Ahyeon,0xff4ddba2,28000035,55131,35,
