,tag,name,nameColor,icon,trophies,rank,club
0,#2YCC2R9LL,AeヽFeniks,0xffff8afb,28000276,64004,1,I Am Sorry
1,#2YVGL2YG,Remoh🦥,0xff4ddba2,28000136,57099,2,Silver Legion
2,#8YPPLJPQU,DaBoiLEL,0xfff05637,28000272,54956,3,Beyond Mecha
3,#220Q0YQQC,GuchoKN,0xff1ba5f5,28000271,54893,4,The Cozy Cabin
4,#20CV82JQV,culito caliente,0xffff9727,28000348,54876,5,Fast Fights
5,#2LULU0CU2,ALONSO_FLORES,0xffffffff,28000242,53182,6,DragonsKingdom™
6,#2VCRL9U99,proxy sasel,0xff1ba5f5,28000018,52704,7,proxy gène
7,#RPUVJJQ8,领袖 |φąҍӀօ29 💛,0xffcb5aff,28000345,51208,8,Wolfriders
8,#P2PRGGPYU,YT|CORIS 🍥,0xff1ba5f5,28000175,50542,9,Dan Elite🦀
9,#CGCLVJRU,babas62,0xffff9727,28000091,50374,10,Famille d’Or
10,#9C09RLY9Y,💤SleePer💤,0xffcb5aff,28000290,49540,11,ERoom
11,#V2JJYY0,сайленс,0xff1ba5f5,28000291,48384,12,Wintrade Moment
12,#2JCVRJ2Q2,♡|Twiwox🐝,0xfff05637,28000272,48346,13,twiwiiie|Club😎
13,#292U0U,Herb Farmer,0xffffce89,28000139,48266,14,Trap🃏
14,#2J289CGJ,Inopreshelenec,0xfff9c908,28000021,48251,15,TTM Squad
15,#2URGL8Y9,ashthewolf,0xff1ba5f5,28000006,47820,16,VG Equinox
16,#208LVL2GR,shoomy ❤️‍🩹,0xffffffff,28000335,46300,17,want to sleep
17,#2G00Y8G8Y,✳️TeddTR.✳️,0xffcb5aff,28000295,46091,18,TURKEY
18,#909QQLQ0J,gobelin,0xffff9727,28000233,45501,19,Ice Team
19,#9VLGYUG0Y,そら,0xff1ba5f5,28000113,45242,20,おなかすいたなぁ
20,#PJL02UUCV,дюшес,0xff4ddba2,28000155,44179,21,😈DEMONS👿
21,#P22CUQP0,RD|ČhickęnPøwêr,0xffffce89,28000348,44070,22,DARK-KINGS😈
22,#80Y09LYQJ,엔제리너스,0xffa8e132,28000341,43453,23,god CT
23,#C9L0RJQP,Rulio,0xfff9775d,28000226,43382,24,la_face_mystere
24,#8YY0C809Y,TT|∂ɩαѕɩƙ♡,0xffff9727,28000325,43114,25,Бобренки🥰
25,#2C9VC9YV8,pikachu,0xfff9c908,28000335,42636,26,
26,#8GJGLJCJ2,FURY@AFG,0xffa8e132,28000248,42504,27,EZ Alpha
27,#YRLVC8PGC,[жмых] бобр 228,0xffcb5aff,28000132,42501,28,Blood Dance🩸
28,#82U2J89Y2,名牌|ALEX🕊,0xffff9727,28000037,42468,29,DRAGON🐉LEGEND
29,#LGRV9RQQ2,KRÓL Julian,0xffcb5aff,28000330,42457,30,Tłusty Krab
30,#CY88LJQC,<c2>Unknown</c>,0xffa2e3fe,28000228,42179,31,
31,#999GJGYJU,難|LATMI🪐,0xffcb5aff,28000139,41901,32,
32,#8PJ8RY9YL,Schlapp,0xfff9c908,28000170,41805,33,Op|Team☔❄
