,tag,name,nameColor,icon,trophies,rank,club
0,#299PLLUGY,R.I.P | ZeTa™⚕️,0xffcb5aff,28000305,62404,1,
1,#2YYJVV0LR,꧁ღツ𝓒𝓸𝓸𝓴𝓲𝓮,0xffffce89,28000009,61117,2,The Rejects
2,#99GPQ29JG,🥵Xaloumopita🥶,0xff4ddba2,28000079,58862,3,Singularity™️ 2
3,#8LUG8QY0C,ᴡᴀ! • 티넘이,0xfff9c908,28000171,58515,4,<c3>Forest↟</c>
4,#LGYQG2J,IDarkAlex 😈,0xffff8afb,28000321,58303,5,DTV|Family 🕵️
5,#8VPYG8JJ9,⚡️Assasin⚡️,0xfff9c908,28000305,57609,6,DeathMoon
6,#2JGUQCRYQ,陰|Kåţ☯️,0xffa8e132,28000254,57560,7,2018🖤
7,#29PPPGQU0,Champion,0xffffce89,28000206,56861,8,The Rejects
8,#2Y9VQ0LLJ,SHARK,0xff1ba5f5,28000247,54426,9,SoLo ShOwDoWn
9,#Q889RL8,*Mil@nezos*,0xffff9727,28000156,54044,10,Singularity™️
10,#PRC9P8JJ,Ира-Кайфолом💯,0xffa8e132,28000175,53188,11,Lord dragon
11,#Y9R89PJY,Alexis,0xfff05637,28000335,53087,12,AG Team
12,#PY8JJLRGP,🇹🇷|DarKFiRe,0xffff9727,28000348,52434,13,BS|KoalisyoN
13,#2QCCQPUCG,Cylith,0xffa2e3fe,28000211,52115,14,
14,#8J2L2CGGQ,🇨🇾GΕORGΕ☘️9💣,0xffa2e3fe,28000294,51719,15,DarkDragons
15,#2RLU20C0G,fedu,0xfff9c908,28000221,51639,16,27forever 😢😣
16,#8R88CCJ,Shagrath,0xffffce89,28000297,51489,17,Pitagyro 2
17,#Y0YCCPQ9U,klearchøss 🦅,0xffcb5aff,28000333,51267,18,Rangers
18,#YVQL0R8RQ,Cђamͥ℘iͣoͫŇ,0xffff9727,28000348,51261,19,KiwiKings
19,#8RCP2LY2Q,AWS|Neftik☺︎︎♡︎,0xffcb5aff,28000310,51241,20,ggoddamnn
20,#20JGJ2P2V,TARAKAN,0xff1ba5f5,28000336,51224,21,<c6>SUFFERS</c>
21,#22RLRV8CR,Dankolab,0xfff05637,28000252,51208,22,🍋Lemon Team🍋
22,#P090G9CY2,Royal Fuso 8,0xffffffff,28000000,51014,23,Kings Area
23,#8UGQY29JL,2 daysᶫᵒᵛᵉᵧₒᵤ,0xffffffff,28000176,50890,24,
24,#Y9YRV8VPY,2darkfire,0xff1ba5f5,28000168,50823,25,SuperStarS
25,#8GYQLGRCY,Manionio,0xfff9c908,28000226,50594,26,cyprus Legion
26,#Q2V8Y2QP,Dim,0xfff9c908,28000156,50490,27,WBC
27,#QVQ2V89V,xanthos,0xffa8e132,28000258,50419,28,
28,#89VV9CJJ,zeRRo,0xffa8e132,28000254,50323,29,Brawl Champions
29,#PP82G0YLQ,丹Ｑ爪|爪尺_ㄥモれ丹İれ,0xffcb5aff,28000330,50209,30,Yeah🔥
30,#2PGL9G228,teo,0xffffffff,28000249,50143,31,Brawlfist
31,#RVGV88GJ,Sharbel,0xfff05637,28000272,50085,32,Threat Level
32,#2GGP9Q8VU,Imagin,0xff1ba5f5,28000038,49751,33,Singularity™️
33,#29YG8RUGU,Angelos,0xfff05637,28000266,49683,34,COOL CYPRIOTS
34,#8UYQ0RRYP,TT | FRIZ🦇,0xffcb5aff,28000332,49672,35,Commonality✨️2
35,#8980U2VJR,PANAGIOTAKIS,0xffa2e3fe,28000014,49336,36,
36,#22JURRUYG,ixaros,0xffff9727,28000341,49170,37,costa
37,#20R00PLYC,⊿アクアの犬あしゅ神推し46⊿,0xffffffff,28000058,49140,38,イオンデートなう🗿🗿🗿
38,#RQGC20LL,GiannisChri,0xffff8afb,28000305,48984,39,Singularity™️ 2
39,#8V8GVJRC,bruce,0xff1ba5f5,28000120,48793,40,BT|Legends
40,#8Y8RV92QP,🌺あŋıčƙ🪐,0xfff9c908,28000139,48539,41,COOL CYPRIOTS
41,#9JRLPJP0Y,Bambu,0xff4ddba2,28000016,48379,42,THE NEW FOODMAN
42,#RL9L20Y8,Tommy,0xffa8e132,28000272,48368,43,Ancient Origins
43,#8UGG8Q28C,🐐|Valdな|🪐🩸,0xfff9775d,28000300,48323,44,COOL CYPRIOTS
44,#RY80C9L2,AP,0xffcb5aff,28000125,48270,45,The Licious
45,#L9Q0Q00YJ,Coconut|_09,0xffcb5aff,28000232,47816,46,TheEaglesPl 2
46,#2GVYGU90Q,ֆuͥ乙uͣkͫαα ツ,0xffcb5aff,28000222,47627,47,Commonality✨️2
47,#9Y2Y22YYQ,Brawler,0xfff9775d,28000170,47523,48,Berwaumo🧸
48,#Q9VURJR80,damnit,0xffff8afb,28000331,47484,49,Blackout Gaming
49,#9RYQJ9RGP,Darkunic,0xffcb5aff,28000349,47365,50,Demons 😈
50,#R2Y2988L,😼😿😾,0xffcb5aff,28000348,46706,51,鼻☆塩☆塩
51,#2RLJQ2YLC,jirobe,0xffff9727,28000274,46539,52,CPK's Overworld
52,#92LCJQ8P0,iRaphahell,0xfff05637,28000301,46464,53,MasterLegend
53,#8UQ0UYCJR,mohas,0xffcb5aff,28000066,46414,54,Antzougies
54,#QPLY8ULU,E|Aristospro,0xff1ba5f5,28000271,46193,55,Emporiko Power!
55,#P000UJ2L2,Thomas,0xff1ba5f5,28000245,46141,56,OMONOIA
56,#8PQCUP2PJ,🐹chloe🐹,0xffcb5aff,28000207,46104,57,Cyprus Sleyers
57,#90LPYL0QG,VSR | L0NE,0xffcb5aff,28000274,45965,58,Metamorphosis⚔️
58,#2U88QRV0,⚡GE|Ronaldojimi,0xfff9c908,28000294,45909,59,
59,#8UYP0LR2P,LordJew,0xffff9727,28000153,45859,60,COOL CYPRIOTS
60,#29VRVQ82R,☢GX_MIXtroll☢,0xffcb5aff,28000047,45730,61,
61,#88V0P8LR2,lysaris,0xffa8e132,28000169,45658,62,Singularity™️ 2
62,#PCJPRLUGY,Fps❤️‍🩹,0xffffffff,28000183,45610,63,GTP Esports
63,#9QQJ0C2LV,Neofytos,0xff1ba5f5,28000126,45574,64,Singularity™️ 2
64,#9LY9LUG0U,ᵒᵖ𝘔𝘢𝘶𝘳𝘢,0xffa2e3fe,28000347,45449,65,NightSun🌙
65,#9G0YCPG,George,0xff1ba5f5,28000164,45443,66,Singularity™️ 2
66,#8RGLQVQJ,Kokis,0xffa2e3fe,28000155,45427,67,costa
67,#LQP292QLU,ARTUN YEĞEN,0xffa2e3fe,28000207,45269,68,DumaNoob
68,#YY8G8JGCG,nesibe,0xffcb5aff,28000031,45266,69,
69,#8028LGJYP,surge,0xffcb5aff,28000335,45221,70,Singularity™️
70,#G82JPYLJ,Ŧø₱4ĭĶ ₱ŗõ,0xfff9c908,28000247,45187,71,SoLo ShOwDoWn
71,#9LC0URRP8,vale@,0xffff9727,28000265,45179,72,proteas
72,#28L8QVV0R,SNG|VENOM94,0xffcb5aff,28000294,45165,73,
73,#2PQYJC0LR,Christos,0xff4ddba2,28000295,45076,74,Singularity™️
74,#QYGQJCP9,OTS|Treacherous,0xffcb5aff,28000207,44951,75,<c7>Night🌙</c>
75,#8V0C2PV28,(QLD)ShÄDØw,0xff4ddba2,28000140,44851,76,COOL CYPRIOTS
76,#22VP080Q2,™ MELEK ™🇹🇷,0xffffffff,28000151,44839,77,YÜZÜK KRALLIĞI
77,#2CPP98VG0,chortis69,0xffcb5aff,28000066,44648,78,Antzougies
78,#2PLYV9YL0,❄️YungFliker❄️,0xffffffff,28000302,44590,79,COOL CYPRIOTS
79,#82L89RQL2,николай,0xffa2e3fe,28000316,44571,80,
80,#8GCYQVVP2,Kelodin,0xffffffff,28000104,44464,81,cyprus Legion
81,#LYUR29VY,Nina😈DCC,0xffff8afb,28000084,44438,82,Singularity™️ 2
82,#YP20JQG0J,juanito,0xfff9c908,28000249,44405,83,VoLoPaS
83,#P0PPRCR9R,زعيم الهلاك,0xff1ba5f5,28000348,44350,84,غزة العزة
84,#80822Y,marios,0xff4ddba2,28000305,44349,85,Singularity™️
85,#P0VPURQUJ,strovolos1312,0xffff9727,28000284,44199,86,Singularity™️
86,#9929JRRU2,⛓️☠️TYRANT☠️⛓️,0xffff8afb,28000175,44146,87,Singularity™️ 2
87,#PUGRQVGQ,patsasputsas,0xffff8afb,28000008,44132,88,Brawlerhood
88,#298QQYQR2,BS|☔️ᴋɪʟʟᴇʀ❤︎,0xff1ba5f5,28000231,44123,89,Cyprus Sleyers
89,#9URLRG09J,LRD | GueuleTa♟,0xffcb5aff,28000335,43999,90,Just'Gods🔥
90,#9YYUUL89U,LordKaleb,0xffa8e132,28000168,43977,91,CrystaL
91,#QPU0CQVR,alex,0xff1ba5f5,28000078,43930,92,Halloumi-inu
92,#9GUGYQJL,Novachrono,0xfff9c908,28000212,43914,93,legedary player
93,#Y8220V,PieceOfShip,0xffa8e132,28000114,43898,94,pieceOfships
94,#82J980JCR,UH | R1p3R💫,0xfff9c908,28000332,43823,95,
95,#8RL8Q9URP,Turkish_Delight,0xff1ba5f5,28000045,43791,96,🤡🤡
96,#J9YL8JG2,KATSOS,0xffcb5aff,28000279,43735,97,Singularity™️ 2
97,#8VQ8LJUPU,Kneros 🇨🇾🇬🇷,0xff4ddba2,28000126,43692,98,TEAM QR
98,#Q8GG0L89Q,Solenya,0xff4ddba2,28000248,43691,99,DarkBrawlers CY
99,#Y2CVV0VUL,christos,0xffa2e3fe,28000030,43685,100,Antzougies
100,#2CLY2GGVG,Andronic rafael,0xfff05637,28000350,43596,101,Wilde tijgers
101,#9QGU8L08,ponaris,0xfff9c908,28000022,43507,102,costa
102,#YPR0R8QQ8,яяя,0xffcb5aff,28000098,43485,103,CJ|Goats 幫
103,#V2V9YYLP,🦆QuackQuack🦆,0xff1ba5f5,28000066,43463,104,DEATH CITY
104,#2PR0VYPY8,JACK_FREEDOM,0xffa2e3fe,28000178,43463,105,TheGreek Legion
105,#JLG8PVCQ,ΘΡ|KONNAROSツ,0xfff9775d,28000081,43454,106,Singularity™️
106,#9RJPCYVY9,●Batman●♤♡◇♧,0xff1ba5f5,28000106,43380,107,unlucky
107,#PRL9VRP88,It's Cleckey?♡,0xffffffff,28000037,43352,108,
108,#2PPGCU9Q9,kypros,0xffa8e132,28000332,43344,109,Singularity™️
109,#Y28LLLRPP,🇬🇷>🇹🇷,0xffa8e132,28000046,43228,110,DARK LIGHT
110,#CJGCV002,Land💔😔,0xffcb5aff,28000170,43218,111,<c0>Shine</c>S
111,#PJQ9CCV2C,lele,0xff1ba5f5,28000294,43193,112,New Guy CC
112,#9JQYJ2GQJ,5661_Zomby,0xfff05637,28000298,43190,113,Nikolaidio
113,#9QULR0GC8,amiro,0xff1ba5f5,28000273,43111,114,LR Gaming
114,#2QC89CJY2,kuZ[k0],0xfff9775d,28000301,43103,115,germany|club
115,#80YPVY8LQ,A-N-G-E-L +,0xfff05637,28000211,43047,116,Singularity™️
116,#L9R28YURL,PAO13,0xffa8e132,28000168,42988,117,KZ Club
117,#2CJ089URU,GoNI,0xffff9727,28000061,42972,118,
118,#929PYYJVQ,легенда леона,0xff1ba5f5,28000061,42949,119,NohmasneM
119,#YYG99GG,☭︎|h1sterim|✞︎,0xffa8e132,28000332,42942,120,dla sigmymarka
120,#9080JUQ0,Spyros,0xffa2e3fe,28000305,42841,121,pieceOfships
121,#20CR22L00,Revolt,0xff1ba5f5,28000141,42750,122,Antzougies
122,#2JJ90PV82,κον 35,0xffa8e132,28000206,42748,123,🥇κον35 🥇
123,#JJVG2LQ9,cch48,0xffa2e3fe,28000349,42711,124,Code: COSTIN
124,#90YQUURQ0,ЮниKitty,0xffff9727,28000106,42703,125,LINE
125,#92RPRVY0L,CHARALAMBOSPRO,0xffff8afb,28000019,42693,126,TBG&B
126,#2QPVY2JR2,GIANPIPPO,0xff1ba5f5,28000285,42587,127,The Gears 5
127,#29VYVJ2G,ih8am,0xffffffff,28000272,42548,128,
128,#2GRRQLP8C,PRO İSMAİL,0xffcb5aff,28000335,42526,129,3800
129,#8G0R90R2Q,Hillicorn,0xffa8e132,28000278,42519,130,Lovely
130,#9C9YYG2C,micminec,0xffff9727,28000298,42508,131,
131,#9LJV9PG02,wedoly,0xff4ddba2,28000271,42502,132,Brawl Players
132,#2292GVLGY,Hadjipapas,0xffcb5aff,28000129,42477,133,CY Brawl Stars
133,#2CYPCPG8L,ZETA|KIPRIS🃏🎭,0xffa2e3fe,28000008,42461,134,
134,#Q0V0UPU,shadow,0xff1ba5f5,28000305,42357,135,CPK's Overworld
135,#9JVJY9YV9,Alex sima,0xff1ba5f5,28000031,42349,136,simovici
136,#Y2P0CJPG,Panos|The Ace🎶,0xfff05637,28000273,42294,137,CPK's Overworld
137,#9LYV98PUV,Aristarh_96,0xfff9c908,28000024,42292,138,Pyna Diper
138,#9J98J209Q,tonymontana,0xfff05637,28000317,42288,139,DarkBrawlers CY
139,#9R28JQQRP,⚽Stelios⛩️,0xff4ddba2,28000207,42259,140,Cyprus-E-Esport
140,#8QV99PPJY,Brawlpass,0xfff9c908,28000283,42179,141,R.M👑💍
141,#YCVGUGJ8Y,Evangelos pro,0xffcb5aff,28000297,42160,142,WBC
142,#2UJJQP0J,TC | Panas2005,0xffff8afb,28000051,42145,143,Singularity™️
143,#QGP0J222,SotiriouSot29,0xffa2e3fe,28000225,42123,144,Antzougies
144,#8UJQRQJ8U,mch20,0xffa2e3fe,28000170,42110,145,COOL CYPRIOTS
145,#R8J09QVC,loizos,0xffff9727,28000262,42097,146,Brawlerhood
146,#80CULUCLV,renos pro 19,0xff1ba5f5,28000248,42083,147,Jovenes Dioses
147,#LU2RRYPU9,tedys222222,0xff1ba5f5,28000343,42067,148,Gr Challengers
148,#8L0PRJ9J,Vikusia,0xffff8afb,28000297,42054,149,Kredki Czerwone
149,#8Q2GLLVUC,petros,0xffff9727,28000207,42001,150,BailaEllaRecord
150,#2LYU2JJLJ,Рико,0xffffffff,28000023,41980,151,SS RAF
151,#82Y98LG2R,BobaMan,0xffcb5aff,28000170,41975,152,
152,#80G9VCUJ0,s.p.k.o.E,0xffa2e3fe,28000226,41957,153,DRAGON
153,#L0VPJ8UU,🌹|Titis24|🌹,0xff4ddba2,28000349,41916,154,COOL CYPRIOTS
154,#GC8Y2UYG,Kanekι,0xffcb5aff,28000301,41907,155,Crow_Zero
155,#29VUJCYGP,OMONOIA,0xffa8e132,28000305,41896,156,Revenge 😈
156,#LQRVG22Y,clouvias,0xffa2e3fe,28000177,41785,157,Cy beasts
157,#99YYRYCYJ,꧁༒☬NAVI☬༒꧂,0xfff9c908,28000132,41755,158,Nutella
158,#8YGCJ9C9,Boo Morningstar,0xffffce89,28000087,41716,159,Singularity™️ 2
159,#R8P2QPLV,El rafa,0xffa2e3fe,28000314,41711,160,Crow_Zero
160,#8C8Y8V8UV,Markos,0xffa2e3fe,28000231,41683,161,WBC
161,#9GUQJUP2,Asterios,0xffa2e3fe,28000317,41675,162,Brawlerhood
162,#9922JGRP,BigPoppa,0xffffffff,28000179,41672,163,⚜️RoyalEmpire🔱
163,#L9R8UC8LG,KillerShadow🍬,0xffff8afb,28000176,41672,164,CLUB LEAGUE
164,#9U0Q8U08L,Tsvetogor,0xff1ba5f5,28000164,41668,165,Дружината
165,#9J8RPGUG9,*Public Enemy*,0xffffffff,28000064,41655,166,Death to enemie
166,#9V9CGUY9U,5perminat0r,0xffa2e3fe,28000291,41655,167,GREECE
167,#9LYVCPY0G,GD | Force 🔥,0xffcb5aff,28000191,41612,168,TBG&B
168,#20PQ0CPL,unikata,0xffff8afb,28000085,41552,169,Singularity™️ 2
169,#RYPV0P,COOLDRAGON,0xfff05637,28000009,41515,170,CPK's Overworld
170,#880UCYLCU,marco,0xfff9c908,28000128,41435,171,SUPER POWER
171,#822089JLR,Pork Gyros 1,0xffff9727,28000061,41325,172,COOL CYPRIOTS
172,#P8JLCQC8G,愛|𝑪𝒉𝒂𝒑𝒑𝒊,0xffffffff,28000023,41254,173,Lost in Dreams✨
173,#80RJLJJY,TrainerUgly,0xffa2e3fe,28000001,41230,174,Lynx
174,#9ULVUVP29,فخم؟,0xffffffff,28000218,41200,175,Salad Kingdom
175,#Y8CYR2PJ9,[💎☠️st☠️💎],0xff4ddba2,28000352,41182,176,cyprus Legion
176,#YRY2YRPJ9,裏|ครรครเภ'ร☯,0xffcb5aff,28000125,41137,177,SKE|E-SPORTS
177,#UJL09YYQ,as26,0xffffffff,28000001,41129,178,GSL14
178,#QRL2GLCR,Ghostmum,0xffff9727,28000087,41108,179,Crazy farma
179,#9UU20JY92,paulos,0xffa2e3fe,28000016,41102,180,
180,#90Y89C2P8,loukito,0xff1ba5f5,28000277,41088,181,ΤΑ ΓΑΟΥΡΚΑ
181,#20V9PPLQL,Grimm,0xff1ba5f5,28000352,41086,182,RPG • Lonely
182,#Y2LU2YY2U,🔥RainDer🔥,0xffcb5aff,28000228,41069,183,🥀BloodAngels🥀
183,#Y22QP0LLC,WX|SAMURAI🥷🏿,0xff4ddba2,28000305,41005,184,WBC
184,#8Y2UVPV8P,theodoros007,0xfff9c908,28000007,40936,185,ypsonas
185,#8PYC89Y80,cyprusairways,0xff1ba5f5,28000260,40879,186,Brawl Network
186,#PU0U8LG,andreas pap yas,0xffff9727,28000061,40841,187,Singularity™️ 2
187,#LJYVVRR9U,aiarpy,0xffffffff,28000310,40743,188,aiarpy
188,#VVYJQRL,KMK,0xffff9727,28000125,40720,189,
189,#8YVYGPUYJ,NotaBlackMan,0xff1ba5f5,28000170,40714,190,Valhalla
190,#JULC0YPP,Lt. Charmy,0xffa2e3fe,28000328,40648,191,MYTHIOPIA
191,#2008CCGJV,[LP]lil motya,0xfff9c908,28000132,40620,192,Волжский 34rus
