,tag,name,nameColor,icon,trophies,rank,club
0,#P99QGPLU2,Davex,0xffffce89,28000129,88800,1,Brawl King's
1,#Q0VP0JP8,玄Ghost🎴,0xffa8e132,28000167,74016,2,Dr eSports
2,#90UGV009J,𝐷𝒊𝒕𝒂𝒙💙,0xffff9727,28000020,69812,3,BC*|Family*
3,#P8PJQ9CPQ,TML|Stanoo猴,0xff1ba5f5,28000167,68002,4,Andromeda
4,#9LYUUJPYG,Neptunnn🦋💞,0xffffffff,28000135,67751,5,Andromeda
5,#289Q0GQ0J,lordabeceda,0xff1ba5f5,28000069,67694,6,Mighty Bosses
6,#2YL8VCRCC,SB|Miso,0xffcb5aff,28000022,65371,7,BC*|Gaming GER
7,#P0LLC0PR8,𝑷𝒊𝒕𝒊💜,0xffcb5aff,28000187,65343,8,Mystic Force
8,#8L02G9GLU,Tribe|Gaming,0xff1ba5f5,28000349,65301,9,Mighty Bosses
9,#L222UVP,Armis〆,0xff1ba5f5,28000295,64885,10,Rangers
10,#LYGUYQ20,Mr.Black✧,0xffffffff,28000135,64714,11,
11,#2VJCJ0UJL,bmw🇨🇿,0xffa2e3fe,28000219,64422,12,Komety 🇨🇿
12,#8UJUPG2PL,IRP|Jardaseek↯,0xffa2e3fe,28000129,63966,13,50K in 24 hours
13,#88VRQCL00,MB|Sir Sibi,0xff1ba5f5,28000299,63836,14,Mighty Bosses
14,#9LG2UGP2,NYJON,0xffff9727,28000102,63728,15,Mighty Bosses
15,#8UR9PL9YP,FADEE|SeeYa ت︎,0xff1ba5f5,28000285,63300,16,Amigos♥
16,#G99099PP,「Twͥιsͣtͫy⪑ᴳᵒᵈ」,0xffff8afb,28000265,63269,17,Amigos♥
17,#LRPC2J9V,Venut,0xfff9c908,28000244,62731,18,Czech Legion
18,#P8Q0VYCQU,PG|Lukáš,0xffff9727,28000272,62552,19,Amigos♥
19,#PJ2UQQGUG,Jr Banďík🌠,0xfff9c908,28000063,62503,20,DrEaM TeAm
20,#PLV89CGP,Salty🍬,0xfff9c908,28000335,62451,21,A Few Good Men
21,#2RUP080JQ,Mr.B,0xff1ba5f5,28000348,62373,22,Mighty Bosses
22,#92Q2YY2PP,陰Tweedئ❤️‍🔥,0xfff9775d,28000230,62233,23,Rangers
23,#82Q09Q0RU,弗Honzinn🦑,0xffa2e3fe,28000282,62067,24,Mighty Bosses
24,#2JQ2UYQV0,aragorn,0xff4ddba2,28000349,61964,25,Brawleři
25,#R2JGR0J8,Wexík cz,0xffff9727,28000348,61866,26,Czech Legion
26,#8GLUUPPYV,INF|Aronek,0xffff8afb,28000321,61855,27,Andromeda
27,#P9CLQQY9C,LP|Cmelias🔥,0xffcb5aff,28000330,61793,28,『ŁØsτ℘rØs』
28,#PYQJGL8UC,🌺|G̸R̸U̸N̸Z̸A̸,0xffff8afb,28000321,61753,29,Mighty Bosses
29,#2JPRQ2Y9V,EVB |Jirka,0xff1ba5f5,28000095,61437,30,Amigos♥
30,#9YJRQCUCR,FADEE|Tomik ت︎,0xffffffff,28000139,61315,31,Mighty Bosses
31,#PL92VUQJV,『Ӿ₣M』EderixYT,0xff1ba5f5,28000294,61279,32,Bloody Kings
32,#Y88RQQYC,NO LIFE,0xffff9727,28000159,61233,33,Mighty Bosses
33,#P89Q0J8QV,🍺OOnik555🍺,0xff1ba5f5,28000099,61214,34,Mighty Bosses
34,#82Q2YLVLJ,David,0xffff8afb,28000291,61176,35,Bloody Kings
35,#9L8GPL9V0,MB|Adam 🍨,0xff1ba5f5,28000322,61031,36,Mighty Bosses
36,#8LPUCRPLJ,MB|AL1NO,0xff1ba5f5,28000299,60829,37,Mighty Bosses
37,#P898LYQ9J,FADEE|Viti ت︎,0xff4ddba2,28000184,60791,38,Amigos♥
38,#90VJJ90P8,Victoria🖤,0xffff9727,28000331,60655,39,Amigos♥
39,#G0R0C0J,Duo♡Sirup,0xffffffff,28000195,60653,40,La France
40,#YLCGV0C2Y,准头blace👽,0xfff9775d,28000345,60623,41,GreenGo
41,#9QCYPJQC0,OMG,0xffffce89,28000342,60617,42,✨SUPER STARS✨
42,#PJGGVYPRV,INF|Mat,0xff4ddba2,28000347,60568,43,Andromeda
43,#8QJU29VC,MB | BediCZECH,0xffcb5aff,28000225,60550,44,Mighty Bosses
44,#CG80CY0G,陰Stepnئ❤️‍🔥,0xffff9727,28000135,60430,45,Amigos♥
45,#RGLGYYQ2,surfar,0xffcb5aff,28000297,60387,46,LUXEMBURG
46,#V02L8PVC,Ivanchikisa,0xff1ba5f5,28000291,60368,47,Bad Randoms🦇
47,#P92208LLR,Zawesend❤️‍🔥,0xfff9c908,28000277,60365,48,Mighty Bosses 2
48,#8U29PYPPG,꒻ꍏꈤꏳꀍꂦᵈⁱᵉᵈ🪬,0xff1ba5f5,28000101,60291,49,Mighty Bosses 2
49,#2G8LRPUV2,⪻฿laͥรtͣeͫr⪼,0xff1ba5f5,28000123,60185,50,Amigos♥
50,#JVPRG2P0,𝑇𝑜𝑚𝑖𝑘𝑘我,0xffcb5aff,28000305,60180,51,
51,#2CLC9GRJP,ᴳᵒᵈ₮øͣɱͫáš1#²⁴ʱ,0xfff9c908,28000034,60009,52,Mighty Bosses
52,#PGPJYG9Q,GLR|Pika ☬,0xfff9c908,28000018,60000,53,Game House
53,#PGLPCUQLQ,ᵐᵉᵉᵖi҉s҉ᵗʳᵃˢʰ,0xffffffff,28000135,59911,54,MeepovaFamily
