,tag,name,nameColor,icon,trophies,rank,club
0,#8JCJV9QPL,KissaKatze ☯︎,0xffff9727,28000279,65134,1,Exalted Heroes
1,#292GQPCRC,ExD|Gargas,0xff4ddba2,28000161,64417,2,Exalted Heroes
2,#9YJJ0GGQ9,ExD | Kokkens,0xffff9727,28000020,63610,3,Exalted Heroes
3,#2GYYQ09V0,ExD | Swag,0xffa2e3fe,28000322,62057,4,Exalted Heroes
4,#G8QV28LP,ExD|Ugiga,0xffcb5aff,28000029,61621,5,Exalted Heroes
5,#VYPQ8JP,Yde,0xfff9c908,28000321,61071,6,Brawl Kings
6,#2VYCPJ2G9,Mikkelʕ•ᴥ•ʔ,0xff1ba5f5,28000020,60527,7,Exalted Heroes
7,#UVJJLQV0,ExD|ANWAAR,0xffcb5aff,28000339,59938,8,Exalted Heroes
8,#Q2LC2UG0,I’m Ahmed,0xff4ddba2,28000173,59620,9,Exalted Danes
9,#829V0PY2,ExD|Turtles,0xffa8e132,28000016,59402,10,Exalted Heroes
10,#8CQ2JL8QG,Gullermeister,0xffa8e132,28000018,59158,11,Dutten
11,#UVQ0PJ2C,SeanyBeach,0xffcb5aff,28000292,59009,12,
12,#PR0Q9RYP,savi,0xffff9727,28000064,58893,13,Exalted Heroes
13,#9QPJ8GLLQ,Elagence〆,0xffff8afb,28000175,58480,14,⛩sombre 桜
14,#9GG98CGP,ExD | Kasper,0xff1ba5f5,28000139,58103,15,Exalted Danes
15,#QCVUJRJP,友|𝓛𝓽98🥀🧸,0xffcb5aff,28000281,58008,16,Exalted Heroes
16,#9RLR90Y8,Lopol ❤️‍🔥,0xffffffff,28000076,57971,17,Exalted Heroes
17,#L2G9C9CCY,Andreas,0xff1ba5f5,28000305,57640,18,Beyond Washed
18,#8GV0PPVP,Bruce Lee🦑,0xfff9c908,28000213,57440,19,Exalted Heroes
19,#PY2U0YYQU,Solo♡𝑬𝒅𝒘𝒓❦,0xffff9727,28000224,57332,20,Moonlight 🧚🏻
20,#VPVCQQ2Q,BlackWolf,0xfff05637,28000071,57152,21,I LEGGENDARI
21,#9QQLJCCJ,Freddy,0xffffffff,28000013,56719,22,<c9>REDARMY</c>
22,#8YLV00UR,the awesome,0xffa2e3fe,28000170,56522,23,Titans Hera
23,#9GVGCLUCU,nooby primo,0xffcb5aff,28000069,56441,24,Papi's
24,#CGR9GQLG,StrykeX,0xffa2e3fe,28000331,56365,25,Prometheus
25,#9GRYC982,Sensei,0xff1ba5f5,28000272,55594,26,The Hideout
26,#2GJPUVV00,SPZ | Aspect ☯︎,0xffffffff,28000347,55525,27,Exalted Heroes
27,#P8YYGUU2P,𝓜a𝔁iツ,0xffffffff,28000221,55016,28,Exalted Heroes
28,#2VLCQGVPP,rubs,0xffa2e3fe,28000156,54608,29,Danish Minds
29,#9RQP08LY,Danny2500,0xffa8e132,28000054,54357,30,Danish Assassin
30,#22890Y9RQ,Stevie,0xff1ba5f5,28000019,54200,31,Exalted Heroes
31,#2RYRUQGGG,Gman,0xffffffff,28000317,54158,32,Exalted Heroes
32,#9GUURQQJY,🧙Ǥe𝓃ius🌛,0xff1ba5f5,28000168,53872,33,Guster desant🪂
33,#200URQR2P,Kurt,0xff1ba5f5,28000158,53713,34,Brew HaHa
34,#8J8P0L9QY,Leth25(DK),0xff4ddba2,28000167,53696,35,Flåden🐬
35,#GQJCGR99,ExD|PewDiePie,0xffff9727,28000223,53644,36,Exalted Danes
36,#8CQY8CJUU,Şค๓🤍,0xfff9c908,28000038,53588,37,Exalted Heroes
37,#VYG00P9L,Piper,0xffff9727,28000196,53523,38,Akatsuki
38,#808PYQURY,wadland,0xffff9727,28000064,53519,39,Exalted Danes
39,#QY9LYURG,#adam,0xff1ba5f5,28000350,53508,40,Katze 🐱🐈
40,#YRUU8UVQ2,◥꧁N͎a͎v͎i͎d͎꧂◤,0xfff05637,28000184,53268,41,Trust Alliance
41,#2VG8QLLG8,ExD | Tobi,0xff4ddba2,28000113,53231,42,Exalted Heroes
42,#8G2P8QCUU,Jesper M1lkyWay,0xffa2e3fe,28000228,53134,43,BCC Alliance
43,#8UPULLGUU,Vanjzz,0xffa8e132,28000160,53089,44,RC E-Sports
44,#28GLRRJ2P,74crowstar08!,0xff4ddba2,28000248,53064,45,Head Hunters
45,#8UVRCY9L0,上長 DᴀᴅᴅʏPᴀɪɴ💔,0xffa2e3fe,28000290,52986,46,🔥FENICE🔥ITA 2
46,#P2Y00Y9G0,ExD | SBVIVA ⚡️,0xffff9727,28000203,52930,47,Exalted Danes
47,#9R9PY8PG,ExD | Magnet,0xffffffff,28000128,52711,48,Exalted Danes
