,tag,name,nameColor,icon,trophies,rank,club
0,#2QU9YRJG2,Frost,0xfff05637,28000109,57430,1,Las Diablitas🧘
1,#GVRYC0U2,BB|Taha,0xffa2e3fe,28000225,56435,2,AE Kraken
2,#9C0CCCYGR,𝔊o͢ʟℽ多cͣђⁱᵏツ,0xfff9c908,28000137,55070,3,Blue Sniper
3,#28LQYYYCC,『月』,0xffcb5aff,28000139,54457,4,MSEW
4,#LR82VVU8,迅|Csabasaka✨,0xfff05637,28000116,53644,5,
5,#V2CU8UPU,VRL | krak𝖊n💞,0xffffffff,28000156,53518,6,
6,#YQ0Y2YPQL,FS|ĐarĶinğ⛰,0xffffce89,28000347,53317,7,FS|Falling Sky
7,#8GLRVYRLG,Levi💙,0xffcb5aff,28000297,51984,8,ElektroHUN™
8,#LJL2CY92G,Ａｃｅ❃Ｊａｄｅ🥀,0xffff9727,28000137,51761,9,Brawl Kings
9,#R80CYUJ2,🇩🇯Djib|Habni♏,0xff4ddba2,28000196,51525,10,Illuminate ✨
10,#2C22PC2GJ,SL|Clay6119,0xffa2e3fe,28000285,51517,11,SouL Crushers
11,#8V0GR8Q99,Grayt | YT,0xffff8afb,28000331,50751,12,
12,#U2Y9P92U,Solo|Morro🐲,0xffffffff,28000000,50000,13,Mythical Kings
13,#92RQQC9GU,Tim 214,0xffcb5aff,28000156,47937,14,GAMER CLUB
14,#229CR0GR8,Titi Le Futé,0xfff05637,28000231,47822,15,FR/FIRE ZEUS
15,#2VC9L82JQ,SL | ToxicTaco,0xff1ba5f5,28000112,47804,16,SouL Crushers
16,#92R9JPYYR,私は鶏|𝓶𝓸𝓷𝓽𝓮,0xffffffff,28000005,47432,17,
17,#PV0GU8GP2,nelly,0xffa2e3fe,28000203,46617,18,<c9>Red</c>Bull
18,#22UCRC2CC,D@V!D,0xffcb5aff,28000341,46423,19,Destiny Star
19,#2CQQ9LV9Y,☆King☆,0xfff9c908,28000073,46155,20,☠Djib-brawls🖤
20,#9Q0R8QC8J,😎BO🌟GDAN😎,0xffff8afb,28000333,46147,21,best_poland
21,#2R99UC0GG,isnovax,0xffffffff,28000349,46034,22,AH COUCOU
22,#YU2J8V0JP,丂几ĺ尸乇尺▄︻̷̿┻̿═━一,0xffffce89,28000352,45546,23,AF1|TEAM 🇨🇵
23,#92P98QQQV,MANI,0xfff9c908,28000129,45090,24,AH COUCOU
24,#909VRUUJL,QLS |DarkStar ❤,0xffffffff,28000000,44912,25,
25,#8J8GC208P,US!PAPYRUS,0xffcb5aff,28000305,44065,26,Diamond Sniace
