,tag,name,nameColor,icon,trophies,rank,club
0,#PQYJ2CC99,EDC| MrEdu 🖤✝️,0xffcb5aff,28000335,54279,1,RG|Gaming🪐
1,#9QUQ00PLY,『𝙲𝚛𝚎𝚐𝚘𝚗哈』,0xffff9727,28000273,54135,2,Twin Cities Clb
2,#99JCQV82L,brayan22,0xffff8afb,28000018,52728,3,SIABUENO
3,#88YJG9GPY,vendetta🐙,0xff1ba5f5,28000300,51592,4,
4,#U2CRVG2J,Kwanny🩸,0xffa8e132,28000224,51279,5,NightFall Skyes
5,#9U9UQLJL,cachorros lindo,0xffff9727,28000347,48564,6,Coquita De Piña
6,#9GGC0JP8P,MAQUIAVÉLICO,0xfff9c908,28000310,47660,7,Maquiyt
7,#9PPY09UL9,𝚃𝚘𝚛𝚒𝚔𝚘🌙,0xfff9c908,28000235,47030,8,Goliathus💫
8,#8P2V0J8UJ,Артём,0xffa8e132,28000228,46686,9,Brawler•_•Team
9,#9L8CPGY82,_BATRUSKA_,0xfff05637,28000107,46211,10,Ac Milan Luxury
10,#98QY0UJCU,em 2.0,0xffffffff,28000221,45487,11,RD MASTERS
11,#22PJ8VPP0,KINGKUSH,0xffcb5aff,28000332,45411,12,King Club
12,#20GQU02LR,DM,0xfff9c908,28000221,45330,13,
13,#PG98JUYG2,Harry Potter,0xffcb5aff,28000207,45241,14,BallistiX
14,#PL9C20C99,✓RuLeR|YT✓,0xffcb5aff,28000305,45062,15,портовая мафия
15,#PUJYVJ2Q9,Solo💕windyy,0xffff8afb,28000023,44519,16,Solo💕Gang
16,#20RYUCL8Y,羊|C̶a̶p̶r̶A̶™,0xffffffff,28000018,44412,17,Italy King
17,#PGYRVPP8J,château,0xffa2e3fe,28000273,44294,18,onrushlemégapig
18,#20RCY8UP9,☬ᶜᴿᴬᶻᵞkíllєr:𝟹,0xfff9c908,28000168,43849,19,duelBs
19,#29CCV20CC,пэм ворон тара,0xffcb5aff,28000285,43330,20,Reeeee
20,#2RUCVJJYY,Nightmare,0xffa2e3fe,28000352,43149,21,estonians 8000+
21,#8VU09RUUV,ЧИТЕР777,0xffffffff,28000139,42684,22,пуш 50ка
22,#8YGC88VQ0,king,0xffcb5aff,28000014,42444,23,Team Brawel
23,#PULQRG8J0,[BAN]Алёша,0xffcb5aff,28000254,42085,24,Phönix Rising
24,#P2C9RRRPY,᭄ĐʀᴀɢᴏƝ🐣💛,0xfff05637,28000138,42027,25,Dark kings
25,#L0LJ0VUPU,bavid nomal,0xffcb5aff,28000348,41871,26,ESTO ES LATAM💙
26,#2GLVYQ20Q,™ΩmakapakaΩ,0xffffffff,28000305,41868,27,Legión Omertá
27,#208888YG9,KARANLIK LORD,0xffa2e3fe,28000332,41495,28,YÜZÜK KRALLIĞI
28,#2YVU8UR8G,®️Toxıc💔🎴,0xfff05637,28000023,41401,29,COLT THE BEST
29,#89LYQQ08V,🔥TL |henry2,0xffcb5aff,28000335,41206,30,[MEGA KINGS]
30,#PGUU22PVY,7383,0xff1ba5f5,28000129,41172,31,Popugai
31,#9QVL08PRJ,🐻Cooman🐻,0xffcb5aff,28000002,41125,32,
32,#2Q2C8L2G8,☆fiery☆,0xffa2e3fe,28000305,41009,33,Goose Of God
33,#9VQ29UYY9,[NE]Thekomantor,0xffffffff,28000096,40945,34,CHILENOS
34,#8L2VCVQ02,sherbet/juice🌊,0xffffffff,28000233,40744,35,<c0>PJ</c>
35,#PUV8Q0YVL,sharik🎈,0xff1ba5f5,28000282,40737,36,Heavy Wreckers
36,#UUJQC9V9,Wenas🎧,0xffcb5aff,28000221,40546,37,Клуб:  #20RLRC8JR
37,#2QQL80YCP,ᶜᴿᴬᶻᵞ𝕄𝕠𝕣𝕥𝕚,0xffa8e132,28000016,40542,38,《Danger Master》
38,#Y28C9G2UL,Kuzo,0xffa2e3fe,28000042,40538,39,Free WiFi ⛩🥀
39,#P9R02QYC,Tİ(G)ER 88,0xffff9727,28000320,40375,40,Bye😢😞
40,#9U8Y2PV0,DR. BNL,0xffcb5aff,28000349,40359,41,<c0>Astro➿</c>
41,#2QV0GVU,TP|YEYO8453,0xffcb5aff,28000018,40218,42,Yeyito
42,#PRJR9JUR,дачник_48,0xffa8e132,28000259,40002,43,хитрые лисы
