,tag,name,nameColor,icon,trophies,rank,club
0,#JLL9UPGC,slaystyle,0xff4ddba2,28000187,67222,1,Ash's Club
1,#P9UP8LGC,THB|Šinnêr🎰,0xffcb5aff,28000044,66216,2,Thunderbolts
2,#9JUC9CPR,YT: ChiChi200X❦,0xffcb5aff,28000129,63790,3,FAMILIA200
3,#2VV222LQ,Eldramax,0xffff9727,28000224,62401,4,
4,#90U00UQ0V,愛|𝕱𝖗𝖎𝖆𝖘ツ,0xffff9727,28000247,62369,5,PTYMaleante 2.0
5,#22020YR8C,The🥺Needy🥀🥑,0xff4ddba2,28000253,62249,6,INFAMA II
6,#28Y8CPQ2Q,£d_kLausฯ,0xffffce89,28000259,61047,7,PTYMaleante 2.0
7,#20UCCUJQL,Zeta|Neshy🥀,0xffffffff,28000139,60605,8,ᴿᴰ俄ʙʀᴏᴛʜᴇʀs
8,#LLJYQC0L,あ•Z e t s u❄️,0xffffffff,28000054,60384,9,Family Barza
9,#8G8P2VL,SN|Faker,0xfff05637,28000262,60088,10,PTYMaleante 2.0
10,#P2Y2YUUPU,LAHIB BOSS,0xffffffff,28000272,59404,11,Mystic MidEast
11,#9GPLVR99R,『Chris✨Blue』,0xfff9c908,28000199,58803,12,ᴿᴰ俄ʙʀᴏᴛʜᴇʀs
12,#9CVL99CYG,💎ɲɨȼ๏$ɨţ๏XD💎,0xfff05637,28000018,58515,13,LEGENDARYS
13,#2L9JRQ8QP,DOM |BUNNY,0xffff8afb,28000079,58503,14,ᴿᴰ俄ʙʀᴏᴛʜᴇʀs
14,#29VY8Y2Q8,Mixx ヤギ,0xffcb5aff,28000280,58308,15,Beyond Kratos
15,#2GGU2R8G,Deadly,0xfff9c908,28000284,58225,16,🌘MoonSlayerZ🐉
16,#2Q9YRLPG0,ekar,0xffff8afb,28000267,58201,17,⚡️RD⚡️
17,#9LCGJVLV9,SiYo BS,0xffa2e3fe,28000081,57713,18,Steady Brawling
18,#VQL0JCQ,RD | ANGEL MK,0xff1ba5f5,28000201,57055,19,ᴿᴰ俄ʙʀᴏᴛʜᴇʀs
19,#RV8JV82,Century,0xffcb5aff,28000095,56794,20,PTYMaleante 2.0
20,#G8GGPP2P,《JT_Jorcraft》,0xffa8e132,28000099,56168,21,Breaker Squad
21,#9LULVGYQ8,•Kevin•,0xffcb5aff,28000018,56030,22,LOS TILINES 👻
22,#QQYQGUR,Ricardo,0xfff9c908,28000299,56027,23,Breaker Squad
23,#8Q0228RY9,RONALD LAWRENCE,0xff1ba5f5,28000091,56010,24,TheWarriorS
24,#22GRGLCQ9,ネ|ᴘʀɪɴᴄɪᴘɪᴛᴏ✨🤍,0xff1ba5f5,28000164,55928,25,Breaker Squad
25,#8PJJJ2VR,Erickf 🇩🇴,0xfff05637,28000314,55840,26,LA GRAN MANADA
26,#PY0R2C22,Zax ヤギ,0xffffffff,28000156,55689,27,PTYMaleante 2.0
27,#VQQ0R2QQ,Vlad Sensei,0xfff9c908,28000213,55655,28,
28,#2LGCGU0YC,☽|⚘𝒴𝑜𝓈𝒽𝒾❦⛩️🥀,0xffffce89,28000247,55540,29,
29,#LPRQGYRUR,💢miner🤬💯,0xfff05637,28000098,55267,30,AxE Gaming
30,#8QQ098LJU,spiker 💛🐣,0xff4ddba2,28000243,55224,31,RelevanT
31,#GRUJG8LY,~BranlyM~,0xffff8afb,28000187,54891,32,ᴿᴰ俄ʙʀᴏᴛʜᴇʀs
32,#9G0L08U8G,A§|⛩️SunianZX🎋,0xffffffff,28000310,54658,33,CC|AMISU
33,#89QR9RP9L,ĐP | Starlin,0xffffffff,28000019,54640,34,
34,#9YCQ9CPRJ,ConsisusPro,0xffa8e132,28000304,54635,35,😼fun
35,#2L9RJ2QUG,🇵🇪🌟|Samir|™,0xffff9727,28000196,54361,36,God is Able
36,#2JGYYQU90,eco,0xffa2e3fe,28000280,54215,37,🏝️•BlackMarket
37,#2VUPRCQ9R,⭐Alan stars⭐,0xffa2e3fe,28000130,54067,38,Tom Gamers
38,#2QV8PQG2C,BS|DamianXD151,0xffffce89,28000273,53931,39,Thunderbolts
39,#280J98VUL,MR|Brayan.S,0xff1ba5f5,28000014,53796,40,ᵀᵉᵃᵐ★IQ★
40,#PGVQ8JRGC,NL|Robert🇩🇴🦇,0xff4ddba2,28000136,53679,41,🔥New Elementh♧
41,#2JJ8GRGV,Juan Jose,0xffa2e3fe,28000303,53590,42,🐝FANS DE BEA🍯
42,#2J290GVG9,⚔️Jeremyᴳᵒᵈ⚔️,0xffff8afb,28000230,53116,43,GemasDelAbismo
43,#PQ0J9JUPG,₴₭ ɎɆ₦łɆⱠ7̴8̴,0xffa2e3fe,28000135,53050,44,╔•TEÄM BRÂULIO•
44,#U2R9LRR9,BS|BG,0xff1ba5f5,28000134,53018,45,Breaker Squad
45,#Y9RLUGC89,ivan obey GGL,0xffff8afb,28000349,52877,46,DOMINICANPRO
46,#2PPGCYJ2L,axenory🇩🇴🇯🇵,0xfff9c908,28000096,52697,47,LA GRAN MANADA
47,#299RUGU9C,ᶫᵒᵛᵉᵧₒᵤ|¥ҽιk™,0xffcb5aff,28000244,52551,48,TH|Ticks Hawks
48,#V0UU2CQ,Kedy~Escaño🇩🇴,0xffff8afb,28000335,52543,49,
49,#2RJ9Y9JY0,誉ßα℮Ɫϟ︎ 🖤,0xffffffff,28000196,52437,50,
50,#CURP9P8U,almibreto,0xffcb5aff,28000305,52268,51,BBB
51,#99Y2R82UQ,🇩🇴EDWIN🇩🇴,0xfff9c908,28000050,52221,52,Breaker Squad
52,#92YLR0GQ0,Lv 10 o cancelo,0xffff8afb,28000177,52066,53,Above
53,#9998Y2U0,Abek,0xffff8afb,28000142,51849,54,Above
54,#PCQ9VVU9,NoSoydiegito,0xff4ddba2,28000254,51759,55,Above
55,#PQ9PUJ920,RD|Alex,0xff4ddba2,28000135,51749,56,Sakurasō 🌸
