,tag,name,nameColor,icon,trophies,rank,club
0,#2LGVVPLQR,↗️ᴀɴɢᴇʟᴋᴠɪx 🧃,0xff1ba5f5,28000164,73001,1,MegaPigEnjoyers
1,#P2G82CR8,I love Billie,0xffff8afb,28000265,66329,2,Shadow Garden
2,#2UGLLL8CR,KA0318🐣💛,0xffff9727,28000066,64390,3,A Few Good Guys
3,#9CJLCR0CL,HISTORY,0xffffffff,28000135,62442,4,Beyond Reality
4,#9UGLRLQJ2,♡𝑬𝒅🍙,0xffffce89,28000136,62089,5,Ghost's Juice
5,#9G0U8VQ9,浤|кєииу 🤍,0xffff8afb,28000262,61918,6,Nҽɯ Sƚαɠҽ🎖️
6,#YR0Y2PU08,NoSoyYerikYT,0xffcb5aff,28000335,61663,7,Kleptomania
7,#GC9PV02R,𝓚𝓪𝓷𝓸𝓷🖤🍬,0xff4ddba2,28000136,61630,8,Ghost's Juice
8,#8JY8GJG9L,I❤️DavidSraam,0xff4ddba2,28000004,61515,9,
9,#9JRY0LV82,Lions|Ｖｉｃｔ✰ｒ,0xff1ba5f5,28000241,61479,10,Lions eSports™
10,#2998UL8GC,•UnderLine:(,0xfff9c908,28000140,61162,11,Emi's bar 🍻
11,#GRRJ20RC,Julian,0xffff9727,28000340,61007,12,⚠️Chile Play⚠️
12,#9LYPQC9UP,Amed Yasno,0xfff9c908,28000242,60898,13,Banda Nocturna
13,#899Y8LQJU,◇<《DYJOR》>◇,0xff4ddba2,28000352,60800,14,Minecraft PE
14,#RGCL220Y,Charles,0xff4ddba2,28000138,60179,15,Ghøst Søuls I
15,#2R9JUJQV0,火│Theri🖤,0xffffffff,28000234,59918,16,Army Of 300
16,#8V8V0Q0CR,DA|IяØиƒist🇪🇨,0xffa8e132,28000261,59821,17,"""DA-MARRIOT"""
17,#CJVR0P8,Matt🃏,0xffcb5aff,28000349,59339,18,Eternal Eclipse
18,#2GPLP8082,↻ÇhɾìʂɾąմӀҍąէ2Ӡ,0xfff05637,28000208,59239,19,Ángel
19,#2JYLCPYR,🌟Steeven03🌟,0xffa2e3fe,28000294,59084,20,minuta:3
20,#2Y9Y8J8RJ,ElieGuti,0xff1ba5f5,28000300,58691,21,Hermanos Santiz
21,#PJ02C0JY,Supapitoman,0xff1ba5f5,28000243,58527,22,Ángeles de Hera
22,#28RLYP80,odio el lag,0xffffffff,28000301,58382,23,@Fran_Y
23,#28CPYULJ,RæxinFer🍀,0xffffffff,28000103,58333,24,Kleptomania
24,#LRURRRQR,Frank Poma🐣,0xffa2e3fe,28000042,58244,25,家DarkMoon|🖤
25,#88UG8GV9J,🖤Yoshiシ,0xffa8e132,28000291,58218,26,Lions eSports™
26,#20J82QJR,Manu,0xff1ba5f5,28000290,58140,27,minuta:3
27,#RVUQQ2CQ,QC |EagleDark20,0xffcb5aff,28000242,57759,28,Minuta. inc :3
28,#RYYR0YGV,Ryck,0xffcb5aff,28000349,57554,29,Star Fire 🔥
29,#JG2CGJ22,★[ĎØм]★🖤,0xffcb5aff,28000291,57070,30,
30,#2J08PR9R,Anthony,0xff1ba5f5,28000335,56991,31,Chapulines 🦗
31,#222RQ8RC8,MG|Tygelol,0xfff9c908,28000165,56978,32,
32,#8LUQRV8C,Alejandro,0xfff9c908,28000095,56951,33,HABIBIS😈
33,#2UPVJU988,Z1|AURON,0xffffffff,28000296,56845,34,
34,#2CRPCPYQY,David uwu,0xffa2e3fe,28000304,56773,35,Diamante Elite
35,#2922L8VU9,Jahhr ❤️‍🔥,0xffffffff,28000121,56615,36,⚠️Chile Play⚠️
36,#29C9UYR2,x-ᴅʀᴇᴀᴍ_ᴢᶻᶻᶻ,0xffffffff,28000233,56563,37,Army Of 300
37,#QR0LLPRR,Lucy❤️CyberpunK,0xffcb5aff,28000137,56430,38,
38,#GRJ2C2PU,GσldєиJC ツ✨,0xffffffff,28000095,56223,39,🍥𝗗eaᴅ𝗦ѳul🍥
39,#8PJ080Q0V,† J E A N †,0xffff9727,28000016,56214,40,Kleptomania
40,#22Y80RCCJ,Fraternity,0xffffce89,28000256,56020,41,Orange Juice
41,#9RVYLQ0R0,Alͥexͣgͫoᵈ☂,0xff1ba5f5,28000262,55905,42,
42,#JLP8GCUV,Josué,0xffffffff,28000227,55825,43,LA CUCARACHIOS
43,#Y9U29CCG,SebasKo,0xffffffff,28000304,55749,44,Army Of 300
44,#2VUVLL0C,dragonn777,0xfff05637,28000225,55686,45,Ecuador
45,#JUJ9UUY9,fabiopro,0xfff9c908,28000286,55622,46,<c2>RedStar</c>
46,#9Y9298U2C,Erick ϟ,0xffffffff,28000034,55598,47,Club  #QPLGPY8U
47,#YVJGUUPC2,Francis,0xffff9727,28000273,55543,48,ScarFace 3.0
48,#Y8V9RY8V,Mr. Bastian,0xfff9c908,28000291,55478,49,Father Time
49,#9VQQGYYVP,zeldris el pro,0xffcb5aff,28000150,55456,50,Tᴇɴᴏᴄʜᴛɪᴛʟᴀɴ
50,#2UYPVQ2U8,ElRube69,0xffff9727,28000280,55453,51,<c4>Hawks™</c>✨
51,#20UPRP8J9,♡pulblu_ZD♡,0xffcb5aff,28000125,55425,52,The Legendarios
52,#UVPL2JRJ,Gabriel Bajaña,0xffff9727,28000299,55356,53,los eco pro
53,#80UQL8J,弔 • Juan𝒁,0xffa8e132,28000348,55351,54,Father Time
54,#2YR0G28J2,KOLIBRO,0xfff9775d,28000000,55280,55,Chill Brawlers
55,#2RVL9V2VQ,SantiRV,0xffa2e3fe,28000261,55206,56,The<c7>moZ</c>
56,#9GV8P0CQ0,КАЛЯН🇷🇺,0xfff9c908,28000018,55023,57,Rejected Ones
57,#U0VVU2GL,ĐŞ|ALĘX⁰⁹🖤🥀,0xff4ddba2,28000123,54867,58,TP|Eternity°🪐☄
58,#8UQ08U0R9,✯|Iŋcσɢŋıt•♡,0xffffffff,28000305,54864,59,ᵀᵉᵃᵐ★IQ★
59,#QUQYUJ2,HOOK,0xff1ba5f5,28000323,54794,60,LEGENDARYS
60,#2LPRGRJRR,DMO|Marco,0xffffffff,28000272,54759,61,Demencial Mood
61,#CCU0CGPY,DA|Lal0Smith•⚖️,0xffff9727,28000233,54734,62,"""DA-MARRIOT"""
62,#8YC0LLR99,CARLOS,0xffa8e132,28000291,54667,63,BarbaFantastico
63,#98VGVCLG2,ThixAlexia🖤,0xffcb5aff,28000022,54648,64,
64,#8YQRC2QG,•ゑ ZaGreed 💙🌀,0xff1ba5f5,28000296,54607,65,GM | Alliance
65,#8QP92PCRQ,VLT|Dragoncito,0xffa2e3fe,28000175,54520,66,imperius nic
66,#8GVJ8VC82,Mr.Galaxius ;),0xfff9c908,28000348,54494,67,MercyGaming
67,#JY202G0V,ChristianP 🇪🇨,0xffa2e3fe,28000255,54488,68,
68,#99C9GL2J2,T̶E̶K̶K̶E̶N̶,0xfff05637,28000291,54351,69,Tiriwitsis
69,#990GV28G,Chief Kapro,0xff4ddba2,28000135,54312,70,Exile
70,#20JJ0L2UJ,JUAN 21,0xff1ba5f5,28000305,54305,71,Lions eSports™
71,#9JV8UPGY8,Kiss|Shot❤️‍🔥,0xfff9775d,28000086,54196,72,Ecu SPORT 200Cc
72,#8U9YJC0QG,FRAN_Y nivel 1,0xffffffff,28000330,54181,73,@Fran_Y
73,#80PL2LGPR,TC|☄MATE☄,0xffcb5aff,28000331,54156,74,MercyGaming
74,#GQ8RQUVY,⚡Noriel⚡,0xfff05637,28000305,54051,75,Élite Brawlers⭐
75,#8P0J0YJL,🌌🌌TZ|●Z€NO●🌌,0xff1ba5f5,28000041,54013,76,愛<c5>TZ</c>
76,#9PP8G9GRQ,JaimeGP,0xff1ba5f5,28000129,54000,77,Thunderbolts
77,#GCGJQQPY,Klever,0xfff9c908,28000267,53853,78,Diamante Elite
78,#28GVJ2RQ9,SF/Ariel,0xff4ddba2,28000137,53838,79,TK FORCE ⚜
79,#22JL92UVG,Chuyito 👾,0xffcb5aff,28000058,53830,80,Toxic Masters
80,#88Q8YPQ09,el lobo gd ツ,0xff4ddba2,28000272,53823,81,Lions eSports™
81,#8CLCQP02C,Lions|Alejandro,0xff1ba5f5,28000237,53743,82,Lions eSports™
82,#9RLQYQPGV,eliopate,0xffcb5aff,28000036,53693,83,Los Imperiales
83,#92VVPVG9P,𝔫𝔦𝔠𝔬𝔩𝔞𝔰❦,0xffcb5aff,28000135,53609,84,BLUE SKY©
84,#GPVJCJGQ,Byron,0xffa2e3fe,28000273,53595,85,ECUZ3X
85,#P2Q0GQ8VY,Skarface♡,0xffffffff,28000000,53415,86,
86,#8YCQP98UV,DMO|Daniel,0xffffffff,28000000,53272,87,Demencial Mood
87,#8999G0GR8,<DiamondRunner>,0xffffffff,28000193,53237,88,EcuCampeones
88,#22YV9Q9QR,Alexo,0xff1ba5f5,28000211,53172,89,Chile bStar
89,#9LPLL8YL,SF/♡Lalo♡,0xfff05637,28000299,53126,90,Guerreritos
90,#QJ9QU8P,🐰EduArt🐰,0xffff8afb,28000114,53108,91,La Radio 🐣
91,#28UGJ8YC,Carlos™,0xff4ddba2,28000021,53097,92,Ecuador
92,#98UY82UCV,TC/SEBASXD,0xffffffff,28000029,53055,93,愛<c5>TZ</c>
