,tag,name,nameColor,icon,trophies,rank,club
0,#2GP8GJUQ2,TNT|Silver 🍂,0xff1ba5f5,28000129,74979,1,Arab Empire
1,#JPG2G8V8,TNT|ALONE 🍂,0xffa8e132,28000047,68000,2,Mystic MidEast
2,#28CQ889PV,SaleM🦇,0xffffffff,28000263,65031,3,Mystic MidEast
3,#8J9VQQYJU,德|ⱮØøŃ🐉,0xffcb5aff,28000280,65000,4,YT|CRESTALE🔥⚡
4,#90092RY20,讀|ITKo⁷⁸ 😎,0xffa8e132,28000136,64761,5,Gaming Station
5,#PVU2VG8J2,Mac或,0xffffffff,28000347,64569,6,YT: Yousef_bs
6,#2C9JY90J2,TNT|Park 🍂,0xffff8afb,28000317,63679,7,Mystic MidEast
7,#2R2GVPR0,ＭＡＳＴＥＲ✨ＳＴＡＲ,0xff1ba5f5,28000005,62129,8,Mystic MidEast
8,#8YVU9PQL,xD99Dx,0xfff05637,28000280,61490,9,OG Mute
9,#2GVGVGG2C,❄️ìçė śhãmēł❄️,0xff1ba5f5,28000129,60855,10,Mystic MidEast
10,#R0VU8298,$$DRAGON YT⚽⚽,0xffffffff,28000014,60798,11,TT: niiil_06
11,#2VQP0YGJ2,伐|N҉A҉R҉U҉T҉Q҉,0xffcb5aff,28000349,60655,12,Mystic MidEast
12,#R8UJ2JRP,1v3|TøXiC 🥀,0xfff05637,28000215,60396,13,Mystic MidEast
13,#88PCQYPYP,☠️linkman☠️,0xfff05637,28000290,60079,14,QLASH MENA 4
14,#8GLPVRCLV,ℝ𝕍| 𝕊𝕆ℝ𝕋☔,0xffffffff,28000272,60063,15,HGE|Team🐉
15,#PLG0CG82U,iiMoPlayz,0xffffffff,28000159,60061,16,D_FOX
16,#8299PL80R,Ramy,0xffffffff,28000041,60002,17,Mystic MidEast
17,#8V8J92RGG,®EG|A7MED〆,0xffff9727,28000018,59883,18,Toxic〆
18,#GP2JRLC,ＳＯＬＯ ＢＯＹ ✨,0xffff9727,28000262,59787,19,Mystic MidEast
19,#29VJ9QJVL,THE BLAKE-EARTH,0xffffffff,28000336,59783,20,MenAreUp
20,#2LQQRUR0V,TNT|Tecwin🍂,0xff1ba5f5,28000348,59727,21,EG|Galaxy ll
21,#GJC8L0G8,FOX|AHMED;),0xff1ba5f5,28000219,59597,22,D_FOX
22,#P8P99URVY,☔ØP|YOUSSEF ☔,0xffffffff,28000136,59550,23,Trap🃏
23,#9QP28ULYQ,⚚Kimoo❤️‍🔥,0xffffffff,28000207,59422,24,MenAreUp
24,#822J90UPP,™️BIA | BaSHaR™,0xff1ba5f5,28000352,59409,25,مصريين
25,#29RVCY82L,KEMO,0xffcb5aff,28000305,59391,26,Mystic MidEast
26,#PLY8C0PY2,Malheur — 助けて！,0xffffffff,28000000,59358,27,Dynas Diner
27,#L0CGPJCG2,✯الدحيح✯ 𝕀ℚ,0xffffce89,28000334,59306,28,Trap🃏
28,#PJR2CJ,Twayne,0xffa8e132,28000286,59144,29,مصريين
29,#VVQUCQ,『 EGY』Casco|YT,0xffff8afb,28000305,59081,30,مصريين
30,#GR9QJ0RC,TRIBE | 2OS ._.,0xffffffff,28000272,59000,31,EGYPT ABOVE ALL
31,#GJV2QQ2,🔥OP🔥ESLAM🌊,0xff1ba5f5,28000096,58837,32,Soft Drinks
32,#88L8JYYVL,AmazPirate,0xfff9c908,28000335,58741,33,KFORCE
33,#YJUGGUCGR,Ninja,0xff1ba5f5,28000284,58617,34,OTAKU
34,#P88J882QJ,LAG|Aspect🍃,0xff1ba5f5,28000318,58573,35,Underrated|MENA
35,#9P0RQJRU9,Abdullah Games,0xffcb5aff,28000280,58573,36,مصريين
36,#9RGQ08YQ,『Qℓร』乡ɪт'ร Meツ,0xffffffff,28000008,58549,37,QLASH MENA 4
37,#2C2L88C2R,✨Gatto Sazio♡🏖,0xffffffff,28000044,58421,38,EGYPT ABOVE ALL
38,#8QGP0URRG,اسد اليل,0xff1ba5f5,28000014,58304,39,EGYPT ABOVE ALL
39,#PVPPVQG2Q,1V3((MASTR)),0xffffffff,28000063,58300,40,MenAreUp
40,#99UVUVV2J,SNOW|SNIPER ☃️,0xffffffff,28000290,58299,41,Arab✨Otaku
41,#V9RRCGYC,𝔇𝔬𝔬𝔪🍃,0xffa8e132,28000336,58280,42,Mystic MidEast
42,#2Q8J8JQC2,过权|Jinzo❦,0xfff05637,28000345,58169,43,Beyond Fresh
43,#9VC2PC8PP,1v9|LUFFY,0xffa2e3fe,28000304,58003,44,فندق VIP
44,#2LR8G8V8L,V-boy,0xffffffff,28000190,57979,45,MA Team ⚡
45,#U2LPC90U,SPROUT,0xffffffff,28000187,57976,46,D_FOX
46,#80VUURP0J,MasKeD🔮,0xffffffff,28000014,57948,47,YT: Yousef_bs
47,#9PLJUPP80,C4|Ahmed♞,0xfff9c908,28000318,57800,48,Underrated|MENA
48,#8C22909P,soloman,0xfff9c908,28000242,57775,49,Mystic MidEast
49,#PYVPJU822,DK|ZORO❦,0xffcb5aff,28000014,57774,50,RO|Push
50,#29CRLYY9L,Màstèrᴷⁱˡˡᵧₒᵤ ツ,0xffcb5aff,28000318,57716,51,Arab✨Otaku
51,#G8PLJ0C,Aly Elsalamony,0xffff9727,28000129,57682,52,EG|Galaxy ll
52,#QCP0VGR,OPG|⛩M7MD64⛩,0xffffce89,28000336,57654,53,MenAreUp
53,#2VV2GP0Y,EGY|Dgnᴷⁱˡˡᵧₒᵤ✨,0xffcb5aff,28000135,57573,54,Such A Dreamers
54,#8UJLVVJV,Mohammad crow,0xff1ba5f5,28000019,57336,55,D_FOX
55,#P00PP0LV9,ᵗʰᵉ🇬 🇴 🇱 🇩,0xff1ba5f5,28000263,57329,56,فلسطين وبس
56,#2UQU8VG98,❄CN|K F I F,0xff1ba5f5,28000271,57329,57,مصريين
57,#JU90VLGQ,El7ReeF,0xffffce89,28000258,57252,58,EGYPT ABOVE ALL
58,#RJPCJ9L2,☢Ziad•BombX☢,0xff1ba5f5,28000137,57242,59,Gaming Station
59,#2889PCCYL,حماده لالانص,0xfff05637,28000347,57119,60,Gaming Station
60,#8LGYCVL0,JellyBean 🥷🖤,0xffcb5aff,28000291,57081,61,The Hideout
61,#90JJ22QU9,😭😭😭😭ساعدوني,0xffa2e3fe,28000207,57039,62,اصدقاء للابد
62,#PL9JGPG2R,🎸mostafa🔫🇪🇬,0xffffffff,28000265,56828,63,EG|Galaxy ll
63,#2LVUCRYY2,1v3 | Ａｌｐｈａツ,0xffff9727,28000316,56594,64,weird gamers
64,#8JGYL92LG,Deadshot,0xffffffff,28000123,56514,65,مصريين
65,#LR2Q80Q,♣️|SabbanJr.🥀,0xffffce89,28000039,56481,66,MenAreUp
66,#UCY98RLV,Dracula,0xfff9775d,28000297,56467,67,EGY | Demons
67,#CY2Y20QQ,walid,0xfff05637,28000332,56427,68,اصدقاء للابد
68,#8PCUUGRGQ,☔ØP|BODA ☔,0xff4ddba2,28000334,56357,69,Trap🃏
69,#JYGQLLQC,Daphinshi,0xfff9c908,28000281,56309,70,QLASH MENA 4
70,#99VU28VQ2,👑Qüeen_Rãniã👑,0xff1ba5f5,28000018,56289,71,Mystic MidEast
71,#P0QCRP8UY,ITs_Mika,0xffcb5aff,28000065,56272,72,EG|Galaxy III
72,#82L98PVGL,young brawler45,0xff1ba5f5,28000148,56268,73,Silver Legion
73,#GQUQRP8,FD MasterZ,0xffcb5aff,28000064,56223,74,Mystic MidEast
74,#92P8LY8YY,ℳℰ𝒢𝒪,0xffa2e3fe,28000129,56218,75,Mystic MidEast
75,#P2LJYCV8P,KINGO BRAWL,0xff4ddba2,28000101,56216,76,D_FOX
76,#PC9VL8822,Αɳα『βɾυɳό』,0xfff9c908,28000221,56170,77,Last try
77,#908PQJQ0C,OP | HERO❤️‍🔥,0xff4ddba2,28000203,56155,78,Mystic MidEast
78,#82QYU0PC2,1v3|Sayed🥀,0xff4ddba2,28000285,56085,79,MenAreUp
79,#99U9JV9CQ,C4|Magic ♞,0xffa2e3fe,28000281,56016,80,Cobra Kai
80,#Y8LP8JL80,امبر,0xff1ba5f5,28000168,55795,81,EGY | Demons
81,#90YLV2JQ0,Estkoza,0xffff8afb,28000333,55790,82,Trap🃏
82,#GRJJC0GG,♣️|AmeenJr.🥀,0xffffffff,28000000,55749,83,MenAreUp
83,#PQ8GLQR,El Habeed,0xffff8afb,28000262,55744,84,D_FOX
84,#U0R9QCGU,TBEMaty🖤,0xffff9727,28000290,55647,85,SpenLC Youtube
85,#LV9GRVYR,OwÒ(ツ)OmarBishr,0xffa2e3fe,28000078,55624,86,SC&GR fr
86,#99URQJ9UU,<>[SPIKE ]<>,0xffa2e3fe,28000286,55614,87,Brawl Army
87,#899288YGU,🖤ḾĘƉØ🖤,0xff1ba5f5,28000201,55569,88,EG|Galaxy ll
88,#9UJ9YJQ2U,藕片|Dark Phoenix,0xffffffff,28000014,55439,89,GOLDEN. Dream🕊
89,#8C2GUUUUJ,Edgar,0xffa2e3fe,28000058,55364,90,EGYPT ABOVE ALL
90,#2U092P0G0,pluviophile🕊️,0xffff9727,28000244,55343,91,TE|Team
91,#RL8JYY9C,A&S,0xffffffff,28000018,55317,92,Mystic MidEast
92,#2VLG9J88C,ＺｏＬＤＥＫ,0xfff9c908,28000299,55300,93,Trap🃏
93,#LQV8LVQGP,🌴Ľŕ|À7mèď|🖤,0xfff05637,28000272,55286,94,اصدقاء للابد
94,#Y02URQJ0Q,kaczka,0xff4ddba2,28000037,55223,95,YZ Esport
95,#9UR9CPGGL,Bat man,0xfff05637,28000273,55088,96,Let's Go!
96,#8RYLCP28,Solitudeメ,0xffffffff,28000183,55016,97,EGY | HEROES🥀
97,#PJUYGPLVL,BGU | Zｅｙｒｏｘ❦,0xffffffff,28000224,55003,98,GOLDEN. Dream🕊
98,#2UP2JLRLU,☠The Shadow☠,0xff1ba5f5,28000318,54989,99,LP|E Sport
99,#UJ9C9LGR,Adham-AI,0xff1ba5f5,28000285,54946,100,MenAreUp
100,#2QYCVQGUL,Mys|𝕬𝖓𝖎𝖝😈,0xffffffff,28000290,54939,101,Underrated|MENA
101,#2CPJC8QPV,⚡『ËƑ』|『ŤÃŴƑĮЌ』⚡,0xfff05637,28000225,54916,102,EG|Galaxy ll
102,#JL29LCVC,->S O H A I B<,0xffff9727,28000244,54915,103,『Arab』LEGENDS
103,#80UVGGVG2,Elfr3on Elmasry,0xffffce89,28000276,54900,104,Me Elite
104,#8G9GU8CUR,OP|ResPeCT.?,0xffff9727,28000207,54873,105,BulgarianTeam
105,#LP0Y89VQG,🇪🇬100% WOLF🐺,0xfff9c908,28000263,54841,106,اصدقاء للابد
106,#RP90YVL0,k i r oo,0xfff05637,28000305,54824,107,Gaming Station
107,#80P2PL02,XO|°ZOOZ°☣️☢️,0xfff05637,28000317,54807,108,مصر
108,#8VPJ928QY,the fighter,0xffffce89,28000307,54787,109,Gentlemen🌊
109,#Y9JLU0QUC,🥀| ŷouš7íf |⛩️,0xfff05637,28000336,54769,110,Mystic MidEast
110,#9PCJQ8RVU,EGYPT UPシ︎✿︎,0xfff9c908,28000023,54711,111,Mystic MidEast
111,#PG0J8UC2U,亗『𝒁𝑰𝑨𝑫』亗,0xffff9727,28000242,54701,112,D_FOX
112,#JUPGJGVV,CM|𝕭𝖑𝖆𝖘𝖙🕊,0xffffffff,28000159,54686,113,MenAreUp
113,#PRJC8RLPV,احمد,0xff4ddba2,28000154,54672,114,Gentlemen🌊
114,#RQ8PV0QL,RONALDO,0xfff05637,28000225,54647,115,Gaming Station
115,#9P0PUL2VR,كارثة,0xfff9c908,28000262,54645,116,MenAreUp
116,#9VRQQYJGQ,fares,0xffffffff,28000234,54636,117,MenAreUp
117,#28CLGPGJ9,pikachu,0xfff9c908,28000129,54593,118,
118,#Y9GGC9L8L,王بعبع,0xffcb5aff,28000291,54585,119,مصريين
119,#V29P2PCV,あ | 𝓜⁷𝓜𝓓🥀,0xffffffff,28000135,54581,120,
120,#88820UJQJ,محمد,0xffcb5aff,28000293,54499,121,اصدقاء للابد
121,#9C9YQRP,نسر :( NASR;(,0xfff9c908,28000290,54473,122,d_fox
122,#VJPYJRC,ABDOLAH EHAB,0xffff9727,28000303,54459,123,El Fra3na X
123,#2LJ9R2RVQ,$${AMER}$$,0xfff9c908,28000233,54423,124,NO_MERCI_CLAN
124,#P0CCPJP9L,LAG|Shrimp🍃,0xffff8afb,28000262,54408,125,Underrated|MENA
125,#2U0QPL2CL,汉漢|Мόħάмέȡ🥀,0xffff8afb,28000307,54377,126,مصريين
126,#J9Q9GP8C,🌿|KERO🎐,0xff4ddba2,28000347,54282,127,EG|Galaxy ll
127,#8L2JJC0J9,Anas,0xffcb5aff,28000207,54256,128,Arab Nation™️ 3
128,#PPQ9992JR,ℝ𝕍| 𝕂𝕚ℕ𝔾☔,0xff1ba5f5,28000253,54253,129,EG|Galaxy ll
129,#28QRYCRLL,₦Ї₦ℑ₳ ƤℜɆĐ₳₮Øℜ,0xff4ddba2,28000253,54228,130,مصريين
130,#8QG0CJCPV,SN|zews4❤Nasta,0xffcb5aff,28000000,54118,131,TTM|Joker🥵
131,#PUG09RVQQ,애플씨,0xffcb5aff,28000271,54118,132,ME & ME
132,#2PU00VPCQ,medo king 1,0xfff05637,28000219,53909,133,مصريين
133,#8GRJQYQV0,PM|HOMA🖤🦊,0xfff9c908,28000341,53838,134,Most Wanted
134,#PPQV9VVGC,A7MED,0xffffffff,28000341,53832,135,مصريين
135,#9VCJJY8YU,GM|Mazen🌊,0xffff9727,28000159,53737,136,Gentlemen🌊
136,#98PLRUQPU,༆__ YouSeF__ ༆,0xffff9727,28000132,53653,137,Egy Snipers
137,#YUCGULRL8,محماا محروس,0xffcb5aff,28000278,53624,138,EGY | HEROES🥀
138,#20CGURCC9,AlWolf🐬,0xffcb5aff,28000322,53622,139,‎ ‎
139,#8RC2UCVY9,ozama,0xffcb5aff,28000305,53619,140,⚡ARAB☆STARS⚡
140,#CJ22CCVQ,⚔️👑ÃĤMĘĐ👑⚔️,0xffff9727,28000259,53599,141,YT: Yousef_bs
141,#8RLQQQ0QC,philo22,0xffff9727,28000279,53565,142,Egypt heros 3
142,#RL0G2UCU,"ØMäR""★",0xffcb5aff,28000014,53563,143,El Fra3na X
143,#L92GJUV28,LAG|Dragon🍃,0xffffffff,28000014,53556,144,MenAreUp
144,#920CRR29Q,sheebooo,0xff1ba5f5,28000102,53384,145,العزبه
145,#22Y28QG2J,Shehab,0xffcb5aff,28000158,53353,146,
146,#20G2J8JR8,1(STAR) 1,0xffffffff,28000103,53331,147,楤|FRIENDS🖤⇝
147,#PYVQ2GVQ0,crow,0xffa2e3fe,28000296,53311,148,Mystic MidEast
148,#88GP92PRV,Qls | Scorpion,0xff1ba5f5,28000304,53296,149,EGY | Demons
149,#PU89JCVG8,❄️POLA❄️,0xffffffff,28000102,53296,150,مصريين
150,#VCUURRP8,Scorpion,0xfff9c908,28000349,53278,151,SF|DARK AGE
151,#9LUYPYR8,smigma,0xff1ba5f5,28000194,53265,152,Team Global 🌍
152,#2G8LPRYUU,«Bn✨Essam»,0xffff9727,28000262,53244,153,d_fox
153,#9QCY280,Hazem,0xffff9727,28000220,53224,154,EG|Galaxy ll
154,#8R02G2C08,ALihbn,0xffff8afb,28000305,53185,155,ما يفرق
155,#P928LV0P,الملك احمد,0xff1ba5f5,28000225,53143,156,اصدقاء للابد
156,#LJPYPJYQ8,عادل شكل,0xffff9727,28000013,53126,157,EGY | HEROES🥀
157,#PYVUQ9G80,[]MOMEN[],0xffa8e132,28000151,53125,158,مصريين
158,#2Y0PRJP9C,津波|Ｔｓｕｎａｍｉ|ミ陰ペ,0xff1ba5f5,28000035,53119,159,Egy Snipers
159,#8LY80YJVC,Hypergirl,0xffa2e3fe,28000308,53097,160,Final Flash
160,#8P8JC2PYU,⚚ReNoo❤️‍🔥,0xff1ba5f5,28000285,53072,161,Mystic MidEast
161,#2CJ8JU9VL,bodaELbob,0xffcb5aff,28000294,53055,162,『𝐎Ƥ』𝐾𝑖𝑛𝑔𝑠
162,#2V0RUY0Y9,Ｓｋｙ ジ,0xffff9727,28000247,53040,163,Such A Dreamers
163,#9C0L202R8,Ronaldo⚽⚽,0xfff9c908,28000164,53024,164,Soft Drinks
164,#JLPUYUGJ,aVoCaDo…,0xffa8e132,28000285,52965,165,Gaming Station
165,#LPV2UVL9R,DARK🥀☔,0xff1ba5f5,28000135,52897,166,black clover
166,#22QCUVLJ0,mohamedd pro👑,0xff1ba5f5,28000333,52893,167,اصدقاء للابد
167,#LJU9RCV08,Nor eLden,0xffffffff,28000106,52838,168,EG|Galaxy ll
168,#PUY0GQYGC,♣♣DARK KNIGHT♣♣,0xffcb5aff,28000016,52831,169,<c5>❄SNOW❄</c>
169,#9JQ02P90Q,Mickey,0xffff9727,28000098,52826,170,Arab✨Otaku
170,#PQCV28JYQ,ghonym,0xffff9727,28000229,52805,171,مصريين
171,#9LPVLG2VJ,ｔｓｋ|ｍａｈｍｏｕｄ,0xffcb5aff,28000207,52783,172,Gaming Station
172,#PJQ9UU90P,AHMED,0xff4ddba2,28000139,52767,173,Gaming Station
173,#20JR2RV9G,✨Ρҽαƈσƈƙ⚡ɳιɳʝα⚕,0xffff8afb,28000004,52732,174,Galaxy Storm🌠
174,#298JV8QUY,🔱LORD💀B00M🔱,0xfff9c908,28000156,52732,175,CLUB LASHAB
175,#P0QL00Y9Q,AmmarScorpion,0xffffffff,28000080,52711,176,EG|Galaxy ll
176,#2RRG29YPJ,MaGeD⚡,0xffffffff,28000196,52704,177,X'LENGENDS ☣️
177,#Y8VLYCJUV,讓|Silver公,0xffffffff,28000321,52702,178,Skills4Life
178,#GUYCGG28,möhämëd,0xfff9c908,28000332,52701,179,EGY | Demons
179,#8G2QCLUG0,❄️AQM|AHMED ☃️,0xffffffff,28000284,52690,180,Gaming Station
180,#PL9YVL9GY,⛩️OP |SOFA🌴,0xff1ba5f5,28000150,52625,181,فندق VIP
181,#PVLPJ2YLQ,Вольт,0xffcb5aff,28000112,52544,182,Varen
182,#20YQCQR28,SSG|♡Omg♡,0xfff9c908,28000330,52504,183,Gaming Station
183,#2RUY2GGP8,the man boy,0xffff8afb,28000317,52494,184,𝕀ℕ𝔽𝕀ℕ𝕀𝕋𝕐♾
184,#2U0VUVVCQ,MR JOE,0xffcb5aff,28000349,52488,185,Toxic〆
185,#RRL0P08Y,Chief Peter,0xff1ba5f5,28000170,52473,186,<c9>Dragon</c>✨
186,#J990VG8U,Arthur morgan,0xfff9c908,28000164,52457,187,Reality
187,#LGVRVJJPJ,ŚŮŚ|MÏŚȚÄĶË,0xffcb5aff,28000224,52429,188,EG|Galaxy ll
188,#YYCVVGJ9Y,Safina 🇵🇸,0xffcb5aff,28000303,52409,189,Gaming Station
189,#LGVLU88Y,Ahmed Mostafa,0xfff9c908,28000061,52389,190,⚡ARAB☆STARS⚡
190,#8RPUV2VJJ,シℕ𝕠𝕣✈︎𝕄𝕒𝕃,0xffff9727,28000136,52377,191,Final Flash
191,#809YPYLU,癩|cocuca🖤,0xffffffff,28000135,52355,192,House Tyrell
