,tag,name,nameColor,icon,trophies,rank,club
0,#90RQRVGC9,NPC | Crox,0xffffffff,28000053,62709,1,🍌™️
1,#200P0J90P,走Storm🩸,0xffff8afb,28000279,61703,2,Estonian Kings
2,#2GG0JYLPQ,RY|Võitleja💫,0xff1ba5f5,28000300,61000,3,EstonianBadgers
3,#2GLY2RL00,Ģøďᴰᴬᴹᴺ🤙,0xffff9727,28000304,60145,4,<c4>Just</c>CL
4,#8VQGPLUV,Илудасик👅🥺,0xff1ba5f5,28000096,59939,5,FULL_CONTROL🎮
5,#P990GV9UP,🇪🇪𝙴𝑆₮|𝔽łķ☔,0xff4ddba2,28000136,59600,6,Hell Imperium
6,#P2PQVUY8Q,NeMo Nicolas,0xfff9c908,28000013,59525,7,Warriors Way
7,#J09RC002,xugooo,0xffffffff,28000345,58785,8,You can 🏆
8,#8PPQV2929,dybala inutil♡,0xffffffff,28000337,58642,9,Hell Imperium
9,#P8928Q0G,🎴Zen Oiam🀄️,0xff1ba5f5,28000078,57885,10,<c5>HOR</c>IZON
10,#PRY22Q0,suv1e🕷️,0xffff8afb,28000163,57356,11,★Art of War★
11,#P0UJ9YUYL,I'ᴍ ᴋʀɪᴘᴇʀ💘,0xffffce89,28000018,57301,12,The Last Way?
12,#U8C0C9UP,Recent,0xffffce89,28000262,57129,13,Nice for game
13,#Y9JGQY9VU,漢|𝕎𝕚𝕟𝕥𝕖𝕣,0xff1ba5f5,28000050,57072,14,EstonianBadgers
14,#2209QR8RV,nikito$13,0xffffce89,28000347,56960,15,Hate mortis
15,#2LP28290G,⛩(Art64)⛩,0xff1ba5f5,28000132,56713,16,Hell Imperium
16,#VQU29089,issi,0xffff8afb,28000297,56444,17,Välgud
17,#8PQ9C2LV0,flokusya❤‍🩹w🥺,0xfff9775d,28000196,56148,18,
18,#ULCLQQ8,Bio,0xffffffff,28000139,55784,19,🍌™️
19,#20VQYR8LR,ZETA | DevilGus,0xffa8e132,28000136,55766,20,Hell Imperium
20,#P99RJQP9V,窓 | stomby❤️‍🔥,0xffffffff,28000139,55417,21,Кᴩ¡ʍsᴏnᴇ.🕷
21,#LPLLY22V,ⁱ ᵏⁱˡˡ ʸᵒᵘ,0xff4ddba2,28000140,55371,22,Reply Totem
22,#YYPJ2RJ9,Leonardo,0xffffffff,28000293,55318,23,IMMORTAL SOULS
23,#8V2JGRPR8,ArtemLou51,0xffffffff,28000150,55039,24,Warriors Way
