,tag,name,nameColor,icon,trophies,rank,club
0,#PPVU9LPUC,SPK | ꧁☬✞Nero✞☬,0xfff9c908,28000021,55786,1,🌔Last Wish🌔
1,#8C2VCLCGL,★彡[ɪᴢᴀɴᴀ 🎴]彡★,0xffffffff,28000333,55552,2,<c0>TOMAN🥋</c>
2,#999PYPCVP,𝓓𝓮𝓿𝓲𝓵❦,0xfff05637,28000273,51929,3,<c5>Night🌙</c>
3,#YL2QGY8G,supercel,0xfff05637,28000207,51430,4,AX|Esport🉐
4,#20PGQYR2C,SPK|CezarKuz,0xffcb5aff,28000305,51402,5,
5,#80R2C89GY,DETROIT.,0xfff9c908,28000137,50613,6,∆Omnipotent2∆
6,#2VYVQCRU0,adrián098:),0xffa2e3fe,28000280,50219,7,Team kosmos
7,#GRQYVCJY,Nahom,0xffffffff,28000020,50078,8,Code Tom
8,#8RJJLV9PG,SU|ReDiska😘,0xffffffff,28000000,49978,9,SkieUse
9,#920YUC99R,TQ/☆Rodri☆,0xff1ba5f5,28000305,49598,10,Escuadron Gamer
10,#92YCVR92Y,Robert,0xffcb5aff,28000029,49571,11,
11,#L980RQ99P,独孤求败,0xffffce89,28000335,49367,12,
12,#PYJVQ8UP,chytosse,0xffff8afb,28000018,49241,13,CRAZY MOON
13,#8VRV0C9UV,𝐡𝐚𝐦𝐨𝐱ス玉,0xffcb5aff,28000282,47938,14,MossTeam💟
14,#P9QPCUY88,Ms|Bodya💔⚡,0xff1ba5f5,28000168,47725,15,trASH SQUAD 🗑
15,#220PPPUUC,invicta66,0xffa2e3fe,28000341,47719,16,BD TITAN
16,#8Y2CVPJLQ,Ms|ddog,0xfff9c908,28000039,47488,17,trASH SQUAD 🗑
17,#Y2VUCLPUU,德|𝓕𝓮𝓵𝔂25🐍,0xffa2e3fe,28000025,47471,18,Hyper Ultimate
18,#J0UY9LGJ,DMA pro BR,0xff1ba5f5,28000265,47047,19,𝐒𝐡𝐢𝐛𝐮𝐲𝐚愛
19,#92LQ90GY,☔🔱Shiva✝️,0xfff9c908,28000180,47005,20,Ezko E-sport 💚
20,#LL992JJVL,TRIBE|♤§ŤĄBBĘŔ♤,0xffcb5aff,28000138,46653,21,Tribe Beta
21,#LR2QYGJGP,爱|Gamo🌔,0xffff8afb,28000341,46617,22,Ezhevika
22,#JQQ9UGYP,Tadaelʕ•ᴥ•ʔ☯︎,0xffff9727,28000322,45558,23,Empire Suisse 5
23,#8UU2UR8QP,Anikdote♡,0xffcb5aff,28000224,45318,24,TR|PROLAR🇹🇷
24,#2CQQJ292Q,B4H|RIP,0xffff9727,28000301,45275,25,Battle4Honor 2
25,#P2QQPPC2J,Robinmini,0xffa2e3fe,28000284,44666,26,Chlebáci Cz/Sk
26,#2RCYJ2YP9,Seiru🗿👎👎,0xfff05637,28000141,44023,27,Brawldogs
27,#8QQRY2QJP,YT_RIZVAN_SHARK,0xffa8e132,28000050,43913,28,⚔️ＭＯＴＲＡＳ⚔️
28,#2UY2J9YY2,mms,0xffffce89,28000212,43826,29,MechaMegArmy
29,#PP0Y8RLR2,chadri16,0xffcb5aff,28000350,43796,30,TheNewStart
30,#22LQJVCRP,Aman,0xfff9c908,28000352,43796,31,
31,#8JQCYQLVG,Mustafâ ♛,0xff4ddba2,28000135,43791,32,BrawlStarEsport
32,#L8QCJ8PJ8,mensur f,0xfff9c908,28000347,43757,33,Blue Stars
33,#8VYQVCGLU,stded,0xffff8afb,28000300,43750,34,кукумберы
34,#9898JGLC8,"MR,SWEATY",0xffffffff,28000139,43577,35,Cyprus Sleyers
35,#P2YLGLLCU,RL_zz,0xffa2e3fe,28000305,43443,36,Star Platinum
36,#2LG0Q2LPG,skull candy,0xffffffff,28000004,43231,37,FrenchKill
37,#2098PJJQU,Yasmin🌠,0xffffffff,28000139,42989,38,TeamQuesy
38,#Y8YLUG00Y,SM|MAGMA,0xffcb5aff,28000077,42989,39,HED
39,#8Q9VU9C8L,ñāšłøżę🥀:)€,0xff1ba5f5,28000218,42753,40,Gr Challengers
40,#YLQV2LVJQ,Санёк Горбунёк,0xff4ddba2,28000335,42612,41,<c4>BS|[YT]</c>
41,#YGQJQ0JQG,VoPz1S💜,0xffffce89,28000139,42396,42,
42,#2V0UQLG9Y,⛩|Itachi👀™,0xffcb5aff,28000139,42345,43,ＬＥＧＩＯＮ
43,#8V9RU0RYG,⛩️|Saven1.,0xffa2e3fe,28000319,42247,44,Supercall
44,#PURRV0P2G,skitls,0xff4ddba2,28000305,42160,45,KD_ARM
45,#P900VGLLV,☠️STICK☠️,0xffffffff,28000132,41977,46,
46,#28YJRVLRJ,jmznoh,0xffff9727,28000272,41873,47,серега пират <3
47,#8U0GPRGP0,бл*н,0xffff9727,28000228,41768,48,ТРРР ХАТЧАТА
48,#208RJRVJG,Gara💗,0xff4ddba2,28000294,41739,49,Chill Face💫
49,#Y2GLYUG9R,BRAWLER UH,0xfff05637,28000308,41515,50,UK’s Immortals
50,#P2C8VJR92,GxTrix,0xff4ddba2,28000335,41473,51,Sample Smiley
51,#2LR92JY2Y,Mr.Durp,0xffa2e3fe,28000301,41231,52,the brawl bro’s
52,#Y2029028,(⊙_◎),0xfff05637,28000233,41210,53,¥ PR¥M€>
53,#8GVLQCRY9,wizard,0xffff9727,28000095,41072,54,か|<c9>Yuk</c>i
54,#URVVYY8V,Royal Legend,0xffcb5aff,28000218,40835,55,MechaMegArmy II
55,#92CQ0RG8Y,Nether Sword,0xffa2e3fe,28000271,40833,56,Команда ATOMS
56,#PCPRQ20GV,billy,0xfff9c908,28000071,40677,57,Legiøn Legends
57,#9CULCLPP2,鹤辞,0xff1ba5f5,28000183,40615,58,
58,#98YQRGVQ9,☆BO$$~A$$~BAB€☆,0xfff05637,28000294,40583,59,Full Attack!
59,#2PQV9890G,MOHAMMED,0xff1ba5f5,28000255,40536,60,Indian Warriors
60,#JQRP9V2Q,STB/Franck Aimé,0xffa8e132,28000182,40421,61,Canadians
61,#2V88UCUGR,lord virus. cd1,0xff1ba5f5,28000096,40370,62,Distruttori
62,#8YPU88VRQ,~PupaCat12~,0xffcb5aff,28000276,40295,63,Escuadron Gamer
63,#YGY0CYPR2,❤люблю Кристину,0xffcb5aff,28000271,40007,64,alone kings
64,#9UQ8YVQR8,Levinho,0xffffffff,28000004,40005,65,
65,#8UPC0V9VV,kubem4🇵🇱,0xffcb5aff,28000173,39912,66,radzio1
66,#8R2P8C0VL,DAK|Daywi👎,0xffffffff,28000182,39502,67,Varen
67,#2G8QJJYVR,MCG |luisMG_YT,0xffffffff,28000323,39398,68,bored
68,#8Q22YP2G0,❄|Otiwolf™️⛩,0xffa8e132,28000073,39340,69,
69,#82L0C8UVG,Bas,0xffffce89,28000262,39222,70,Colombia Stars✨
70,#2J2P8LY2R,Predator,0xffffffff,28000000,39162,71,
71,#UYRJGPR8,baklajan,0xffcb5aff,28000033,39093,72,Brawl Stars
72,#8JR2VRUR2,《Учиха Мадара》,0xfff05637,28000138,39075,73,Nova Russia
