,tag,name,nameColor,icon,trophies,rank,club
0,#2UCC8202,guti 💙,0xff1ba5f5,28000101,73355,1,Emi's bar 🍻
1,#9RCGPQQ8R,吸|Blaze🦇✨,0xffa2e3fe,28000166,57782,2,The Helm
2,#P00LRPJU9,USSR | FLOK17,0xffcb5aff,28000041,57155,3,🌔Last Wish🌔
3,#CGLGCCG9,1ñak1_07,0xffffffff,28000348,53953,4,
4,#8U9LG00RQ,Mvrcosxt,0xffff9727,28000156,53655,5,Time Room⏳
5,#2YPVG0P9,Terpi402,0xff4ddba2,28000140,51807,6,Copito
6,#92VQRC88J,vosixo,0xffffce89,28000294,50573,7,Best♥️3v3
7,#8YUR0J8R,Crazy_なめとこなめこ,0xff1ba5f5,28000048,50360,8,むつすけを崇める会
8,#P8U82Y899,「𝓜𝓾𝓼𝓵𝓲𝓶」,0xff1ba5f5,28000167,49767,9,MāgīcEclipšīš🔮
9,#2PQURP88,nikssi,0xffa2e3fe,28000167,49673,10,nikssi’s server
10,#9JYLJVGR8,Aziz💞Solo,0xff1ba5f5,28000090,48892,11,Brawl Kings
11,#2L9VJQG8Y,salam isotoy,0xffcb5aff,28000080,47154,12,BraveAdventurer
12,#P8PR82J,TRB|TonyTendo,0xffffffff,28000138,46251,13,best of best
13,#PUC0V88R0,Schlurp,0xff4ddba2,28000348,45657,14,
14,#29RRCVPL8,ツSpuLaeツ,0xffcb5aff,28000330,45484,15,CGL
15,#2J0J2QJRQ,Grego/baby wang,0xffa2e3fe,28000016,45272,16,BABBALUCCHI
16,#PPY8GJJV9,tqmEVELYN💖,0xff1ba5f5,28000305,45092,17,P.E.K.K.A WAR
17,#VUY9URQC,金色の夜明け| DEBCAF,0xffff9727,28000170,44831,18,Team| Lost
18,#20GUC2YPV,RV|wowys,0xffcb5aff,28000232,44281,19,Короли
19,#2JL9GJYQV,Razai64ツ,0xffcb5aff,28000207,43972,20,NA*|Fortress
20,#8V899CU2C,N'w | 도깨비⚡,0xffa8e132,28000078,43283,21,자유를 찾아서!!
21,#28V0QL2PJ,I am a cheater,0xffffffff,28000139,43244,22,[FR] DISCORD
22,#9UU2UGVV2,༺Leͥgeͣnͫd༻ᴳᵒᵈ,0xfff9c908,28000272,43194,23,die profies
23,#8LQV9P9RJ,th|tutur,0xff4ddba2,28000013,42710,24,
24,#PQQ2P8UJ,MaxS,0xffff9727,28000159,42545,25,Безсмертні🇺🇦
25,#GJ9RGVCY,hum,0xffcb5aff,28000349,42316,26,Retrowave™
26,#PGRPYCR8J,B🅾SS H🅾SS,0xffffffff,28000322,42297,27,best of best
27,#P8UL2CPVG,❄️MC|MonClast🍃,0xff1ba5f5,28000341,41672,28,Hate mortis
28,#9J9CJ000Y,EDT|samuel,0xfff9775d,28000202,41452,29,los pros con p
29,#PPY0YJRQ2,QLS|DARK_DEMON,0xfff05637,28000271,41352,30,Fallen Demon🧸
30,#RY8VGR88,sosy_jopy//:,0xff1ba5f5,28000168,40966,31,Team|delisov👑
31,#2JY9YGJQU,Timojj,0xffff9727,28000073,40883,32,🥈Second🥈
32,#2LPL0QURV,bounty♡,0xffcb5aff,28000044,40827,33,World Elite 🌍
33,#28J2VVY,dkhd,0xff4ddba2,28000219,40693,34,Hell Raisers
34,#880V2C9LC,SLG fly away,0xff4ddba2,28000302,40640,35,Ananas
35,#YV8GJJ2GR,Sans Natorator,0xffff9727,28000207,40476,36,🌑moon hunter🌕
36,#Q0VPJ0889,lion,0xff1ba5f5,28000156,40381,37,Capsule Corp.
37,#29LQC8J8P,♡Maciel♡,0xffffffff,28000332,40346,38,StayNight
38,#2CGYVPVR9,GX|Lenny,0xffa2e3fe,28000164,40297,39,Les poulets
39,#9VQPG2P0R,tt|ttgamingfn,0xfff05637,28000142,40100,40,Nova Dragon De
40,#PQ0C2VPQL,PetuSHOK,0xfff9c908,28000023,40067,41,LRC|CHAMPION
41,#8RQLJVPRC,TTV.0oRps,0xff4ddba2,28000016,39748,42,De Gangsterzzz!
42,#8RULPYVRJ,Bot 7,0xff4ddba2,28000180,39473,43,Roar|Scary™️
43,#PQRYJCQ29,ℕ𝕀ℂO̸🥀,0xffff8afb,28000014,39386,44,TS|Thunders
44,#289QC9YRP,S-crow,0xfff9c908,28000014,39353,45,
45,#98LYQC8YC,колет и эдгар,0xffa2e3fe,28000146,39197,46,Roy is a boss
46,#C0QLRRUG,epicmatter boii,0xfff05637,28000300,39176,47,
47,#PG2RVVY9,〖ᴷⁱⁿᴳᴼˢⁱʳⁱˢ👑❤️,0xffcb5aff,28000349,39076,48,Die coolen Gang
48,#298PU9QPV,⛩️| Maͥttͣiͫz🥀,0xffcb5aff,28000288,39024,49,🇮🇹la patapata
49,#90RPUQPGJ,paulosouzajp,0xff1ba5f5,28000284,39020,50,Veios Do Brawl
50,#PGP9R09RJ,𝕋𝕋|ᵛᵉⁿᵈᵉᵗᵗ💞,0xffffce89,28000256,38587,51,ᴡᴡʀᴇᴇᴢ❤️‍🩹
51,#2RJYRV9GP,BE|《なると》,0xffa2e3fe,28000168,38310,52,MyS|Showdown
52,#90L0L9R2Q,⛩️|Nekroos 🥀,0xffcb5aff,28000314,38307,53,la lechuza
53,#2P9UCG9R,👹KOÇBAŞI🔥,0xffff8afb,28000161,38294,54,Ermeydanı
54,#YP2Q2LJU2,Kang Haerin,0xffa2e3fe,28000322,38261,55,倒讚愛好者
55,#2YPP9YRU,Alpha,0xffcb5aff,28000228,38082,56,TheGoopyNinjas
56,#YRVVCUQPY,Bot7,0xff1ba5f5,28000231,38053,57,
57,#8CJ9JR0L2,DR. BOKOR,0xff1ba5f5,28000334,37934,58,Team OÁG
58,#J9YYU2PR,chocopie,0xffcb5aff,28000294,37817,59,Volkihar Clan
59,#VUUCQPU,misterio🐣🧨,0xfff9c908,28000348,37529,60,SPORT MX
60,#J0GLGJV,Xerresito,0xfff9c908,28000225,37529,61,solo pros xdx
61,#88V22YP9P,RM|Gabxzz27,0xffcb5aff,28000335,37475,62,
62,#9UC29G2UC,我Micro |アニメシュ,0xff1ba5f5,28000072,37036,63,
63,#PVUJCR0CY,Artemka,0xffcb5aff,28000221,36953,64,MeatWagon
64,#20LCUG92Q,FEN1CKS,0xffcb5aff,28000290,36930,65,Volkihar Clan
65,#8U0Y829R8,𝕸𝖔𝖇𝖎𝖚𝖘,0xffa2e3fe,28000333,36881,66,United BLT
66,#8RLJLY0YR,NameSteeve,0xfff05637,28000182,36686,67,Hellsky
67,#Q0888J0GG,かぇ,0xffff9727,28000139,36535,68,🤙Brawl Amigos⚡
68,#Y2JV9C82J,I'm Jacket,0xff1ba5f5,28000348,36512,69,Brawl Kings
69,#2RRLR0Q8J,NB|Element,0xffcb5aff,28000132,36471,70,Carhartt
70,#PPJUCV8GU,Rodrigo359,0xffcb5aff,28000156,36435,71,DRAGON FIRE²
71,#P0L0GP8JU,🔱DREAMER🔱,0xffffce89,28000221,36177,72,
