,tag,name,nameColor,icon,trophies,rank,club
0,#PJUJQV0GR,Lucas,0xff1ba5f5,28000000,54220,1,<c7>A J N</c>
1,#200GL0J0P,EC|Empty,0xffffffff,28000168,53520,2,Feeling Numb
2,#L9VLGVG0V,NCT|陰MoZz🤍,0xffff8afb,28000024,52293,3,Ténébreux
3,#PQCP89QUJ,Разрушитель,0xffcb5aff,28000174,51841,4,BEST FRIENDS
4,#PCCGYRV9,Die|Semmel™,0xff1ba5f5,28000156,49004,5,World🌎Legends
5,#8PPRPP00Y,jaames.00_,0xfff05637,28000116,47769,6,Mino is fat
6,#P0VJ28UL0,Justinhui0321,0xffffce89,28000328,47135,7,HK戰隊 🎗️🎗️
7,#YJUPUPY2J,Hallo,0xffcb5aff,28000321,45971,8,Gleaming Starr
8,#9JVLG9CR2,STR|waffles,0xffcb5aff,28000347,45599,9,Gleaming Starr
9,#G89LU8LQ,T0mTIx,0xffffffff,28000003,45501,10,rush FR monster
10,#98QR20RGY,𝘋𝘰𝘴𝘉𝘰𝘴𝘴,0xffff8afb,28000073,44444,11,Warriors Way
11,#99C8G0PG,✰Hyͥdrͣaͫ,0xffcb5aff,28000293,44164,12,Alpha
12,#2Q29PG88Q,~|Darkdrak3|~,0xffff8afb,28000135,43572,13,Clan Brawl
13,#PLV80GLUQ,Crazy the Vlad,0xffffffff,28000000,43469,14,домашка
14,#90V200Y28,GuiuGamer,0xfff9c908,28000347,43355,15,clateguitur
15,#20U28U92Q,Flagon,0xff1ba5f5,28000065,43177,16,True Gaming
16,#V2L9YG2C,DJ,0xffa2e3fe,28000170,43101,17,NA|Club
17,#9VV9R9QJG,✨MouseBit✨,0xffff9727,28000110,42852,18,C.JaliscoNuevaG
18,#RJJC0VU8,GG|NIGHT🌙,0xfff05637,28000053,42772,19,экшен клуб
19,#PQCPCCL89,SlAvaTion🦇,0xffffffff,28000296,42179,20,DreamTeam
20,#YR8UUVUPQ,Pavel Крут,0xfff9c908,28000023,41797,21,purka_ream
21,#LPUUVYG0G,Crow,0xfff9c908,28000132,41749,22,LiMoon ChoY
22,#80Q29Y82C,ᶠᵉʲˢʷⁱⁿ 🥀,0xffff8afb,28000130,41508,23,Clanos
23,#8JVG0V988,Veri,0xfff9c908,28000280,41459,24,Dark Night
24,#2RQY0UCLG,MiKo_KaiYu,0xffa2e3fe,28000211,41192,25,𑁍 パパイヤチーム！𑁍
25,#LUJRULQ9V,AER|Baleze|🌻,0xffcb5aff,28000195,40921,26,AE̷R̷ɪAʟ
26,#QG2V9QQ0,Mys|Ice Solo🍁,0xffa2e3fe,28000000,40416,27,ICE CREAM
27,#P0U2GPCLY,antonio,0xff1ba5f5,28000051,40217,28,BRAWLSTARS
28,#292L8CV0Q,ViTinSFC♡,0xffcb5aff,28000207,40187,29,Push StørmX
29,#LQU8LRQV,TM | Reivaj,0xfff05637,28000274,40173,30,PV PAVIER
30,#P00P2YCG8,aziz_derler_7,0xfff05637,28000273,39835,31,ADALET
31,#2288LR9C,JaviPandaXD,0xffa2e3fe,28000222,39792,32,(TM) TEM FORCE
32,#2VPPQ8,mr_pum6kin,0xfff9c908,28000184,39780,33,puk
33,#CV0YPLGJ,NUTELLA BRAWL,0xffff9727,28000170,39746,34,Push StørmX
34,#29RP9RV8V,Zurdo|リッカタカナシ,0xffcb5aff,28000200,39737,35,cocainapatumama
35,#89RLPCCGQ,Nicky,0xffa2e3fe,28000275,39150,36,В004КО
36,#PLQQCRY8C,MonsterMaster,0xff4ddba2,28000285,39137,37,
37,#UUJJGCGU,ItzJaSoN?🥀🇺🇦,0xffcb5aff,28000222,39017,38,<c8>Moon</c>
38,#2GGQRRJPQ,MA-L|>•< KILLER,0xffa2e3fe,28000255,38977,39,BrAwLerZ BroS ™
39,#9G29CGGJR,Salaito08,0xff1ba5f5,28000352,38974,40,guayana🇯🇲
40,#98RGYL8JU,❣KOSA❣,0xffffce89,28000310,38946,41,Wexstres the 🐐
41,#8LVQRJ8LC,Frox💘,0xffffffff,28000135,38772,42,aardappels
42,#9VYG29JQY,это твоя тёлка,0xffcb5aff,28000058,38736,43,
43,#PGG2LGJ9,Crazy boy🐺,0xff1ba5f5,28000073,38668,44,polish club
44,#PQU20UV8Q,lopie,0xff1ba5f5,28000048,38542,45,WITHOUT NAME
45,#8L9VV2Q0Y,1-й бот,0xffa2e3fe,28000305,38374,46,Bydgoszcz
46,#P80LYJYG0,AuRa|ВИННИ🎴,0xfff05637,28000305,38122,47,
47,#9C229GCP,FelixRS-YT,0xff4ddba2,28000341,38096,48,§×Blue Crown×§
48,#8C2J8GL88,Gamer xx,0xffcb5aff,28000277,37988,49,Dark Night
49,#80V992LCQ,ᴳᵒᵈ彡S̸Ħ₳D̸Ø₩ ᴷᶤ,0xffffffff,28000341,37901,50,DR. FEELGOOD
50,#YRLVRY0,Isildur,0xfff9c908,28000033,37869,51,Fr Team Adulte
51,#2VCVVQ9YU,GOAT|Maga42,0xffffffff,28000335,37794,52,YalancıDünya
52,#980GUVJPG,NARNİA,0xffcb5aff,28000252,37735,53,
53,#9J8C2JPL,rm cristian$,0xffff9727,28000347,37306,54,LUCIONE
54,#929JJL02V,джэй трэй,0xfff9c908,28000293,37251,55,Toduxe
55,#2JJUPQ9GG,óli mikk,0xff4ddba2,28000164,37161,56,"🐐GOAT, LAR🐐"
56,#9RCLCC28V,QTy|S.U.シ︎,0xffa2e3fe,28000280,37026,57,i polli
57,#9C2YYYQUP,BobRoss 47,0xff4ddba2,28000341,36847,58,The Cool Pros
58,#LY0JUQ9V,☃︎,0xffffffff,28000223,36796,59,ദ്ദി ˃ ᵕ ˂ )
59,#2CQYQYPL0,NaVi | Amir,0xffffffff,28000132,36796,60,navibebriki
60,#8PP0CYL8G,kebbab du 92,0xff1ba5f5,28000165,36748,61,gru
61,#P9GJ9U29P,💙😎santi😎💙,0xff1ba5f5,28000151,36734,62,L.M.G.A.
62,#9RC0GUL82,Monkeyboy,0xffff9727,28000156,36669,63,Nightmare
63,#GLLGJRUU,gunnar,0xff1ba5f5,28000242,36637,64,Goiabada
