,tag,name,nameColor,icon,trophies,rank,club
0,#9RRG2QCVV,𝑅𝒾𝓅𝑜🖤,0xfff05637,28000334,70109,1,Beyond Fresh
1,#2L28C090Q,條|Iswålñîtý 🕊️,0xffffffff,28000000,62503,2,Beyond Fresh
2,#V0GRGJJ2,Scott,0xffff9727,28000135,56315,3,《BRAWL MASTER》
3,#28CV2JUGY,Jean•LuLu,0xffffffff,28000024,56037,4,Spike on Fire🔥
4,#2JQVLG8P0,⚘мαєѕтяσ🥀,0xffff9727,28000320,55086,5,
5,#8R2QY8Q20,Moon🇬🇫,0xffff9727,28000004,54824,6,SuperSplashBros
6,#LUUR2LCC,⚘ᴀɴᴇᴍᴏɴᴇᴛᴀx🥀,0xffff8afb,28000321,52410,7,Incognito ™
7,#2CGGLQJGV,Efflam th92,0xff4ddba2,28000156,52040,8,Shadow Hunters
8,#PJJRRL9C,мусипуси,0xff1ba5f5,28000248,51226,9,POLNISH ARMY
9,#9VQ80U988,Впуть😎,0xffcb5aff,28000330,49994,10,MikaDmi
10,#YPCQ92RJ,QLS|ᴛᴏʀɴᴀᴅᴏ🌪️,0xffff9727,28000079,49676,11,'N3X
11,#9QPVVYJ8L,tribe|astrax,0xffa2e3fe,28000138,49562,12,Bbrawl-boy973
12,#2Y0J9QQ9G,Kikou 013,0xffff9727,28000263,47135,13,Kikou 013
13,#9VRQ8VQLG,EL|⚡CRACK⚡,0xffffffff,28000139,45772,14,Étoile de Dilan
14,#C9VUG2P,Pamphile 973,0xfff05637,28000262,45614,15,
15,#2VPLY0Y80,ulteamate,0xfff05637,28000078,45421,16,bam bam 973
16,#9JYY8QRC,7|Raͥouͣlͫ ᴾᴿ,0xffffffff,28000139,45271,17,Fruitz🥭|Family
17,#989C90YCR,VňīňəČ👑,0xff1ba5f5,28000179,45022,18,Brawl Cocagne
18,#8V9P8L9RG,( ͡° ͜ʖ ͡°),0xffffffff,28000161,44939,19,がちゅん！
19,#R9902YCY,雷Stanitsu🥷🏾,0xffcb5aff,28000041,44915,20,les rusheurs fr
20,#PRRPVGJJY,🥥•SpinToWin🤍,0xffcb5aff,28000207,44717,21,AGO ESPORT 🔥
21,#20P922PJ9,Bad🧸,0xffcb5aff,28000290,44188,22,Star Phoenix
22,#2LCYPRJJY,Rollie Pollies,0xff1ba5f5,28000305,44083,23,étoile violette
23,#LPYJPRPG,CRACHEUR 2,0xffa2e3fe,28000079,43914,24,Qc| Team
24,#P8P9CJ820,🔥SCORPION🔥,0xffff9727,28000338,43844,25,<c0>SWX</c>Live
25,#9R9L82QQY,zezechiel,0xffa8e132,28000254,43323,26,
26,#8VJ9002UP,tia_go😎,0xffffffff,28000341,42987,27,Relentless
27,#92LVR8C9U,peuluche25,0xffa8e132,28000201,42902,28,Bbrawl-boy973
28,#9R8QQ9LV9,crouton ntm,0xffcb5aff,28000095,42823,29,Les Gratins
29,#98CUQPUL8,wD ` AnnieG,0xffa8e132,28000058,42792,30,Team Queso🤪
30,#PL8GVLRRR,Sílenced🪐,0xffffffff,28000349,42776,31,Diamond+ EU
31,#QUPC0RQU,Ben,0xfff05637,28000064,42353,32,les 2.0.fr
32,#8JUJU0VJ8,luque,0xffa8e132,28000126,42056,33,
33,#YYP929GJR,✨Phoenix✨,0xfff05637,28000278,41867,34,LNR|🌑ESPORT
34,#C9UJ2LYJ,LSJ|RoiAntilles,0xffff9727,28000173,41866,35,Team France
35,#YJJQUGY22,JUSTE Dédé,0xffffffff,28000003,41810,36,Kikou 013
36,#2G88YLU,Buvidh,0xffffffff,28000023,41612,37,МГИМОШНИКИ
37,#92QJ299JL,😃KaI,0xffffffff,28000294,41231,38,
38,#R80RVP8P,♧~T!b●y~♧,0xff4ddba2,28000352,40732,39,<c9>Qc|team</c>
39,#2J2RCYGJ2,Ingénieur.D,0xfff05637,28000156,40722,40,National Native
40,#8GCVP9QU,RDPS,0xfff9c908,28000211,40346,41,Enzo Et Luka
41,#Y2QRG9U82,ℝy𝕫eシ︎,0xfff9c908,28000277,40267,42,LA CRUMBLE TEAM
42,#9G9U9V0PL,rayleigh,0xfff9c908,28000004,40003,43,black pearls
43,#2J8JV09CV,PR|hugo,0xffa2e3fe,28000226,39873,44,
44,#PCP8RQP8P,LEO MESSI PRO,0xffa2e3fe,28000151,39490,45,haceo
45,#Y228C2QVQ,😎modeo😷🥇,0xff1ba5f5,28000271,39472,46,<c8>MAGICAL</c>
46,#8YV02VCQV,HungryBread,0xff4ddba2,28000337,39436,47,CHAPIN GT
47,#P9PYP0289,꧁H҉A҉C҉K҉E҉R҉꧂1,0xffa2e3fe,28000044,39114,48,Team Star
48,#98RL22J2G,tanos qfg,0xffff9727,28000259,38827,49,AQJN
49,#2PR8UY88P,Xor_payback,0xffa2e3fe,28000262,38283,50,Blum
50,#YYJG89PU2,AXL |Soloz,0xffffffff,28000031,38065,51,LA FLAMME ROUGE
51,#289JL0CV8,Magic_Amiel,0xffff8afb,28000044,38038,52,
52,#9R02CQY8U,✨️gemao972👑,0xffa2e3fe,28000292,38007,53,gemao972
53,#22RCPL8RC,ReG973,0xff4ddba2,28000295,38003,54,GLADIATOR
54,#8GUU8UJ9R,Tidishot KING,0xffa2e3fe,28000352,37914,55,SLM Gang 973
55,#2YJV989V0,ATF | Block🍥,0xff1ba5f5,28000078,37892,56,
56,#Y92J8R9CY,maskoff,0xfff05637,28000310,37770,57,YT/Kiruaaa💛
57,#209JGCCUQ,Noelio,0xffffce89,28000061,37711,58,xXMataTodoXx
58,#8PYL90JUQ,Qlsm,0xfff05637,28000024,37694,59,Les Gratins
59,#2JY0890R8,TOP-J,0xffa8e132,28000084,37552,60,français actif
60,#U92Y0JG0,aviel fortnite,0xfff9c908,28000219,37426,61,TEAM TITANS UK
61,#PLU8PLGJP,ʅα ɱ𝟑ʅσ ™,0xfff9c908,28000242,37412,62,Chimera Gaming
62,#JY8R0UPU,johngwiz,0xffcb5aff,28000338,37383,63,3Dimensions
63,#2UGQJGC2L,TyyTyy_12,0xffa2e3fe,28000163,37090,64,
64,#202J0V0UU,Spike?,0xffa2e3fe,28000132,37073,65,DTims Wars
65,#2YURP2VVR,Erik 2007,0xffffffff,28000341,36606,66,BRIGADA
66,#QJJG2RP8,діловий даркіч,0xffcb5aff,28000046,36513,67,VoLoPaS
67,#2CYL0PG0R,Apsu,0xffa2e3fe,28000014,36446,68,~Brawl Legends~
68,#8Y2CP9VYY,adil,0xff1ba5f5,28000126,36319,69,Lõs tĩgrēs 🐅
69,#CQPV90Q2,NexusX̶ᴳᵒᵈ,0xffcb5aff,28000347,36287,70,
