,tag,name,nameColor,icon,trophies,rank,club
0,#C92YCJ2,☪︎Mumei🖤,0xffffffff,28000000,64276,1,
1,#9QC9UGCP8,ur my targett:,0xff1ba5f5,28000066,55601,2,ЛЮБИТЕЛИ СКУИКА
2,#828CGUG0,STM|Mustafa♕,0xffffffff,28000004,53128,3,<c0>ＬＯＮＥＬＹ★</c>
3,#902YUL98,HBS|HARUTO.YT,0xff1ba5f5,28000347,52223,4,チー牛雑談
4,#PRLGUJP0J,🥀ZØ|MUSTAFA✨🕊,0xffffffff,28000139,51072,5,✨Retired✨
5,#UYJPV0G9,ダリまる@猛者,0xfff9c908,28000272,50675,6,ダリルレースの猛者
6,#L2RYC9YPP,FATMA🥰😍BURAK,0xffffffff,28000003,50625,7,P.E.K.K.A
7,#PU89YUR2Y,CX|boss,0xffcb5aff,28000349,49234,8,Elite Squad
8,#P8JPRC9Y9,OP|Dovla,0xffcb5aff,28000314,48305,9,Immortal Souls
9,#YUQG9CLP,ART MEGRODAN 🦸,0xffcb5aff,28000335,48271,10,❄️ICE KOLT GANG
10,#9GP8VUUCG,gigi,0xff1ba5f5,28000305,47725,11,TeamFerre II
11,#8UR8QQUQP,么|𝐌𝐢𝐤𝐞🐉,0xffcb5aff,28000135,47524,12,LA MAMA DE ÁLVA
12,#2P9R9G808,👾インベーダー👾,0xffcb5aff,28000349,47467,13,かかってこいや
13,#2CV9C09UG,вιαcк~💙,0xff1ba5f5,28000010,47339,14,la ira dei déi
14,#LQGUJ2CG,lordtop1gg,0xffffffff,28000300,47075,15,One Man Army
15,#8P8R0UCJV,TT|yoshiSB84,0xff4ddba2,28000345,46495,16,🪐Supernova🪐
16,#92R2Y202,DERGUNCIK,0xfff9c908,28000061,46231,17,Axolotl empire
17,#2PP0CL2PP,暇|iPexuGa🔮,0xff4ddba2,28000136,46058,18,pucelawarriors
18,#2VJ0QJRJQ,топовая чикса,0xffffffff,28000094,45909,19,[QAZAQ]
19,#YGULY02G,⛩|🃏Jøkēr🃏,0xffffce89,28000339,45603,20,ᴡᴡʀᴇᴇᴢ❤️‍🩹
20,#PP02Q089L,50k|Better💞,0xffff9727,28000020,45556,21,push🖤bs
21,#Y080LVRQ,DioiD,0xffcb5aff,28000332,45355,22,Legendarni
22,#VQUCCQQ0,FS|Martanos,0xff4ddba2,28000129,45335,23,MIDESPORTS
23,#82RC8GJ8Q,pr|Ugmy,0xffff9727,28000179,45254,24,Клуб:  #2C88LQJ9Q
24,#8VYQPVL,GOD,0xff1ba5f5,28000125,44799,25,mauu ▼・ᴥ・▼
25,#2UQL9V9P8,💎✞︎𝓖𝓾𝓪✞︎💎,0xffcb5aff,28000335,44764,26,Brawl Champions
26,#2P9Q9PYL,🔥SIMAX🔥,0xfff9c908,28000132,44698,27,Дратисты
27,#P8GQP2QCY,PharaoN,0xff4ddba2,28000018,44504,28,fateful❤️‍🔥
28,#PYJUYL280,Lynx,0xffcb5aff,28000156,44303,29,MegaBob✨Crew
29,#8LQG9GRRY,KZ|Rasul 7,0xff4ddba2,28000140,44210,30,
30,#9VJ2QPY2Y,⛩️bℝαwɭシ⛩️,0xffffffff,28000275,44108,31,Les Tryhardass
31,#PYPLUPP9,pro gamer,0xfff05637,28000272,43810,32,
32,#YVY2P8G9,INF MANHOO,0xff1ba5f5,28000335,43733,33,The Legion
33,#PLLV0UL0P,Radface,0xff1ba5f5,28000081,43546,34,D-CITY-GANG
34,#P00YJ2PPR,ks1dex?😪,0xffffffff,28000284,43506,35,schoolshxxters
35,#R09RCQ2U,🌸TF|I❤️Liza🌸,0xffffffff,28000159,43439,36,Team MASKIM
36,#9PPJCVVYR,Иллка,0xff4ddba2,28000284,43257,37,PAPACLAN
37,#2U02Q2JQL,$$[С@ид]$$,0xffff9727,28000132,43092,38,BS Game
38,#89Q8LLYRC,Elmar The King,0xffcb5aff,28000282,42846,39,<c7>Flash</c>⚡
39,#8LLJY0YU8,lollpi33,0xff1ba5f5,28000095,42814,40,clip2math
40,#PQCVRLQ8G,tribe waterbold,0xff4ddba2,28000037,42718,41,Danish Minds
41,#9GYPL9UCP,Путь Радуги,0xffa2e3fe,28000168,42509,42,SG Team💚
42,#PLVJY28C,Allen,0xfff9c908,28000330,42436,43,CSHS Schmucks
43,#8929V0GVY,☆《ENES》☆,0xffa8e132,28000097,42402,44,Fearless
44,#8PQ8JQ8YC,❄️𝙲𝙱|᥇ꪶꪖᥴᛕ🐉,0xffcb5aff,28000336,42385,45,Old Skulls
45,#9YRCP2J2R,Marty10ten,0xff1ba5f5,28000000,42371,46,Germany Elite🏆
46,#9L0RUPQ8R,Kolones,0xffff9727,28000090,42318,47,Akademia XD
47,#Y9C2LVP8R,☬Wortex❦,0xffa8e132,28000021,42116,48,Young Army ❄️
48,#2JY8V900C,ｒｉｍｅｈｉｌｄ🥶,0xffcb5aff,28000198,42111,49,Just have fun
49,#298QQ8Y9C,🌴DeF>roT🗽,0xffa2e3fe,28000286,42084,50,EsssKiiiMooo
50,#80Y8PJC98,TooBee,0xfff05637,28000023,41842,51,RKS|KINGS
51,#2P09GL9YY,Mysterio King,0xfff9c908,28000020,41824,52,Österreich
52,#YVLJ00Q8,BF2 | Philipp,0xff1ba5f5,28000129,41795,53,Beste Freunde 2
53,#Y9YVY88JU,Легууу,0xfff9c908,28000273,41729,54,Top G
54,#8G9J9JYYJ,⛩|Boss64🎋,0xff1ba5f5,28000014,41674,55,New Era
55,#PRP09GRUP,KUKSZI_124(◐⊝◑),0xff1ba5f5,28000141,41581,56,Brawler Academy
56,#Y8PPY8GUU,ﾚｲﾓﾝﾄﾞ,0xffa2e3fe,28000100,41399,57,日本舐めんなよ
57,#2UJGRVL0R,ölümcül deney,0xff1ba5f5,28000207,41144,58,🇹🇷Old|Türkiye
58,#LC0PG0Q8C,Metan|Suwer🥀,0xffcb5aff,28000191,40946,59,FNG|TOPERES🏴‍☠
59,#22GCUV8LG,şef memo,0xffa2e3fe,28000156,40668,60,KANKAMATİK
60,#2JCV999PC,OG|Wry,0xffffffff,28000207,40610,61,Peaky Blinders
61,#P998RV2QP,♥M€LĮ$Á-17,0xffa2e3fe,28000225,40572,62,
62,#990RGY9YY,HARE RAM,0xfff05637,28000255,40528,63,뿌롤슷하쥬
63,#8GLLQ2LRG,kondrat44,0xffff9727,28000132,40512,64,cypersport bs
64,#8VGUQYR2G,İSMET,0xfff9c908,28000173,40458,65,
65,#8988G99YJ,Aruma,0xffff8afb,28000064,40448,66,TA|FAMILY
66,#8ULJC2GYY,Саша,0xfff9c908,28000176,40428,67,CMG Poland 2
67,#Y9R0LUU2R,The Splash King,0xffcb5aff,28000032,40406,68,
68,#2VLRRU8G8,Dunkelheit 14,0xffa2e3fe,28000170,40406,69,Zocker
69,#9UJUURPVV,GG|Snake🐍,0xffffce89,28000060,40233,70,💟Friendsy💟
70,#8GRRJUL2C,TT: SK|CRAZY,0xffcb5aff,28000350,40082,71,Top 200 DE
71,#22JGRV8CU,🖤ᴹⁱˢˢᴘᴀʏᴀʟ🕊️,0xffa2e3fe,28000207,40038,72,MoonLight|愛
72,#YGVJQP202,пон4ик,0xffa2e3fe,28000254,39901,73,как тусишь
73,#PY2R88QQ,Mr. Hatlir,0xffcb5aff,28000310,39875,74,NeMo_SqUaD
74,#P9U2PQPYG,joran bawz,0xffa8e132,28000156,39862,75,<c7>THUNDER</c>
75,#JGU2QRCY,55|yiğitBS❤️🤍,0xff4ddba2,28000281,39366,76,🌃LEGENDARY🌃3
76,#9PC2YGJVL,シSɪᴍᴘʟe҉ᵇˢ♡,0xffcb5aff,28000274,39340,77,Гремлины
77,#2CGJJCJ8,El gabo10,0xfff05637,28000233,39336,78,TEAM QLS🇲🇽
78,#8YCL9JRPY,MASTER DISASTER,0xfff9c908,28000274,39327,79,Gas
79,#89QRJJ8JP,og●xyilan💞,0xffff8afb,28000150,39249,80,Аноним алкаши
80,#90VVJRVLL,daddyleon💘,0xffffffff,28000218,39172,81,PayBack
81,#98RLRJUP,HokarTim,0xffff9727,28000170,39065,82,
82,#2QL290LGP,﷽M𝚊x⎋↯☬🔮,0xffa2e3fe,28000156,38981,83,Dark
83,#98VQVG2YC,GG |ГуБкА БоБ🏖,0xffffffff,28000218,38959,84,
84,#2RJJG9VVY,QLS|killer°✓✓,0xff1ba5f5,28000207,38762,85,LA TEAM STARS
85,#Y89JUC8LV,tik,0xfff9c908,28000004,38528,86,108К
