,tag,name,nameColor,icon,trophies,rank,club
0,#88YJV08U2,❣️MASOOM❣️,0xffffffff,28000139,76688,1,
1,#P89P80QY0,EC|Game On👾,0xffcb5aff,28000189,63399,2,⛩sombre 桜
2,#LY8VJGU2P,無論雪紡或絲絨❄️,0xfff05637,28000000,60211,3,
3,#GJYYCR29,WTF,0xffff9727,28000282,59067,4,House Tully
4,#8RQY28QJU,Call Me M🌹,0xffffffff,28000139,56449,5,Qc|Warriors ✌️
5,#9GJGLCVYG,TRX|神|PHANTOM,0xfff05637,28000000,56066,6,<c0>RETIRED</c>
6,#QULYPP2G,KEHT,0xffffffff,28000139,54746,7,Ttsquad
7,#2Y2YRJJRU,youssersif,0xfff9c908,28000019,51102,8,
8,#P900LCPP0,RD|aaas,0xffcb5aff,28000292,50525,9,Hydra
9,#2G2JRCC89,Lil saqib,0xffa2e3fe,28000290,49991,10,Terror Invaders
10,#PC99JU9C8,EndOfSleep🦋,0xffcb5aff,28000140,49795,11,
11,#8JYRGQGG,Orochimaru SAMA,0xff4ddba2,28000173,48777,12,UT return
12,#JRUR8P9V,🏆WINNER🏆,0xffa2e3fe,28000322,48310,13,미스터비스트입니다
13,#8JQJLJ9U9,idrisLaD,0xffcb5aff,28000135,47656,14,WereWolf💘
14,#UURJPRVL,CTP|Ced,0xff1ba5f5,28000294,47012,15,Azure Sky
15,#2CUCJUVVL,Marinett,0xffa2e3fe,28000054,46518,16,
16,#PV9LRYPYQ,🧸|Blue💞Teqq🥵,0xffff9727,28000137,46387,17,Omega Stars
17,#9P8UPJPJ9,cik cik,0xff1ba5f5,28000272,45761,18,Old School 🖤
18,#8YU2R9JYQ,NaVi|MMA,0xffff9727,28000132,45674,19,NaVi|klub
19,#8QC8YL0G9,LAYTREN 51,0xffa2e3fe,28000023,44725,20,Team|Maximum
20,#P9V900UV,𝐙𝐗𝐂|𝐌𝐚𝐤𝐬,0xffcb5aff,28000271,44591,21,
21,#8RY2QJU0,TheKingIvy,0xffcb5aff,28000314,43755,22,ToxicLayers
22,#8J8CL9PLL,prince a,0xfff05637,28000305,43722,23,Mortis’ Museum
23,#YCQ8GLU2V,RD|Eden,0xffa2e3fe,28000150,43715,24,RD Rush
24,#29L8RJGGP,OWEE|GABI,0xfff9c908,28000284,43652,25,six Family
25,#2R0C0J89C,🐲|NAVI|Åđßźęř,0xfff9c908,28000305,43630,26,Outsiders
26,#P9Q9VQPYY,LoL4Ik,0xffff9727,28000018,43588,27,
27,#PG9GGJ82Q,⛩geert🥀,0xffffffff,28000135,43587,28,NL | PVV
28,#9RLRYPCRC,『Hy』·K·💫,0xffcb5aff,28000054,43527,29,쌍문초1짱들
29,#PCJUU0CLR,技能水平♡pixxxy.,0xffa2e3fe,28000332,42935,30,Rocket Pocket
30,#Y0RYGYVJ,OOF,0xffa2e3fe,28000335,42602,31,The Krusty Krab
31,#PPQQLU8C0,ProCnk,0xfff05637,28000315,42551,32,hhhhhhhhhhhhhhh
32,#P2CYU00U2,n1rvana,0xff1ba5f5,28000322,42483,33,sunexp
33,#VLYYJ099,LK|Atlαnti$™🌊,0xffa2e3fe,28000228,42017,34,legendary club❤
34,#2JJ99JQ8G,???,0xff4ddba2,28000095,41818,35,FR|Bøys
35,#L9V2V2CQC,greyman,0xff1ba5f5,28000277,41650,36,HAKKA
36,#2GYRVV9QV,[LR]UREK MAZINO,0xff4ddba2,28000265,41404,37,
37,#2800L8P8L,KEJ,0xff4ddba2,28000000,41311,38,WellPoop
38,#Y8L0LUPJ,이이이이이이이이이,0xff1ba5f5,28000161,41198,39,Ducks In A Pond
39,#QPL8UPGG,KBS |ツ乃e͎n͎i͎o͎,0xffffffff,28000078,41175,40,Królestwo BS
40,#9GGG0880G,GX Matteo,0xffa2e3fe,28000140,41001,41,DragonsFire🔥🐉
41,#PL2YQRGQU,ᴡʜʏ ɴᴏᴛ? 🐣,0xffffffff,28000221,40713,42,
42,#8Y2GCG9RJ,Claudio....,0xffff9727,28000168,40550,43,X-Italy
43,#99RC0RYLY,yoav,0xffa8e132,28000349,40482,44,DarkSide
44,#PL2LU0L98,Abͥdoͣuͫlaye❥🍹,0xffffffff,28000000,40181,45,🖤ARZ GANG🖤
45,#2U9GU9GJ,karl,0xffff9727,28000129,40114,46,LE GANG
46,#2RV9VRC08,🍔bruno21🍔🍟,0xfff05637,28000074,40003,47,Scottish Esport
47,#9R80Y2CJ0,이겨보자~!,0xffa2e3fe,28000156,39890,48,아자
48,#28YGPJYRP,Kris☠️|YT,0xfff9c908,28000016,39855,49,Nice Gaming
49,#2998G8JQG,♨️ADF|Alstars♨️,0xffffffff,28000023,39540,50,TEAM OBDU
50,#99LV0C8P8,хомя 3000,0xffcb5aff,28000237,38951,51,
51,#Q8JVRVYG0,ttrb/brandon64,0xffffffff,28000047,38841,52,Baby Smurf 🐳
52,#9LQYJRRC,Wertafあ,0xfff9c908,28000020,38808,53,
53,#Y92YRL008,richard2,0xffff8afb,28000203,38772,54,LightHouse II
54,#2GQGRYRPG,Илья426,0xffff8afb,28000170,38630,55,[NAVI]EliteClub
55,#PVQJYJULL,[BOP] POB,0xffff9727,28000281,38619,56,
56,#88PY0YY9V,_.llnikkinll._,0xfff9c908,28000170,37831,57,
57,#LG0VQVUUV,🗿🗿,0xffcb5aff,28000249,37754,58,Dark territory
58,#2GP0QCVV9,ANGRY LION 🦁🦁,0xffa8e132,28000225,37575,59,eCOPOT
59,#PGULV8C8J,BGL|COBRA KAI🐍,0xff1ba5f5,28000139,37558,60,TEAM|BGL
60,#28C2UJGL2,DeStroNyx.Redic,0xffff9727,28000061,37508,61,Top G
61,#U0QYGGV8,NINOréo⚔️,0xffcb5aff,28000280,37308,62,BRANLESTARS
62,#Y2QJCYL9U,😎каменщик😎,0xffcb5aff,28000332,37181,63,
63,#8JVQPY09,Miggy,0xffcb5aff,28000170,37146,64,curryinc
64,#9890R8PPC,tomar753,0xffcb5aff,28000293,37135,65,Pushing W
65,#Y9CR92VG,MADERK@🎲✨,0xffffffff,28000004,37116,66,
66,#8P8LUVYLJ,ᴘʟᴀᴛᴏɴ.?,0xffffffff,28000018,37040,67,Mini igry
67,#URPJQL2Q,Marinett,0xffffffff,28000349,37011,68,GIGA CLUB
68,#8YGVPQCRY,ಠ_ಠ,0xfff9c908,28000305,36973,69,Gli NG
69,#8UGP88CRR,Ronaldo sui💪,0xfff9c908,28000037,36961,70,Megak1bErt0p 🐻
70,#8RJ90CRC9,❄️ICE_KNIGHT❄️,0xffcb5aff,28000305,36934,71,Konoha Gakure
71,#PGV82G8UY,GABOZILLA:v,0xffcb5aff,28000018,36864,72,⚡LOS MORROS⚡
72,#YRJC2YL99,Sandy,0xffcb5aff,28000164,36849,73,Eagles Eyes 1
73,#88RVYPYQ8,ploepper m,0xffa8e132,28000138,36689,74,ploepper Club
74,#9J0U8JRL2,[БЛЕТ] матвей,0xffcb5aff,28000330,36493,75,
75,#PYQQR02YC,(пот) Андрей,0xfff05637,28000023,36335,76,PewPew
76,#92P0P08V9,M E L I S S A🎶,0xffa8e132,28000281,36251,77,ａｏｚ🌏ｒａ｜紫宙
77,#Y8JLUL09U,Leon,0xfff05637,28000223,36149,78,uchiha
78,#P8JUUUL0J,OnlyTim🥱,0xffffffff,28000000,35923,79,Pilip ist bad🫣
79,#8QRJ8L8RC,Emran/Nadim,0xff4ddba2,28000288,35804,80,AYE🇹🇷|E-Sport
80,#2G0JL9UJP,lazone,0xff1ba5f5,28000168,35798,81,Top FR
81,#YRCUJYR9J,hearly,0xff1ba5f5,28000332,35632,82,LE GANG
82,#2RLY8C0UL,tokcik,0xfff05637,28000014,35598,83,Тут всі україна
83,#99YY0QCGY,{SVC}ОГŸР41K,0xffa8e132,28000294,35544,84,огурчик БС
84,#2QJV8L8UU,愛情寓♡apartz,0xffffffff,28000332,35497,85,Rocket Pocket
85,#9ULQ28QRV,🌛bot 2🧙🏾‍♂️,0xfff9c908,28000095,35362,86,「Mudadaoff」
86,#2YUGG9QJQ,WLP|WaLTeR,0xffa2e3fe,28000352,35332,87,Los Ferdinos 2
87,#Y00R9VCPU,⛩️𝔑𝔬𝔩𝔞𝔫🐉,0xffa2e3fe,28000211,35264,88,🌪️ECLIPSE🪐
88,#2Q8LJUUL9,ya uebische228,0xfff9c908,28000221,35207,89,Кочевники🤟🤟🤟
89,#CCR0YRG9,berk,0xffa2e3fe,28000305,35204,90,PROLAR KRALLIĞI
90,#2RR0L0GVJ,★NS★Haqees★,0xffcb5aff,28000132,35175,91,💫Star♡Mᴀjin💞
91,#2LLVLCUU2,Amur,0xffff9727,28000156,35167,92,
92,#YUGCCUYY2,Tomar753,0xffa8e132,28000233,35139,93,prsk
93,#9R880RQRR,PENNYWISE,0xffa2e3fe,28000263,35110,94,INDIAN|LEGENDS
94,#9Y82P9J2Y,onur pro,0xfff9c908,28000222,35006,95,
95,#V2RVLQL,Godof4lle,0xfff9c908,28000295,34921,96,
96,#9YGPPG2Q,Эдисон,0xffa2e3fe,28000149,34855,97,Goat Gamers |GG
97,#PGY98CCUC,MBONGO yvann,0xffcb5aff,28000352,34815,98,Legiøn Legends
98,#L0R02ULJ8,BGL|DHL🐣,0xff1ba5f5,28000332,34791,99,TEAM|BGL
99,#2PR880Y2R,Me_K.O.,0xff4ddba2,28000285,34566,100,
100,#LVP2YU0V9,King lord,0xffcb5aff,28000228,34532,101,PROLARR
101,#PJ282UJUY,123456678,0xffa2e3fe,28000320,34448,102,ЧВК ИШАК
102,#Q02R22JJ,Ytb SM Mich,0xfff05637,28000173,34442,103,lbp
103,#9UYP9G90J,bot 5,0xff1ba5f5,28000200,34430,104,「Mudadaoff」
104,#8P0890V9P,☔MDN|DMT BS☔,0xffcb5aff,28000330,34426,105,BIG BOY RUSSIA
105,#8JGJYLPJU,OG NIKI 007,0xffffffff,28000138,34340,106,elite␈
106,#YLQVQ2L8R,ASK|Philippe 11,0xff1ba5f5,28000209,34319,107,FR ACTIF
107,#RU8JPYRP,Kuliyev_56🇦🇿,0xff1ba5f5,28000019,34205,108,
108,#P080CV99Q,⛄Fantastika⛄🔥,0xffcb5aff,28000207,34182,109,
109,#L2LL0CVG,banan tv,0xffff9727,28000087,34171,110,Strongest
110,#YGJ2RCCVQ,dkdkkdkdk,0xffff9727,28000277,34158,111,TheNico gang
111,#L2Q0YU8LJ,BGL|DBN🦆,0xff1ba5f5,28000295,34132,112,TEAM|BGL
112,#2VC20RVGU,공백,0xffff8afb,28000005,34068,113,티니핑 정부
113,#8GCCVU8U0,KRI$$✨HACKERMAN,0xffa8e132,28000077,33995,114,suiiiiiii
114,#PPUCVQC8Y,king,0xffcb5aff,28000332,33921,115,1000Piece
115,#9JPY0CQQ8,ウホ島　ゴリ夫,0xffcb5aff,28000311,33914,116,☀ダイナマイクの独り言☀
116,#8LG290Y99,益|Aʀᴛᴜʀ_Gᴏᴅ🖤🥀,0xffffffff,28000065,33888,117,
117,#Q80PJVYV2,Squeak squak,0xffcb5aff,28000271,33821,118,The Lazy Kill
118,#RU9QQVRG,autodidacte,0xff4ddba2,28000060,33788,119,Suma yt
119,#8CVQJLJJG,[Au]luXurY,0xffffffff,28000023,33784,120,Rusteze•ESports
120,#290YRULLL,HalMine,0xfff9c908,28000255,33717,121,joker’team😈👿
121,#PL2PRVPLP,4-й бот,0xffa2e3fe,28000335,33653,122,GOD LUCKY ™
122,#Q2C9JCPCG,ZFR is crack,0xffff9727,28000263,33643,123,Njrbrawl
123,#YLR8LVLVC,MORTIS,0xfff05637,28000347,33608,124,Bull's Team II
124,#2U2JLQUQC,Kendrick83,0xff1ba5f5,28000320,33606,125,NDOSS ROYAL
125,#2V09GVV2U,Dan,0xffff9727,28000272,33600,126,
126,#82080YLJL,♣︎darkzone♣︎,0xfff9c908,28000273,33492,127,
127,#2CVPGQRLR,fnatic#alex,0xfff9c908,28000033,33484,128,I MUSSETTESI
128,#9PRC802PV,dimka,0xfff9c908,28000023,33470,129,Deadlight
129,#PG28RGGP,NihatPLAY,0xffa2e3fe,28000290,33435,130,Sonic Boom🔥🔥
130,#R9YJCCRC,TT | Aksel 🥀,0xff1ba5f5,28000175,33433,131,FriTher Team
131,#9V2PCJJY2,AYAZ,0xffcb5aff,28000159,33432,132,
132,#PJL9YQPRQ,tomas753,0xffffffff,28000272,33418,133,dostlar
133,#PYYQQYQVL,Die,0xfff9c908,28000333,33409,134,QRetTeam
134,#8RPJJ8J0C,kowкодeboчka ♡,0xffff8afb,28000218,33225,135,шедевроклуб
135,#P008P9GVJ,♡sckartyy♡,0xffcb5aff,28000228,33147,136,
136,#89V988QVP,|𝖉𝖗𝖆𝖌𝖔𝖓|,0xffcb5aff,28000002,33138,137,אללה בראול סטאר
137,#2LUGVJQUU,brams,0xff4ddba2,28000000,33125,138,PeaX
138,#LCYV90GJR,j.f2009,0xffcb5aff,28000087,33065,139,
139,#PYPG0220R,[LP]BiBi,0xffcb5aff,28000128,33060,140,💥Crazy Stars💥
140,#9GY8Q2CGQ,FRITZ,0xfff05637,28000203,33026,141,BS Pro
141,#2C0RPV8RV,leo,0xff1ba5f5,28000004,33016,142,Black Fire
142,#8YVJLUC2R,Davykira241,0xffff9727,28000305,33004,143,PMC_WVGNER
143,#2J0PR9UUG,𝚅𝙶 ᴄʟᴀᴘ~ɎØɄ,0xffff8afb,28000335,32995,144,
144,#LUVC8UPL8,34лупка333,0xffcb5aff,28000167,32959,145,клан гремлины
145,#YUG998U8,Романовский,0xffff8afb,28000294,32865,146,DarkSide
146,#PLV2LP0CU,Gipsy,0xffa2e3fe,28000248,32828,147,Gases Team | Ru
147,#9R89CYV9G,Tʏsɴ🥀|Kɪʟʟ ʏᴏᴜ,0xffffffff,28000265,32794,148,Brawli Gang
148,#QLJY28UV,Martin,0xfff9c908,28000161,32759,149,ligue des club
149,#PCRG8CJJL,слэппи,0xff1ba5f5,28000332,32699,150,five night
150,#2YGCRPRCR,silver skins,0xfff05637,28000352,32686,151,ToxicCrow
151,#P2G8JCJJP,[NX]♥️NiXi♥️,0xff1ba5f5,28000179,32626,152,
152,#9J8QYU0C,Brawler,0xffcb5aff,28000018,32608,153,
153,#GYVP2UPP,als,0xffffffff,28000165,32589,154,Equipe X
154,#YCVJPJJQR,Медведи😈,0xffa8e132,28000347,32578,155,Rice Farmers
155,#9LQVPG282,CeDaY,0xffa8e132,28000017,32538,156,
156,#V8CJUP2L,FATALAMAZIGH,0xffa2e3fe,28000044,32517,157,Guardã88
157,#PGUJ9Q9VC,Leon es mi dios,0xff1ba5f5,28000322,32511,158,11205
158,#PYQY9LLYQ,THE_TRUE_GUY💣,0xffa2e3fe,28000305,32361,159,
159,#QU0QRC9G,王者神射手，射手二段,0xffa2e3fe,28000314,32352,160,雲遊四海
160,#8QUVL09GJ,🙉musly🙉,0xffffce89,28000017,32323,161,ogóry
161,#PCCLL9QCQ,DaRTiCHoKEシ︎,0xffcb5aff,28000018,32314,162,Кот в тапке
162,#9U2QJYJVU,WUMMEKOPF,0xffff9727,28000129,32268,163,only.one_25
163,#29CLV9Q,D4MS,0xfff05637,28000156,32267,164,akatsuki
164,#P00RYR02,freddy19m,0xffcb5aff,28000007,32204,165,
165,#RLR999RJ,КС,0xff1ba5f5,28000310,32190,166,absolute squad
166,#GYU098JQ,Fer5ypunto,0xff4ddba2,28000153,32167,167,AMY|Best™️✨
167,#L2P0G000U,ninho17,0xfff9775d,28000315,32166,168,Brawl trophée🏆
168,#820CPVU88,Poco's Hat,0xffcb5aff,28000177,32155,169,
169,#9L22CU0L,БАТЯ_AFK,0xffcb5aff,28000002,32100,170,ютубери топ 1
170,#YPVGCCU0R,Momonosuké,0xffff9727,28000185,32097,171,Le Bon Coin
171,#8RJGUP98Y,EXͥⱥŁͣτͫY,0xffcb5aff,28000332,31944,172,Le BFA club
172,#CCL9RGVV,ヒロトの卵,0xffa8e132,28000016,31889,173,
173,#2LVRVUJU,Саня81,0xffff8afb,28000224,31837,174,🔪Casual Hub🔪
174,#L880CUG29,FIRE 🔥,0xffcb5aff,28000332,31832,175,🧨TNT🧨
175,#L8JY2LUCG,КИРГИЗЕНОК,0xffcb5aff,28000052,31817,176,TR TEAM
176,#P0G0QCL2L,Brawler,0xffcb5aff,28000248,31806,177,Hard Clan
177,#8J20VQ00,AkIn | EggA,0xffff9727,28000255,31802,178,
178,#20C0G9RUU,Žøķłãñð,0xffcb5aff,28000163,31802,179,
179,#8C898JV82,ВОИН,0xffcb5aff,28000156,31799,180,GiG
180,#Y02YRRC08,???,0xff1ba5f5,28000322,31798,181,Colo-Colo
