,tag,name,nameColor,icon,trophies,rank,club
0,#92UP2QJY0,new era,0xffcb5aff,28000305,58547,1,Bagaluten Bande
1,#8LRGJGYCP,alivera,0xff4ddba2,28000305,53152,2,World Finals🏅
2,#82PVVUGJC,みんとへけぇ𓂃𓂂𓏸,0xffa8e132,28000155,52165,3,森のぱん屋さん
3,#9VUY2C2QG,schlagzu,0xffcb5aff,28000156,50096,4,
4,#20L99UQVL,[SV]Big Baby,0xfff05637,28000272,49310,5,
5,#2QR929Q2V,₦Ø₳¹⁶,0xfff05637,28000340,49303,6,Unima VI
6,#9PU8PLG2,пака,0xff1ba5f5,28000282,49184,7,PhedoleANT™
7,#89GQ0C998,Мистер Шизи,0xffff8afb,28000284,48944,8,ПаРтИяНаКрЮкАх
8,#2LJRC2P,YT_Lokotok,0xffff8afb,28000023,48921,9,TikTok_House
9,#2JCUVGRL2,민규/승현,0xffffffff,28000207,48568,10,SaPient Korea
10,#2222VY2PJ,♠️Young Kira♠️,0xff1ba5f5,28000175,48107,11,<c5>愛|3𝒱3❦</c>
11,#9V089RG22,Dr_Strange...,0xfff05637,28000206,46777,12,LİDERLER
12,#L80V8220P,LEON,0xffff8afb,28000335,45809,13,Turkish Sword☾⭑
13,#9YPLPQV0J,Меккелл,0xffcb5aff,28000235,44913,14,
14,#9QP0UQPUP,x_RRI_x25034,0xffffce89,28000010,44768,15,BS|Demons
15,#CVUUJQRU,KARAKARTAL,0xff4ddba2,28000115,44481,16,WhiteShark🦈
16,#809LY8900,ДЕД С ГАГАЛОМ,0xfff9c908,28000273,44020,17,
17,#LJ0Q8JVCC,Kaif,0xffa2e3fe,28000210,43559,18,INFINITE
18,#20R9Y9UGG,psychokid,0xfff9c908,28000129,43292,19,
19,#YVJ2QU08J,💖Диана💖,0xffa2e3fe,28000023,43161,20,Brawl Top
20,#Y028YC8Y2,🤑DANI🤑,0xffa8e132,28000101,43148,21,PT Squad
21,#PR20Q90U2,IMP_KING ĆŔÓ¹²³,0xfff9775d,28000331,42670,22,혼돈의 카오스
22,#P9YQC8LQC,Nico :),0xffffce89,28000081,42590,23,🎭Push Top🔥
23,#8YCJCPPG9,yusufstar,0xff4ddba2,28000305,42553,24,Efsaneler
24,#YLRPGYJJC,saint,0xffcb5aff,28000132,42541,25,Черная суббота
25,#8Q90YJVLY,EMİR,0xffcb5aff,28000330,42460,26,E|Spor😈🐣
26,#9J8GJ8UPJ,Felix,0xffa2e3fe,28000261,42199,27,Follow?
27,#90G9U0RVJ,SK|Doğan,0xffcb5aff,28000207,41894,28,HeroWarriorsTR
28,#P9CVPYUQL,Murat1453👊🏼,0xffcb5aff,28000334,41560,29,Die Besten
29,#PRLVYCVGJ,NAVI | Dankur,0xffff9727,28000347,41163,30,
30,#9RR2JRPP8,Lorenzo,0xff1ba5f5,28000295,41072,31,FG Empire
31,#Y22UGUL0C,захар,0xfff05637,28000226,40665,32,
32,#8RGC822PU,ggudj u re j,0xff4ddba2,28000014,40632,33,
33,#L0LUVU0CL,gokylo YOUTUBER,0xff4ddba2,28000273,40627,34,TÜRKİYE❤️‍🔥😍
34,#9VRV2PCRV,Zafer ☔,0xffffffff,28000308,40471,35,
35,#2Q8URUVLV,Saucisson♡♡,0xffa8e132,28000262,40457,36,Super Sky
36,#8YLVGCJ2,𝔽𝐚𝒓𝓉®𝐚®ҏ𝚜,0xff1ba5f5,28000281,40430,37,BS|IMPERIAL 2
37,#9QLJ2JCJR,trayz3r merguez,0xff1ba5f5,28000272,40426,38,Les shampoings
38,#8CQ8R2GUQ,leon,0xffa2e3fe,28000255,40404,39,keremü
39,#YUCUG8JPL,TOZKOPARAN,0xff1ba5f5,28000314,40332,40,
40,#C8098JVQ,Power Orange,0xffcb5aff,28000095,40111,41,<c8>Qwertzz</c>
41,#9C9202YLL,Snikers,0xffcb5aff,28000290,39934,42,Rage Always
42,#8CUCVLL9J,Cavchik,0xffff9727,28000077,39907,43,ставчики
43,#RGCCGVJG,LazKopaT,0xffffffff,28000023,39680,44,RD|TeaM
44,#UYPCCUJL,ramal,0xffa8e132,28000033,39600,45,BS|AZƏRBAYCAN❤️
45,#882VP9R8P,DOS|mirazhes,0xffffffff,28000184,39387,46,
46,#C0L8U80P,DS|WhiteAngel,0xffcb5aff,28000293,39298,47,GRE_team
47,#QYG229YC9,triki,0xffa8e132,28000139,39297,48,ДЖУМАДЖЫ
48,#2V9GJ8L8Y,JEG|IYAMJELLY,0xfff05637,28000004,38937,49,brendan
49,#88J2JUYJG,🥀ER|Joseporepo,0xffffffff,28000012,38786,50,🇬🇷BAT| Family
50,#9QGUJ9LUR,ISEZERO,0xfff05637,28000180,38765,51,Dark Smile |DS|
51,#2GYJPCUUJ,Fearless,0xffa2e3fe,28000226,38590,52,𝚁𝚒𝚘𝚃
52,#28PG0VPC2,보노보노,0xff4ddba2,28000310,38557,53,호세호세왕국
53,#PQRCC28UC,{R E İ S} ♥️,0xffcb5aff,28000305,38532,54,🇹🇷TURKEY🇹🇷
54,#89GUGJQ0Y,Rewad,0xffffffff,28000004,38464,55,Aze_Gencines
55,#YPGPUUP82,bruce bulutus,0xffa8e132,28000310,38402,56,bulim
56,#99VPPG8YL,Лорд Спайкус,0xffa8e132,28000072,38223,57,Wurstnisa
57,#8GLYV02JP,QLS|Grisha™,0xffcb5aff,28000305,38211,58,Black Vipers
58,#Q8PPQ2GG,KNG | bērgës,0xffffce89,28000262,38078,59,SpreenDMC
59,#2UUVQV8Q2,NAVI/SLIMA,0xffcb5aff,28000023,37985,60,GREEK PRO💚💚
60,#8VP0C90U2,플로우,0xffa8e132,28000020,37946,61,
61,#U0R0CG8Q,灰｜ᶜᵃˢʰ,0xffffffff,28000139,37923,62,<c5>愛|3𝒱3❦</c>
62,#P2LQUUYUQ,TL💜Silas,0xffffffff,28000207,37885,63,Dutch Rangers🦅
63,#P9P9JL2PQ,baxtrix,0xffffffff,28000132,37858,64,<c5>愛|3𝒱3❦</c>
64,#PQYCRG90C,RuLeR,0xfff05637,28000294,37813,65,СУПЕР ТИМА
65,#P0PCR2099,⛩️| αℓρнα ヅ,0xfff9c908,28000341,37787,66,ZETA|AZERBAİJAN
66,#9C2P22LGP,666,0xffff8afb,28000280,37766,67,[RUS]KINGS🏆
67,#RR9GC0Y0,ЛИМОНЕРʸᵒᵘᵗᵘᵇᵉ,0xffffffff,28000335,37723,68,Дастархан
68,#89V0YYU9U,-12|by кифчик🩸,0xffffffff,28000218,37714,69,
69,#2YJP0CL02,CⱥllMeͥṨiͣzͫex,0xffffffff,28000173,37712,70,triple coucou
70,#89J0RRCJR,[LP]tungjatjeta,0xffcb5aff,28000305,37677,71,
71,#8YG8CVGJU,[GM] gamer,0xffff9727,28000280,37594,72,Legendary
72,#2UYJ2YVQG,KOT_ARSIS,0xfff05637,28000347,37497,73,patola🥶🥶
73,#8U89UL9JQ,44MALATYA44,0xffff9727,28000019,37464,74,SaYGı E*SportS
74,#LGCU8G8C,Elnur,0xfff9c908,28000317,37446,75,Lord X Dostarı
75,#RCJCRQJJ,☆LØRD☆,0xffffffff,28000077,37434,76,аркаша пидорасс
76,#Y8G9YGYJQ,Лютый баян,0xff1ba5f5,28000176,37377,77,Methodic Army
77,#2YYY8VYJR,il piccino bamb,0xff1ba5f5,28000229,37364,78,Pro players™️
78,#UQ9PG9L0,reteret,0xfff9c908,28000076,37253,79,Dunge0n Masters
79,#90QJURGPG,ема ты ботик,0xfff9c908,28000132,37240,80,
80,#80QR8VCGU,🥔|𝙷𝚎𝚛𝚊𝙺✧,0xffa2e3fe,28000305,37186,81,🥵😼😈
81,#P8JL8G0QP,𝓐𝓫𝓭𝓲𝓷𝓮♏🖤,0xffcb5aff,28000314,37169,82,faster
82,#2J9R0RUVV,OXYGEN,0xffa2e3fe,28000141,37159,83,
83,#80J20CGJU,Звёздный игрок,0xffffffff,28000280,37103,84,олд
84,#P0QRVPJ0C,ishmurat2006,0xffcb5aff,28000129,37029,85,
85,#2YCQUVRU8,AukeDePro,0xffa2e3fe,28000151,36907,86,Dark Pinokkio’s
86,#9CQ22GJG0,Just-Gast,0xffa2e3fe,28000263,36865,87,my friend and I
87,#LR9V8288,Zahid,0xffffffff,28000155,36815,88,Samurai
88,#8ULCPRU0V,лол кек,0xffcb5aff,28000175,36680,89,
89,#P8Q8GQV29,BOZKURT,0xffa2e3fe,28000044,36575,90,LALE SPOR FK
90,#29GUJCGLV,david,0xffff9727,28000228,36488,91,"""Good Men"""
91,#PCVRYY2UV,(sidar),0xfff9c908,28000322,36487,92,™ FearlessTeam™
92,#PG22CP8Q,starbrawlergay,0xfff9c908,28000132,36414,93,Progresso
93,#808L8QV9L,KraL,0xff4ddba2,28000156,36408,94,USTALAR
94,#PY9Y8YURJ,gokylo YOUTUBER,0xfff9c908,28000055,36405,95,CLK
95,#2Q29RVQQU,спидран 30к,0xfff05637,28000132,36386,96,THE GOATS
96,#9828QQ0RJ,Brawler,0xfff05637,28000151,36386,97,про
97,#9QJUGR80G,Макс,0xfff05637,28000079,36364,98,
98,#8YY8C0QJ,✞SHOT|Bumlee☭,0xfff9c908,28000288,36328,99,ХОМЯЧИЙ ДОМ 🐹
99,#9JPUVGCJJ,≠LEFASDO≠,0xffa2e3fe,28000332,36322,100,381|MoonSlayers
100,#8UR08LYRR,СЕРГІЙ,0xfff9c908,28000017,36295,101,GUCC1
101,#9U2CCQ0QJ,Mohammed Ali,0xfff9c908,28000132,36209,102,Progresso
102,#PVVYJYJ0P,кирилл,0xfff9c908,28000132,36194,103,Squeak's Club
103,#V0V8UPQP,Savaşçı,0xfff9c908,28000341,36121,104,Mithatpaşa Keko
104,#9R0Q82QP8,tomar 753❤,0xff1ba5f5,28000332,36049,105,TK /Kons
105,#2UQR2R9J8,STAR,0xfff9c908,28000132,36045,106,
106,#8LUQL9GY2,Lera🖤Slava,0xffffffff,28000135,35970,107,Love Lera❤Slava
107,#9PCUU8PRJ,Ericleo229,0xfff05637,28000129,35962,108,SWEET CANDY
108,#2YJYP9YGV,Pis katil,0xffa8e132,28000205,35821,109,Geliyosan gel
109,#9988922UR,Eyüp♥️Defne⛩️,0xff4ddba2,28000021,35746,110,YT | bthnYVZ
110,#9GY2G0LP,абдрістайко,0xff4ddba2,28000170,35689,111,The Lion's Den
111,#PCLGRQGLV,gokyl youtuber,0xff1ba5f5,28000335,35641,112,Gelirmisin?
112,#U88RGC28,l love myself,0xffffffff,28000317,35629,113,ChezzBurgers
113,#282YRJVQ,merster3108,0xffcb5aff,28000135,35554,114,
114,#PP98JYG9L,KOKAINVOGEL,0xffa2e3fe,28000165,35534,115,EEEELLL PRIMOOO
115,#999CCVCVU,spocony brawler,0xff1ba5f5,28000044,35530,116,Śnieżek Gale
116,#8J9UPCRVC,⁶⁶⁶david⁶⁶⁶,0xffff9727,28000151,35512,117,Zake and Take
117,#92PQ9VPY,los porros no,0xffcb5aff,28000331,35500,118,TorreStar
118,#29YLG9Q0J,PESO PLUMA😮‍💨,0xffffffff,28000170,35496,119,
119,#8LCP0JQ9V,Promen,0xff1ba5f5,28000156,35494,120,
120,#8GPYQ22V9,[LP]ArS⚡,0xffcb5aff,28000073,35444,121,Klan Duszki
121,#2UYVYJ29L,dzh.aidar@“,0xffcb5aff,28000014,35385,122,Dota squad
122,#P0UUQJ8QL,tomar753,0xffcb5aff,28000330,35376,123,Sumqayit12
123,#2LP8P20L2,Sh1n,0xff1ba5f5,28000260,35375,124,Crazyboys
124,#8PJPL88U,hugosoltero,0xffcb5aff,28000170,35319,125,Los del Molino
125,#28JLRC20U,Minttint_,0xffff8afb,28000070,35209,126,
126,#2PGCC2CJL,QLS|PANDA:}>,0xffffce89,28000156,35208,127,
127,#CY92G228,dragonfly,0xffcb5aff,28000058,35171,128,
128,#8J0289V00,鐘能｜crystal🥀,0xff1ba5f5,28000175,35168,129,Missis Smart
129,#898L2Y8JJ,GgSumon,0xff4ddba2,28000179,35141,130,Sashastarwort
130,#YY029GQQ9,Sarab,0xfff05637,28000035,35125,131,Golden Gym
131,#9U9VGLYYJ,[365]ЭйЛаЙд,0xffcb5aff,28000305,35068,132,BIG BOY RUSSIA
132,#82YY8GQVP,motya,0xff1ba5f5,28000335,35050,133,
133,#2PRQLYGJP,Vitoonfire,0xffa8e132,28000233,34984,134,Löwenklasse
134,#GCGU8VG,wiliams64,0xffa2e3fe,28000061,34960,135,Mi sudadera
