,tag,name,nameColor,icon,trophies,rank,club
0,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,87359,1,Deadly Vipers🐍
1,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,83244,2,CHEESEFOREVAR
2,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,82446,3,BC*|Family*
3,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,81565,4,Brawl King's
4,#9CG8LJU8,『ᴵ ᵃᵐⱧ₳₥Ⱬ₳🎭🥀』,0xffcb5aff,28000293,80697,5,Tribe Turkey
5,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,80684,6,Beyond Washed
6,#8UYQRLQQV,Cwowお,0xffa8e132,28000331,80210,7,InTeamRasur
7,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,79504,8,Brawl Kings
8,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,79241,9,BC*|Family*
9,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,79223,10,Tribe Turkey
10,#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,79091,11,A Few Good Men
11,#LUP0QRC8,L1S|D4NTE❦,0xffff9727,28000129,77936,12,Mini Me’s
12,#9PVU00U2P,Kaso💘,0xffcb5aff,28000036,77235,13,Brawl King's
13,#LG2RY8GP,Cyclxne,0xff1ba5f5,28000349,77215,14,Brawl King's
14,#P2G8CUUPU,August🥷,0xffffffff,28000241,76484,15,BC*|Family*
15,#90YGQVCV,Jonas🤭,0xff1ba5f5,28000167,76362,16,Cuties🤭
16,#28UURPLGU,DL|ℬℯ𝓃𝒹𝓎🀄,0xffff8afb,28000349,75344,17,DrachenLegion
17,#80GQJ9YYP,Fynxboy,0xffff8afb,28000349,75331,18,DPB | ⚡Esport⚡
18,#PRUCG288Y,•☆Fynn冬,0xffff8afb,28000317,74788,19,BC*|Family*
19,#2JUUJQCGQ,Gregor❤️Nassin,0xffffffff,28000348,74465,20,BC*|Family*
20,#YYJUVRG8Q,❦︎TIGER❥︎SA,0xffa8e132,28000096,74443,21,Italy❤️‍🩹DUO👿
21,#2RC2YGJ98,Radan🐞,0xffff9727,28000338,74302,22,<c5>Just Us</c>
22,#889P9GJ98,Jason❤️Sebi,0xffcb5aff,28000305,74002,23,
23,#YG2QP288P,Ñîćoなさた🥷🤍,0xffff9727,28000340,73821,24,LA Global
24,#LG8PCJG8,BC*|Tex🥀,0xff4ddba2,28000122,73455,25,BC*|Family*
25,#9900PYPC9,Denaa 🐝,0xff4ddba2,28000206,72869,26,BC*|Family*
26,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,72792,27,BMW M5 F90.COMP
27,#9RVPL0Q0P,Arthur🌸,0xfff9c908,28000018,72701,28,Home Of Esports
28,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,72685,29,
29,#89C8QP9Q8,惡𝑇𝑖𝑚𝑜🦈,0xff1ba5f5,28000137,72225,30,Brawl King's
