,tag,name,nameColor,icon,trophies,rank,club
0,#90UGG8P08,ɎȾ ɃꞨ Łᵾꞥꞥīī,0xffffffff,28000332,65242,1,Revaible 💗
1,#2QC9GQ9L0,🌌Nightmare🌌,0xff1ba5f5,28000300,62971,2,LEGION🎴LEGEND
2,#U98V8LUR,chadow ★★,0xffffffff,28000341,57957,3,Galaxy Storm🌠
3,#8YPJ8YLC,我是菜不是演,0xff1ba5f5,28000252,55515,4,东山大佬🦅
4,#CVV8P8LC,sup,0xff1ba5f5,28000000,53362,5,서포터 Support
5,#8900L8URL,『 亲爱๛🥀ˢʀ>.<』☔,0xff4ddba2,28000014,51869,6,Warrior League
6,#2QQ8YVRJ9,あDaWizZ.🦋,0xffffffff,28000012,51661,7,We love play💙
7,#2L2CJQUYJ,Jojo,0xffffce89,28000139,51520,8,
8,#P00CV28L2,MaxeRabyx🐥,0xffffffff,28000332,51470,9,MB Legends
9,#8JLG2PPR9,puuki,0xfff9c908,28000332,51394,10,D P B|Esport II
10,#YU2QLJPY,hahahehe,0xffff8afb,28000228,51041,11,VIETNAM
11,#9R9P8RPUR,rzm64🥰💯📸,0xff1ba5f5,28000262,50353,12,Hamburger club
12,#PCCUL0LYP,えかき𓆪Ýขʂข𝒻𓆩🩸,0xffffffff,28000000,50124,13,FrauDuLeux
13,#9LJJCPRYG,димaСaвин,0xffffffff,28000121,49615,14,Prestige Centre
14,#YYL2QV0P,про изи,0xffffffff,28000139,49295,15,про изи легенда
15,#PLYY9YRVL,GASTER,0xffff9727,28000299,48678,16,Alpha Team
16,#2R08CRRV9,Yahiko,0xffcb5aff,28000291,48574,17,Короли
17,#8PP2RP88V,🖤-Galahad-🖤,0xfff9c908,28000101,48154,18,bs winters army
18,#98JVRY8G,928.,0xfff9c908,28000272,45853,19,PalermoIta🌪️
19,#9U9V8PQRU,💘几丨Ꮆ卄ㄒㄚ🖤,0xffffffff,28000263,45810,20,Carry|Family
20,#2LYL8UCV,Rhodney,0xffffffff,28000087,45765,21,♧Brawl Lodge♧
21,#9PPVRPJJJ,tybik321,0xffa8e132,28000272,45580,22,РОССИЯ🇷🇺
22,#YY99CQVGC,Джем,0xffa8e132,28000291,45318,23,🍷WineMakers🍇
23,#9UGRVUCY2,rare snake YT,0xfff05637,28000105,44941,24,Ggs💗
24,#U0LYRLQR,SK|Kazuha🥺,0xffffffff,28000315,44594,25,么Tђ૯ Kîℓℓ૯૨ઽ么
25,#LYLQ2GCUJ,dimalev,0xfff9c908,28000172,44569,26,Легенды
26,#82RUQJU0J,ZETA|IDarkYoshi,0xffa2e3fe,28000274,44555,27,Familien Clan
27,#PRUL8GUP8,АНДРЕЙ❤️КОЛЯ,0xffff9727,28000279,44442,28,ReastInPeace
