,tag,name,nameColor,icon,trophies,rank,club
0,#2UVUU28L8,Dede 最高の,0xffffffff,28000156,73682,1,Brawl King's
1,#P2RVQ90L9,🖤ŠįŁ3Ñt🥀,0xffcb5aff,28000183,73102,2,Invincible
2,#YP802RY8G,佥 Áℓєẋ ❤️‍🩹,0xffff8afb,28000336,72728,3,GTP Esports
3,#2LC0LQCRP,Evaツんﾌﾒ,0xff1ba5f5,28000241,70682,4,Brawl King's
4,#99JQUR88R,༄Kíller♕,0xfff05637,28000175,69902,5,Ash's Club
5,#PPUPGRC98,Theo 最高の,0xffffffff,28000175,69201,6,Pitagyro
6,#YR2GV88,縣|Teasey🥀,0xffa8e132,28000183,67603,7,Pitagyro
7,#2LRV8QJJR,PSQ_JudoJohn07,0xff1ba5f5,28000141,67334,8,EvilFreedom ™
8,#LCUURYVL,Bampis🎲,0xff1ba5f5,28000348,66993,9,ROAST POTATOES
9,#Y8Q9LPC0G,家|JohNNy🥀,0xffff9727,28000259,66370,10,MagicClub🧙✨
10,#2RU2CR2VG,☠️MASTER ARIS☠️,0xfff05637,28000321,66333,11,MagicClub🧙✨
11,#9PVCLG2,Vix,0xffffffff,28000219,65658,12,NHFFL
12,#289PPRQVC,CallMeStavkat ♟,0xff1ba5f5,28000063,65655,13,L'ÉTOILE ROUGE
13,#22CQPJYQR,Kala|OutplayedU,0xffff9727,28000018,65548,14,Silver Legion
14,#VJPV9L,༄Lapsa64⛩️,0xff1ba5f5,28000345,65025,15,Brawl Kings
15,#8V2PPLYQR,peperoni,0xfff05637,28000018,64289,16,FireStorm
16,#J8VJJU8P,Νεγρολής,0xfff9775d,28000212,64273,17,Pitagyro 2
17,#2V2YJ02RC,Panos088,0xffcb5aff,28000350,63829,18,Code: NOMERCY
18,#9R08YU8YG,❤️‍🔥𝖡𝖺𝗍ριχ❦,0xffffffff,28000335,63707,19,MagicClub🧙✨
19,#2JUG8YPP2,Panatha•🏀,0xfff9c908,28000305,63135,20,Pitagyro
20,#9L2C0J000,Mechano,0xffffffff,28000103,63011,21,MagicClub🧙✨
21,#PCPJGLV0C,Norm❦,0xff4ddba2,28000174,62304,22,GG <c7>Mech</c>
22,#822UCG80,Code: NOMERCY,0xffff9727,28000186,62097,23,Code: NOMERCY
23,#9LGUPRJ8C,Troxo57🖤,0xffffffff,28000023,61343,24,Pitagyro
24,#CRU8CPUJ,𝐻𝑜𝑙𝑙𝑌☬,0xffffffff,28000121,61319,25,MagicClub🧙✨
25,#2JQVRYJ8J,🍉|Hสℝℝ𝔂💙🍹,0xffcb5aff,28000280,60788,26,<c0>ＬＯＮＥＬＹ★</c>
26,#2JU8LUU2V,DUCK:)),0xffcb5aff,28000007,60632,27,Pitagyro
27,#9PPYVVPQQ,友|𝚁ᴏɢᴜᴇ ↯,0xffff9727,28000129,60552,28,SY Origin
28,#2QJUJ2LC0,PA|KONANVAS 💎,0xffcb5aff,28000126,60499,29,Pitagyro
29,#8UULY98VC,🤍|Ãggëløş🧸,0xffffffff,28000140,60301,30,MagicClub🧙✨
30,#90QG8CJJU,Strong🍉,0xffcb5aff,28000140,60293,31,2024 is ours
31,#2U2JCCQ2R,吾|Alex🀄,0xff1ba5f5,28000135,60292,32,MagicClub🧙✨
32,#UVR2G088,MC|ᴹᴿメ PRO,0xfff9c908,28000064,60138,33,MagicClub🧙✨
33,#9PPVPCUL9,mortadelas32,0xffffffff,28000321,59976,34,MagicClub🧙✨
34,#8899JQR2V,Cossmo〆,0xffffce89,28000348,59829,35,Pitagyro
35,#9RQ88PRL,✗|Thrxser❤️‍🔥,0xffffffff,28000198,59809,36,MagicClub🧙✨
36,#J9CPUPVJ,MikeV🐘🐘,0xff4ddba2,28000014,59793,37,Pitagyro
37,#P8YGL90P2,Dark lord,0xff1ba5f5,28000291,59693,38,Pitagyro
38,#PPGVVVU,El Panchito🐐🖤,0xffffffff,28000156,59660,39,
39,#9JGU8289G,𝓋𝒶𝓈🥀,0xfff9c908,28000123,59578,40,🇬🇷GREECE🇬🇷
40,#989QVCC20,悪|𝖙𝖔𝖓𝖎ヅ,0xff4ddba2,28000140,59542,41,MagicClub🧙✨
41,#2JY9GGQJP,ŁEWY,0xffa8e132,28000038,59460,42,Kamikaze
42,#2JU9JVQ0V,MC | BOSS,0xfff05637,28000321,59367,43,MagicClub🧙✨
43,#YCLGVUQ9J,佥Ŕâ𝓯ă𝓱𝓵❤️‍🩹,0xff1ba5f5,28000000,59277,44,GTP Esports
44,#YRJ8RY8G,SixHarispro YT,0xfff9c908,28000156,59252,45,MBC eSports GR
45,#8U889G22R,Pynt❤️‍🔥,0xffffffff,28000105,59134,46,MagicClub🧙✨
46,#2L9YU80Y,新|Andrew 🥀,0xffffffff,28000139,59096,47,MagicClub🧙✨
47,#2C2R9G0GC,爱TNF|MATZO♛,0xff4ddba2,28000016,58898,48,THE NEW FOODMAN
48,#9L82P8CJP,Ķvşŧâŧź❤️🩹sĥøŧ,0xffff9727,28000347,58835,49,✨Commonality ✨
49,#J22QLJGU,Nick,0xffcb5aff,28000294,58815,50,Pitagyro
50,#9CPPRJRLC,⛩ParisThe Pro🀄,0xfff9c908,28000018,58775,51,MBC eSports GR
51,#UU0UQ2J2,𝑱𝒐𝒋𝒊🦭,0xffffffff,28000239,58731,52,Paxoulopapakia
52,#GQCVRUP8,MICHAEL JORDAN,0xffff9727,28000299,58473,53,ROAST POTATOES
53,#PRYPQCYJJ,JV|Chͥriͣsͫ God,0xffff8afb,28000129,58266,54,Greek warriors
54,#YGCYUL8YL,Bogscam🃏,0xffff9727,28000242,58259,55,Pitagyro
55,#98P0VCPY9,✨RB|$uper $tar✨,0xfff05637,28000014,57923,56,
56,#28UL8YCCY,INF_SKYLAKI🐶,0xffffffff,28000132,57776,57,Paxoulopapakia
57,#8RYY9Q0UJ,Alpha|Helios,0xffa8e132,28000185,57688,58,MagicClub🧙✨
58,#PRV8PRJ9J,AnthonyPro_10,0xffff9727,28000091,57685,59,Pitagyro
59,#PLPQQ2GUL,橱|ᴘͥɪͣᴢᴢͫᴀ🐣,0xff1ba5f5,28000348,57596,60,Pitagyro
60,#PQ2R20JV9,FEEZ|Iceshot,0xfff9c908,28000064,57509,61,Les Laps
61,#9GLPJ8CRU,YT: Turboy BS,0xfff05637,28000000,57495,62,Pitagyro
62,#LYG20PU8,ツᴹʳ ᵖʳᵉᶜⁱᵒᵘς💎,0xffcb5aff,28000297,57458,63,Ad Finem
63,#PCYLVUGGJ,pro| orestis13,0xfff9c908,28000020,57435,64,MagicClub🧙✨
64,#8CU9PGCRL,Lukiebear个,0xffff8afb,28000184,57347,65,Die Tafelrunde2
65,#Q0YG80Y0,Saðness最高の,0xfff9c908,28000095,57308,66,MagicClub🧙✨
66,#RCYYPJJ2,KOBE;),0xffff9727,28000061,57305,67,Pitagyro
67,#P9QP80P2C,Vagdren88,0xff1ba5f5,28000017,57259,68,PHOENIX
68,#L22LPVUU,🐙|Al3x🎭,0xffffffff,28000297,57247,69,I LEGGENDARI
69,#2PG20L8L0,😈CryMan😈,0xffcb5aff,28000140,57220,70,Paxoulopapakia
70,#2P9GP2JUC,o_meme_tipos,0xfff9c908,28000335,57053,71,THE NEW FOODMAN
71,#8CRJ9YCYJ,𝐍𝐕_ＧℌＡƬＺシ,0xffcb5aff,28000332,56946,72,Greek warriors
72,#JQC90VRL,IMP | DJCOO,0xfff05637,28000310,56897,73,Pitagyro
73,#8C0QJV2VP,👑|Empire,0xffcb5aff,28000341,56872,74,Pitagyro
74,#2JVVL8L2Q,@SπiRoSss❤️‍🩹,0xff1ba5f5,28000243,56824,75,Pitagyro
75,#RQCPC00G,Gm24 YT,0xffffffff,28000135,56804,76,Pitagyro 2
76,#8URVPLY00,P a n🦋,0xffffffff,28000130,56753,77,Vincible:🌔
77,#9V9PC0GJ,BunniesAttack,0xffff9727,28000247,56635,78,FireStorm
78,#L99RQU9RQ,wertpaok88,0xffcb5aff,28000332,56624,79,Greek warriors
79,#L9JCGC9UG,🏆Marios2005🏆,0xfff9c908,28000294,56580,80,pro Greece
80,#2C0VU0RJY,JohnConstantine,0xfff9c908,28000223,56432,81,
81,#9LUJ8CJCQ,•°☆AK-47☆°•,0xffa8e132,28000298,56396,82,ROAST POTATOES
82,#Y9R2PR2Q,MasterGeorge,0xff4ddba2,28000305,56381,83,Greek warriors
83,#GQYJCGY8,Psycho🌖,0xff1ba5f5,28000333,56376,84,The Rhythms
84,#8PRQ9RLLU,Drxzłe🍉,0xffcb5aff,28000090,56233,85,YlFAN :)
85,#8QUC9VPYJ,Androxus,0xffcb5aff,28000285,56220,86,Ad Finem
86,#8LYPR8VLQ,🌴|Blaze🍉,0xff4ddba2,28000140,56170,87,
87,#2RJU2L08L,PTG|Sᴘɪʀɪᴛᵍᵒᵈ🍁,0xff4ddba2,28000336,56146,88,Pitagyro
88,#20RYLVCL8,Big Nicks,0xffcb5aff,28000129,56138,89,Pitagyro
89,#2V2RQRGQQ,2Face🌓,0xff4ddba2,28000136,56110,90,GTP Esports
90,#UG9UCQQP,Mr.Nightmare®,0xffff9727,28000346,56096,91,Ad Finem
